GSM	group	PC1	PC2
GSM5862314	control_t74	-35.627778804852	32.944007560732
GSM5862315	control_t74	-33.6721055884508	-21.5620503718664
GSM5862316	control_t74	-31.967697591316	-26.7810882586927
GSM5862317	MPP_100uM_t74	25.460109466679	45.0180833597213
GSM5862318	MPP_100uM_t74	49.6714830163922	-33.1623493196294
GSM5862319	MPP_100uM_t74	26.1359895015479	3.54339702973558
