GSM	group	expected_count_library_size_before_filter	expected_count_library_size_after_filter	TMM_normalization_factor
GSM5862314	control_t74	46071424.45	46058344.44	0.979268574356702
GSM5862315	control_t74	55792895.56	55775174.59	0.999679300264077
GSM5862316	control_t74	42694159.22	42680451.31	0.981891144123821
GSM5862317	MPP_100uM_t74	62547201.53	62525839.28	0.990042936434832
GSM5862318	MPP_100uM_t74	61921991.4	61899002.21	1.02529588710505
GSM5862319	MPP_100uM_t74	52630184.61	52611706.58	1.02487498899243
