human_id	human	mouse_id	mouse	phenotype_plusAO	percentile_plusAO	n_mice	n_guides	excluded_family	dependency_delta	coverage_log2_ratio	distance	focal
ENSG00000180772	AGTR2	ENSMUSG00000068122	Agtr2	0.855833618976	0.872395142903	17	4	False	0.00758258656344	-0.234465253637	0.0607235170623	Pomp
ENSG00000175198	PCCA	ENSMUSG00000041650	Pcca	0.848017875838	0.871228591124	24	4	False	0.00641603478445	0.263034405834	0.0733036488879	Pomp
ENSG00000022355	GABRA1	ENSMUSG00000010803	Gabra1	0.687400668071	0.83596691235	22	4	False	-0.0288456439896	0.13750352375	0.102114336761	Pomp
ENSG00000198815	FOXJ3	ENSMUSG00000032998	Foxj3	0.924838927852	0.886234689008	24	4	False	0.0214221326688	0.263034405834	0.11507787546	Pomp
ENSG00000032742	IFT88	ENSMUSG00000040040	Ift88	0.931950466009	0.887560316029	25	4	False	0.0227477596903	0.321928094887	0.155383755371	Pomp
ENSG00000117000	RLF	ENSMUSG00000049878	Rlf	0.942075425243	0.889787369426	25	4	False	0.0249748130866	0.321928094887	0.166011827149	Pomp
ENSG00000132170	PPARG	ENSMUSG00000000440	Pparg	0.953368127516	0.891802322499	16	4	False	0.0269897661594	-0.321928094887	0.176482446012	Pomp
ENSG00000102908	NFAT5	ENSMUSG00000003847	Nfat5	0.857231859915	0.872660268307	15	4	False	0.00784771196776	-0.415037499279	0.178414784121	Pomp
ENSG00000101745	ANKRD12	ENSMUSG00000034647	Ankrd12	0.644004353844	0.824725595207	22	4	False	-0.0400869611326	0.13750352375	0.179603664328	Pomp
ENSG00000159461	AMFR	ENSMUSG00000031751	Amfr	1.02898076039	0.904475316825	18	4	False	0.0396627604857	-0.152003093445	0.180418397352	Pomp
ENSG00000051382	PIK3CB	ENSMUSG00000032462	Pik3cb	0.874053122118	0.876000848401	15	4	False	0.0111882920621	-0.415037499279	0.184773913734	Pomp
ENSG00000136160	EDNRB	ENSMUSG00000022122	Ednrb	0.881140085131	0.877538575746	15	4	False	0.0127260194072	-0.415037499279	0.188451282803	Pomp
ENSG00000155903	RASA2	ENSMUSG00000032413	Rasa2	1.01782872963	0.902566413914	24	4	False	0.0377538575746	0.263034405834	0.211722474829	Pomp
ENSG00000122550	KLHL7	ENSMUSG00000028986	Klhl7	0.818803114405	0.865342807148	28	4	False	0.000530250808632	0.48542682717	0.235667321129	Pomp
ENSG00000125779	PANK2	ENSMUSG00000037514	Pank2	1.09487858471	0.913648655814	22	4	False	0.0488360994751	0.13750352375	0.257403680237	Pomp
ENSG00000165194	PCDH19	ENSMUSG00000051323	Pcdh19	0.618225875445	0.818150485179	23	4	False	-0.0466620711597	0.20163386117	0.258391102461	Pomp
ENSG00000169313	P2RY12	ENSMUSG00000036353	P2ry12	1.07323720465	0.911209502094	17	4	False	0.0463969457553	-0.234465253637	0.270241612705	Pomp
ENSG00000149305	HTR3B	ENSMUSG00000008590	Htr3b	1.04239285696	0.906808420383	25	4	False	0.0419958640437	0.321928094887	0.280002957955	Pomp
ENSG00000112137	PHACTR1	ENSMUSG00000054728	Phactr1	0.808207837764	0.862638528024	29	4	False	-0.00217402831539	0.53605290024	0.287825351768	Pomp
ENSG00000154122	ANKH	ENSMUSG00000022265	Ank	0.980378752779	0.896574579776	27	4	False	0.0317620234371	0.432959407276	0.288336461631	Pomp
ENSG00000047410	TPR	ENSMUSG00000006005	Tpr	0.631371882526	0.821331990031	25	4	False	-0.0434805663079	0.321928094887	0.292693662923	Pomp
ENSG00000126858	RHOT1	ENSMUSG00000017686	Rhot1	1.15748333976	0.921496367782	20	4	False	0.0566838114428	0	0.321305447968	Pomp
ENSG00000151466	SCLT1	ENSMUSG00000059834	Sclt1	1.16760745158	0.92319317037	19	4	False	0.0583806140304	-0.0740005814438	0.346305695511	Pomp
ENSG00000105738	SIPA1L3	ENSMUSG00000030583	Sipa1l3	0.989717307412	0.898536507768	28	4	False	0.033723951429	0.48542682717	0.349369694535	Pomp
ENSG00000204842	ATXN2	ENSMUSG00000042605	Atxn2	0.569435740869	0.804841189883	20	4	False	-0.0599713664563	0	0.359656479464	Pomp
ENSG00000143321	HDGF	ENSMUSG00000004897	Hdgf	0.65656309973	0.828225250544	28	4	False	-0.0365873057956	0.48542682717	0.369502299075	Pomp
ENSG00000069702	TGFBR3	ENSMUSG00000029287	Tgfbr3	0.684316063818	0.83538363646	29	4	False	-0.0294289198791	0.53605290024	0.373958844381	Pomp
ENSG00000164258	NDUFS4	ENSMUSG00000021764	Ndufs4	0.31687529348	0.725197518426	12	4	False	-0.0195662548385	-0.11547721742	0.0516188205837	Psmb4
ENSG00000086102	NFX1	ENSMUSG00000028423	Nfx1	0.443852519097	0.765867755448	11	4	False	0.0211039821836	-0.241008099504	0.102622710427	Psmb4
ENSG00000105983	LMBR1	ENSMUSG00000010721	Lmbr1	0.393134506862	0.749270905138	10	4	False	0.00450713187338	-0.378511623254	0.145302472711	Psmb4
ENSG00000163104	SMARCAD1	ENSMUSG00000029920	Smarcad1	0.302169188479	0.719417784612	16	4	False	-0.0253459886526	0.299560281859	0.153978276545	Psmb4
ENSG00000092201	SUPT16H	ENSMUSG00000035726	Supt16	0.282320099079	0.713107799989	11	4	False	-0.0316559732754	-0.241008099504	0.158294968427	Psmb4
ENSG00000183775	KCTD16	ENSMUSG00000051401	Kctd16	0.49952962586	0.784744684236	12	4	False	0.0399809109709	-0.11547721742	0.173182311949	Psmb4
ENSG00000174417	TRHR	ENSMUSG00000038760	Trhr	0.330120448554	0.729386499814	17	4	False	-0.0153772734503	0.387023123109	0.173432951698	Psmb4
ENSG00000162594	IL23R	ENSMUSG00000049093	Il23r	0.491909636453	0.781669229546	16	4	False	0.0369054562808	0.299560281859	0.225937632797	Psmb4
ENSG00000140443	IGF1R	ENSMUSG00000005533	Igf1r	0.480096619068	0.778169574209	17	4	False	0.0334058009438	0.387023123109	0.261381651491	Psmb4
ENSG00000087085	ACHE	ENSMUSG00000023328	Ache	0.452744484049	0.7690492603	18	4	False	0.0242854870354	0.469485283301	0.279394919291	Psmb4
ENSG00000165392	WRN	ENSMUSG00000031583	Wrn	0.231407180532	0.695238347738	15	4	False	-0.0495254255263	0.206450877467	0.287898742163	Psmb4
ENSG00000109158	GABRA4	ENSMUSG00000029211	Gabra4	0.245692118414	0.700169680259	16	4	False	-0.044594093006	0.299560281859	0.28859967557	Psmb4
ENSG00000125851	PCSK2	ENSMUSG00000027419	Pcsk2	0.546827456017	0.798902380826	13	4	False	0.0541386075614	0	0.293098882868	Psmb4
ENSG00000108946	PRKAR1A	ENSMUSG00000020612	Prkar1a	0.39922744768	0.751338883292	19	4	False	0.00657511002704	0.547487795302	0.304066093192	Psmb4
ENSG00000101916	TLR8	ENSMUSG00000040522	Tlr8	0.219383155877	0.690041889814	11	4	False	-0.0547218834509	-0.241008099504	0.357533356868	Psmb4
ENSG00000152578	GRIA4	ENSMUSG00000025892	Gria4	0.495539130963	0.783366032133	18	4	False	0.0386022588684	0.469485283301	0.369429870211	Psmb4
