human_id	human	mouse_id	mouse	phenotype_plusAO	percentile_plusAO	n_mice	n_guides	excluded_family
ENSG00000049618	ARID1B	ENSMUSG00000069729	Arid1b	0.864036632484	0.873667744843	41	4	False
ENSG00000189079	ARID2	ENSMUSG00000033237	Arid2	-4.95156945106	0.0358184421231	32	4	False
ENSG00000166233	ARIH1	ENSMUSG00000025234	Arih1	-5.00855666722	0.0353942414762	33	4	False
ENSG00000102931	ARL2BP	ENSMUSG00000031776	Arl2bp	0.417500338204	0.757754918076	45	4	False
ENSG00000138175	ARL3	ENSMUSG00000025035	Arl3	-2.41192324847	0.113765310992	40	4	False
ENSG00000170540	ARL6IP1	ENSMUSG00000030654	Arl6ip1	-0.248303863004	0.502598228962	41	4	False
ENSG00000135931	ARMC9	ENSMUSG00000062590	Armc9	1.33683697611	0.940691447054	39	4	False
ENSG00000143437	ARNT	ENSMUSG00000015522	Arnt	-1.03709394751	0.272045177369	43	4	False
ENSG00000172379	ARNT2	ENSMUSG00000015709	Arnt2	0.725859073238	0.844981176096	41	4	False
ENSG00000113273	ARSB	ENSMUSG00000042082	Arsb	-0.556913433988	0.395434540538	42	4	False
ENSG00000004848	ARX	ENSMUSG00000035277	Arx	1.16965820495	0.923511320855	47	4	False
ENSG00000104763	ASAH1	ENSMUSG00000031591	Asah1	-0.898597758816	0.303170899836	26	4	False
ENSG00000112249	ASCC3	ENSMUSG00000038774	Ascc3	-4.74285614468	0.0396362479453	19	4	False
ENSG00000116539	ASH1L	ENSMUSG00000028053	Ash1l	-0.0598955573052	0.578848295244	22	4	False
ENSG00000141431	ASXL3	ENSMUSG00000045215	Asxl3	-0.930071569155	0.296118564081	31	4	False
ENSG00000138138	ATAD1	ENSMUSG00000013662	Atad1	-2.27818955316	0.122461424254	36	4	False
ENSG00000167654	ATCAY	ENSMUSG00000034958	Atcay	-0.110424595158	0.557956413384	46	4	False
ENSG00000115966	ATF2	ENSMUSG00000027104	Atf2	-0.78146245457	0.331115117451	34	4	False
ENSG00000118217	ATF6	ENSMUSG00000026663	Atf6	-1.05131448157	0.268863672517	35	4	False
ENSG00000057663	ATG5	ENSMUSG00000038160	Atg5	-3.90748768853	0.0564451985789	22	4	False
ENSG00000198513	ATL1	ENSMUSG00000021066	Atl1	-1.27580587768	0.227663184686	30	4	False
ENSG00000172238	ATOH1	ENSMUSG00000073043	Atoh1	0.554415243511	0.801076409142	40	4	False
ENSG00000159363	ATP13A2	ENSMUSG00000036622	Atp13a2	-1.83352605432	0.159207805292	55	4	False
ENSG00000133657	ATP13A3	ENSMUSG00000022533	Atp13a3	-0.881897677494	0.3071477809	30	4	False
ENSG00000163399	ATP1A1	ENSMUSG00000033161	Atp1a1	-0.601353768117	0.381329869028	41	4	False
ENSG00000018625	ATP1A2	ENSMUSG00000007097	Atp1a2	0.627400030841	0.820112413171	30	4	False
ENSG00000105409	ATP1A3	ENSMUSG00000040907	Atp1a3	0.617620818457	0.817991409937	38	4	False
ENSG00000174437	ATP2A2	ENSMUSG00000029467	Atp2a2	-2.87362071162	0.0892677236333	20	4	False
ENSG00000070961	ATP2B1	ENSMUSG00000019943	Atp2b1	0.256191636736	0.70451773689	27	4	False
ENSG00000157087	ATP2B2	ENSMUSG00000030302	Atp2b2	-0.293798386058	0.485736253248	52	4	False
ENSG00000067842	ATP2B3	ENSMUSG00000031376	Atp2b3	-0.949149676975	0.291452356965	36	4	False
ENSG00000017260	ATP2C1	ENSMUSG00000032570	Atp2c1	-0.919513748423	0.298610742881	44	4	False
ENSG00000182220	ATP6AP2	ENSMUSG00000031007	Atp6ap2	-16.3961630609	0.000927938915107	22	4	False
ENSG00000033627	ATP6V0A1	ENSMUSG00000019302	Atp6v0a1	-0.599266575734	0.381913144918	37	4	False
ENSG00000185883	ATP6V0C	ENSMUSG00000024121	Atp6v0c	-18.3874174724	0.000609788429927	40	4	False
ENSG00000114573	ATP6V1A	ENSMUSG00000052459	Atp6v1a	-14.8193455687	0.00188239037065	21	4	False
ENSG00000131100	ATP6V1E1	ENSMUSG00000019210	Atp6v1e1	-3.89370865965	0.056816374145	17	4	False
ENSG00000132932	ATP8A2	ENSMUSG00000021983	Atp8a2	-0.244774363907	0.504454106793	40	4	False
ENSG00000054793	ATP9A	ENSMUSG00000027546	Atp9a	-1.44649296246	0.203059547166	44	4	False
ENSG00000175054	ATR	ENSMUSG00000032409	Atr	-2.92917917976	0.0865634445093	18	4	False
ENSG00000088812	ATRN	ENSMUSG00000027312	Atrn	0.07596261682	0.635532106686	15	4	False
ENSG00000085224	ATRX	ENSMUSG00000031229	Atrx	0.0381618086039	0.620738109126	8	4	False
ENSG00000124788	ATXN1	ENSMUSG00000046876	Atxn1	-0.832168602942	0.318866323771	39	4	False
ENSG00000130638	ATXN10	ENSMUSG00000016541	Atxn10	-8.21262916813	0.0116920303303	38	4	False
ENSG00000204842	ATXN2	ENSMUSG00000042605	Atxn2	0.569435740869	0.804841189883	20	4	False
ENSG00000163635	ATXN7	ENSMUSG00000021738	Atxn7	-1.05098314084	0.268969722679	19	4	False
ENSG00000148090	AUH	ENSMUSG00000021460	Auh	-2.16455069868	0.130892412111	34	4	False
ENSG00000166148	AVPR1A	ENSMUSG00000020123	Avpr1a	-1.02074469755	0.276181133676	43	4	False
ENSG00000198049	AVPR1B	ENSMUSG00000026432	Avpr1b	-0.544003856739	0.398722095551	41	4	False
ENSG00000126895	AVPR2	ENSMUSG00000031390	Avpr2	-0.618844491133	0.375815260618	41	4	False
ENSG00000167601	AXL	ENSMUSG00000002602	Axl	0.352314345637	0.736226735246	40	4	False
ENSG00000149541	B3GAT3	ENSMUSG00000071649	B3gat3	-0.0141239283193	0.598732700567	41	4	False
ENSG00000108641	B9D1	ENSMUSG00000001039	B9d1	0.0580312360535	0.628850946498	29	4	False
ENSG00000175866	BAIAP2	ENSMUSG00000025372	Baiap2	1.28128020281	0.935335913887	38	4	False
ENSG00000163930	BAP1	ENSMUSG00000021901	Bap1	-0.69726462233	0.352961450766	23	4	False
ENSG00000009954	BAZ1B	ENSMUSG00000002748	Baz1b	-0.619385144296	0.375603160295	35	4	False
ENSG00000214413	BBIP1	ENSMUSG00000084957	Bbip1	-2.33346922053	0.118484543189	24	4	False
ENSG00000163093	BBS5	ENSMUSG00000063145	Bbs5	-4.41866169545	0.0464764833766	19	4	False
ENSG00000122507	BBS9	ENSMUSG00000035919	Bbs9	-1.39547835366	0.209369531789	36	4	False
ENSG00000114439	BBX	ENSMUSG00000022641	Bbx	0.703221976148	0.839996818495	32	4	False
ENSG00000185825	BCAP31	ENSMUSG00000002015	Bcap31	-0.68902262756	0.355347579405	37	4	False
ENSG00000141376	BCAS3	ENSMUSG00000059439	Bcas3	-0.521051519874	0.407577284055	28	4	False
ENSG00000083123	BCKDHB	ENSMUSG00000032263	Bckdhb	0.143387489726	0.662097672199	21	4	False
ENSG00000103507	BCKDK	ENSMUSG00000030802	Bckdk	0.221981341767	0.69104936635	36	4	False
ENSG00000119866	BCL11A	ENSMUSG00000000861	Bcl11a	-0.766563985513	0.335038973434	42	4	False
ENSG00000127152	BCL11B	ENSMUSG00000048251	Bcl11b	-0.286075858982	0.488599607614	41	4	False
ENSG00000171791	BCL2	ENSMUSG00000057329	Bcl2	-1.08505784881	0.26165226152	47	4	False
ENSG00000145734	BDP1	ENSMUSG00000049658	Bdp1	-0.428793887895	0.439869558301	13	4	False
ENSG00000126581	BECN1	ENSMUSG00000035086	Becn1	-2.20692248363	0.126862505965	37	4	False
ENSG00000122870	BICC1	ENSMUSG00000014329	Bicc1	-2.12407204721	0.134604167771	38	4	False
ENSG00000136717	BIN1	ENSMUSG00000024381	Bin1	-1.66538715772	0.175857680683	46	4	False
ENSG00000107779	BMPR1A	ENSMUSG00000021796	Bmpr1a	-0.256403491424	0.498833448221	26	4	False
ENSG00000138696	BMPR1B	ENSMUSG00000052430	Bmpr1b	0.250488508543	0.702131608251	21	4	False
ENSG00000171634	BPTF	ENSMUSG00000040481	Bptf	1.78508759852	0.971976244764	32	4	False
ENSG00000157764	BRAF	ENSMUSG00000002413	Braf	-1.53731082998	0.191341004295	21	4	False
ENSG00000100425	BRD1	ENSMUSG00000022387	Brd1	0.23964409079	0.698101702105	40	4	False
ENSG00000141867	BRD4	ENSMUSG00000024002	Brd4	0.200202679872	0.683148629302	14	4	False
ENSG00000078725	BRINP1	ENSMUSG00000028351	Brinp1	-0.0968997918956	0.564266398006	43	4	False
ENSG00000174672	BRSK2	ENSMUSG00000053046	Brsk2	-2.04279611482	0.141444403203	42	4	False
ENSG00000185658	BRWD1	ENSMUSG00000022914	Brwd1	-0.0761998940702	0.572273185217	19	4	False
ENSG00000168000	BSCL2	ENSMUSG00000071657	Bscl2	-0.0965362492515	0.564531523411	40	4	False
ENSG00000172270	BSG	ENSMUSG00000023175	Bsg	-0.267976689303	0.494962617318	40	4	False
ENSG00000183826	BTBD9	ENSMUSG00000062202	Btbd9	-1.40356950789	0.208043904767	27	4	False
ENSG00000125730	C3	ENSMUSG00000024164	C3	0.207473532754	0.685163582374	45	4	False
ENSG00000151067	CACNA1C	ENSMUSG00000051331	Cacna1c	-0.107473035649	0.559441115648	34	4	False
ENSG00000157388	CACNA1D	ENSMUSG00000015968	Cacna1d	0.510459632908	0.788562490058	34	4	False
ENSG00000198216	CACNA1E	ENSMUSG00000004110	Cacna1e	-1.40026965928	0.208680205737	26	4	False
ENSG00000006283	CACNA1G	ENSMUSG00000020866	Cacna1g	-0.897422389008	0.30343602524	56	4	False
ENSG00000153956	CACNA2D1	ENSMUSG00000040118	Cacna2d1	0.514239120537	0.78994114216	28	4	False
ENSG00000007402	CACNA2D2	ENSMUSG00000010066	Cacna2d2	-1.50149891357	0.195423935522	33	4	False
ENSG00000165995	CACNB2	ENSMUSG00000057914	Cacnb2	-1.34644162023	0.217323293918	21	4	False
ENSG00000182389	CACNB4	ENSMUSG00000017412	Cacnb4	-5.04915649957	0.0349700408293	35	4	False
ENSG00000166862	CACNG2	ENSMUSG00000019146	Cacng2	-0.404828885623	0.448141470916	30	4	False
ENSG00000006116	CACNG3	ENSMUSG00000066189	Cacng3	1.2782159366	0.935017763402	36	4	False
ENSG00000142408	CACNG8	ENSMUSG00000053395	Cacng8	-0.0502291363569	0.582825176308	49	4	False
ENSG00000175161	CADM2	ENSMUSG00000064115	Cadm2	0.0434293635588	0.622965162522	31	4	False
ENSG00000081803	CADPS2	ENSMUSG00000017978	Cadps2	-1.30267498401	0.222837902328	43	4	False
ENSG00000198668	CALM1	ENSMUSG00000001175	Calm1	-0.788548570164	0.328994114216	33	4	False
ENSG00000143933	CALM2	ENSMUSG00000036438	Calm2	0.300082843514	0.71867543348	35	4	False
ENSG00000160014	CALM3	ENSMUSG00000019370	Calm3	-3.59535200813	0.0636566095763	35	4	False
ENSG00000130643	CALY	ENSMUSG00000025468	Caly	-0.323047044242	0.474919136752	39	4	False
ENSG00000058404	CAMK2B	ENSMUSG00000057897	Camk2b	-0.014111217038	0.598785725648	45	4	False
ENSG00000148660	CAMK2G	ENSMUSG00000021820	Camk2g	-1.03673209971	0.272151227531	24	4	False
ENSG00000152495	CAMK4	ENSMUSG00000038128	Camk4	-0.691841142325	0.354711278435	28	4	False
ENSG00000143919	CAMKMT	ENSMUSG00000071037	Camkmt	-1.31729380488	0.220716899093	35	4	False
ENSG00000164615	CAMLG	ENSMUSG00000021501	Caml	-8.66911924305	0.0100482528236	36	4	False
ENSG00000171735	CAMTA1	ENSMUSG00000014592	Camta1	-0.486990370605	0.419454902169	35	4	False
ENSG00000147044	CASK	ENSMUSG00000031012	Cask	-0.482143982769	0.421151704756	29	4	False
ENSG00000167971	CASKIN1	ENSMUSG00000033597	Caskin1	-0.997855917095	0.279786839175	38	4	False
ENSG00000036828	CASR	ENSMUSG00000051980	Casr	-0.504395504327	0.413144917546	39	4	False
ENSG00000114423	CBLB	ENSMUSG00000022637	Cblb	-0.675077504597	0.359536560793	29	4	True
ENSG00000132024	CC2D1A	ENSMUSG00000036686	Cc2d1a	0.429759945271	0.761572723898	42	4	False
ENSG00000152492	CCDC50	ENSMUSG00000038127	Ccdc50	-4.64814269316	0.0418633013415	44	4	False
ENSG00000187094	CCK	ENSMUSG00000032532	Cck	0.203922000769	0.684050055676	45	4	False
ENSG00000163394	CCKAR	ENSMUSG00000029193	Cckar	-1.01092819874	0.277824911183	43	4	False
ENSG00000110148	CCKBR	ENSMUSG00000030898	Cckbr	0.0995013674605	0.645023596161	46	4	False
ENSG00000184305	CCSER1	ENSMUSG00000039578	Ccser1	-0.460582260075	0.429317567209	23	4	False
ENSG00000170458	CD14	ENSMUSG00000051439	Cd14	-0.156405536575	0.539821835728	33	4	False
ENSG00000198821	CD247	ENSMUSG00000005763	Cd247	0.847279774106	0.870963465719	32	4	False
ENSG00000139193	CD27	ENSMUSG00000030336	Cd27	0.0438259555341	0.623071212684	41	4	False
ENSG00000135218	CD36	ENSMUSG00000002944	Cd36	-0.474763812869	0.424810435336	23	4	False
ENSG00000167286	CD3D	ENSMUSG00000032094	Cd3d	0.463512634115	0.772495890556	20	4	False
ENSG00000198851	CD3E	ENSMUSG00000032093	Cd3e	1.4814659343	0.953470491542	33	4	False
ENSG00000160654	CD3G	ENSMUSG00000002033	Cd3g	-0.166329657566	0.536004029906	29	4	False
ENSG00000010610	CD4	ENSMUSG00000023274	Cd4	0.482338889082	0.779017975502	33	4	False
ENSG00000101017	CD40	ENSMUSG00000017652	Cd40	-1.86371704215	0.156344450925	40	4	False
ENSG00000117335	CD46	ENSMUSG00000016493	Cd46	0.18722022461	0.678588472347	35	4	False
ENSG00000196776	CD47	ENSMUSG00000055447	Cd47	1.12529413851	0.917254361313	12	4	False
ENSG00000105369	CD79A	ENSMUSG00000003379	Cd79a	0.0861629963232	0.639615037913	40	4	False
ENSG00000007312	CD79B	ENSMUSG00000040592	Cd79b	-0.564492747295	0.393578662707	39	4	False
ENSG00000121594	CD80	ENSMUSG00000075122	Cd80	0.345823118006	0.734264807254	24	4	False
ENSG00000110651	CD81	ENSMUSG00000037706	Cd81	0.129107636357	0.656795164113	39	4	False
ENSG00000168438	CDC40	ENSMUSG00000038446	Cdc40	-2.92954356983	0.0865104194284	26	4	False
ENSG00000070831	CDC42	ENSMUSG00000006699	Cdc42	-4.66519869036	0.0412270003712	11	4	False
ENSG00000170558	CDH2	ENSMUSG00000024304	Cdh2	-2.05875894183	0.140224826343	32	4	False
ENSG00000065883	CDK13	ENSMUSG00000041297	Cdk13	-0.372940518031	0.458958587412	39	4	False
ENSG00000132964	CDK8	ENSMUSG00000029635	Cdk8	-0.764159858517	0.335622249324	39	4	False
ENSG00000145996	CDKAL1	ENSMUSG00000006191	Cdkal1	-0.443414403602	0.434142849568	32	4	False
ENSG00000008086	CDKL5	ENSMUSG00000031292	Cdkl5	-0.719909346189	0.346810541386	21	4	False
ENSG00000147889	CDKN2A	ENSMUSG00000044303	Cdkn2a	-1.51924386221	0.193621082772	55	4	False
ENSG00000064309	CDON	ENSMUSG00000038119	Cdon	-0.265004791744	0.495970093854	37	4	False
ENSG00000092067	CEBPE	ENSMUSG00000052435	Cebpe	-0.986463219409	0.282172967814	44	4	False
ENSG00000048740	CELF2	ENSMUSG00000002107	Celf2	-1.45074700459	0.202370221115	34	4	False
ENSG00000143126	CELSR2	ENSMUSG00000068740	Celsr2	0.362170673128	0.740309666472	47	4	False
ENSG00000154240	CEP112	ENSMUSG00000020728	Cep112	-0.824453702635	0.32066917652	14	4	False
ENSG00000168944	CEP120	ENSMUSG00000048799	Cep120	-4.47525231963	0.0453099315976	38	4	False
ENSG00000110274	CEP164	ENSMUSG00000043987	Cep164	1.65495797515	0.965719285222	45	4	False
ENSG00000111860	CEP85L	ENSMUSG00000038594	Cep85l	-1.82983130856	0.159738056101	34	4	False
ENSG00000165410	CFL2	ENSMUSG00000062929	Cfl2	-1.01442295367	0.277082560051	18	4	False
ENSG00000198824	CHAMP1	ENSMUSG00000047710	Champ1	-1.93836870216	0.150193541545	37	4	False
ENSG00000250479	CHCHD10	ENSMUSG00000049422	Chchd10	0.756020401416	0.851874436609	45	4	False
ENSG00000106153	CHCHD2	ENSMUSG00000070493	Chchd2	-0.631248159388	0.372156530039	54	4	False
ENSG00000173575	CHD2	ENSMUSG00000078671	Chd2	-0.782435291296	0.330743941885	30	4	False
ENSG00000111642	CHD4	ENSMUSG00000063870	Chd4	3.53828852429	0.997640383902	34	4	False
ENSG00000171316	CHD7	ENSMUSG00000041235	Chd7	0.581103002229	0.808499920462	33	4	False
ENSG00000100888	CHD8	ENSMUSG00000053754	Chd8	-1.27412544629	0.228034360252	39	4	False
ENSG00000134121	CHL1	ENSMUSG00000030077	Chl1	-2.72966036682	0.0970624105202	23	4	False
ENSG00000128656	CHN1	ENSMUSG00000056486	Chn1	0.0674757180309	0.632350601835	42	4	False
ENSG00000187446	CHP1	ENSMUSG00000014077	Chp1	-0.234348571016	0.508377962776	46	4	False
ENSG00000181072	CHRM2	ENSMUSG00000045613	Chrm2	0.414886051357	0.756853491702	33	4	False
ENSG00000138435	CHRNA1	ENSMUSG00000027107	Chrna1	-0.386838185544	0.454186330134	37	4	False
ENSG00000120903	CHRNA2	ENSMUSG00000022041	Chrna2	-1.47713562449	0.198234264807	46	4	False
ENSG00000080644	CHRNA3	ENSMUSG00000032303	Chrna3	-0.112364336679	0.557054987009	27	4	False
ENSG00000101204	CHRNA4	ENSMUSG00000027577	Chrna4	0.823716448322	0.866509358927	51	4	False
ENSG00000169684	CHRNA5	ENSMUSG00000035594	Chrna5	-3.93789222589	0.0555437722043	30	4	False
ENSG00000147434	CHRNA6	ENSMUSG00000031491	Chrna6	0.0370389787591	0.620048783074	26	4	False
ENSG00000170175	CHRNB1	ENSMUSG00000041189	Chrnb1	-0.370754177654	0.459860013787	29	4	False
ENSG00000160716	CHRNB2	ENSMUSG00000027950	Chrnb2	-1.27367885661	0.228140410414	42	4	False
ENSG00000147432	CHRNB3	ENSMUSG00000031492	Chrnb3	-0.622956166912	0.374913834244	25	4	False
ENSG00000117971	CHRNB4	ENSMUSG00000035200	Chrnb4	0.749041908003	0.850601834668	42	4	False
ENSG00000135902	CHRND	ENSMUSG00000026251	Chrnd	0.204778741126	0.684368206162	35	4	False
ENSG00000108556	CHRNE	ENSMUSG00000014609	Chrne	0.699281478957	0.838936316878	47	4	False
ENSG00000196811	CHRNG	ENSMUSG00000026253	Chrng	-0.858925002579	0.312397263906	37	4	False
ENSG00000213341	CHUK	ENSMUSG00000025199	Chuk	-0.541110769124	0.399835622249	34	4	False
