human_id	human	mouse_id	mouse	phenotype_plusAO	percentile_plusAO	n_mice	n_guides	excluded_family	dependency_delta	coverage_log2_ratio	distance	focal	baseline_expression	control_mice	expression_log2_ratio	matching_distance	support
ENSG00000162616	DNAJB4	ENSMUSG00000028035	Dnajb4	0.836903978921	0.868683387242	21	4	False	0.00387083090302	0.0703893278914	0.00645299066898	Pomp	0.627372682095	73	0.722701478146	0.528750417183	True
ENSG00000155903	RASA2	ENSMUSG00000032413	Rasa2	1.01782872963	0.902566413914	24	4	False	0.0377538575746	0.263034405834	0.211722474829	Pomp	0.241585165262	73	-0.65408936514	0.639555372418	True
ENSG00000159461	AMFR	ENSMUSG00000031751	Amfr	1.02898076039	0.904475316825	18	4	False	0.0396627604857	-0.152003093445	0.180418397352	Pomp	0.608075916767	73	0.677630219169	0.639601111283	True
ENSG00000126858	RHOT1	ENSMUSG00000017686	Rhot1	1.15748333976	0.921496367782	20	4	False	0.0566838114428	0	0.321305447968	Pomp	0.626078546047	73	0.719722432325	0.83930582756	True
ENSG00000112137	PHACTR1	ENSMUSG00000054728	Phactr1	0.808207837764	0.862638528024	29	4	False	-0.00217402831539	0.53605290024	0.287825351768	Pomp	0.658271551132	73	0.792061616758	0.915186956509	True
ENSG00000105983	LMBR1	ENSMUSG00000010721	Lmbr1	0.393134506862	0.749270905138	10	4	False	0.00450713187338	-0.378511623254	0.145302472711	Psmb4	0.187346324325	73	0.776296411562	0.747938591314	False
ENSG00000134121	CHL1	ENSMUSG00000030077	Chl1	-2.72966036682	0.0970624105202	23	4	False	-0.0111352669813	-0.120294233718	0.0268701197402	Psmc5	0.802766501904	73	-0.0919328481814	0.035321768315	True
ENSG00000189043	NDUFA4	ENSMUSG00000029632	Ndufa4	-2.33022106445	0.118643618432	27	4	False	0.0104459409301	0.111031312389	0.0232397205222	Psmc5	0.753130674362	73	-0.184013058836	0.0571005263445	True
ENSG00000140740	UQCRC2	ENSMUSG00000030884	Uqcrc2	-2.89917801373	0.0879951216926	28	4	False	-0.0202025558089	0.163498732283	0.0675461615793	Psmc5	0.811038911343	73	-0.0771421323874	0.0734970701686	True
ENSG00000102900	NUP93	ENSMUSG00000032939	Nup93	-2.64179999074	0.101516517313	27	4	False	-0.00668116018877	0.111031312389	0.0167917424776	Psmc5	1.03747785091	73	0.27809536672	0.0941287754685	True
ENSG00000010818	HIVEP2	ENSMUSG00000015501	Hivep2	-2.88917254054	0.0885253725012	30	4	False	-0.0196723050003	0.263034405834	0.107887057055	Psmc5	1.0298691988	73	0.267475945817	0.179430438646	True
ENSG00000060237	WNK1	ENSMUSG00000045962	Wnk1	-2.09752241775	0.136300970359	27	4	False	0.0281032928575	0.111031312389	0.0913074592743	Psmc5	1.1095405817	73	0.374977265392	0.231915408835	True
ENSG00000214413	BBIP1	ENSMUSG00000084957	Bbip1	-2.33346922053	0.118484543189	24	4	False	0.0102868656875	-0.0588936890536	0.0140504271775	Psmc5	0.61763304472	73	-0.470163322886	0.235103977365	True
ENSG00000217128	FNIP1	ENSMUSG00000035992	Fnip1	-2.4629209089	0.110318680736	25	4	False	0.00212100323453	0	0.000449865472089	Psmc5	0.592210173607	73	-0.530803990044	0.282202741319	True
ENSG00000215301	DDX3X	ENSMUSG00000000787	Ddx3x	-2.95407464782	0.0857680682963	30	4	False	-0.0224296092052	0.263034405834	0.119495835562	Psmc5	0.628508090973	73	-0.444981947889	0.317504769509	True
ENSG00000147684	NDUFB9	ENSMUSG00000022354	Ndufb9	-2.38108568013	0.115409088499	32	4	False	0.0072114109974	0.356143810225	0.132038858419	Psmc5	0.622181534767	73	-0.459577685995	0.343250507883	True
ENSG00000241973	PI4KA	ENSMUSG00000041720	Pi4ka	-2.30073343418	0.120605546423	27	4	False	0.012407868922	0.111031312389	0.0277234734493	Psmc5	1.30677318573	73	0.611023586868	0.401073297159	True
ENSG00000134644	PUM1	ENSMUSG00000028580	Pum1	-3.19190441507	0.0763826289835	23	4	False	-0.0318150485179	-0.120294233718	0.115690433886	Psmc5	0.579231619835	73	-0.562772904651	0.432403776094	True
ENSG00000143442	POGZ	ENSMUSG00000038902	Pogz	-2.61637149629	0.102630044011	20	4	False	-0.00556763349064	-0.321928094887	0.106737552546	Psmc5	0.569288790226	73	-0.587752572767	0.45219063934	True
ENSG00000051825	MPHOSPH9	ENSMUSG00000038126	Mphosph9	-2.61654691197	0.10257701893	31	4	False	-0.0056206585715	0.310340120612	0.0994701707393	Psmc5	0.556428611279	73	-0.620716660461	0.484759343313	True
ENSG00000100478	AP4S1	ENSMUSG00000020955	Ap4s1	-2.19598993433	0.127710907259	28	4	False	0.0195132297577	0.163498732283	0.0648084490157	Psmc5	0.543362677097	73	-0.654997792854	0.49383055766	True
ENSG00000137710	RDX	ENSMUSG00000032050	Rdx	-2.95190695066	0.0858210933772	30	4	False	-0.0223765841243	0.263034405834	0.119258250359	Psmc5	0.506064236164	73	-0.757592742997	0.693205014601	True
ENSG00000023228	NDUFS1	ENSMUSG00000025968	Ndufs1	-2.42152450292	0.113235060183	20	4	False	0.00503738268201	-0.321928094887	0.106175220706	Psmc5	0.489194333553	73	-0.806505571995	0.756626458365	True
ENSG00000186297	GABRA5	ENSMUSG00000055078	Gabra5	-2.47570845784	0.109417254361	23	4	False	0.00121957685985	-0.120294233718	0.0146194394374	Psmc5	0.459518641233	73	-0.896789876574	0.818851522164	True
ENSG00000072274	TFRC	ENSMUSG00000022797	Tfrc	-2.67335786502	0.0997136645633	27	4	False	-0.00848401293812	0.111031312389	0.0195257998842	Psmc5	0.442006409168	73	-0.952845975807	0.927441253496	True
ENSG00000168438	CDC40	ENSMUSG00000038446	Cdc40	-2.92954356983	0.0865104194284	26	4	False	-0.0216872580731	0.0565835283664	0.0502354119552	Psmc5	0.443266987801	73	-0.948737342752	0.950337957488	True
