gene,rank_score
AA388235,0.965308072868728
TTR,0.943519559568425
E4F1,0.905789087430345
D530037H12RIK,0.637965976277485
A230058F20RIK,0.59061365831995
LOC102636914,0.582354463453737
9430047G12RIK,0.556957268311352
FLYWCH2,0.511132099904137
GPR6,0.470849463403334
HOXB5,0.461720893895547
CDKN1A,0.449375562939927
TCFL5,0.437306829058552
4633402D09RIK,0.418203457653219
ZFP874A,0.417020163340706
CLSTN3,0.398108023125081
DDIT4L,0.397783469614542
EVC2,0.385511359749434
LOC102634076,0.384637155640264
MAB21L2,0.381569910672328
GM4132,0.376031656470146
CHRNA5,0.368350174648634
6330411D24RIK,0.360334734477597
IRX2,0.357204024394954
SRPX2,0.350063986718548
BC002059,0.347394250037689
GATA3,0.343868908241128
1700100M05RIK,0.341881560645858
EMILIN2,0.328595773371241
LOC102633149,0.327643865766049
5730408A14RIK,0.327412292517836
H2-K1,0.324780337241323
PBLD2,0.321271738712939
1600023N17RIK,0.318859559703139
GM12359,0.318804629306292
2900001G08RIK,0.31152852407332
5730521K06RIK,0.311344370032153
ECEL1,0.308909410334137
PAPPA2,0.30782383556413
D630030B22RIK,0.306975096703406
SEC14L3,0.305409982696403
AK7,0.304873083403111
CCDC113,0.302816729574463
SNCG,0.302603627975708
PPP1R14A,0.299085431969734
2610507I01RIK,0.298853429927498
KRT25,0.292357499103656
MILR1,0.29122163116497
PROKR2,0.288178534499423
3110045C21RIK,0.287024586264607
CCS,0.284532573917216
TRPC7,0.282722471031292
DEDD2,0.281000295381641
C230052I12RIK,0.279502826086351
RGN,0.278915822027562
CASKIN1,0.278295159968294
ZFHX2OS,0.277384843870372
SLC26A4,0.276974393817022
CCR6,0.275782151921496
FAM167A,0.275742882631828
GLI2,0.274666928541495
DSP,0.274598644142546
PISD-PS3,0.274438787631076
NPY2R,0.265401257341155
POP4,0.264881400184861
CHKA,0.264252010690549
SPIN4,0.26337388770116
NEUROD1,0.263204458282648
MFSD7C,0.262895928453106
CTGF,0.261536543198011
SPAG5,0.260337032440787
EYA2,0.260069695353303
TNFAIP6,0.258160981751306
SPATA5L1,0.256720227548566
FAT2,0.256086410295373
JMJD4,0.253364113354189
TMEM207,0.253293469935198
NUBP2,0.252997595205431
PDHX,0.251762791612494
TAC2,0.25133711577605
GIMAP5,0.25076424398847
LUM,0.250692455523174
GLP1R,0.250465754287309
2610027H17RIK,0.249943457809481
9430011C21RIK,0.248818647653792
C030044O21RIK,0.246913362870896
2700022O18RIK,0.246553502125989
HCRTR1,0.245767989901251
ATG101,0.24571652256804
6030451C04RIK,0.242474048269095
TELO2,0.240657223009279
GBE1,0.239339716746423
4932439E07RIK,0.239091321004122
CML3,0.237151180128878
CALML4,0.237118727430203
GREM1,0.234550415579684
ZFP692,0.233349361108895
MSANTD1,0.232925006046161
CALCB,0.232668352883113
HES7,0.23249075515088
OXTR,0.231919243266495
SOSTDC1,0.231408531360654
ARHGAP25,0.23089143027667
ZFYVE26,0.230039267806238
AW011738,0.229852176120028
2900046F13RIK,0.227605001725735
HPGDS,0.227392937309701
GUCY1A3,0.225897800549253
TSSK6,0.225269369367425
LOC102640223,0.223909942796551
TPBG,0.222685886389565
2900002J02RIK,0.222648775964133
9530006C21RIK,0.222363119767353
SLC9A3R2,0.220461133404118
KCNE2,0.220243741014807
KRT18,0.219881021077242
2610307P16RIK,0.219695777167672
GCH1,0.219520753694929
PPP5C,0.219050748963069
5330421C15RIK,0.218771006181939
A930012O16RIK,0.218045549606664
NXPE4,0.217959845738525
DCTPP1,0.214880563183328
APOL11B,0.213244072783804
2610319H10RIK,0.213000972795604
DECR2,0.212379658141604
PACRG,0.211854577986286
9330171B17RIK,0.211686807311396
D8ERTD738E,0.210702297590085
RMI1,0.210685578737964
SLC27A5,0.210065309164909
NXPH2,0.209109639738127
DEFB11,0.208989705459349
RNASE1,0.208302027060161
RASSF7,0.206880882213947
ITGA4,0.205323750897514
5830427D02RIK,0.205290135481086
COCH,0.205049921051514
BC030499,0.204772482425808
ALMS1,0.204522096619657
LOC432842,0.204353540232223
HDHD3,0.203981177540049
FAM163B,0.20267115165526
NHLH2,0.202592205597879
GM5617,0.202288772727173
ZFP946,0.202189512388481
PLOD3,0.201430245492265
TMC4,0.201347873912009
GPR19,0.200205980835227
AI956758,0.199937880414095
GM9925,0.199931748087062
9530059O14RIK,0.199761512759843
CCDC28B,0.198844705660669
5330428N10RIK,0.198681864883893
SYT3,0.198338241967393
SERPINE1,0.198007779610925
EMCN,0.197981213643268
VPS52,0.19781925660773
FHIT,0.196339478782725
MTMR7,0.195601553150978
1700063D05RIK,0.19557236546848
UCMA,0.19474604695604
6430573F11RIK,0.194734553555684
GK5,0.19451135281223
GM16386,0.193805250702312
ZFP119A,0.193141479738011
AK044380,0.191319076393533
ESR1,0.190820345260516
C230011H18RIK,0.19013857805248
DUSP5,0.190008075100592
HPDL,0.188338411961755
COLGALT2,0.188106523461585
GM266,0.186568012372044
2610019N06RIK,0.184933767505119
5330406M23RIK,0.184603444220331
2900078I11RIK,0.183667153502477
MCTP2,0.183643527148596
4930429F24RIK,0.183263844086853
ALDH1A7,0.182792671881886
COL2A1,0.18257168094504
PPP1R3D,0.182288500021848
MIAT,0.182016076461935
C130090I23RIK,0.181958164413091
MAFF,0.181784261776161
ERCC5,0.181422548659036
A930011O12RIK,0.181415292475131
DRD2,0.181163747072512
4930528A17RIK,0.180805998223107
4432414F05RIK,0.180177173391209
D4ERTD617E,0.18014956622923
ZFP687,0.180032916089786
SLFN8,0.179842541531782
LOC102632922,0.179534367291162
AK028782,0.178323945838974
LCT,0.178134091854584
ZFP941,0.177851764855669
CCDC120,0.17778169785829
PLA2G5,0.177745997226217
4931429I11RIK,0.177570912385445
UNC13C,0.177567498791601
ZFP750,0.177383825010317
EID3,0.177257954497222
2810055G20RIK,0.176968953129977
SMPDL3B,0.176612787831254
SLC2A4RG-PS,0.176123475404962
CYTL1,0.175762316899375
HHATL,0.175457462384388
ERMARD,0.175116082580803
AGTR1B,0.174354257468802
PPIL6,0.17424953545531
