logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,perturb,perturb_norm
0.0277066236666667,-0.0170733135555556,0.229460928045855,0.823225747773943,0.977583012820639,-5.53652398916696,COPG1,0.000272809214972081,0.00016368421749223
-0.203951516666667,-0.0925869404444444,-1.1860946392886,0.26352748626946,0.846089116198931,-4.94801807492661,ATP6V0D1,0.0148035947629812,0.00888208651469597
-0.124089244333333,0.00293593933333333,-0.917655946478443,0.380814904844239,0.889689599551534,-5.18290361799828,GOLGA7,0.00629895447537868,0.00377934274524545
-0.0932726856666667,0.0625655385555556,-0.590095441903518,0.568474130714602,0.936297709440471,-5.40043820025609,PSPH,0.0026662966368273,0.00159976529983192
-0.265208607166667,-0.0285063189444444,-1.75230939730114,0.110866729555463,0.751427695321219,-4.32900998335059,TRAPPC4,0.0329157834068458,0.0197493136551923
-0.166177594666667,0.00729041733333334,-1.01154708314485,0.336062283461107,0.872328352500268,-5.1060229829764,DPM2,0.00985765687878679,0.00591454728091412
-0.0463409433333333,0.0662862994444445,-0.294574428097675,0.774460457783967,0.970790807780332,-5.52057587762131,PSMB5,0.00059660927200006,0.000357962713427657
-0.404123625666667,0.0144939422222222,-3.32342702375046,0.00790841093074789,0.611450887269081,-2.30155076939642,DHRS1,0.0863363330607428,0.0518013896617944
-0.0410699465,0.0186018417222222,-0.306094449342567,0.765932353387209,0.969254045866513,-5.51734937040829,PPM1A,0.000557006117603919,0.000334201008933219
-0.492329744,-0.0935266782222222,-2.44391752439101,0.0350593251944948,0.66448513242832,-3.44793767284496,PSENEN,0.0873957824468337,0.0524370542603083
0.151924132666667,0.0152189468888889,1.04638383006665,0.32049036569343,0.867813928045862,-5.07600434132976,ANAPC1,0.00935448294564189,0.00561264531146247
-0.165860336666667,0.0304412322222222,-0.696303558134573,0.502408420981401,0.925608187367511,-5.33906025684377,MRPL43,0.00556839798977949,0.00334101232455063
0.1331540345,-0.0276035335555556,1.13130006151356,0.284836187502765,0.853054208241354,-4.99961890947976,XPO7,0.00919074022338538,0.00551440045600336
-0.191133655,0.0108600705555556,-1.31466189067669,0.218538634900779,0.825033898917783,-4.8203466735414,NMT1,0.0159650514672643,0.00957895501951759
0.172527626666667,0.0176827116666667,0.86326581647009,0.40860865815408,0.896576553239696,-5.22463944989015,ATG5,0.00817998727608359,0.00490795348942014
0.230313610666667,-0.112943698222222,0.937931730164097,0.370805065669344,0.884670468780778,-5.16681096057393,MTIF2,0.0122569379078871,0.00735410450007712
0.117956478666667,0.0144148393333333,0.883450350973288,0.398134103150261,0.892725403890385,-5.20939747040332,RAB14,0.00581314374697412,0.00348785861615039
-0.293001179,0.0426526777777778,-1.93956531344929,0.081713399632611,0.726190690211124,-4.0989627194487,PSAP,0.0407123154770071,0.0244271958581976
0.00947181499999998,0.0380934358888889,0.043443933148076,0.966219525974912,0.996525031219479,-5.56036829270074,UBE2G1,1.43193762377136e-05,8.59154226282309e-06
0.601685687333333,-0.0790306204444445,3.08504896654955,0.0118007698022723,0.61145754699477,-2.60682007963577,ZKSCAN3,0.128540333784058,0.0771235895966601
-0.1121368815,0.0339532975555556,-0.817970669313226,0.432799767236697,0.903216662282641,-5.25776254913796,MRPL27,0.00495735390357115,0.00297438877572113
0.150239864,-0.0240092542222222,0.5187023286473,0.615470496791013,0.947628758951278,-5.43643624555651,DLG1,0.00350986879251736,0.00210590458567618
-0.221627234333333,-0.00738557311111111,-1.55843532267508,0.150788994964165,0.778262092361026,-4.55606364388933,CANX,0.0241294706998205,0.0144775677722332
0.0201771281666667,0.0233933383888889,0.123693349872294,0.904056618589373,0.990333493945509,-5.55405464587098,DERL1,8.51178705678318e-05,5.10703025175184e-05
-0.401868579833333,-0.00620839249999999,-3.06355270625659,0.0122369106273981,0.61145754699477,-2.63464897704312,WARS,0.0858526677243107,0.0515111927576907
0.137732148666667,-0.0237476442222222,0.95471640573666,0.362662983752769,0.880816409548725,-5.1532739937934,PSMA1,0.00759105270578118,0.00455459554509821
-0.0906589021666667,0.0390122984444445,-0.43997090785934,0.669496605911125,0.958147531962068,-5.47106327380936,SAR1A,0.00168331956797992,0.0010099837283661
0.118282635333333,-0.0312244636666667,0.880561922824211,0.399621445682628,0.893389455632925,-5.21159658634438,G3BP2,0.00579102055757289,0.00347458480761059
0.202073418333333,0.0645518805555556,0.724435689102951,0.485723037277029,0.921170138417364,-5.32128190550133,GOLM1,0.00720596820845917,0.0043235466761312
-0.163901806666667,0.146027724,-0.885685087301375,0.396986021754449,0.892248504845299,-5.20769194564549,GPS1,0.00811546210310677,0.00486923869217467
-0.0150621748333334,-0.0486501586111111,-0.0777467329619445,0.939592977063576,0.993939385831997,-5.55841035787569,SSR3,3.97656433895065e-05,2.38591816659694e-05
0.106950523166667,0.00789213194444444,0.955881619285429,0.362102596259295,0.880508864503138,-5.15232706739897,LOC100044627 /// LOC100862455 /// RPL23,0.00591075621455043,0.00354642563296729
-0.0994243623333334,-0.0720065404444445,-0.536728022264485,0.603418329566997,0.946139743079033,-5.42775515454839,CTBP1,0.0023906303941312,0.00143436686382565
0.327642042,-0.052508327,2.16592342064128,0.0560742270126954,0.687196350307689,-3.81081204415332,HUWE1,0.0533791648557547,0.0320272453088715
0.0461378488333333,-0.000668750277777777,0.3760973398398,0.714853135869441,0.963217099000438,-5.49515235611381,CDV3,0.000750931158339231,0.000450555112092062
-0.0283848456666667,0.0340753681111111,-0.171034178477472,0.867674421115766,0.983394462745695,-5.54749728824525,SMIM7,0.000206421451074071,0.000123851874542683
0.190346839166667,0.0105363195,1.59618683321056,0.14213348280635,0.773385555963997,-4.51289136483134,COPA,0.0212434578328088,0.0127459737626469
-0.227542733333333,0.0281260744444444,-1.59493058955228,0.142414266279645,0.773385555963997,-4.5143366454391,ANAPC2,0.0253946662938609,0.0152366791180754
0.315142709,0.00949120466666668,2.10807992720628,0.0617774214373537,0.702665254148051,-3.88526518109103,TUG1,0.0482960995524823,0.0289774302750959
-0.41832996,-0.0315487146666667,-1.95085604998089,0.0802071883254192,0.722427668587539,-4.08481832166183,GBF1,0.0590705451870326,0.0354420464695198
0.61722978,-0.0394349673333333,3.54665323876651,0.00546102752879454,0.586819554309059,-2.02229308887444,COX18,0.142885868885268,0.0857308425058563
0.00152325783333333,-0.0595596871666667,0.00754189281545597,0.994133717999966,0.999608487448201,-5.56123071470847,ARFGEF1,2.59052895692938e-07,1.55415054181189e-07
0.0773945146666667,-0.0200631885555556,0.558484067347729,0.589037633725346,0.940157629743949,-5.41690908338664,ZRANB1,0.00207412076227026,0.00124446258835572
0.0807321460000001,0.0296556557222222,0.600661851326291,0.561690103024322,0.936279238948831,-5.39474625714585,DDX24,0.00230850395096144,0.00138509138808301
0.124031704166667,0.00730313216666667,0.577901038592183,0.576359499410746,0.937884714280577,-5.40689134222342,SNRNP27,0.0034543502170746,0.00207259370416337
-0.431384958,0.0418565555555556,-2.17605437019094,0.0551288709931941,0.687196350307689,-3.79772422378242,TMEM129,0.0702808731407394,0.0421681899846855
0.143549919666667,0.0887766934444444,0.629255913228186,0.543561584580574,0.932729958910188,-5.37887940975576,RPS27 /// RPS27RT,0.00434153434277459,0.0026048999648256
-0.000276486666666684,0.0205635170555556,-0.00226944317944867,0.998234750813142,0.999884801367772,-5.56125508942318,RNF220,1.38334607726034e-08,8.28455819631287e-09
0.05185636,-0.0234045455555556,0.296041290329263,0.773372778496711,0.970756592328032,-5.52017177583839,SAP30L,0.000668410409177183,0.000401043054627286
-0.00784205999999998,0.0189037325555556,-0.0442867892223644,0.965564618220538,0.996525031219479,-5.56033345832008,ARMC1,1.18555321887858e-05,7.11324753848406e-06
0.104324665,-0.117233858777778,0.584507844613803,0.572079861079358,0.937206052745426,-5.40341052706307,MAD2L1BP,0.00293829535005857,0.00176296323558267
-0.0424092650000001,0.0260108844444444,-0.234322897155999,0.819554054230787,0.977238135722581,-5.53546812448535,NAA60,0.000424075409286549,0.000254443215458532
-0.0650977833333333,0.0715070482222222,-0.329948303057849,0.748379063080996,0.967433933712332,-5.51028401589166,VTA1,0.000936020414462762,0.00056160778646012
0.0866320926666667,0.0232370168888889,0.67950944650734,0.512534775233742,0.926853516343415,-5.34937412717557,EIF5,0.00285789727529917,0.00171472477267527
0.0134485561666667,-0.000397629833333334,0.0977874096505244,0.924070928869626,0.992452448340221,-5.55675428665701,CDC42,4.42496840674241e-05,2.65495847703265e-05
-0.189267794666667,-0.0388205326666667,-1.19410958130911,0.260519902643268,0.845685401263237,-4.94032439823732,RRN3,0.013777023535749,0.00826614865530266
-0.0533383868333334,0.0527396003888889,-0.450063398451061,0.66245021233725,0.956678671994357,-5.46692658603558,ANKRD17,0.00102590562548665,0.00061553848605555
-0.178797720333333,0.0371927685555556,-1.29637423702695,0.224522945202429,0.82644966253685,-4.83904386227407,APOA1BP,0.0148015177685061,0.00888084032787815
0.316578626833333,-0.0293765328888889,2.36174237721048,0.0403024773773068,0.676011121709988,-3.55584981261811,PABPN1,0.053832979515397,0.0322995319487133
0.1636300095,-0.0213921345,1.2933609867697,0.225521884510031,0.826847837226075,-4.84210807114187,PDPK1,0.0135116507138474,0.00810692622287201
0.150857052666667,-0.0205737631111111,0.902291356728716,0.388527232462637,0.891020339013371,-5.1949067087395,CPSF7,0.00755980630492218,0.00453584785302551
-0.107045452,0.0208053457222222,-0.870142892062668,0.405018669389776,0.894870043761817,-5.21947934694997,ANGEL2,0.00516387580595822,0.00309830093602694
0.2457393825,-0.00979940222222222,1.67127967958117,0.12622067353618,0.767667513351156,-4.42546747079505,ABHD16A,0.0282174762051306,0.0169303516544755
-0.301795800666667,0.0825402991111111,-1.55016082480895,0.152747215049701,0.779316051712318,-4.56545306447036,GM8069 /// TOMM5,0.0326803742788068,0.0196080692967303
0.04350249,-0.00157683494444444,0.396690567693053,0.700091046586314,0.962324463382148,-5.48778246208227,RAB7,0.000725555139959674,0.000435329621618526
-0.489748001333333,-0.00609180744444444,-2.70129972837638,0.0226288501042406,0.643428417936403,-3.10873733723163,DDB1,0.0937866255843659,0.0562715297817617
-0.0932124473333334,0.0352983742222222,-0.834431985372822,0.423898680824176,0.900423536726328,-5.24589949288878,PFDN5,0.00424612164218128,0.00254765279774804
-0.0710090033333333,0.117343266,-0.409209852661675,0.691179995216777,0.961623079618397,-5.48311707866241,RFK,0.00120680666399653,0.000724078249752441
0.134809174333333,-0.0314860876666667,0.887186976247132,0.39621573740646,0.892248504845299,-5.20654371472823,TXNDC12,0.00667496452725667,0.00400494699005615
-0.0237181143333333,-0.00569764744444445,-0.140141921766729,0.891384491020793,0.987660952010902,-5.55201395818995,RBM42,0.000127890825730972,7.67338724133392e-05
-0.177093826333333,-0.0167821254444445,-0.937035592657809,0.371243446179827,0.884900077872032,-5.16752824531766,PSMC5,0.00940470342161168,0.00564277735846125
0.0368350366666667,0.0778369922222222,0.202042420079097,0.844013357961153,0.980146516374691,-5.54206850953539,TMEM165,0.000320796308939659,0.000192476245899833
-0.266659097,-0.0468471837777778,-1.50942410973479,0.162717296873038,0.787808904300893,-4.61128109814385,AUP1,0.0276203132301539,0.0165720567064399
-0.208896476666667,-0.05967845,-1.05905534518047,0.314963572904588,0.866010882646029,-5.06489162418444,HDAC5,0.0130511521480806,0.00783062927110875
