gene,log2FC,perturb,perturb_norm
SPSB1,-0.351472370501378,0.351472370501378,0.0566027876860909
GM13070,0,0,0
H6PD,0.222392421336448,0.222392421336448,0.0358151367344913
GM13067,0,0,0
GPR157,-1.58496250072116,1.58496250072116,0.255249924171162
GM13093,0,0,0
SLC2A5,-1.03016197051025,1.03016197051025,0.165902199412993
SLC2A7,0,0,0
CAR6,0,0,0
ENO1,0.308784294658529,0.308784294658529,0.0497280962552575
RERE,-0.175849835399418,0.175849835399418,0.0283196966053076
GM13091,1,1,0.161044771756444
SLC45A1,0,0,0
GM16079,0,0,0
GM13049,0,0,0
1700045H11RIK,0,0,0
ERRFI1,0.614709844115208,0.614709844115208,0.0989958065419732
PARK7,-0.0213162312370924,0.0213162312370924,0.00343286759428513
TNFRSF9,1,1,0.161044771756444
CAMTA1,-0.430350554773348,0.430350554773348,0.069305706868733
UTS2,0,0,0
PER3,-0.0559564059740154,0.0559564059740154,0.00901148662839625
VAMP3,0.394077880643198,0.394077880643198,0.0634641823424471
GM13090,0,0,0
4930589P08RIK,0,0,0
DNAJC11,-0.156725503687453,0.156725503687453,0.0252398229697597
THAP3,-0.130786607535354,0.130786607535354,0.0210624993593308
PHF13,0,0,0
KLHL21,-0.115477217419936,0.115477217419936,0.0185970021224629
ZBTB48,0.0995356735509144,0.0995356735509144,0.016029699828631
TAS1R1,0,0,0
NOL9,-1.3536369546147,1.3536369546147,0.217996154397013
PLEKHG5,-0.0418201756946271,0.0418201756946271,0.00673492064955562
TNFRSF25,-0.415037499278844,0.415037499278844,0.0668396193417269
ESPN,-1.41503749927884,1.41503749927884,0.227884391098171
HES2,0,0,0
ACOT7,0.425133377014351,0.425133377014351,0.0684655076673226
GPR153,0,0,0
HES3,0,0,0
ICMT,-0.788495894806288,0.788495894806288,0.126983141409972
RNF207,-0.241008099503795,0.241008099503795,0.0388130943760431
RPL22,0.252031911776322,0.252031911776322,0.0405884217073581
CHD5,-0.222392421336448,0.222392421336448,0.0358151367344913
KCNAB2,-0.036525876025114,0.036525876025114,0.00588230136766868
GM16333,0,0,0
NPHP4,-0.485426827170242,0.485426827170242,0.0781754525860866
GM833,0,0,0
GM13173,0,0,0
GM13174,0,0,0
AJAP1,-0.0931094043914815,0.0931094043914815,0.0149947827786046
GM13115,0,0,0
BC039966,-1,1,0.161044771756444
A430005L14RIK,-0.293196376344046,0.293196376344046,0.0472177435081435
DFFB,0.559427408614019,0.559427408614019,0.0900928593345438
CEP104,-0.415037499278844,0.415037499278844,0.0668396193417269
LRRC47,0.118644496498619,0.118644496498619,0.0191070758587784
SMIM1,0.489805267680816,0.489805267680816,0.0788805775387612
CCDC27,0,0,0
TRP73,-1.58496250072116,1.58496250072116,0.255249924171162
TRP73OS,0,0,0
WRAP73,0.584962500721156,0.584962500721156,0.0942051524147176
TPRGL,0.346368954150661,0.346368954150661,0.0557809091647116
MEGF6,-0.662965012722429,0.662965012722429,0.106767049156392
ARHGEF16,-1.58496250072116,1.58496250072116,0.255249924171162
PRDM16,-0.668794091524627,0.668794091524627,0.107705791821642
B230104I21RIK,0,0,0
GM13133,-1,1,0.161044771756444
GM13134,0,0,0
GM13111,-0.836501267717121,0.836501267717121,0.13471415573348
GM27202,0,0,0
ACTRT2,0,0,0
TTC34,0,0,0
GM13112,0.584962500721156,0.584962500721156,0.0942051524147176
MMEL1,0,0,0
FAM213B,0.0601209924375709,0.0601209924375709,0.00968217150487953
TNFRSF14,0,0,0
HES5,0.159420565007533,0.159420565007533,0.0256738485049216
PANK4,1,1,0.161044771756444
PLCH2,-0.807354922057604,0.807354922057604,0.130020289149209
GM10564,0,0,0
PEX10,-0.176877762084079,0.176877762084079,0.0284852388236212
RER1,0.164676923480161,0.164676923480161,0.0265203575554159
MORN1,-1.84799690655495,1.84799690655495,0.297610240022757
SKI,-0.0747677684019722,0.0747677684019722,0.0120409581970343
FAAP20,-0.0172779914318355,0.0172779914318355,0.00278253018654975
PRKCZ,0.28080910756177,0.28080910756177,0.0452228386344161
GM27200,-2,2,0.322089543512889
GABRD,0.321928094887362,0.321928094887362,0.0518448365631223
CFAP74,-1.73696559416621,1.73696559416621,0.279729227661294
TMEM52,-1.76553474636298,1.76553474636298,0.284330140256098
GNB1,0.245440345819056,0.245440345819056,0.0395268844722526
NADK,0.673499175322814,0.673499175322814,0.108463520968016
SLC35E2,-0.160464672193246,0.160464672193246,0.025841996508334
GM10563,-1,1,0.161044771756444
GM16024,0,0,0
CDK11B,-0.351165316112459,0.351165316112459,0.0565533381821106
MMP23,-0.415037499278844,0.415037499278844,0.0668396193417269
MIB2,-0.38060400221497,0.38060400221497,0.0612942846662991
FNDC10,0.447458976971221,0.447458976971221,0.0720609288167024
SSU72,-0.203795202459118,0.203795202459118,0.032820151865087
1500002C15RIK,0.584962500721156,0.584962500721156,0.0942051524147176
TMEM240,-0.547487795302493,0.547487795302493,0.088170047033929
ATAD3A,0.272079545436801,0.272079545436801,0.0438169882944667
ATAD3AOS,0.115477217419936,0.115477217419936,0.0185970021224629
VWA1,0.21562774328638,0.21562774328638,0.0347257207019123
GM26840,-0.584962500721156,0.584962500721156,0.0942051524147176
TMEM88B,0.87092005083507,0.87092005083507,0.140257120804845
ANKRD65,0,0,0
MRPL20,0.350132976146486,0.350132976146486,0.0563870852279154
CCNL2,0.0384741478146356,0.0384741478146356,0.0061960603533317
AURKAIP1,0.115038508266217,0.115038508266217,0.0185263503069347
MXRA8OS,0,0,0
MXRA8,-0.637429920615292,0.637429920615292,0.102654756076218
