gene,reactivity,shared_loose,inferred_celltype,pq_log2FC,mptp10d_logFC,mptp10d_fdr,same_direction_10d,mptp2d_logFC,mptp2d_fdr,same_direction_2d
KRT25,0.202557627174575,FALSE,Unknown,-1.58496250072116,-0.949696369,0.492217300064143,TRUE,-1.04932927666667,0.307418073821803,TRUE
TCTEX1D1,0.201240866949274,FALSE,Unknown,-2.75488750216347,-0.59571417,0.61145754699477,TRUE,-0.73863991,0.424786276422111,TRUE
FANCD2OS,0.200964779854065,FALSE,Unknown,-3.4594316186373,-0.439987353333333,0.858520816474913,TRUE,-0.72609694,0.678309325326076,TRUE
NPY2R,0.200206003143785,FALSE,Unknown,-1.73696559416621,1.24229179733333,0.611450887269081,FALSE,1.12597880266667,0.519666769467581,FALSE
DLX6OS1,0.198289994066701,FALSE,Unknown,3.39231742277876,-0.382614927333333,0.82644966253685,FALSE,0.204318838,0.886938542344775,TRUE
NKX2-1,0.198031402111038,FALSE,Unknown,-3.32192809488736,-0.277336199,0.712937874507735,TRUE,0.040271443,0.957399339289733,FALSE
COCH,0.197032551314133,FALSE,Unknown,2.11547721741994,1.06048692,0.640686388296367,TRUE,0.95687371,0.564927394019844,TRUE
DYDC1,0.196426255073965,FALSE,Unknown,-3.58496250072116,0.0286069716666667,0.973756751672125,FALSE,-0.0769999416666667,0.884699041227707,TRUE
IRX2,0.196206896044524,FALSE,Unknown,-1,1.67203976066667,0.61145754699477,FALSE,-0.181143682,0.953470799415593,TRUE
GAL,0.195810140767475,FALSE,Unknown,-3.32192809488736,-0.46872759,0.841435536825666,TRUE,0.155137779,0.943988544238734,FALSE
GPR182,0.195573191788904,FALSE,Unknown,3.16992500144231,-0.73746483,0.840727276840047,FALSE,-1.00979289666667,0.697119219996023,FALSE
BARHL2,0.195418719481717,FALSE,Unknown,-3.16992500144231,0.607244081666667,0.811222818615943,FALSE,0.923446571666667,0.6293266162713,FALSE
TTC25,0.193785185934947,FALSE,Unknown,-3.32192809488736,0.400527793333333,0.841435536825666,FALSE,-0.17764362,0.916165377459907,TRUE
FAM216B,0.193527859030308,FALSE,Unknown,-2.73696559416621,0.824950613333333,0.735084274067702,FALSE,1.03722682,0.592689842323547,FALSE
SRPX2,0.193379463512048,FALSE,Unknown,1,-1.00105175333333,0.446996175596864,FALSE,-1.32966169666667,0.163774578266174,FALSE
DYNLRB2,0.192086218058645,FALSE,Unknown,-2.63558857379112,0.948658025333333,0.746153951714469,FALSE,0.191306386666667,0.948834510044534,FALSE
