contrast	gene	mean_expression	logFC	t	p_value	FDR	residual_df
exposure_corrected	SNX3	12.853573999533559	-0.012246961278416995	-0.04840491277800903	0.9625801737626889	1.0	8
exposure_corrected	VPS26B	9.325524557604398	0.003330008190795633	0.015768565203155907	0.9878051910847769	1.0	8
exposure_corrected	VPS26A	10.524361341339903	-0.29611872813958734	-1.3505403389930286	0.2138008030242057	0.9490663375554828	8
exposure_corrected	VPS29	11.092100203784375	-0.2571597899988967	-1.1724083474509894	0.2747602335430396	0.9490663375554828	8
exposure_corrected	SNX2	9.89804274049172	-0.011861070969145215	-0.05498585195492654	0.9574981425199114	1.0	8
exposure_corrected	HSPA8	13.719085219295621	0.0023197643981421228	0.01539657852661532	0.9880928455589955	1.0	8
exposure_corrected	SNX1	6.697296667977985	-0.2162915128913384	-0.7788178020118612	0.45850232020292586	0.9530640193670189	8
exposure_corrected	MFN2	9.193148604373816	-0.1355780493692933	-0.5584952335939612	0.5917902074065524	0.9706240758615212	8
exposure_corrected	CLTC	6.768943235823337	0.26442436522183216	0.7833829940401341	0.45596587172087866	0.9530640193670189	8
exposure_corrected	SNCAIP	8.872434353599237	-0.2302996890152961	-0.7766707363981128	0.4596985103699016	0.9530816645558071	8
exposure_corrected	EPS15	9.544771001676366	-0.5644588049199398	-2.4639833668629323	0.0390752984303094	0.9379974360467417	8
exposure_corrected	UBC	15.767957203834387	-0.09354073316978824	-1.3755948071360444	0.20622961658536615	0.9490663375554828	8
exposure_corrected	UBB	14.858407190023891	0.14649896528586662	1.172568540399664	0.27469954074998326	0.9490663375554828	8
exposure_corrected	TOMM20	14.022333687189773	-0.13376494433419264	-0.68802018941641	0.5108929436672165	0.9603905325995662	8
exposure_corrected	UBA52	15.598066086950743	-0.06070430750232257	-0.42715709380802164	0.6805290393591024	0.9812709830306632	8
exposure_corrected	MFN1	6.308986851372352	-0.418880441431784	-1.571403744220439	0.15473154638599582	0.9490663375554828	8
exposure_corrected	ITSN1	9.595417039373078	-0.1124276128983574	-0.4606052700336495	0.6573439047829506	0.9789274701772015	8
exposure_corrected	RHOT1	10.814424673367549	-0.2383655059854368	-1.0311182235050627	0.33264788097206877	0.9501706324426837	8
exposure_corrected	CLTCL1	5.844674575157764	0.09175032324242176	0.15939042421226438	0.877311902916911	1.0	8
exposure_corrected	SH3GL2	10.33739847433059	-0.18790918058723396	-0.6655891247357312	0.5243960753630478	0.9630909688436716	8
exposure_corrected	WLS	9.564290466215473	-0.10110012824223732	-0.5544682239944637	0.5944154113008064	0.9706240758615212	8
exposure_A53T	SNX3	12.853573999533559	0.07054330836909806	0.2788155046016241	0.7874580650696404	1.0	8
exposure_A53T	VPS26B	9.325524557604398	-0.1957251702410863	-0.9268160713166155	0.38113252407463805	0.9250595555651541	8
exposure_A53T	VPS26A	10.524361341339903	-0.26168526021646177	-1.1934959408431007	0.26686446542706316	0.9160099795130878	8
exposure_A53T	VPS29	11.092100203784375	0.03225989946148944	0.1470749972876481	0.8867117751995338	1.0	8
exposure_A53T	SNX2	9.89804274049172	0.38605116467241085	1.7896657260481708	0.11129632126058171	0.8989621899571061	8
exposure_A53T	HSPA8	13.719085219295621	0.10759199731257667	0.714102103120983	0.4954682725047407	0.9531797839755696	8
exposure_A53T	SNX1	6.697296667977985	-0.17105049626867613	-0.6159149277574044	0.555065377593519	0.9617877788896242	8
exposure_A53T	MFN2	9.193148604373816	-0.2844825014178581	-1.171886760591983	0.2749579245891448	0.9181871017443477	8
exposure_A53T	CLTC	6.768943235823337	0.2322242354402941	0.687986966311826	0.5109127817781983	0.9552727555850394	8
exposure_A53T	SNCAIP	8.872434353599237	-0.5450025935325917	-1.8379858325806309	0.10336412109311373	0.8989621899571061	8
exposure_A53T	EPS15	9.544771001676366	-0.3984154299512256	-1.7391685344346814	0.12019616909520596	0.8989621899571061	8
exposure_A53T	UBC	15.767957203834387	-0.03847089959756553	-0.565746792001364	0.5870790426869932	0.970342446081127	8
exposure_A53T	UBB	14.858407190023891	0.05183404823537176	0.4148764748184829	0.6891348545086029	0.9837937035100714	8
exposure_A53T	TOMM20	14.022333687189773	-0.0565974098734541	-0.29110886155886734	0.7783728834974273	1.0	8
exposure_A53T	UBA52	15.598066086950743	0.1573419343359565	1.1071656389871227	0.30039874623055907	0.919739566793135	8
exposure_A53T	MFN1	6.308986851372352	-0.48470998188297865	-1.818359142738764	0.1065193225082352	0.8989621899571061	8
exposure_A53T	ITSN1	9.595417039373078	-0.44287192606141473	-1.8144042894360939	0.1071660434111444	0.8989621899571061	8
exposure_A53T	RHOT1	10.814424673367549	-0.2480501112435541	-1.0730117555738672	0.3145632054489522	0.921688810176938	8
exposure_A53T	CLTCL1	5.844674575157764	0.23243951908652077	0.4037983981048846	0.6969395446784968	0.9854204448628844	8
exposure_A53T	SH3GL2	10.33739847433059	-0.0023829144273999348	-0.008440470673634666	0.9934722437043837	1.0	8
exposure_A53T	WLS	9.564290466215473	-0.23427184548471214	-1.2848281832697623	0.2348023864040485	0.9160099795130878	8
genotype_by_exposure	SNX3	12.853573999533559	0.08279026964751506	0.23137977607183097	0.8228280098635924	0.9996574288742358	8
genotype_by_exposure	VPS26B	9.325524557604398	-0.19905517843188192	-0.6665079883253874	0.5238386588520374	0.9996574288742358	8
genotype_by_exposure	VPS26A	10.524361341339903	0.0344334679231256	0.11104715887917416	0.9143144168837223	0.9996574288742358	8
genotype_by_exposure	VPS29	11.092100203784375	0.28941968946038615	0.9330156207273975	0.3781113871510423	0.9996574288742358	8
