probe	gene	mean_expression
ILMN_1665945	ACBD3	10.300356233943454
ILMN_1676288	ACBD4	4.537890371491975
ILMN_1693250	ACBD5	6.460013266475311
ILMN_1684271	ACBD6	8.534793176734517
ILMN_1726388	ACBD7	9.001159966453642
ILMN_3187680	ACCS	1.2067022422987022
ILMN_1780630	ACCSL	3.307244211333364
ILMN_1716480	ACD	8.557996723329284
ILMN_1779984	ACE	0.939218252876565
ILMN_1667018	ACE2	3.4835400609756593
ILMN_3241214	ACER1	2.4692307122714574
ILMN_3235340	ACER2	7.46492115761323
ILMN_1812552	ACER3	8.9907012369306
ILMN_2333219	ACHE	9.168511418863416
ILMN_1699636	ACIN1	8.152875952136354
ILMN_1723684	ACKR1	6.084207773597317
ILMN_1763127	ACKR2	1.8319011058114167
ILMN_1798360	ACKR3	10.604686328742403
ILMN_1781769	ACKR4	2.8037493913114537
ILMN_2371379	ACLY	11.189657204428451
ILMN_1727091	ACMSD	0.9386242745576349
ILMN_1750800	ACO1	10.243485752875415
ILMN_1654861	ACO2	9.05406449717386
ILMN_1838319	ACOD1	2.1255485640754688
ILMN_1715543	ACOT1	6.483181020145538
ILMN_2353978	ACOT11	4.488961023317425
ILMN_1785474	ACOT12	1.4811218975220184
ILMN_2098743	ACOT13	10.808409988972352
ILMN_1716237	ACOT2	7.211203989233714
ILMN_1764321	ACOT4	5.166097056371212
ILMN_2156699	ACOT6	0.8701491934625666
ILMN_1740265	ACOT7	13.378615081850635
ILMN_1679600	ACOT8	7.927221681366722
ILMN_1658995	ACOT9	7.895520570777741
ILMN_1750158	ACOX1	6.329979742891955
ILMN_1685703	ACOX2	1.7598772236704845
ILMN_1743396	ACOX3	7.761870850548097
ILMN_2344956	ACP1	12.64161822131164
ILMN_2104830	ACP2	7.473545263327281
ILMN_2078599	ACP5	3.1853641908675923
ILMN_2234343	ACP6	6.08942213493081
ILMN_1709725	ACP7	1.6045287399423216
ILMN_1758323	ACPP	1.6275378318513285
ILMN_1728331	ACPT	4.709341345968615
ILMN_1705637	ACR	3.3823771793015283
ILMN_1784203	ACRBP	0.5734530442102771
ILMN_1666690	ACRC	5.30005660863864
ILMN_2227011	ACSBG1	6.106024234871683
ILMN_1730002	ACSBG2	2.292612275981117
ILMN_3236756	ACSF2	6.874609676436044
ILMN_1716832	ACSF3	2.7895939147600193
ILMN_1684585	ACSL1	6.829029559031693
ILMN_2360705	ACSL3	11.161995139363285
ILMN_1683598	ACSL4	10.213251930633826
ILMN_2273911	ACSL5	1.2063609932127184
ILMN_1737418	ACSL6	5.721128011549538
ILMN_1661434	ACSM1	0.12426952800203744
ILMN_1765912	ACSM2B	2.3199707022015326
ILMN_1685952	ACSM3	3.2553270556649516
ILMN_1791923	ACSM4	1.6400121648936121
ILMN_1805147	ACSM5	5.534702003740494
ILMN_2100936	ACSM6	3.119698504465978
ILMN_1752269	ACSS1	3.7722898353847047
ILMN_1714197	ACSS2	10.640493949660774
ILMN_1659885	ACSS3	5.704808770948678
ILMN_2125869	ACTA1	3.0023740663265044
ILMN_1671703	ACTA2	11.678718334924838
ILMN_1777296	ACTB	15.19828705562643
ILMN_3246895	ACTBL2	0.7166170845838781
ILMN_1658660	ACTC1	5.688282677968388
ILMN_2053178	ACTG1	15.314094755455153
ILMN_3236904	ACTG1P4	5.3826062160923165
ILMN_1795325	ACTG2	9.041719178528174
ILMN_1733531	ACTL10	0.3243011307442612
ILMN_1749297	ACTL6A	10.172522391065769
ILMN_1657855	ACTL6B	8.680248107302537
ILMN_1717900	ACTL7A	0.3493222825832511
ILMN_1796088	ACTL7B	0.44520247169080446
ILMN_1704078	ACTL8	1.8208181526610678
ILMN_1656193	ACTL9	0.21230085244644625
ILMN_2232177	ACTN1	7.983490673056756
ILMN_1654422	ACTN2	1.3367035205551143
ILMN_1665691	ACTN3	2.5562018570751697
ILMN_1725534	ACTN4	7.629472670950491
ILMN_1798254	ACTR10	10.81389374038146
ILMN_1792314	ACTR1A	11.198849895045074
ILMN_1695821	ACTR1B	9.934953031045628
ILMN_2388605	ACTR2	11.216074148182628
ILMN_1657153	ACTR3	8.38785120368608
ILMN_1787513	ACTR3B	7.238503949309675
ILMN_1652594	ACTR5	7.385045119770441
ILMN_1697585	ACTR6	10.856919654692819
ILMN_1689162	ACTR8	6.519629835913725
ILMN_1815392	ACTRT1	5.67724896123254
ILMN_1776442	ACTRT2	1.9358305689448878
ILMN_1782810	ACTRT3	0.0
ILMN_1760490	ACVR1	10.297082261397964
ILMN_2243308	ACVR1B	11.62925963254247
ILMN_1858084	ACVR1C	1.3211051818201556
ILMN_2152711	ACVR2A	8.87506605404659
ILMN_1668983	ACVR2B	5.631262202746581
ILMN_3251776	ACVR2B-AS1	0.6641720835625463
ILMN_3250257	ACVRL1	3.9747403378998674
ILMN_1683883	ACY1	6.366038327493279
ILMN_1670193	ACY3	0.46788172321210736
ILMN_1694233	ACYP1	11.467456075514141
ILMN_2158705	ACYP2	9.135911535256353
ILMN_1803686	ADA	9.23569817745802
ILMN_1745580	ADAD1	0.11269729811770761
ILMN_1745108	ADAD2	1.6778262153229493
ILMN_1725043	ADAL	8.19726906159292
ILMN_1718946	ADAM10	8.514556269692582
ILMN_1711374	ADAM11	6.9653734857086
ILMN_1726266	ADAM12	3.659015909598479
ILMN_1756920	ADAM15	10.298090152417949
ILMN_2121068	ADAM17	8.895322628904111
ILMN_2201386	ADAM18	2.941832628882237
ILMN_1713751	ADAM19	8.95647657617481
ILMN_1662675	ADAM2	4.0962556134755435
ILMN_1737629	ADAM20	0.2441861319582785
ILMN_1833008	ADAM20P1	0.6187999605272265
ILMN_1812112	ADAM21	1.3172157992789135
ILMN_3241313	ADAM21P1	0.4285337450150753
ILMN_1675210	ADAM22	2.2291754645971857
ILMN_2060086	ADAM23	5.690292516989474
ILMN_1664631	ADAM28	2.991957084762612
ILMN_2194158	ADAM29	1.245038364009146
ILMN_2100871	ADAM30	0.2349974805883915
ILMN_1806841	ADAM32	4.260290925737345
ILMN_1651657	ADAM33	3.7339543450281756
ILMN_2223911	ADAM3A	1.2833335615828714
ILMN_1764554	ADAM5	0.8473687692741052
ILMN_2143210	ADAM6	3.537790941579251
ILMN_1750294	ADAM7	2.9699825389652372
ILMN_1708348	ADAM8	0.354600024340461
ILMN_1727524	ADAM9	6.899670799508989
ILMN_1716909	ADAMDEC1	2.817015873741392
ILMN_1673566	ADAMTS1	6.576554126746551
ILMN_1751168	ADAMTS10	1.6728171388500472
ILMN_1660970	ADAMTS12	0.0
ILMN_2413732	ADAMTS13	5.090060370526685
ILMN_2358134	ADAMTS14	2.310648632033408
ILMN_1683781	ADAMTS15	3.1275040880783913
ILMN_1726247	ADAMTS16	0.30515280697122654
ILMN_1682989	ADAMTS17	3.1718337125277647
ILMN_1739872	ADAMTS18	2.3329675996903005
ILMN_1656171	ADAMTS19	0.9616312301514517
ILMN_1811765	ADAMTS2	7.098744176605035
ILMN_1787908	ADAMTS20	2.712856697150705
ILMN_1703803	ADAMTS3	0.04835495400043599
ILMN_2092933	ADAMTS4	1.6679807597456662
ILMN_1681886	ADAMTS5	0.78480145443939
ILMN_1767362	ADAMTS6	2.7544816373257066
ILMN_2211790	ADAMTS7	3.1834159572935565
ILMN_1672403	ADAMTS8	3.3796458530365565
ILMN_1805543	ADAMTS9	4.639556778621437
ILMN_1705250	ADAMTSL1	5.619068408411127
ILMN_1721495	ADAMTSL2	6.266346394109717
ILMN_1798690	ADAMTSL3	3.2435086042380887
ILMN_1687035	ADAMTSL4	5.4188180209040295
ILMN_1793040	ADAMTSL5	3.4489316567990347
ILMN_2047511	ADAP1	11.765874650464696
ILMN_1763000	ADAP2	5.926240444451512
ILMN_1776777	ADAR	10.592792308221037
ILMN_1679797	ADARB1	8.730692517026654
ILMN_1749493	ADARB2	3.149391235515368
ILMN_1657139	ADAT1	7.756610109968658
ILMN_3245693	ADAT2	5.591503962130841
ILMN_1806275	ADAT3	4.024436662224978
ILMN_1698777	ADCK1	6.113541036400054
ILMN_1663132	ADCK2	10.436108554156739
ILMN_1761309	ADCK5	5.798567658751488
ILMN_2120555	ADCY1	8.609348136296044
ILMN_1808797	ADCY10	5.489970112794961
ILMN_3211472	ADCY10P1	5.802004257354043
ILMN_1810691	ADCY2	1.7021028190653835
ILMN_1676893	ADCY3	9.523868340965565
ILMN_2148944	ADCY4	2.9792794399907483
ILMN_1708588	ADCY5	4.197812561437421
ILMN_1655935	ADCY7	6.723631615465674
ILMN_1754440	ADCY8	3.9493730909468354
ILMN_1654287	ADCY9	5.095791860796772
ILMN_1763344	ADCYAP1	5.679278428224536
ILMN_1711736	ADCYAP1R1	0.12880335557494985
ILMN_1759252	ADD1	11.950466473617004
ILMN_1833858	ADD2	9.428315014364218
ILMN_1814526	ADD3	8.718608497634364
ILMN_1666316	ADGB	3.524634556693981
ILMN_1733541	ADGRA1	0.9972021542724118
ILMN_1773059	ADGRA2	5.988296834769858
ILMN_1674181	ADGRA3	4.997672109092979
ILMN_1729529	ADGRB1	4.140858123982692
ILMN_1671076	ADGRB3	6.89494321138316
ILMN_1682487	ADGRD1	2.662518893184711
ILMN_1780601	ADGRE1	0.7609603854768722
ILMN_1755873	ADGRE3	1.6085562079606595
ILMN_3243190	ADGRE4P	2.926043594096606
ILMN_1673363	ADGRE5	6.796300608596855
ILMN_1744299	ADGRF1	1.9307813219372407
ILMN_1715390	ADGRF2	0.4364225419333812
ILMN_1762897	ADGRF3	4.252268940067973
ILMN_1684653	ADGRF4	0.0
ILMN_1728785	ADGRF5	3.2155586878456854
ILMN_2352097	ADGRG1	12.261951878623783
ILMN_2349071	ADGRG2	7.741971591117124
ILMN_1765941	ADGRG3	3.5023440488548876
ILMN_2115534	ADGRG4	4.019951410861526
ILMN_1666902	ADGRG5	2.3494416660374973
ILMN_2367010	ADGRG6	5.876129180916441
ILMN_2125395	ADGRG7	4.384067314978609
ILMN_1813175	ADGRL1	8.134268419290647
ILMN_1697548	ADGRL2	8.938838484657127
ILMN_1711807	ADGRL3	7.202750281014236
ILMN_3240520	ADGRL4	3.094167365139525
ILMN_1690621	ADGRV1	9.339325522678322
ILMN_1764309	ADH1A	3.301077845071207
ILMN_1811598	ADH1B	1.0531487642517672
