mean_expression	contrast	logFC	t	p_value	FDR	residual_df	gene_symbol	probe
9.193148604373816	exposure_corrected	-0.1355780493692933	-0.5584952335939612	0.5917902074065524	0.8491648732868664	8	MFN2	ILMN_1651385
3.599924752242266	exposure_corrected	0.1668887119366938	0.14346705972528062	0.8894692603547302	0.9908070264607779	8	ITSN1	ILMN_1651848
5.692371780172238	exposure_corrected	0.7615056724398064	1.1685417928077104	0.2762284891939364	0.7892242548398183	8	WLS	ILMN_1660549
10.33739847433059	exposure_corrected	-0.18790918058723396	-0.6655891247357312	0.5243960753630478	0.8067631928662273	8	SH3GL2	ILMN_1661491
6.308986851372352	exposure_corrected	-0.418880441431784	-1.571403744220439	0.15473154638599582	0.7892242548398183	8	MFN1	ILMN_1664186
9.544771001676366	exposure_corrected	-0.5644588049199398	-2.4639833668629323	0.0390752984303094	0.7815059686061879	8	EPS15	ILMN_1665357
8.457286153079089	exposure_corrected	-0.03252141230157467	-0.10998750606028607	0.9151283432801343	0.9908070264607779	8	WLS	ILMN_1671260
3.5701454959378456	exposure_corrected	-1.391112259265372	-0.9462758246722895	0.3717088141811386	0.801712896821437	8	ITSN1	ILMN_1672741
10.814424673367549	exposure_corrected	-0.2383655059854368	-1.0311182235050627	0.33264788097206877	0.801712896821437	8	RHOT1	ILMN_1678504
13.286624338619609	exposure_corrected	-0.06688300096734447	-0.42492984554102053	0.6820861706930309	0.8801111879910076	8	TOMM20	ILMN_1679796
13.508303863479407	exposure_corrected	0.002480040261686149	0.011886786090928903	0.9908070264607779	0.9908070264607779	8	HSPA8	ILMN_1686367
9.89804274049172	exposure_corrected	-0.011861070969145215	-0.05498585195492654	0.9574981425199114	0.9908070264607779	8	SNX2	ILMN_1691575
2.2944351749495735	exposure_corrected	-1.0331057561225352	-0.7489677385847477	0.4753194481779655	0.8067631928662273	8	CLTCL1	ILMN_1694584
11.092100203784375	exposure_corrected	-0.2571597899988967	-1.1724083474509894	0.2747602335430396	0.7892242548398183	8	VPS29	ILMN_1704619
0.0	exposure_corrected	0.0				8	MFN1	ILMN_1708959
9.595417039373078	exposure_corrected	-0.1124276128983574	-0.4606052700336495	0.6573439047829506	0.8801111879910076	8	ITSN1	ILMN_1718769
5.257321616540295	exposure_corrected	-0.8512247500066455	-1.7774391258175353	0.11339258097421459	0.7892242548398183	8	RHOT1	ILMN_1731484
9.325524557604398	exposure_corrected	0.003330008190795633	0.015768565203155907	0.9878051910847769	0.9908070264607779	8	VPS26B	ILMN_1736751
5.844674575157764	exposure_corrected	0.09175032324242176	0.15939042421226438	0.877311902916911	0.9908070264607779	8	CLTCL1	ILMN_1739734
12.853573999533559	exposure_corrected	-0.012246961278416995	-0.04840491277800903	0.9625801737626889	0.9908070264607779	8	SNX3	ILMN_1740180
7.115440395366481	exposure_corrected	0.2917277367280739	1.6909253397937913	0.12931599047640616	0.7892242548398183	8	WLS	ILMN_1753913
6.768943235823337	exposure_corrected	0.26442436522183216	0.7833829940401341	0.45596587172087866	0.8067631928662273	8	CLTC	ILMN_1756779
13.806192218357912	exposure_corrected	0.05357237031071956	0.29645403736055786	0.7744338166569532	0.9680422708211914	8	UBB	ILMN_1762436
6.049461319700229	exposure_corrected	-0.19535896830358696	-0.71531785138816	0.4947565961279968	0.8067631928662273	8	VPS26A	ILMN_1781039
15.598066086950743	exposure_corrected	-0.06070430750232257	-0.42715709380802164	0.6805290393591024	0.8801111879910076	8	UBA52	ILMN_1782977
1.8958149243355287	exposure_corrected	-2.7599445534926987	-2.4734073165712314	0.03850536084669467	0.7815059686061879	8	RHOT1	ILMN_1785762
8.872434353599237	exposure_corrected	-0.2302996890152961	-0.7766707363981128	0.4596985103699016	0.8067631928662273	8	SNCAIP	ILMN_1807969
5.458342878477733	exposure_corrected	-0.724748991488863	-1.7294264012510387	0.12198807287108483	0.7892242548398183	8	ITSN1	ILMN_1861392
15.767957203834387	exposure_corrected	-0.09354073316978824	-1.3755948071360444	0.20622961658536615	0.7892242548398183	8	UBC	ILMN_2038773
14.858407190023891	exposure_corrected	0.14649896528586662	1.172568540399664	0.27469954074998326	0.7892242548398183	8	UBB	ILMN_2191428
5.754867659234061	exposure_corrected	0.5422218904105996	0.9560894694043791	0.36702239530805264	0.801712896821437	8	UBC	ILMN_2252160
9.564290466215473	exposure_corrected	-0.10110012824223732	-0.5544682239944637	0.5944154113008064	0.8491648732868664	8	WLS	ILMN_2283325
15.69852886414076	exposure_corrected	0.06514787643686878	0.9274687597017174	0.38081362599018254	0.801712896821437	8	UBC	ILMN_2331501
9.585479919220885	exposure_corrected	-0.3229507283012967	-1.178653437139778	0.2724022315873626	0.7892242548398183	8	RHOT1	ILMN_2338480
10.524361341339903	exposure_corrected	-0.29611872813958734	-1.3505403389930286	0.2138008030242057	0.7892242548398183	8	VPS26A	ILMN_2344850
6.632860925907438	exposure_corrected	-0.4154422881695122	-1.7045325158564477	0.12668062317669843	0.7892242548398183	8	SNX1	ILMN_2365479
6.697296667977985	exposure_corrected	-0.2162915128913384	-0.7788178020118612	0.45850232020292586	0.8067631928662273	8	SNX1	ILMN_2365484
12.077909738352647	exposure_corrected	-0.18586586816631862	-1.0203906074804672	0.337405878285583	0.801712896821437	8	UBA52	ILMN_2368576
7.724938091762254	exposure_corrected	0.2186033073297879	1.4532304255625863	0.18423194209647475	0.7892242548398183	8	WLS	ILMN_2399769
13.719085219295621	exposure_corrected	0.0023197643981421228	0.01539657852661532	0.9880928455589955	0.9908070264607779	8	HSPA8	ILMN_2413084
14.022333687189773	exposure_corrected	-0.13376494433419264	-0.68802018941641	0.5108929436672165	0.8067631928662273	8	TOMM20	ILMN_3251472
9.193148604373816	exposure_A53T	-0.2844825014178581	-1.171886760591983	0.2749579245891448	0.8388352145305392	8	MFN2	ILMN_1651385
3.599924752242266	exposure_A53T	-1.7910677381019091	-1.539704028944526	0.16219655535094918	0.7208735793375519	8	ITSN1	ILMN_1651848
