SC_cat	dose_M	compound_name	available_wells	valid_wells	plates	eligible	alpha_score	multivariate_score	alpha_fraction	alpha_response	integrity_fraction_0.8	viability_fraction_0.8	joint_fraction_0.8	joint_response_0.8	integrity_fraction_0.7	viability_fraction_0.7	joint_fraction_0.7	joint_response_0.7	integrity_fraction_0.9	viability_fraction_0.9	joint_fraction_0.9	joint_response_0.9	IndividualCell_Intensity_MeanIntensity_SNCA_standardized	Cell_Neurites_LengthPerNuclei_MAP2_standardized	Cell_Neurites_LengthPerNuclei_TH_standardized	Cell_Intensity_MeanIntensity_TH_standardized	Nuclei_Number_Living_standardized	Nuclei_Ratio_Living_standardized	Nuclei_Number_Living_ratio
S4687	5e-06	Rivastigmine	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.0151421641186	-0.0137163301194	0	False	0.25	1	0	False	0.75	1	0	False	0.25	1	0	False	-0.19452978261	-0.654819729162	0.496993010232	0.0969854701862	-0.0573296120911	1.5469045428	0.989922638337
S4691	5e-06	Oxybenzone	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.0376629057867	-0.0345605113785	0	False	0.5	0.75	0	False	0.5	1	0	False	0.5	0.5	0	False	0.0588753279218	-0.246258558779	0.106800865882	-0.111045905193	-0.0378888915026	0.642399873524	0.984072699378
S4693	5e-06	Guanfacine Hydrochloride	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.0675750651865	-0.0443940388791	0	False	0.5	0.75	0	False	0.5	0.75	0	False	0.5	0.75	0	False	0.202420144216	0.498120186465	-0.0500211468313	0.452854074355	0.311740994009	0.172521456455	1.03325044176
S4700	5e-06	4-Aminobutyric acid	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.0928785720346	0.125025858233	0	False	0.25	0.75	0	False	0.5	0.75	0	False	0	0.75	0	False	-0.56757735315	1.14069774769	-0.204770926305	-0.639149924899	-0.0277251802997	0.0156569570385	0.996277685902
S4703	5e-06	Choline bitartrate	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	0.103340302684	0.159478961739	0	False	0.5	0.5	0	False	0.5	0.75	0	False	0.25	0.5	0	False	-0.61778192662	0.418091802269	0.344406329403	-0.626353412518	-0.233132616275	-0.0755154629945	0.970835859654
S4718	5e-06	Acetylcholine iodide	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.206395608157	0.139384447492	0	False	0	0.5	0	False	0	0.5	0	False	0	0.5	0	False	-1.11233180831	-0.829675197405	-0.908387081903	0.201869066737	-0.984810250751	1.18348626216	0.903089417562
S4731	5e-06	Perphenazine	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.34703502476	-0.612098660359	0	False	0.5	0.5	0	False	0.75	0.75	0	False	0.5	0.25	0	False	1.54351451398	1.26201998771	0.469993388697	2.13759752399	-0.923054755489	-0.186203759301	0.92166609452
S4740	5e-06	Sodium ferulate	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.04470625811	0.00754429382896	0	False	0.5	0.75	0	False	0.75	0.75	0	False	0.25	0.75	0	False	0.0926755194035	0.548333552692	0.303527403532	-0.372335717279	0.0104891672377	0.415603611859	1.00451947511
S4748	5e-06	Ondansetron Hydrochloride Dihydrate	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.111791292193	-0.106544800595	0	False	0.75	0.5	0	False	0.75	1	0	False	0.75	0.25	0	False	0.414608441891	0.730272148615	0.115663635063	0.746134818034	-1.37485420484	0.932530816387	0.84544239661
S4750	5e-06	Sulfacetamide sodium salt hydrate	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.0691523049989	-0.292091952971	0	False	0.5	0.75	0	False	0.5	1	0	False	0.25	0.5	0	False	0.209989126318	-0.636045915521	-0.425953026756	1.91386592642	1.30332925207	0.0216613060612	1.10591383407
