Plate	feature	mutant_median	corrected_median	mutant_control_wells	corrected_control_wells	pooled_control_sd	invalid_wells	dataset
PD-SC2-01	Cell_Neurites_LengthPerNuclei_MAP2	147.645	127.9875	12	12	41.265421158	0	screen
PD-SC2-01	Cell_Neurites_LengthPerNuclei_TH	94.7383	65.9864	12	12	30.0511006956	0	screen
PD-SC2-01	Cell_Intensity_MeanIntensity_TH	379.013	310.5185	12	12	34.7394583624	0	screen
PD-SC2-01	Nuclei_Number_Living	2772	2575	12	12	369.924060594	0	screen
PD-SC2-01	Nuclei_Ratio_Living	0.8397255	0.9170335	12	12	0.0463239673063	0	screen
PD-SC2-02	IndividualCell_Intensity_MeanIntensity_SNCA	619.9515	551.8465	12	12	38.186240648	0	screen
PD-SC2-02	Cell_Neurites_LengthPerNuclei_MAP2	157.228	176.3865	12	12	32.5101479751	0	screen
PD-SC2-02	Cell_Neurites_LengthPerNuclei_TH	115.472	108.535	12	12	17.7468093713	0	screen
PD-SC2-02	Cell_Intensity_MeanIntensity_TH	312.567	311.32	12	12	9.70148838608	0	screen
PD-SC2-02	Nuclei_Number_Living	2874.5	2569	12	12	288.464869717	0	screen
PD-SC2-02	Nuclei_Ratio_Living	0.8411085	0.837684	12	12	0.0237093069195	0	screen
PD-SC2-03	IndividualCell_Intensity_MeanIntensity_SNCA	745.8785	644.619	12	12	37.1973109298	0	screen
PD-SC2-03	Cell_Neurites_LengthPerNuclei_MAP2	236.306	245.676	12	12	29.0335494077	0	screen
PD-SC2-03	Cell_Neurites_LengthPerNuclei_TH	164.5095	145.479	12	12	11.8318572345	0	screen
PD-SC2-03	Cell_Intensity_MeanIntensity_TH	314.534	315.429	12	12	8.25012891176	0	screen
PD-SC2-03	Nuclei_Number_Living	2572	2260	12	12	255.021508303	0	screen
PD-SC2-03	Nuclei_Ratio_Living	0.7742095	0.820754	12	12	0.023527888092	0	screen
PD-SC2-04	IndividualCell_Intensity_MeanIntensity_SNCA	728.589	625.593	12	12	17.8623251086	0	screen
PD-SC2-04	Cell_Neurites_LengthPerNuclei_MAP2	255.4805	265.175	12	12	34.7466613044	0	screen
PD-SC2-04	Cell_Neurites_LengthPerNuclei_TH	165.6755	155.569	12	12	13.24468689	0	screen
PD-SC2-04	Cell_Intensity_MeanIntensity_TH	308.848	307.0505	12	12	7.18174324743	0	screen
PD-SC2-04	Nuclei_Number_Living	2696.5	2204.5	12	12	231.308915509	0	screen
PD-SC2-04	Nuclei_Ratio_Living	0.791685	0.82624	12	12	0.0215780101348	0	screen
PD-SC3-01	IndividualCell_Intensity_MeanIntensity_SNCA	755.4815	668.81	12	12	22.2183422927	0	screen
PD-SC3-01	Cell_Neurites_LengthPerNuclei_MAP2	252.1895	272.515	12	12	36.2524626941	0	screen
PD-SC3-01	Cell_Neurites_LengthPerNuclei_TH	168.2725	158.4215	12	12	14.2548895145	0	screen
