assay	sheet	condition	n_entries	vector_sha256	matching_sheet_count
ROS	VPS34 inhibitor 1	GC+ Pyocyanin	75	cf3312096e08f61f0db5cbef8aa9ed06e04d32a3c563fae3d80a1dd2fadea396	20
ROS	WAY-600	SNCA Trpl.	74	b44d5260bd5a96cdef2235cc61ce72a89ca53953ea7f8109079034093676bb5d	20
ROS	WAY-600	SNCA Trpl.+ Pyocyanin	75	2d2b7ac64ee2deb4c5441cb93babe4bbe2fc467e750f30fb30510f42236d21e4	20
ROS	WAY-600	SNCA Trpl. + NAC	75	09e7868f76b174cd6c6404a5aaf34244e159a5ac80d07c2c25dbb75c0010bd1a	20
ROS	WAY-600	GC	75	6707bfc950c15b18ca5e7bf1fae3d34742844b9013f698b17f1cbc604539a96e	20
ROS	WAY-600	GC+ Pyocyanin	75	cf3312096e08f61f0db5cbef8aa9ed06e04d32a3c563fae3d80a1dd2fadea396	20
ROS	STF-62247	SNCA Trpl.	74	b44d5260bd5a96cdef2235cc61ce72a89ca53953ea7f8109079034093676bb5d	20
ROS	STF-62247	SNCA Trpl.+ Pyocyanin	75	2d2b7ac64ee2deb4c5441cb93babe4bbe2fc467e750f30fb30510f42236d21e4	20
ROS	STF-62247	SNCA Trpl. + NAC	75	09e7868f76b174cd6c6404a5aaf34244e159a5ac80d07c2c25dbb75c0010bd1a	20
ROS	STF-62247	GC	75	6707bfc950c15b18ca5e7bf1fae3d34742844b9013f698b17f1cbc604539a96e	20
ROS	STF-62247	GC+ Pyocyanin	75	cf3312096e08f61f0db5cbef8aa9ed06e04d32a3c563fae3d80a1dd2fadea396	20
ROS	Trifluoperazine	SNCA Trpl.	74	b44d5260bd5a96cdef2235cc61ce72a89ca53953ea7f8109079034093676bb5d	20
ROS	Trifluoperazine	SNCA Trpl.+ Pyocyanin	75	2d2b7ac64ee2deb4c5441cb93babe4bbe2fc467e750f30fb30510f42236d21e4	20
ROS	Trifluoperazine	SNCA Trpl. + NAC	75	09e7868f76b174cd6c6404a5aaf34244e159a5ac80d07c2c25dbb75c0010bd1a	20
ROS	Trifluoperazine	GC	75	6707bfc950c15b18ca5e7bf1fae3d34742844b9013f698b17f1cbc604539a96e	20
ROS	Trifluoperazine	GC+ Pyocyanin	75	cf3312096e08f61f0db5cbef8aa9ed06e04d32a3c563fae3d80a1dd2fadea396	20
ROS	Duloxetine	SNCA Trpl.	74	b44d5260bd5a96cdef2235cc61ce72a89ca53953ea7f8109079034093676bb5d	20
ROS	Duloxetine	SNCA Trpl.+ Pyocyanin	75	2d2b7ac64ee2deb4c5441cb93babe4bbe2fc467e750f30fb30510f42236d21e4	20
ROS	Duloxetine	SNCA Trpl. + NAC	75	09e7868f76b174cd6c6404a5aaf34244e159a5ac80d07c2c25dbb75c0010bd1a	20
ROS	Duloxetine	GC	75	6707bfc950c15b18ca5e7bf1fae3d34742844b9013f698b17f1cbc604539a96e	20
ROS	Duloxetine	GC+ Pyocyanin	75	cf3312096e08f61f0db5cbef8aa9ed06e04d32a3c563fae3d80a1dd2fadea396	20
ROS	Simvastatin	SNCA Trpl.	74	b44d5260bd5a96cdef2235cc61ce72a89ca53953ea7f8109079034093676bb5d	20
ROS	Simvastatin	SNCA Trpl.+ Pyocyanin	75	2d2b7ac64ee2deb4c5441cb93babe4bbe2fc467e750f30fb30510f42236d21e4	20
ROS	Simvastatin	SNCA Trpl. + NAC	75	09e7868f76b174cd6c6404a5aaf34244e159a5ac80d07c2c25dbb75c0010bd1a	20
ROS	Simvastatin	GC	75	6707bfc950c15b18ca5e7bf1fae3d34742844b9013f698b17f1cbc604539a96e	20
