assay	sheet	condition	kind	dose_M	include_flagged	n_values	median	mutant_control_median	corrected_control_median	ratio_to_mutant	control_gap_fraction
JC1	Lonafarnib	5μM	treatment	5e-06	True	14	0.8279495	0.9924495	1.170659	0.834248493248	-0.92307088006
JC1	Lonafarnib	GC	control	NA	True	105	1.170659	0.9924495	1.170659	1.17956530786	1
JC1	Lonafarnib	GC+Val	control	NA	True	50	0.146815	0.9924495	1.170659	0.147931960266	-4.745170712
JC1	Lonafarnib	SNCA Trpl.	control	NA	True	114	0.9924495	0.9924495	1.170659	1	0
JC1	PIK-III	0.5μΜ	treatment	5e-07	True	10	1.0334165	0.9924495	1.170659	1.04127867463	0.22988112306
JC1	PIK-III	100nM	treatment	1e-07	True	4	0.9305555	0.9924495	1.170659	0.937635113928	-0.347310328574
JC1	PIK-III	10nM	treatment	1e-08	True	4	1.084915	0.9924495	1.170659	1.09316897233	0.51885842225
JC1	PIK-III	10μM	treatment	1e-05	True	10	0.4989065	0.9924495	1.170659	0.502702152603	-2.76945392922
JC1	PIK-III	1μM	treatment	1e-06	True	24	0.885405	0.9924495	1.170659	0.892141111462	-0.600666631128
JC1	PIK-III	2.5μΜ	treatment	2.5e-06	True	10	0.8005825	0.9924495	1.170659	0.806673286651	-1.07663732854
JC1	PIK-III	5μM	treatment	5e-06	True	10	0.737939	0.9924495	1.170659	0.743553198425	-1.42815338127
JC1	PIK-III	GC	control	NA	True	105	1.170659	0.9924495	1.170659	1.17956530786	1
