assay	sheet	condition	kind	dose_M	include_flagged	n_values	median	mutant_control_median	corrected_control_median	ratio_to_mutant	control_gap_fraction
JC1	WAY-600	1μM	treatment	1e-06	False	24	0.8726885	0.995381	1.15864	0.876738153531	-0.751520589983
JC1	WAY-600	2.5μΜ	treatment	2.5e-06	False	10	0.8490755	0.995381	1.15864	0.853015578959	-0.896155801518
JC1	WAY-600	5μM	treatment	5e-06	False	10	0.791445	0.995381	1.15864	0.795117648418	-1.24915624866
JC1	WAY-600	GC	control	NA	False	107	1.15864	0.995381	1.15864	1.16401659264	1
JC1	WAY-600	GC+Val	control	NA	False	53	0.159404	0.995381	1.15864	0.160143703768	-5.12055690651
JC1	WAY-600	SNCA Trpl.	control	NA	False	117	0.995381	0.995381	1.15864	1	0
ROS	Bimiralisib	0.5μM	treatment	5e-07	False	14	0.9608485	0.9541365	0.733853	1.00703463289	-0.0304698263828
ROS	Bimiralisib	1μM	treatment	1e-06	False	14	0.74448	0.9541365	0.733853	0.780265716698	0.951757621429
ROS	Bimiralisib	2.5μM	treatment	2.5e-06	False	14	0.8672445	0.9541365	0.733853	0.908931269268	0.394455326886
ROS	Bimiralisib	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	Bimiralisib	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	Bimiralisib	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	Chloroquine	0.5μM	treatment	5e-07	False	14	1.2026315	0.9541365	0.733853	1.26043967504	-1.12806905647
ROS	Chloroquine	1μM	treatment	1e-06	False	14	1.2619645	0.9541365	0.733853	1.32262469783	-1.39741741892
ROS	Chloroquine	2.5μM	treatment	2.5e-06	False	14	0.8727665	0.9541365	0.733853	0.91471870115	0.369387630031
ROS	Chloroquine	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	Chloroquine	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	Chloroquine	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	Duloxetine	0.5μM	treatment	5e-07	False	14	1.158042	0.9541365	0.733853	1.21370684383	-0.925650355111
ROS	Duloxetine	1μM	treatment	1e-06	False	14	0.931661	0.9541365	0.733853	0.976444146094	0.102029884217
ROS	Duloxetine	2.5μM	treatment	2.5e-06	False	14	1.2382385	0.9541365	0.733853	1.2977582348	-1.28971075909
ROS	Duloxetine	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	Duloxetine	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	Duloxetine	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	Entinostat	0.5μM	treatment	5e-07	False	14	1.0416635	0.9541365	0.733853	1.09173425396	-0.397337975836
