Contrast	Pathway	NGenes	Correlation	Direction	PValue	FDR
MS275	Signaling by GPCR	402	0.0145023728628934	Up	0.000986242405724927	0.0242708092033869
MS275	Positive epigenetic regulation of rRNA expression	43	0.000280812878660817	Down	0.00107928111144751	0.0261518115466128
MS275	DNA Double Strand Break Response	79	0.0167219727971995	Down	0.00111346321591809	0.026255368892516
MS275	ER to Golgi Anterograde Transport	138	0.0015383642131336	Down	0.00112138611743374	0.026255368892516
MS275	DNA Double-Strand Break Repair	166	0.0213206868083645	Down	0.00114321359502825	0.026255368892516
MS275	Interactions of Rev with host cellular proteins	36	0.0543339595073054	Down	0.00115023520862451	0.026255368892516
MS275	Interactions of Vpr with host cellular proteins	36	0.0337847082650026	Down	0.00124178415872505	0.0276674247664498
MS275	Rev-mediated nuclear export of HIV RNA	34	0.0577517751590881	Down	0.00124722994185266	0.0276674247664498
MS275	Cardiac conduction	108	0.0117666184954837	Up	0.00128253665335471	0.0277370144851913
MS275	SUMOylation	161	0.0166419303869485	Down	0.00128558860788506	0.0277370144851913
MS275	Interleukin-4 and Interleukin-13 signaling	70	-0.000933769847455425	Up	0.00137058884694777	0.0289755183260258
MS275	Processing of SMDT1	15	-0.00942862217637908	Down	0.00142589844717238	0.0289755183260258
MS275	Recruitment of NuMA to mitotic centrosomes	86	-0.00199404285773149	Down	0.00143291624353873	0.0289755183260258
MS275	GPCR ligand binding	196	0.0266916752045573	Up	0.00143983456643135	0.0289755183260258
MS275	Transport of Mature mRNA Derived from an Intronless Transcript	41	0.0482435122851553	Down	0.00147795299204417	0.0289755183260258
MS275	Peptide ligand-binding receptors	72	0.0353475459899608	Up	0.00148291982868004	0.0289755183260258
MS275	SUMOylation of DNA replication proteins	45	0.0422519547594855	Down	0.00148443907050721	0.0289755183260258
MS275	Postmitotic nuclear pore complex (NPC) reformation	27	0.0521274649116046	Down	0.00150982530907108	0.0289755183260258
MS275	Muscle contraction	168	0.0130093068721067	Up	0.00153883895678786	0.0289755183260258
MS275	DNA Damage Recognition in GG-NER	37	0.00461158865056541	Down	0.00154239817965795	0.0289755183260258
MS275	Cellular response to heat stress	93	0.0122761274439511	Down	0.00157254012763089	0.0289755183260258
MS275	RNA Polymerase I Transcription Initiation	43	-0.0105487164850255	Down	0.00159257728255636	0.0289755183260258
MS275	CS-GAG biosynthesis	18	-0.00156753924526501	Up	0.00160698592308042	0.0289755183260258
MS275	Assembly of the pre-replicative complex	72	0.0484405727103458	Down	0.00161017535175659	0.0289755183260258
MS275	Effects of PIP2 hydrolysis	24	0.0208836032756142	Up	0.00164811631417157	0.0289755183260258
MS275	SUMO E3 ligases SUMOylate target proteins	155	0.0156650434787444	Down	0.00167663677779289	0.0289755183260258
MS275	Transport of Mature Transcript to Cytoplasm	78	0.0487966359418479	Down	0.00167721815849944	0.0289755183260258
MS275	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	30	-0.0155849263319595	Up	0.00169166784783272	0.0289755183260258
MS275	Hemostasis	463	0.00689324147883918	Up	0.00169253821332976	0.0289755183260258
MS275	RHO GTPases Activate Formins	131	0.0160759457076661	Down	0.00173211862655393	0.0293342670626069
MS275	SUMOylation of DNA damage response and repair proteins	73	0.0264771242729307	Down	0.00175564538880768	0.0294163988018308
MS275	Interleukin-1 signaling	91	0.00432858518732848	Down	0.0017767406686694	0.0294564900332032
MS275	Cilium Assembly	204	0.0105052411352363	Down	0.00187320655843156	0.0297612931440613
MS275	Kidney development	28	0.0365983241425673	Up	0.00188450976518772	0.0297612931440613
MS275	Infection with Enterobacteria	31	0.00499281554573699	Up	0.00188882460034019	0.0297612931440613
MS275	SUMOylation of chromatin organization proteins	56	0.0215208749784672	Down	0.00188946636492584	0.0297612931440613
MS275	Transport of Mature mRNAs Derived from Intronless Transcripts	42	0.0483501976925064	Down	0.00189947464537742	0.0297612931440613
MS275	Transport of Mature mRNA derived from an Intron-Containing Transcript	69	0.0607585074403008	Down	0.00193511502818972	0.0297612931440613
MS275	Basigin interactions	20	0.00116526808061955	Up	0.00195990633143913	0.0297612931440613
MS275	Integrin cell surface interactions	63	0.0392758505895913	Up	0.00198533750566379	0.0297612931440613
MS275	Separation of Sister Chromatids	170	0.0347280075217532	Down	0.00198548388543092	0.0297612931440613
MS275	Ion homeostasis	48	0.0103639726314546	Up	0.00200426764769282	0.0297612931440613
MS275	RNA polymerase II transcribes snRNA genes	73	0.0155188431047585	Down	0.00202485628119454	0.0297612931440613
MS275	Transcription of the HIV genome	68	0.0170835381256491	Down	0.0020360328016233	0.0297612931440613
MS275	Epigenetic regulation of gene expression	241	0.0133002791926576	Down	0.00204077438702134	0.0297612931440613
MS275	Diseases associated with O-glycosylation of proteins	52	0.010178746668484	Up	0.00208358709633694	0.0301068777681714
MS275	Transcriptional regulation by RUNX1	147	0.00155730839227096	Down	0.00213121959947153	0.030515189719706
MS275	DNA Damage/Telomere Stress Induced Senescence	28	0.0113598682774476	Down	0.00216554967157504	0.0307273939885648
MS275	Mitotic Prophase	81	0.0368187380231079	Down	0.00220746078861792	0.0310424173399394
MS275	Transport of Ribonucleoproteins into the Host Nucleus	31	0.0856511845956521	Down	0.00225732870587253	0.0312213653268185
MS275	SUMOylation of ubiquitinylation proteins	38	0.0476848449021057	Down	0.00225983215698877	0.0312213653268185
MS275	SUMOylation of SUMOylation proteins	34	0.0566513912343209	Down	0.00231234752776039	0.031669107445414
MS275	Disorders of transmembrane transporters	127	0.00700696288716752	Down	0.0024073950271632	0.0326734627740549
MS275	RNA Polymerase I Transcription	48	-0.0079770779781786	Down	0.00243482260480995	0.0326734627740549
MS275	Association of TriC/CCT with target proteins during biosynthesis	35	-0.00225837347631082	Down	0.00244791657608792	0.0326734627740549
MS275	Cellular Senescence	123	0.00421467359120364	Down	0.00252309255286572	0.0333938720232228
MS275	Intra-Golgi and retrograde Golgi-to-ER traffic	192	0.00362996497772533	Down	0.00255616030247111	0.0334076434825012
MS275	Interleukin-1 family signaling	110	-0.000239704118519637	Down	0.00256655546754454	0.0334076434825012
MS275	Potassium Channels	80	0.0179522188102027	Up	0.00266024884146336	0.0343433764369246
MS275	RMTs methylate histone arginines	30	0.00233124318032411	Down	0.00275065126095983	0.0351561899803428
MS275	NS1 Mediated Effects on Host Pathways	40	0.0765174953997517	Down	0.00279808591646885	0.0351561899803428
MS275	DNA Replication	123	0.0554182281276752	Down	0.00282802088692655	0.0351561899803428
MS275	Vpr-mediated nuclear import of PICs	33	0.0674387628998437	Down	0.00283642802293514	0.0351561899803428
MS275	RNA Polymerase III Transcription Initiation	36	0.00896717453824312	Down	0.00283781957419438	0.0351561899803428
MS275	Chondroitin sulfate/dermatan sulfate metabolism	33	0.0171047135110592	Up	0.00285713797935484	0.0351561899803428
MS275	Regulation of HSF1-mediated heat shock response	74	0.0301275591075569	Down	0.00288660803048304	0.0352434701396185
MS275	Global Genome Nucleotide Excision Repair (GG-NER)	82	0.0228869746012455	Down	0.00292858277455027	0.0352835966383119
MS275	Organelle biogenesis and maintenance	278	0.00898012045984693	Down	0.00293469914896435	0.0352835966383119
MS275	mRNA decay by 3' to 5' exoribonuclease	13	-0.0272211430610802	Down	0.00296947615122487	0.0353486730996725
MS275	Transport of the SLBP independent Mature mRNA	34	0.0845269743112294	Down	0.00300138286275472	0.0353486730996725
MS275	Regulation of TP53 Activity through Methylation	18	-0.0188570669813784	Down	0.00301634986693756	0.0353486730996725
MS275	Nuclear import of Rev protein	33	0.0732144361490403	Down	0.00302988626568621	0.0353486730996725
MS275	AURKA Activation by TPX2	69	0.00939312566718605	Down	0.0030529469192122	0.0353558191011707
MS275	DNA Replication Pre-Initiation	88	0.0532785804793684	Down	0.0030849534472474	0.0354657056891581
MS275	S Phase	149	0.0461442518777642	Down	0.00326335912927542	0.0367848212315194
MS275	Binding and Uptake of Ligands by Scavenger Receptors	31	-0.00772041065268694	Up	0.00327974838079823	0.0367848212315194
MS275	Centrosome maturation	77	0.00715327092615287	Down	0.00329311732929793	0.0367848212315194
MS275	Recruitment of mitotic centrosome proteins and complexes	77	0.00715327092615287	Down	0.00329311732929793	0.0367848212315194
MS275	Formation of HIV elongation complex in the absence of HIV Tat	43	0.0103610711252518	Down	0.00352627169275823	0.0386940326213248
MS275	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	74	0.0267921369085222	Down	0.00355598891787109	0.0386940326213248
MS275	Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA	17	-0.0172295499676023	Down	0.00359643033727937	0.0386940326213248
MS275	mRNA Splicing - Minor Pathway	50	0.0212045134587255	Down	0.00362693271395435	0.0386940326213248
MS275	Golgi-to-ER retrograde transport	125	0.00191497990363249	Down	0.00366810816056326	0.0386940326213248
MS275	Activation of NF-kappaB in B cells	53	0.0503826528071232	Down	0.00371831021236209	0.0386940326213248
MS275	mRNA 3'-end processing	148	0.0353492427900144	Down	0.00372169142171151	0.0386940326213248
MS275	Transport of the SLBP Dependant Mature mRNA	35	0.0829518048453346	Down	0.00372680398334417	0.0386940326213248
MS275	IP3 and IP4 transport between cytosol and nucleus	29	0.0901482127910484	Down	0.00373954265169849	0.0386940326213248
MS275	IP6 and IP7 transport between cytosol and nucleus	29	0.0901482127910484	Down	0.00373954265169849	0.0386940326213248
MS275	IPs transport between nucleus and cytosol	29	0.0901482127910484	Down	0.00373954265169849	0.0386940326213248
MS275	GABA receptor activation	45	0.00828828244879712	Up	0.00375884888321441	0.0386940326213248
MS275	mRNA Polyadenylation	125	0.0332608629738524	Down	0.00385529143500778	0.0390728954591987
MS275	Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	30	0.076431550676213	Down	0.00387007726453016	0.0390728954591987
MS275	Regulation of Glucokinase by Glucokinase Regulatory Protein	30	0.076431550676213	Down	0.00387007726453016	0.0390728954591987
MS275	Regulation of TP53 Activity	154	0.0183011324937521	Down	0.00389880274768971	0.0391121931694986
MS275	Cell Cycle Checkpoints	249	0.0507487280673991	Down	0.00392551492790736	0.0391309241231272
MS275	G2/M Checkpoints	118	0.0538114096544335	Down	0.00399957588792159	0.0395116169895895
MS275	Chemokine receptors bind chemokines	10	0.0143832322334481	Up	0.00406096365189884	0.0395116169895895
MS275	Loss of Nlp from mitotic centrosomes	66	0.00851095396985057	Down	0.00412435715224715	0.0395116169895895
MS275	Loss of proteins required for interphase microtubule organization from the centrosome	66	0.00851095396985057	Down	0.00412435715224715	0.0395116169895895
MS275	Stimuli-sensing channels	75	-0.00282345103810204	Up	0.00415135605602136	0.0395116169895895
MS275	Export of Viral Ribonucleoproteins from Nucleus	31	0.093948565639588	Down	0.00416282888681369	0.0395116169895895
MS275	NEP/NS2 Interacts with the Cellular Export Machinery	31	0.093948565639588	Down	0.00416282888681369	0.0395116169895895
MS275	Glycolysis	65	0.0151661805991074	Down	0.00422187156301361	0.0395116169895895
MS275	Cargo trafficking to the periciliary membrane	64	-0.00624748759691905	Down	0.00423727789038315	0.0395116169895895
MS275	KEAP1-NFE2L2 pathway	104	0.0113295405874896	Down	0.00424173261631049	0.0395116169895895
MS275	Phase 4 - resting membrane potential	13	0.0912892514753466	Up	0.00426320382763993	0.0395116169895895
MS275	Platelet homeostasis	72	-0.000841512795916474	Up	0.00426474596078108	0.0395116169895895
MS275	Circadian clock	104	-0.000450592249644073	Down	0.00429036693880393	0.0395165375942468
MS275	ISG15 antiviral mechanism	70	0.0202689526678264	Down	0.00431828141174619	0.0395424024622108
MS275	Removal of the Flap Intermediate from the C-strand	17	-0.00291227122147711	Down	0.00435356418139784	0.0396350496283329
MS275	Regulation of RAS by GAPs	54	0.0229890237636463	Down	0.00444556741127079	0.0400317296937379
MS275	DNA strand elongation	32	0.062507840418425	Down	0.00444796996597088	0.0400317296937379
MS275	Regulation of PLK1 Activity at G2/M Transition	83	0.0192171474623795	Down	0.00452070847322341	0.0404552036666299
MS275	Amine ligand-binding receptors	12	0.0206670092910826	Up	0.00459742118067658	0.0408739920500504
MS275	KSRP (KHSRP) binds and destabilizes mRNA	17	-0.0376753963094117	Down	0.0046404863707422	0.0408739920500504
MS275	Molecules associated with elastic fibres	32	0.0188825062709031	Up	0.00464536163616446	0.0408739920500504
MS275	Macroautophagy	133	0.00788878025195323	Down	0.00479461734161364	0.0419529017391194
MS275	Initiation of Nuclear Envelope (NE) Reformation	19	-0.00836153951881022	Down	0.00496106196862468	0.0431317765675111
MS275	Switching of origins to a post-replicative state	78	0.0654281289690583	Down	0.00499347618348178	0.0431317765675111
MS275	Platelet Adhesion to exposed collagen	11	-0.0241512445608246	Up	0.00501150165832033	0.0431317765675111
MS275	Regulation of endogenous retroelements by KRAB-ZFP proteins	46	0.0256252107897642	Down	0.00520817365205511	0.0433534876486459
MS275	Nucleotide biosynthesis	12	-0.0196651770368234	Down	0.00527427907664964	0.0433534876486459
MS275	RNA Polymerase III Abortive And Retractive Initiation	41	0.0029135964411611	Down	0.00527794235284481	0.0433534876486459
MS275	RNA Polymerase III Transcription	41	0.0029135964411611	Down	0.00527794235284481	0.0433534876486459
MS275	ZBP1(DAI) mediated induction of type I IFNs	17	-0.0021534592078853	Down	0.00530924702734893	0.0433534876486459
MS275	APC truncation mutants have impaired AXIN binding	14	-0.011384928962371	Down	0.00534004863735702	0.0433534876486459
MS275	AXIN missense mutants destabilize the destruction complex	14	-0.011384928962371	Down	0.00534004863735702	0.0433534876486459
MS275	Signaling by AMER1 mutants	14	-0.011384928962371	Down	0.00534004863735702	0.0433534876486459
MS275	Signaling by APC mutants	14	-0.011384928962371	Down	0.00534004863735702	0.0433534876486459
MS275	Signaling by AXIN mutants	14	-0.011384928962371	Down	0.00534004863735702	0.0433534876486459
MS275	Truncations of AMER1 destabilize the destruction complex	14	-0.011384928962371	Down	0.00534004863735702	0.0433534876486459
MS275	Processive synthesis on the C-strand of the telomere	19	0.011461091676815	Down	0.00542789596400097	0.0437492731102522
MS275	Synthesis of PIPs at the Golgi membrane	16	-0.00517807214695003	Down	0.0054443539870536	0.0437492731102522
MS275	Synthesis of DNA	107	0.0644254355303973	Down	0.00548916322405052	0.0438854420196932
MS275	rRNA modification in the nucleus and cytosol	59	0.0389977997852112	Down	0.00562277207325557	0.0447265960372602
MS275	mRNA decay by 5' to 3' exoribonuclease	15	-0.0214284705240649	Down	0.00577804400907696	0.0454378551930301
MS275	Diseases of programmed cell death	38	-0.00338870644794025	Down	0.00582032792727364	0.0454378551930301
MS275	CLEC7A (Dectin-1) signaling	78	0.013821191270348	Down	0.00583933410524284	0.0454378551930301
MS275	Specification of the neural plate border	12	-0.00128445698603839	Up	0.00587811971636258	0.0454378551930301
MS275	Signaling by Hedgehog	129	0.00483446937286064	Down	0.0058929955980673	0.0454378551930301
MS275	Protein ubiquitination	63	0.0228048054484327	Down	0.00590569814962048	0.0454378551930301
MS275	G alpha (z) signalling events	42	0.0190805656860501	Up	0.00591413353306106	0.0454378551930301
MS275	Developmental Cell Lineages	25	0.0236268779769418	Up	0.00617106449863839	0.047076528313294
MS275	Anti-inflammatory response favouring Leishmania parasite infection	65	0.00776190556792054	Up	0.00621709072327947	0.047076528313294
MS275	Leishmania parasite growth and survival	65	0.00776190556792054	Up	0.00621709072327947	0.047076528313294
MS275	Cytosolic sensors of pathogen-associated DNA	56	-0.00154330088689503	Down	0.00631569809855524	0.0475943756230837
MS275	HS-GAG biosynthesis	30	0.00316924055612772	Up	0.00651551737300836	0.0488663802975627
MS275	Hedgehog 'on' state	69	0.0157972664308635	Down	0.0066240247887291	0.0494447347973855
MS275	Branched-chain amino acid catabolism	22	-0.0172517070400973	Down	0.0067662272323876	0.0502259341508031
MS275	C-type lectin receptors (CLRs)	101	0.00841827930277574	Down	0.00679245966610861	0.0502259341508031
MS275	Orc1 removal from chromatin	57	0.0803310707842605	Down	0.00704144647765846	0.0518237299173462
MS275	Gap-filling DNA repair synthesis and ligation in TC-NER	60	0.0319857792183475	Down	0.00720039174375102	0.0525246873650792
MS275	Formation of TC-NER Pre-Incision Complex	49	0.0260658177223447	Down	0.00722119676436437	0.0525246873650792
MS275	MTOR signalling	50	0.00334289518195449	Down	0.0072422916632791	0.0525246873650792
MS275	Mitotic G1 phase and G1/S transition	136	0.0384791819334697	Down	0.00727573323743344	0.0525246873650792
MS275	CHD1 and CHD2 subfamily	42	0.0202266448224607	Down	0.00730343271933482	0.0525246873650792
MS275	UCH proteinases	70	0.0250756275153477	Down	0.0073997018295142	0.0529751380976584
MS275	Activation of GABAB receptors	37	0.012332201453723	Up	0.00752721177327923	0.0534025159590756
MS275	GABA B receptor activation	37	0.012332201453723	Up	0.00752721177327923	0.0534025159590756
MS275	Activation of ATR in response to replication stress	36	0.105450395889386	Down	0.00772819713741998	0.0539802049157148
