probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	mean_expression	contrast
ILMN_1736007	-0.00950400569085742	5.81949246035725	-0.0354979934498139	0.972460194190412	1	-6.01517670980297	A1BG	5.81949246035725	exposure_corrected
ILMN_3234888	0.255336896785431	1.35908773995785	0.225700703370688	0.826493670319631	1	-5.98925717938379	A1BG-AS1	1.35908773995785	exposure_corrected
ILMN_1779670	0.872700765653482	3.43031326484986	0.679951676829439	0.51370202397893	0.962870360878637	-5.78026487391529	A1CF	3.43031326484986	exposure_corrected
ILMN_1745607	0.953920367150636	0.407499111775755	1.36241527760258	0.206297265062542	0.924085880974847	-5.13807296246436	A2M	0.407499111775755	exposure_corrected
ILMN_2136495	0.41076964729073	0.102692411822682	1.43846183563023	0.184270412880675	0.918143498815468	-5.04776958853167	A2ML1	0.102692411822682	exposure_corrected
ILMN_2295559	0.917215944067273	0.849202481449965	0.777677571349414	0.456782959114831	0.948008199680568	-5.71014578317424	A3GALT2	0.849202481449965	exposure_corrected
ILMN_1735045	-0.286780369428238	7.27690529929373	-1.11176229019977	0.2951539177003	0.9309934599977	-5.41222568968678	A4GALT	7.27690529929373	exposure_corrected
ILMN_1680754	-2.02786052280934	3.98309748807372	-1.34123961235579	0.21281758426481	0.925389198154984	-5.1626700751863	A4GNT	3.98309748807372	exposure_corrected
ILMN_1755321	-0.444439758136853	6.20680844218298	-0.95619554632024	0.364036785780631	0.937975203828681	-5.56152986596718	AAAS	6.20680844218298	exposure_corrected
ILMN_1698554	-0.115657039738591	7.89066177963371	-0.534736660834083	0.605833416218313	0.979952845062654	-5.86866611249266	AACS	7.89066177963371	exposure_corrected
ILMN_1760414	-2.08706001912648	3.41011544216145	-2.3135254060694	0.0460672418005719	0.88686824945933	-3.85379567963918	AADAC	3.41011544216145	exposure_corrected
ILMN_1752884	-1.77747997620265	2.45251044895666	-1.18325675353824	0.267123197546982	0.929474500707005	-5.33799501895532	AADACL2	2.45251044895666	exposure_corrected
ILMN_1660703	-0.692326088890973	1.1620751576807	-0.621221877486279	0.549915074608173	0.972036612839219	-5.81834568375293	AADACL3	1.1620751576807	exposure_corrected
ILMN_1668851	-0.797007146036352	3.0410180544255	-1.33108041272516	0.216007254781828	0.925389198154984	-5.17438290187344	AADACL4	3.04101805442551	exposure_corrected
ILMN_3281480	-0.650597131589402	4.58984774157092	-2.23407657507243	0.0524482520547123	0.917646610219568	-3.96982252733124	AADACP1	4.58984774157092	exposure_corrected
ILMN_1726986	-0.25188081206112	7.82018093876908	-1.03613448779761	0.327268374855399	0.933616999119228	-5.48697814619118	AADAT	7.82018093876908	exposure_corrected
ILMN_1717229	0.245973770619378	7.16909910518603	0.76657095419063	0.463036520919985	0.949196903202453	-5.71852955857265	AAED1	7.16909910518603	exposure_corrected
ILMN_3237396	-0.261235174237357	9.43285979895954	-0.887421755902399	0.398025618322953	0.939933576949712	-5.62180113616774	AAGAB	9.43285979895954	exposure_corrected
ILMN_1880387	0.488017176243762	4.87258973489281	0.414129694590045	0.688508127053921	0.99315821051102	-5.92698035206296	AAK1	4.87258973489281	exposure_corrected
ILMN_1779163	-0.0326448511607234	9.14591854565757	-0.11380503956555	0.911899295714404	1	-6.0090633554646	AAMDC	9.14591854565757	exposure_corrected
ILMN_1653165	-0.0541185376851182	8.81520940470116	-0.240068228565062	0.815674703335938	1	-5.98577739529442	AAMP	8.81520940470116	exposure_corrected
ILMN_1729835	1.09888628400581	0.406872470706706	1.1806662662799	0.268100144238621	0.929474500707005	-5.34074282876309	AANAT	0.406872470706706	exposure_corrected
ILMN_1721225	0.0661834571713346	8.20820542427954	0.258536349064241	0.801828659296777	1	-5.98099358621663	AAR2	8.20820542427954	exposure_corrected
ILMN_2159290	1.36861969127264	1.47025453430551	0.950662585520455	0.366690377902216	0.938171726953038	-5.56651365743578	AARD	1.47025453430551	exposure_corrected
