probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	accession
121_at	1.23411285889917	8.39770318992049	1.97809732560136	0.0575152443486963	0.40767221019478	-4.01053664856298	PAX8	GSE20141
1487_at	-0.326593764600183	8.62531733598049	-0.523640779993698	0.604518479133912	0.841013016521188	-5.55415897377243	ESRRA	GSE20141
1552257_a_at	-0.313228428439926	9.25838893339593	-0.534460637466672	0.597108298961752	0.837742837061069	-5.54897035078111	TTLL12	GSE20141
1552266_at	1.37201495854072	8.46483134047076	2.04350111307487	0.0502075629037358	0.398505801067237	-3.90648964048641	ADAM32	GSE20141
1552271_at	1.67971079306824	6.35705656471712	2.27964470691024	0.0301903150081394	0.359986690912271	-3.5113241422836	PRR22	GSE20141
1552275_s_at	-0.334665004644257	9.13962121432139	-0.503772040416526	0.618237873553904	0.847601427808083	-5.56341624416279	PXK	GSE20141
1552280_at	2.62942502724327	7.36085409325691	2.80057082576176	0.00899814423239903	0.309493159242798	-2.54638246690661	TIMD4	GSE20141
1552281_at	1.25404861700347	7.33436271069449	1.56685850624001	0.128026177139573	0.498832770512847	-4.60477362198583	SLC39A5	GSE20141
1552286_at	0.257044882025678	7.52288261767789	0.372543063959164	0.71220500286918	0.890758408328972	-5.61570198627497	ATP6V1E2	GSE20141
1552288_at	1.61408135954364	6.43666838702579	1.90479790543263	0.0667955117783887	0.41664598126575	-4.12418697038374	CILP2	GSE20141
1552291_at	-0.370691302752942	9.02856410278454	-0.593599345050298	0.557394957023867	0.815569188434431	-5.51878059730442	PIGX	GSE20141
1552296_at	-0.348560337011634	6.67397063452798	-0.429851514080463	0.670489784122377	0.872729567880016	-5.59476695471282	BEST4	GSE20141
1552299_at	-1.08878961717707	9.01722676122666	-1.38379235319728	0.177010505359096	0.546529053129814	-4.83287898261818	AK9	GSE20141
1552301_a_at	0.044652795761883	8.16940498566611	0.0644798231784055	0.949031834086885	0.982234873934886	-5.67720800996369	CORO6	GSE20141
1552302_at	2.71869907433541	8.1078245311379	3.00597637649498	0.00542690068493659	0.279059569952069	-2.13705520514341	TMEM106A	GSE20141
1552306_at	-0.29958366560012	8.32257805679943	-0.474220809618164	0.638903648603775	0.857955966022539	-5.57653486991738	ALG10	GSE20141
1552309_a_at	0.750860010902038	8.58889745617469	0.9619154025483	0.344066724398402	0.680903750776058	-5.26263177574211	NEXN	GSE20141
1552310_at	-0.648848936004666	7.33465644167225	-0.974598158425375	0.337841969690976	0.676490038155903	-5.25177408764101	C15ORF40	GSE20141
1552311_a_at	1.49062882775622	7.95961467684605	1.8774725478152	0.0705734654250359	0.418681714576292	-4.16573433710702	RAX2	GSE20141
1552316_a_at	-0.127679828019159	7.7112165031628	-0.170884377618998	0.865504711957981	0.952096268983248	-5.6657426128097	GIMAP1	GSE20141
1552325_at	1.73167509640404	8.03148037083773	2.46877574769846	0.0197104944042489	0.337297595125295	-3.17460849814086	CFAP53	GSE20141
1552335_at	1.37801379770354	5.58082869008919	1.62183161455052	0.115692997254244	0.479317863173679	-4.5316957597967	CATSPER1	GSE20141
1552338_at	0.824409864399936	4.95960486685293	1.11590962414373	0.273647796139758	0.629749477193439	-5.12195409199958	GSC	GSE20141
1552340_at	1.16156627407558	6.04766168384783	1.39342408552908	0.17410959920529	0.544444889835005	-4.82147784858241	SP7	GSE20141
1552348_at	0.689772932403468	6.95802898899561	1.0308677981555	0.311147753890331	0.6588193601332	-5.20201443205789	PRSS33	GSE20141
1552362_a_at	0.278330017728179	6.3339130804481	0.345191123671631	0.73244891079032	0.899666017302295	-5.62465079498214	LEAP2	GSE20141
1552368_at	0.33143361042026	6.02493254748065	0.368917986112819	0.714876161657252	0.891584719807449	-5.61692682221703	CTCFL	GSE20141
1552370_at	-2.06091175441515	7.31082083146177	-2.77428014236834	0.00958969143339567	0.310848597529207	-2.59772807295727	C4ORF33	GSE20141
1552377_s_at	0.881281290786344	7.25806692109268	1.07474220515862	0.291375831835801	0.644054987743141	-5.16143418297583	TVP23C	GSE20141
1552386_at	1.76746502437792	6.46721501674613	1.84049678758617	0.0759782928190628	0.428001341828868	-4.22123071457929	GAPT	GSE20141
1552390_a_at	0.913918517496828	7.24542529555478	1.29073217948091	0.207020611464896	0.573426570145742	-4.93949606599385	ERICH5	GSE20141
1552391_at	0.565753166947463	7.80600141215968	0.880750783719086	0.385714064073097	0.709884171079519	-5.32896557722022	CCDC185	GSE20141
1552394_a_at	0.000677825170493442	6.34946346357766	0.000677663833024631	0.999463955695852	0.999751750663178	-5.6791122970857	ENTHD1	GSE20141
1552395_at	0.333794001101292	5.78660095394775	0.415661503389866	0.68072597718472	0.87663710487866	-5.6002256269644	TSSK3	GSE20141
1552396_at	1.48399962827174	6.48675716151322	2.05544408406622	0.0489652940576607	0.396576977414666	-3.88722788393613	WFDC6	GSE20141
1552400_a_at	0.905050361669408	8.08386992866872	1.27107956928766	0.213829727028104	0.579655184226538	-4.96118097668073	TMEM266	GSE20141
1552402_at	0.623887339612506	6.64920883040349	0.81557950937804	0.421407517668216	0.733845508460075	-5.37823890257441	CALML6	GSE20141
1552405_at	2.1522513833731	6.42858205841158	3.09703223402731	0.00431831917445922	0.264592546501605	-1.95133387470231	NLRP5	GSE20141
1552409_a_at	1.77411911088028	7.01777270132237	3.20624663702702	0.0032725760919462	0.264592546501605	-1.72548294797928	ODF4	GSE20141
1552410_at	0.842053940685323	7.03681904621786	1.10231305309789	0.279415158885974	0.634620672758312	-5.13514277751439	CLEC4F	GSE20141
1552415_a_at	1.58320615475119	7.14595775572358	2.20331734556113	0.0356918046827244	0.369204475589039	-3.6422659983805	WFDC9	GSE20141
1552419_s_at	1.18316255477712	6.57204500477785	1.43322099361798	0.162518134998898	0.536394863341968	-4.77365259542401	TTLL10	GSE20141
1552421_a_at	0.383410893645456	7.02201475844713	0.433717732897313	0.66771184551967	0.87142269045428	-5.59324836662848	CALR3	GSE20141
1552422_at	-0.25313852656448	5.94999324323057	-0.287880167196249	0.775491568598022	0.917137673566733	-5.64120734946753	C10ORF25	GSE20141
1552425_a_at	0.406513922780972	7.34627921768029	0.559421376095931	0.580181428361982	0.828893105171621	-5.53660490236703	KLHL10	GSE20141
1552427_at	0.742216129456866	6.93383900605828	1.13279388051226	0.26660573760092	0.624048356657814	-5.10537226092385	ZNF485	GSE20141
1552430_at	-1.09656462108355	9.1625997322037	-1.60320196729261	0.119757751356758	0.485058455407873	-4.55669164597943	WDR17	GSE20141
1552432_at	2.19673630757113	7.67387083760759	3.55046243543878	0.00133840740136261	0.232470212221674	-0.994918613231355	MFSD6L	GSE20141
1552440_at	1.48780895492262	7.22024566154908	1.84067518360195	0.0759513856113344	0.428001341828868	-4.22096498075666	GPR182	GSE20141
1552445_a_at	0.405612113752348	5.15378798829842	0.422439800275986	0.675828468354202	0.874597881254722	-5.59764066794459	ESX1	GSE20141
1552448_a_at	0.699650976284147	5.17006485381828	0.783928651567461	0.43945600110475	0.744560350432962	-5.40087164964558	FAM167A-AS1	GSE20141
1552450_a_at	1.27355862925206	6.55468204763929	1.62103475226684	0.115864496545929	0.479545144184978	-4.53276974182969	DNAJC5G	GSE20141
1552453_a_at	0.253641530487915	6.10031700438344	0.350179539778149	0.728741696239637	0.897917953966289	-5.62306908378714	WDR88	GSE20141
1552456_a_at	0.70348303098789	5.29197054786233	0.730996100319249	0.470663250056685	0.764439135944159	-5.43680962167633	MBD3L2	GSE20141
1552459_a_at	1.46830868791363	7.57044153462191	2.07898411194682	0.0465959950594464	0.391338682203003	-3.84902884044165	MBD3L1	GSE20141
1552461_at	0.477469971869359	5.99689546877212	0.532962829741719	0.598131504035509	0.837940420786324	-5.54969481074471	FAM46D	GSE20141
1552463_at	2.32512546388187	7.28840783392708	2.65970314281142	0.0126188286031981	0.316527366128311	-2.81848460832267	SERPINB11	GSE20141
1552466_x_at	0.940622515058104	8.24802216196785	1.33461901023088	0.192414547582458	0.5590294207822	-4.89001988848377	LINC00161	GSE20141
1552467_at	1.07974790003277	6.68664781707945	1.45355065598806	0.156837778443647	0.530432689860869	-4.74877935520744	DSCR10	GSE20141
1552474_a_at	0.302150434137235	7.41531328157055	0.470596385957008	0.641459179801261	0.859320666857923	-5.57809023497522	GAMT	GSE20141
1552478_a_at	1.46144540365043	8.13598937008988	2.22041630685267	0.0343864378654038	0.367546935604416	-3.6131909260586	IRF6	GSE20141
1552486_s_at	-0.142556534501425	8.25776545117784	-0.196054997646635	0.845938302352861	0.943790388392072	-5.66151699648934	LACTB	GSE20141
1552490_at	0.565124631786656	8.43127658501253	0.947368465757753	0.351300738695725	0.686539917048179	-5.27492231222062	LACE1	GSE20141
1552491_at	-1.36035338578597	6.38387383077321	-2.11452904952847	0.0432107107598206	0.384556354591933	-3.79076899215768	IDI2	GSE20141
1552497_a_at	0.324849674880781	7.12011276070269	0.434972951069232	0.66681097874223	0.871315013403009	-5.59275245541821	SLAMF6	GSE20141
1552499_a_at	0.518145944104798	7.10270864123944	0.787612507594754	0.437331590738025	0.743749635169813	-5.39828128119527	ZSCAN20	GSE20141
1552501_a_at	-1.10591301812578	6.74604334786274	-1.45179798303867	0.157321174840675	0.531191519067584	-4.75093545009381	GPBAR1	GSE20141
1552502_s_at	1.0205115926695	8.54152249360711	1.69954151408288	0.0999509386427476	0.45957428849245	-4.42492084639881	RHBDL2	GSE20141
1552504_a_at	0.481865706707827	8.63206741730013	0.863683249176956	0.394869008484006	0.71635953902273	-5.342215381362	BRSK1	GSE20141
1552506_at	0.959807352424104	5.7232893211367	1.10876846039707	0.276666157450103	0.632423083915498	-5.12889934579778	CRB2	GSE20141
1552510_at	1.26239075488317	6.96107612288532	1.65263714331996	0.109222459471054	0.471329963303348	-4.48984964230999	SLC34A3	GSE20141
1552511_a_at	0.97104094882207	6.11832923055265	1.03654156339492	0.308539611213465	0.656766097887141	-5.19685412444253	CPA6	GSE20141
1552514_at	0.824341280117849	6.02065867276123	1.03533587107528	0.309092572540905	0.657456525101549	-5.19795288625393	WBP2NL	GSE20141
1552520_at	1.18308410898849	7.96387712551798	1.74565815317516	0.0914882150967278	0.448791186015293	-4.35967657444488	TMEM74	GSE20141
1552523_a_at	0.832093372783363	7.8036502471602	1.2484485274353	0.221879906584685	0.586214082005906	-4.98578857291564	TIGD4	GSE20141
1552524_at	0.064499952530497	6.72542387776843	0.0839566356244794	0.933669405685518	0.977377294483133	-5.6758838750953	ART5	GSE20141
1552526_at	1.30548973996236	7.13045225917272	1.78021298242507	0.0855514490425895	0.440346557339639	-4.30989147817788	FAM71C	GSE20141
1552531_a_at	0.775058523112779	5.93692425181557	0.7430451654741	0.463448229236687	0.759406559904109	-5.42884040254051	NLRP11	GSE20141
1552540_s_at	0.712294587237924	8.13544905210945	0.928630928922721	0.360767112495629	0.693251915258584	-5.29049581015543	IQCD	GSE20141
1552544_at	2.12222884214237	6.60246275641903	2.57083207162162	0.015558696064064	0.323504692795706	-2.9861569020564	SERPINA12	GSE20141
1552546_a_at	1.8462328583011	7.79698151262907	3.10076302750378	0.00427785036151752	0.264592546501605	-1.94367288408646	LETM2	GSE20141
1552548_at	0.366488972864247	6.79299475335982	0.514168893308863	0.611040921131181	0.844965983900101	-5.55861588536038	BSND	GSE20141
1552553_a_at	0.856323652558775	8.14627927082358	1.26706181890716	0.215242485369028	0.580571999093197	-4.96557812317174	NLRC4	GSE20141
1552555_at	2.05300874004861	5.3109437898819	2.80722284829086	0.00885399966532809	0.309493159242798	-2.53335160479215	PRSS36	GSE20141
1552557_a_at	-0.669850723316041	8.46779877994754	-1.03146407574133	0.310872936500499	0.658689093776547	-5.20147334168494	ZDHHC15	GSE20141
1552564_at	0.487336055408467	6.7768781000304	0.52510829400363	0.603510881586768	0.840622097897551	-5.55346132100023	NUDT9P1	GSE20141
1552566_at	-0.296064982911945	5.82202824673179	-0.312438045627345	0.756949504160332	0.909686503046012	-5.63447709171945	BTBD16	GSE20141
1552569_a_at	1.5236331366558	5.84950784447078	2.00953450939853	0.0538938076858669	0.401987560141182	-3.96083063859072	RTP3	GSE20141
1552570_at	1.14968738091925	7.45187465937321	1.56964399923269	0.127376333364203	0.498442907061796	-4.60112051477231	TSPEAR	GSE20141
1552573_s_at	-0.728611836452534	7.18437936624539	-0.900169691909129	0.375465231037563	0.702591746624451	-5.31359367011213	MIPOL1	GSE20141
1552576_at	2.56981346982133	7.33276808848168	3.49921115105714	0.00153165633550283	0.239794140353536	-1.10526911965175	ALMS1P1	GSE20141
1552579_a_at	0.898308539915408	8.14272050451422	1.38637084472808	0.176230219081896	0.546009038874605	-4.82983347484696	ADAM21	GSE20141
1552580_at	-0.056674152112998	6.09037708357173	-0.0695113655247056	0.945061026868664	0.980580793659079	-5.67689921537997	TRIML2	GSE20141
1552582_at	1.30815489074776	9.66319647961212	1.07943504310894	0.289314793455757	0.641714189634815	-5.15700203825977	ABCC13	GSE20141
1552585_s_at	0.265282658610158	6.13966824379967	0.312708177763517	0.756746338489995	0.909686503046012	-5.634400020403	GTF2A1L	GSE20141
1552586_at	0.778341581072196	7.81552277010169	1.22180311749325	0.231648438933443	0.596521919037527	-5.01425868971198	TRPV3	GSE20141
1552587_at	1.95547432130811	5.88308837461701	1.98404231104672	0.0568145034836361	0.406557262575812	-4.00118067718776	CNBD1	GSE20141
1552592_at	1.07328469347655	6.09125276981559	1.36520187127718	0.182716629451635	0.550298220144095	-4.85469187489955	MMP21	GSE20141
1552594_at	0.256787240270964	6.80884177350598	0.294873528420605	0.770197054774294	0.915339104382518	-5.63934646532124	TMEM190	GSE20141
1552596_at	1.00876420231294	5.65835747330416	1.41541482784416	0.167626509011713	0.539755805241949	-4.79519317141921	GAS2L2	GSE20141
1552598_at	1.11798440370231	6.95692449296448	1.42102389414054	0.166003811381383	0.537854413278746	-4.78843253068889	KCNG4	GSE20141
1552599_at	1.26678505827498	6.62570602147854	1.42323798050708	0.165366711049283	0.537461150538002	-4.78575759587612	PXT1	GSE20141
1552604_at	1.04078203111857	7.48752964443224	1.29660693865478	0.205017644547693	0.572045885583341	-4.93295705502003	LINC00308	GSE20141
1552608_at	1.44210613361961	6.87443949022354	1.89632046392318	0.0679483999934062	0.418113236998785	-4.13712492421165	WFDC11	GSE20141
1552620_at	2.13398914089652	6.30228380562954	2.79329332949646	0.0091583659004355	0.309493159242798	-2.56062040638514	SPRR4	GSE20141
1552623_at	0.540045606861987	6.57847288235281	0.694706623383727	0.49278335057488	0.779234001671515	-5.46005489656863	HSH2D	GSE20141
1552625_a_at	-1.10359822201588	8.95901915620915	-1.76489851745913	0.0881409331257079	0.444401354909678	-4.33204997943227	TRNT1	GSE20141
1552628_a_at	-0.513981065077445	9.54434278660638	-0.701937345850884	0.488329591031097	0.776254855541577	-5.4555140654783	HERPUD2	GSE20141
1552631_a_at	2.88744428224561	6.63817098281742	3.65318475657248	0.00101973706983353	0.229657215135837	-0.772341164209016	MAP3K6	GSE20141
1552643_at	0.281845241990099	10.4182456961364	0.377988360489633	0.708199590637719	0.889042335172169	-5.61383987248763	ZNF626	GSE20141
1552657_a_at	2.43381288766113	5.76183688896998	3.29028806843245	0.00263785602122998	0.258330239844123	-1.54957640841013	TXNDC2	GSE20141
1552658_a_at	-0.0848427106321441	10.1753810804532	-0.143108620526961	0.887196898864214	0.960499392642662	-5.66973412836709	NAV3	GSE20141
1552662_a_at	-1.21780846997016	5.5119190831327	-2.10318233622473	0.0442668300612227	0.387171262181028	-3.80944204049255	PCDHGB7	GSE20141
1552664_at	-0.652904416555791	11.9103160229907	-0.958713854104011	0.345650167780182	0.682573147428136	-5.26535169786283	FLCN	GSE20141
1552665_at	1.28052104236995	7.84347417615123	1.99899609943045	0.0550848441936445	0.402951226144734	-3.97755661012186	JMJD1C-AS1	GSE20141
1552673_at	0.166330843175056	6.68280409536082	0.181977256386797	0.856870172828896	0.947420794990221	-5.66395161513707	RFX6	GSE20141
1552674_at	1.06155305064619	6.86103516485715	1.03080278451851	0.311177728112737	0.6588193601332	-5.20207341107742	DIRC1	GSE20141
1552675_at	1.19285966626845	6.97665907583573	1.46952027852127	0.152487692155199	0.527168845180098	-4.72903256266532	DNAJB7	GSE20141
1552676_at	0.998612007671016	6.50422086185651	1.19394554571331	0.242201358862994	0.605590561754005	-5.04343866017202	UCN3	GSE20141
1552685_a_at	0.830451202550366	7.30323421794719	0.920829450785771	0.364757724807438	0.694539217115648	-5.29689414180553	GRHL1	GSE20141
1552687_a_at	1.29046901061257	7.17997136804653	2.04371844571098	0.0501847105930756	0.398505801067237	-3.90613984025086	CNBD2	GSE20141
1552689_at	-0.253374420575634	9.94313973687195	-0.385767900688633	0.702491906527601	0.886643987389777	-5.61113316719088	CASKIN1	GSE20141
1552690_a_at	1.94390182405436	7.08279487991957	2.54988260081007	0.0163385324464104	0.324928594746264	-3.02520667550955	CACNA2D4	GSE20141
1552691_at	2.58920650069202	6.1892125592139	3.1086359574689	0.0041936346720512	0.264592546501605	-1.9274933060268	ARL11	GSE20141
1552694_at	-0.732222532732766	11.0701530585555	-0.751040282491374	0.458696729342382	0.756681390444958	-5.42348356256556	SLC2A13	GSE20141
1552698_at	1.12572289160309	6.78066099505636	1.43024996669832	0.163361794392713	0.536709214601678	-4.77726267808675	TUBA3FP	GSE20141
1552708_a_at	0.448714105276224	8.84989452104151	0.59846375562635	0.55418947953109	0.813391403553729	-5.51616009587989	DUSP19	GSE20141
1552712_a_at	0.184807758457037	10.8726712485408	0.23609686961712	0.815021690452445	0.930997399243034	-5.65360418527765	NMNAT2	GSE20141
1552714_at	-0.182164270193285	9.48957295496964	-0.28423537535116	0.778255335983013	0.917920041746676	-5.6421596109794	CREG2	GSE20141
1552716_at	0.0336121023318484	7.90308510342031	0.0419050682026166	0.966862367212274	0.988403577207387	-5.6783080817764	SPEF2	GSE20141
1552724_at	0.149013853572825	7.23188760244881	0.19140433006569	0.849546374246684	0.944704027968762	-5.66234128853123	RHOXF1	GSE20141
1552725_s_at	1.60584775658627	7.58472426003811	2.32537214169222	0.0272735626183428	0.354078713373879	-3.43147843040929	ADAMTS17	GSE20141
1552730_at	-0.0450461189104604	6.71998740360334	-0.0562097410987519	0.955561288966293	0.985007911155215	-5.67766518850021	DHH	GSE20141
1552732_at	-0.0255886974521283	6.32670193373198	-0.0275211003984745	0.978233154672269	0.99169813437909	-5.67876553678676	ABRA	GSE20141
1552733_at	-0.686036031228978	8.45446547569403	-0.948585550193838	0.350691635343986	0.686515420441512	-5.27390070376362	KLHDC1	GSE20141
1552735_at	2.3980603150678	7.21804123544667	3.34324980968511	0.00230055846806987	0.250761910208658	-1.43784850952057	PCDHGA4	GSE20141
1552736_a_at	-1.19904152861199	7.91524557115437	-1.53347663907799	0.136026944854779	0.508193154975473	-4.64813542052502	NETO1	GSE20141
1552740_at	1.17934262859504	7.57641699235437	1.9946553204375	0.0555821087810281	0.40413648182414	-3.98442748750957	C2ORF15	GSE20141
1552742_at	-0.460183296893433	8.75501155022332	-0.651891590004698	0.519618984336745	0.794615829390391	-5.4860122919358	KCNH8	GSE20141
1552745_at	0.92152245392878	7.96678788710181	1.07357540820958	0.291889884015129	0.644681662872453	-5.16253342312835	SLCO6A1	GSE20141
1552747_a_at	0.961264618708665	8.72311801616566	1.34753824404363	0.188270261610169	0.55532418211676	-4.87518082898547	PP2D1	GSE20141
1552749_a_at	1.61335202437272	6.9944448469261	2.01885863880681	0.052858928211586	0.400421971377478	-3.9459788802527	KLC3	GSE20141
1552751_a_at	1.2573764727734	6.82297656257183	1.52427651553652	0.138302046035323	0.51112956871814	-4.65994975313588	CIB3	GSE20141
1552754_a_at	-1.08487355938948	11.2924537466535	-1.51798377014197	0.139875879997687	0.513558115463556	-4.66799646456127	CADM2	GSE20141
1552755_at	0.879751475427246	7.41173492829575	1.04211243730076	0.305993609528931	0.654941959684895	-5.1917620518663	C9ORF66	GSE20141
1552767_a_at	-1.37841629522223	9.14506706477453	-1.87005517417382	0.0716302850260296	0.420797641149249	-4.17693408034379	HS6ST2	GSE20141
1552769_at	-0.691208717098576	6.78871557244501	-0.743668923462734	0.463076494370343	0.759262494695998	-5.4284244511298	ZNF625	GSE20141
1552770_s_at	2.6268994539285	7.52312000470758	3.05576967811148	0.00479093805781942	0.270616590620949	-2.03579774246386	ZNF563	GSE20141
1552773_at	-0.182033348870144	7.62595399167441	-0.224621523862542	0.823853289544678	0.934297955639827	-5.65602120923256	CLEC4D	GSE20141
1552775_at	-0.707048287812284	6.76209701356103	-0.941244002840485	0.354376494828815	0.688538876492923	-5.28004455037214	GPRC6A	GSE20141
1552777_a_at	1.29941244210578	7.15023780469234	1.40829324632904	0.169704811638566	0.541112051775374	-4.80374391288859	RAET1E	GSE20141
1552782_at	-0.427126104203817	8.58609459385693	-0.64211776070803	0.525854609086296	0.798280234317966	-5.49171405459046	SLC44A5	GSE20141
1552783_at	0.934474323540185	7.05311702578607	1.28211778889641	0.2099846200874	0.575882820589695	-4.94903730668386	ZNF417	GSE20141
1552791_a_at	1.38976884313594	7.26650040862372	1.64959307012532	0.109848152895751	0.471838248816727	-4.49401302981397	TRDN	GSE20141
1552793_at	2.45355235833819	6.74226686397274	2.79078277539059	0.00921425707574742	0.309493159242798	-2.56552771397355	C8ORF31	GSE20141
1552797_s_at	1.62483565800606	9.68644315663409	1.81485047058364	0.0799325609060756	0.433524425439848	-4.25922730182291	PROM2	GSE20141
1552807_a_at	0.7690980954816	9.45050735437376	1.05410398989877	0.300563074425568	0.651277280408787	-5.18071609067017	SIGLEC10	GSE20141
1552811_at	-0.244245327872572	6.37819916504366	-0.340633490702538	0.73584173954928	0.901072168346492	-5.62607625664998	WFIKKN1	GSE20141
1552814_a_at	1.68990749554743	6.11943973605645	2.26813949102112	0.0309672876357595	0.362006386648112	-3.53125056573381	KLF14	GSE20141
1552816_at	0.212549926221068	8.18556771422814	0.263387357011433	0.794119693197904	0.922519048340426	-5.6473746638363	NXNL2	GSE20141
1552819_at	0.951636932959386	5.95548977538621	1.31122809091828	0.200097055994792	0.567168917700953	-4.91656978792512	LINC00205	GSE20141
1552827_s_at	1.702142928125	7.17503649642982	1.79567735354784	0.083002565178418	0.435726799568786	-4.28736514410071	SLC26A7	GSE20141
1552830_at	1.72665250405772	5.83012172959043	1.79752367871591	0.0827026184863013	0.435293108167466	-4.2846655867233	FBXO39	GSE20141
1552834_at	0.997747412542367	8.318120024609	1.61714333969827	0.116705022757618	0.48053788805552	-4.53800828044577	B3GNT6	GSE20141
1552836_at	-0.926351281827795	6.0680775998553	-1.08157632542544	0.288377809506864	0.641491248501503	-5.1549738468272	ZNF619	GSE20141
1552839_at	1.29180741407502	7.21609104268795	1.72194221795233	0.0957614601411239	0.453062093536746	-4.39340159268818	FAM71D	GSE20141
1552846_s_at	0.0573237780947034	6.90945442831576	0.0735782617324286	0.94185254671744	0.979715067932148	-5.67663268112416	RAB42	GSE20141
1552848_a_at	1.01545878344199	8.85371378556316	1.75275494884991	0.090241257759338	0.447461590206332	-4.34951414513113	PTCHD1	GSE20141
1552852_a_at	1.27152494667143	5.723830267898	1.47564064313641	0.150846347363408	0.525429005782139	-4.72141630759968	ZSCAN4	GSE20141
1552854_a_at	1.17450334528217	6.45233176203768	1.61720514033189	0.116691634839332	0.48053788805552	-4.53792516575276	VWA5B1	GSE20141
1552856_at	1.11853711644299	6.36527877991785	1.27025588789791	0.214118782307805	0.579895761387938	-4.96208343854681	LINC00311	GSE20141
1552858_at	-0.107665442309104	6.25685078397281	-0.146017584499857	0.884920589297134	0.959523963558971	-5.66934914351114	MAGEB6	GSE20141
1552865_a_at	1.0969584935492	6.58090103412724	1.5896432726706	0.122789525139103	0.491323108557175	-4.57473536260984	LMNTD1	GSE20141
1552868_at	0.29550066911854	7.09027740511571	0.307472471533901	0.760687235014105	0.911858837285254	-5.63588204043803	CIRBP-AS1	GSE20141
1552877_s_at	0.283166954139946	7.72198226627041	0.418446685401069	0.678711874685349	0.8758136756933	-5.59916846758256	LINC00334	GSE20141
1552879_a_at	-0.0937350046135313	6.56634407750258	-0.0992705548522	0.921608410619634	0.972562609616983	-5.67459887734265	ATOH7	GSE20141
1552882_a_at	0.384518490447322	7.88627657117147	0.509453352959984	0.614300291580546	0.846424339089927	-5.56080502074466	AMER1	GSE20141
1552885_a_at	1.13576963764226	7.98971999838584	1.82306997812727	0.0786464856266881	0.432419972863811	-4.24709414739675	NKX6-3	GSE20141
1552887_at	0.693451314401906	7.12313335994804	0.949646704037467	0.350161144617886	0.686134129667255	-5.27300898378186	TBATA	GSE20141
1552889_a_at	1.15923004662369	7.82783050605028	1.32298186133345	0.196207662678058	0.56275716433174	-4.90327982642047	EXOC3L2	GSE20141
