locus	relative_response_Q10_minus_R55	SING_Q10_adjusted_log2_response	SING_R55_adjusted_log2_response	SING_relative_response	preference_direction_agrees
DJ-1a/b	-0.711400516708	-1.04550939774	1.64288445409	-2.68839385183	True
Pink1	0.557876908382	0.400721947714	-0.269120885507	0.669842833221	True
iPLA2-VIA	-0.621267315688	0.259592691913	1.14424605087	-0.88465335896	True
nutcracker	0.46129676419	1.22367534856	-0.53183263599	1.75550798455	True
