analysis	status	n_genotypes	MAE_GI	MAE_mean	MAE_severity	improvement_over_mean	improvement_over_severity	T	spearman_rho
primary	EVALUABLE	18	0.500592182312	0.449790891036	0.491310164726	-0.112944242065	-0.0188923784866	-0.112944242065	0.247934016596
one_neighbor	EVALUABLE	18	0.46809367541	0.449790891036	0.540523460404	-0.0406917630797	0.133999336384	-0.0406917630797	0.334378245193
five_neighbors	EVALUABLE	18	0.497104428332	0.449790891036	0.470820839317	-0.105190074406	-0.0558250332607	-0.105190074406	0.176561716869
median_arms	EVALUABLE	18	0.55606603945	0.526562954873	0.586541018208	-0.0560295484211	0.0519571143572	-0.0560295484211	0.13739676753
exclude_younger_age	EVALUABLE	14	0.503380720905	0.401878641093	0.434765779458	-0.252568983353	-0.157820474125	-0.252568983353	-0.28854695547
