endpoint	sheet	drug	genotype	arm	source_observations	mean	median
TH	Fig4d_R55	R55	iPLA2-VIA[KO-WS]	R55	14	104.231492143	102.606
TH	Fig4d_R55	R55	gba[KO]	H2O	13	54.3310915385	55.85292
TH	Fig4d_R55	R55	gba[KO]	R55	16	88.447345	98.790305
TH	Fig4d_R55	R55	Rab39[KO-WS/y]	H2O	10	74.327541	67.35929
TH	Fig4d_R55	R55	Rab39[KO-WS/y]	R55	12	95.6515525	98.716705
TH	Fig4d_R55	R55	DJ-1a/b[KO-WS]	H2O	18	72.2558072222	69.675055
TH	Fig4d_R55	R55	DJ-1a/b[KO-WS]	R55	16	120.893924375	123.73085
TH	Fig4d_R55	R55	Vps13[KO-WS/+]	H2O	16	54.210865	51.48939
TH	Fig4d_R55	R55	Vps13[KO-WS/+]	R55	17	74.8159694118	75.78593
TH	Fig4d_R55	R55	Tango14[KO-WS/+]	H2O	17	65.9205182353	65.89454
TH	Fig4d_R55	R55	Tango14[KO-WS/+]	R55	15	85.1653533333	93.57465
TH	Fig4d_R55	R55	Synj[KO-WS/+]	H2O	18	76.2951227778	68.15777
TH	Fig4d_R55	R55	Synj[KO-WS/+]	R55	20	94.4359565	96.16376
TH	Fig4d_R55	R55	omi[KO-WS]	H2O	16	73.05588	74.92221
TH	Fig4d_R55	R55	omi[KO-WS]	R55	15	88.4538486667	89.66722
TH	Fig4d_R55	R55	park1/Δ21	H2O	21	63.5976680952	65.2603
TH	Fig4d_R55	R55	park1/Δ21	R55	20	60.058449	58.51086
SING	Suppl Fig12b_Q10_SING	Q10	control	EtOH	31	99.9908341935	100.9944
SING	Suppl Fig12b_Q10_SING	Q10	control	Q10	31	106.508901935	102.6852
SING	Suppl Fig12b_Q10_SING	Q10	Pink1[KO-WS/y]	EtOH	11	41.9650127273	36.31814
SING	Suppl Fig12b_Q10_SING	Q10	Pink1[KO-WS/y]	Q10	11	59.0122809091	56.49489
SING	Suppl Fig12b_Q10_SING	Q10	nutcracker[KO-WS]	EtOH	10	15.5529051	10.088648
SING	Suppl Fig12b_Q10_SING	Q10	nutcracker[KO-WS]	Q10	10	38.690133	33.70795
SING	Suppl Fig12b_Q10_SING	Q10	iPLA2-VIA[KO-WS]	EtOH	10	14.7264162	14.582285
SING	Suppl Fig12b_Q10_SING	Q10	iPLA2-VIA[KO-WS]	Q10	10	18.7788059	18.468925
SING	Suppl Fig12b_Q10_SING	Q10	DJ-1a/b[KO-WS]	EtOH	7	47.8926071429	50.74859
SING	Suppl Fig12b_Q10_SING	Q10	DJ-1a/b[KO-WS]	Q10	7	24.7152214286	15.37836
SING	Suppl Fig12c_R55_SING	R55	control	H2O	28	100.000002857	100.8221
SING	Suppl Fig12c_R55_SING	R55	control	R55	28	99.2620510714	102.64625
SING	Suppl Fig12c_R55_SING	R55	Pink1[KO-WS/y]	H2O	7	36.8329357143	36.66785
SING	Suppl Fig12c_R55_SING	R55	Pink1[KO-WS/y]	R55	7	30.3393385714	35.20114
SING	Suppl Fig12c_R55_SING	R55	nutcracker[KO-WS]	H2O	8	9.714714375	4.6630625
SING	Suppl Fig12c_R55_SING	R55	nutcracker[KO-WS]	R55	8	6.66984425	3.497297
SING	Suppl Fig12c_R55_SING	R55	iPLA2-VIA[KO-WS]	H2O	12	12.2079043333	12.536134
SING	Suppl Fig12c_R55_SING	R55	iPLA2-VIA[KO-WS]	R55	12	26.78408	24.116725
SING	Suppl Fig12c_R55_SING	R55	DJ-1a/b[KO-WS]	H2O	6	17.3234115	11.2182445
SING	Suppl Fig12c_R55_SING	R55	DJ-1a/b[KO-WS]	R55	8	53.69998375	52.448935
