cohort	beta_PD	ci95_low	ci95_high	p_one_sided_down	n_PD	n_control	measured_genes_n	outcome
GSE178265 primary	-0.4000391990069354	-0.8411666810320316	0.0410882830181608	0.0352240702510358	6	8	48	CONFIRMED
GSE243639 replication	0.0042112628002595	-0.3787026376250823	0.3871251632256013	0.5095340240511492	7	8	43	NOT_CONFIRMED
