probe	gene	AveExpr
A_23_P9415	ACO1	7.87244393845833
A_23_P103149	ACO2	11.8307192408333
A_24_P161036	ACOT1	4.56533765875
A_23_P417415	ACOT11	5.52082485245833
A_23_P44207	ACOT12	5.008631429
A_23_P31116	ACOT13	10.26916698375
A_23_P14515	ACOT4	4.67431637208333
A_33_P3352517	ACOT6	4.45811960341667
A_24_P205589	ACOT7	12.2064746708333
A_33_P3352544	ACOT8	9.615320219875
A_24_P42501	ACOT9	8.44284702095833
A_33_P3244803	ACOX1	10.568199895
A_23_P10182	ACOX2	5.0943203875
A_23_P316381	ACOX3	7.75361171083333
A_33_P3395008	ACOXL	5.09263920454167
A_24_P922919	ACP1	8.40417121558333
A_23_P138776	ACP2	7.40906826795833
A_23_P142075	ACP5	6.60340231870833
A_23_P160240	ACP6	5.26764738129167
A_23_P57760	ACPL2	9.16918587195833
A_24_P37589	ACPP	3.74454938441667
A_23_P330419	ACPT	5.01159553220833
A_32_P191262	ACR	4.64997997933333
A_33_P3396370	ACRBP	6.82439141779167
A_23_P171237	ACRC	8.17227149483333
A_23_P202894	ACRV1	4.64572689741667
A_23_P54488	ACSBG1	5.89293143275
A_23_P131050	ACSBG2	4.53680564195833
A_23_P4190	ACSF2	7.34680834554167
A_32_P218332	ACSF3	8.782233686875
A_23_P110212	ACSL1	9.52812405916667
A_24_P248606	ACSL3	10.2010663428333
A_23_P217564	ACSL4	9.51460634520833
A_33_P3217983	ACSL5	4.75226346125
A_23_P7562	ACSL6	5.50632342329167
A_23_P106933	ACSM1	3.88751693304167
A_33_P3265129	ACSM2A	3.92237867954167
A_23_P66328	ACSM2B	5.14921566745833
A_23_P317756	ACSM3	4.15994477929167
A_33_P3395083	ACSM4	3.876989103625
A_33_P3395081	ACSM5	5.94723945625
A_23_P120594	ACSS1	4.33250940004167
A_23_P210900	ACSS2	9.20113797566667
A_23_P339119	ACSS3	5.05785113395833
A_23_P1102	ACTA1	11.3828746304167
A_23_P150053	ACTA2	4.97276613391667
A_23_P135769	ACTB	15.0752160779167
A_24_P6903	ACTBL2	7.3537622075
A_33_P3236382	ACTC1	4.27428739866667
A_32_P156963	ACTG1	13.1407807129167
A_33_P3418541	ACTG2	4.467720960125
A_23_P69249	ACTL6A	11.3222672720833
A_23_P145681	ACTL6B	9.57383592641667
A_23_P31984	ACTL7A	4.23374885383333
A_33_P3256972	ACTL7B	5.34889239808333
A_33_P3288659	ACTL8	4.89071737875
A_33_P3345011	ACTL9	4.10750880204167
A_23_P105957	ACTN1	8.21887328916667
A_33_P3212167	ACTN2	6.96648513975
A_23_P138881	ACTN3	6.285381823375
A_23_P101655	ACTN4	9.409111673125
A_33_P3416946	ACTR10	8.94195382304167
A_24_P278367	ACTR1A	12.1480888970833
A_23_P28279	ACTR1B	10.2667071691667
A_23_P377376	ACTR2	9.682436324125
A_23_P108785	ACTR3	11.8329328145833
A_33_P3334313	ACTR3B	8.33864289466667
A_33_P3816042	ACTR3BP2	5.41839445029167
A_33_P3864411	ACTR3BP5	5.76514855854167
A_33_P3264089	ACTR3C	4.08938185679167
A_23_P165952	ACTR5	6.66464998845833
A_23_P162596	ACTR6	9.58045895979167
A_23_P80694	ACTR8	8.18577735995833
A_23_P147311	ACTRT1	4.10473026779167
A_23_P148829	ACTRT2	5.11638015516667
A_33_P3360665	ACVR1	7.967757223625
A_33_P3364433	ACVR1B	6.5434963285
A_33_P3327404	ACVR1C	4.00855995445833
A_23_P153930	ACVR2A	8.19499673125
A_32_P134209	ACVR2B	11.1719909716667
A_24_P945113	ACVRL1	4.64913428875
A_23_P57868	ACY1	8.89100544329167
A_23_P47102	ACY3	4.17344175916667
A_23_P163143	ACYP1	10.877438825
A_24_P336848	ACYP2	9.003674813625
A_23_P210482	ADA	9.06067974279167
A_23_P41514	ADAD1	4.3540710645
A_33_P3272402	ADAD2	8.69096319870833
A_33_P3411090	ADAL	7.69236162225
A_21_P0000668	ADAM1	9.914308046875
A_23_P48886	ADAM10	6.39528455008333
A_23_P207345	ADAM11	9.91862517633333
A_33_P3310929	ADAM12	6.48748503991667
A_33_P3380693	ADAM15	8.519997804875
A_23_P143120	ADAM17	8.32940636829167
A_21_P0000114	ADAM18	4.03940586575
A_23_P374082	ADAM19	8.067730894625
A_33_P3340732	ADAM2	3.88588539904167
A_23_P48698	ADAM20	4.94793781266667
A_33_P3369944	ADAM21	4.01277175595833
A_24_P243741	ADAM22	7.24397165091667
A_33_P3216458	ADAM23	4.78160132141667
A_33_P3380652	ADAM28	4.58216361754167
A_21_P0003682	ADAM29	4.69649842891667
A_23_P126363	ADAM30	4.11204513883333
A_23_P44665	ADAM32	4.755675329125
A_33_P3342653	ADAM33	5.48010966075
A_33_P3256505	ADAM3A	3.90389432795833
A_23_P94296	ADAM7	4.01168531075
A_24_P300777	ADAM8	7.16808173691667
A_33_P3390172	ADAMDEC1	3.69583401908333
A_33_P3390013	ADAMTS1	4.033117767875
A_33_P3223056	ADAMTS10	9.72897563041667
A_23_P44648	ADAMTS12	3.82304625358333
A_33_P3342780	ADAMTS13	7.58294741983333
A_24_P275073	ADAMTS14	3.83517804270833
A_33_P3316790	ADAMTS15	3.64445073895833
A_33_P3241051	ADAMTS17	4.57022574075
A_32_P34844	ADAMTS18	4.79250665075
A_33_P3317392	ADAMTS19	5.18285311991667
A_33_P3409649	ADAMTS2	4.209124017375
A_33_P3219514	ADAMTS20	3.74004149075
A_23_P360754	ADAMTS4	6.46159161070833
A_33_P3372426	ADAMTS5	4.41054739833333
A_24_P334456	ADAMTS6	3.92388615991667
A_33_P3423718	ADAMTS7	7.91221415975
A_33_P3308347	ADAMTS8	3.78350221741667
A_32_P196263	ADAMTS9	6.412104891875
A_21_P0014841	ADAMTS9-AS1	3.89591959491667
A_21_P0000741	ADAMTS9-AS2	4.16958977579167
A_33_P3302025	ADAMTSL1	4.2263094645
A_33_P3262541	ADAMTSL2	5.38061240620833
A_33_P3299220	ADAMTSL4	4.54518399666667
A_24_P22939	ADAMTSL5	8.5761838265
A_33_P3422133	ADAP1	10.6755971925
A_23_P49816	ADAP2	6.40154566145833
A_24_P362317	ADAR	12.3703418858333
A_23_P211207	ADARB1	9.02406854591667
A_33_P3282307	ADARB2	6.52141693820833
A_23_P141100	ADAT1	8.87864748704167
A_33_P3268798	ADAT2	8.795310423375
A_33_P3268793	ADAT3	10.5262939779167
A_24_P11462	ADC	7.96311141795833
A_23_P25945	ADCK1	6.43059890225
A_24_P291978	ADCK2	7.34332694216667
A_33_P3372924	ADCK3	6.835991321125
A_23_P208400	ADCK4	7.448522275625
A_23_P94365	ADCK5	8.58504015808333
A_24_P577694	ADCY1	10.82475391875
A_23_P126313	ADCY10	3.97248875933333
A_23_P67864	ADCY3	10.01502778425
A_33_P3337161	ADCY4	5.84031916754167
A_23_P136623	ADCY5	6.13305987070833
A_23_P501547	ADCY6	7.59965931616667
A_24_P416177	ADCY7	6.63710608983333
A_24_P935103	ADCY9	9.76168189854167
A_33_P3392092	ADCYAP1	5.20511908829167
A_23_P157109	ADCYAP1R1	5.44229724733333
A_24_P100742	ADD1	8.52015541425
A_33_P3241786	ADD2	8.76564773758333
A_24_P90097	ADD3	10.1691381014167
A_24_P291658	ADH1A	4.23252277341667
A_33_P3353737	ADH1B	3.8142187015
A_23_P81158	ADH1C	5.138108742875
A_23_P30098	ADH4	4.496719390125
A_23_P18692	ADH5	9.31325913979167
A_23_P41498	ADH6	3.78536594595833
A_33_P3406677	ADH7	3.65159693995833
A_23_P157569	ADHFE1	4.47974208075
A_32_P52911	ADI1	8.313979104125
A_32_P423691	ADIG	3.46139524675
A_23_P369237	ADIPOQ	3.9149170195
A_23_P46627	ADIPOR1	8.29157629120833
A_23_P48121	ADIPOR2	10.7704891970833
A_23_P112596	ADK	8.1252278555
A_23_P127948	ADM	4.834675741625
A_33_P3413905	ADM2	6.92949438725
A_24_P134319	ADNP	11.70086993875
A_23_P164468	ADNP2	8.35961017925
A_23_P202345	ADO	6.81583382370833
