dataset	Name	pathway	ES	NES	nominal_p	dataset_FDR	FWER p-val	Tag %	Gene %	leading_genes
GSE17542_SN_MPTP10	prerank	UCH proteinases	-0.32718497678063696	-1.2923639067311044	0.08239095315024232	0.5333079760300338	1.0	21/67	21.69%	NEDD8;UCHL1;PSMA6;PSMC4;BARD1;TFPT;PSMD2;PSMB3;MCRS1;ACTB;ACTR5;BAP1;PSMB2;NFRKB;SMAD7;SENP8;PSMB4;PSMB1;PSMA4;PSMC2;PSMC5
GSE17542_SN_MPTP10	prerank	Gene Silencing by RNA	-0.3492646780507437	-1.2919255675524222	0.1065989847715736	0.5323717493508716	1.0	15/46	21.11%	HENMT1;MOV10L1;AGO3;POLR2H;POLR2G;AGO4;POLR2J;POLR2I;POLR2F;PLD6;XPO5;ELAC2;HSP90AA1;PIWIL1;BCDIN3D
GSE17542_SN_MPTP10	prerank	Interleukin-7 signaling	-0.40546518346963045	-1.2912461407408256	0.1296928327645051	0.5320508752685638	1.0	6/23	13.12%	STAT5B;SMARCA4;SOCS1;PIK3R2;JAK3;IL7R
GSE17542_SN_MPTP10	prerank	Thyroxine biosynthesis	-0.4938267002948531	-1.2872044834570664	0.16279069767441862	0.5416534270218742	1.0	4/12	12.19%	DUOX1;TXNDC11;DUOXA1;IYD
GSE17542_SN_MPTP10	prerank	Transcriptional Regulation by E2F6	0.36936486482065867	1.2868372552303229	0.12776412776412777	0.7220457344299748	1.0	18/32	33.15%	RING1;RNF2;TFDP2;RBBP4;PCGF6;BMI1;PHC1;RBBP7;PCGF2;L3MBTL2;CHEK1;EPC1;EED;PHC3;CDC7;TFDP1;RAD51;CBX5
GSE17542_SN_MPTP10	prerank	Sema4D induced cell migration and growth-cone collapse	-0.43068019991379375	-1.2868156757811993	0.18030050083472454	0.5404241701858373	1.0	8/20	19.68%	SEMA4D;RND1;RHOA;MYL9;MYH11;RHOC;ARHGEF11;LIMK2
GSE17542_SN_MPTP10	prerank	Nonhomologous End-Joining (NHEJ)	0.3761736548309024	1.2841702144270744	0.12941176470588237	0.7248497769925386	1.0	11/28	23.98%	DCLRE1C;RAD50;PRKDC;RIF1;HERC2;XRCC5;NBN;UIMC1;MDC1;RNF168;LIG4
GSE17542_SN_MPTP10	prerank	Ca2+ pathway	-0.33167342865546195	-1.2822763231935272	0.09238249594813615	0.5518577264736315	1.0	15/60	14.21%	GNB3;GNB2;FZD2;FZD4;GNG7;AGO3;AGO4;GNB1;GNG8;WNT11;ITPR2;GNAT2;GNG3;GNB5;ITPR3
GSE17542_SN_MPTP10	prerank	Cross-presentation of soluble exogenous antigens (endosomes)	-0.3669881607128715	-1.2821812778321156	0.12280701754385964	0.5498383942467282	1.0	20/38	35.44%	PSMA6;PSMC4;PSMD2;PSMB3;PSMB2;PSMB9;PSMB4;PSMB1;PSMA4;PSMC2;PSMC5;PSMB10;PSMD1;MRC1;ADRM1;PSMD13;PSMC3;PSMB7;PSMD8;PSMB6
GSE17542_SN_MPTP10	prerank	Paracetamol ADME	-0.4223440693729312	-1.2808114664779104	0.14862385321100918	0.5513598920607867	1.0	5/20	10.99%	GGT1;CYP2E1;ABCC4;CNDP2;SULT1A1
GSE17542_SN_MPTP10	prerank	Nucleotide Excision Repair	0.285268262135713	1.2775382400862134	0.08376963350785341	0.7434776462787925	1.0	33/101	21.38%	ERCC5;YY1;ERCC4;RPA2;UBE2I;CDK7;GTF2H1;LIG3;PIAS1;COPS2;POLD3;CUL4B;XRCC1;PRPF19;MNAT1;RAD23B;ACTR8;POLR2D;POLK;AQR;RFC4;RBX1;USP7;ERCC3;ISY1;GTF2H2;POLR2C;ACTL6A;COPS8;TCEA1;RFC5;XAB2;CCNH
GSE17542_SN_MPTP10	prerank	p75NTR signals via NF-kB	0.45545599949410076	1.276963674612638	0.16063348416289594	0.7386647876812724	1.0	4/14	8.15%	NGF;RELA;PRKCI;IRAK1
GSE17542_SN_MPTP10	prerank	Interleukin-10 signaling	-0.3600575108665197	-1.276768969465979	0.14695945945945946	0.5610411101308813	1.0	11/41	17.19%	IL1R1;CCL4;IL12B;CD80;IL1RN;CCL5;CCL3;CSF2;TNFRSF1B;TNF;IL12A
GSE17542_SN_MPTP10	prerank	Resolution of Sister Chromatid Cohesion	-0.298047444826945	-1.2765957118245352	0.07087827426810478	0.5593081725571946	1.0	22/112	12.33%	CENPO;SPC25;RANGAP1;TUBB3;RCC2;TUBB2A;MAD1L1;DYNLL2;TUBA1A;TUBB6;PPP2R5B;DYNC1LI2;TUBB4B;NUP43;CDK1;PPP2R1B;PPP2R5A;TUBA4A;DSN1;ZWILCH;NSL1;ZWINT
GSE17542_SN_MPTP10	prerank	Defective B3GAT3 causes JDSSDHD	-0.42793791354794286	-1.2763027592548204	0.16058394160583941	0.557918260067576	1.0	10/20	30.67%	SDC4;GPC6;SDC3;GPC2;VCAN;SDC1;GPC4;GPC1;SDC2;HSPG2
GSE17542_SN_MPTP10	prerank	Signaling by Interleukins	-0.25734958077786396	-1.2750981868411548	0.024291497975708502	0.5592027143126558	1.0	103/401	21.30%	IFNLR1;CDKN1A;ITGB1;GATA3;IL1R1;IL18RAP;CCL11;CCL4;IL12B;STAT4;BCL2L1;IL4;FSCN1;IL17A;PIK3CD;STAT1;STAT5B;PSMA6;BOLA2;NOD1;IL24;DUSP3;PSMC4;PAK2;MCL1;CANX;SMARCA4;CAPZA1;CD80;CEBPD;IL34;PSMD2;PSMB3;PIM1;NFKB2;IL1RN;SOCS1;MMP2;SNRPA1;IL20;PIK3R2;MMP3;CFL1;IL20RA;CCL5;IL2RA;JAK3;RPLP0;MAPK9;NOS2;MYD88;PPP2R1B;IL15;STAT2;UBE2V1;CCL3;PSMB2;IL21;ANXA2;IL7R;CSF2;NLRC5;CTSG;IL1RAP;VAMP2;STAT6;AKT1;TNFRSF1B;PTPN11;BCL6;CRKL;JUNB;MUC1;LCN2;YES1;TNF;P4HB;APP;MIF;IL12A;PSMB4;IL1RL2;HSPA9;AGER;ANXA1;STX3;IL13RA1;RAPGEF1;PSMB1;MAOA;PSMA4;NANOG;HSP90AA1;FN1;SOD2;MAPK11;PSMC2;MAP2K3;ALPK1;IL1F10;GAB2;RAP1B;PITPNA
GSE17542_SN_MPTP10	prerank	Degradation of DVL	-0.3552479728582709	-1.2741206589324974	0.13400335008375208	0.5600462596627914	1.0	12/41	21.69%	DVL3;PSMA6;PSMC4;PSMD2;PSMB3;KLHL12;PSMB2;PSMB4;PSMB1;PSMA4;PSMC2;PSMC5
GSE17542_SN_MPTP10	prerank	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	0.2922692986519339	1.273359846484893	0.07027027027027027	0.7452083027090832	1.0	27/90	19.34%	TAB2;MAPK1;MAP3K7;S100B;RELA;RPS6KA2;FBXW11;MAP3K1;PPP2R5D;CREB1;IRAK1;BTRC;USP14;IKBIP;PELI1;CUL1;MEF2C;TNIP2;PPP2CB;NLRX1;RIPK2;MAPK10;CHUK;N4BP1;MEF2A;RPS6KA5;DUSP6
