dataset	Name	pathway	ES	NES	nominal_p	dataset_FDR	FWER p-val	Tag %	Gene %	leading_genes
human_PD_postmortem_meta_limma	prerank	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	-0.7013353818964156	-3.0346940481951057	0.0	0.0	0.0	26/40	16.28%	PSMD14;PSMD8;PSMB7;PSMA3;PSMA4;PSMC1;SKP1;PSMD12;RBX1;GSK3B;PSMC5;PSMC6;PSMD13;PSMD2;PSMB6;PSMA2;PSMA1;PSMD1;PSMC2;PSMB4;PSMC3;PSMD7;PSMA5;PSMD6;PSMB5;BTRC
human_PD_postmortem_meta_limma	prerank	Metabolism of polyamines	-0.6883416207303172	-3.0310285184237116	0.0	0.0	0.0	27/44	15.70%	PSMD14;PSMD8;PSMB7;PSMA3;AZIN1;PSMA4;PSMC1;PSMD12;PSMC5;OAZ3;PSMC6;PSMD13;PSMD2;PSMB6;PSMA2;PSMA1;OAZ2;PSMD1;PSMC2;PSMB4;PSMC3;PSMD7;PSMA5;PSMD6;SMS;SRM;PSMB5
human_PD_postmortem_meta_limma	prerank	GSK3B-mediated proteasomal degradation of PD-L1(CD274)	-0.6883823075557173	-2.994062392471637	0.0	0.0	0.0	27/42	16.28%	PSMD14;PSMD8;PSMB7;PSMA3;PSMA4;PSMC1;COPS5;SKP1;PSMD12;RBX1;GSK3B;PSMC5;PSMC6;PSMD13;PSMD2;PSMB6;PSMA2;PSMA1;PSMD1;PSMC2;PSMB4;PSMC3;PSMD7;PSMA5;PSMD6;PSMB5;BTRC
human_PD_postmortem_meta_limma	prerank	Cross-presentation of soluble exogenous antigens (endosomes)	-0.6878321104663399	-2.976582524283044	0.0	0.0	0.0	24/38	15.70%	PSMD14;PSMD8;PSMB7;PSMA3;PSMA4;PSMC1;PSMD12;PSMC5;PSMB10;PSMC6;PSMD13;PSMD2;PSMB6;PSMA2;PSMA1;PSMD1;PSMC2;PSMB4;PSMC3;PSMD7;MRC2;PSMA5;PSMD6;PSMB5
human_PD_postmortem_meta_limma	prerank	GLI3 is processed to GLI3R by the proteasome	-0.6865944537879745	-2.9765140903548746	0.0	0.0	0.0	27/45	16.63%	PSMD14;PSMD8;PSMB7;PSMA3;PSMA4;PSMC1;SKP1;PSMD12;RBX1;GSK3B;PSMC5;PSMC6;PSMD13;PSMD2;PSMB6;PSMA2;PSMA1;PSMD1;PSMC2;PSMB4;PSMC3;PSMD7;PSMA5;PSMD6;PSMB5;BTRC;PRKACB
human_PD_postmortem_meta_limma	prerank	Ubiquitin-dependent degradation of Cyclin D	-0.7100230153169452	-2.972737260604597	0.0	0.0	0.0	24/37	16.06%	PSMD14;PSMD8;PSMB7;PSMA3;PSMA4;PSMC1;PSMD12;GSK3B;PSMC5;PSMC6;PSMD13;PSMD2;PSMB6;PSMA2;PSMA1;PSMD1;PSMC2;PSMB4;PSMC3;PSMD7;PSMA5;PSMD6;PSMB5;CCND1
human_PD_postmortem_meta_limma	prerank	Regulation of activated PAK-2p34 by proteasome mediated degradation	-0.7266745379353087	-2.959328290543573	0.0	0.0	0.0	22/35	15.70%	PSMD14;PSMD8;PSMB7;PSMA3;PSMA4;PSMC1;PSMD12;PSMC5;PSMC6;PSMD13;PSMD2;PSMB6;PSMA2;PSMA1;PSMD1;PSMC2;PSMB4;PSMC3;PSMD7;PSMA5;PSMD6;PSMB5
human_PD_postmortem_meta_limma	prerank	ER to Golgi Anterograde Transport	-0.5236199986994823	-2.9527838679764487	0.0	0.0	0.0	71/149	16.62%	TRAPPC2L;NAPG;ACTR10;F8;DYNC1I1;ANK1;SEC23A;SEC23IP;COPG2;TUBB3;CSNK1D;COG6;SEC31A;TRAPPC6B;ARFGAP2;DCTN6;DCTN2;TUBB4B;COG1;DCTN3;TRAPPC9;NAPA;MCFD2;TRAPPC1;COPE;ARCN1;ARF3;CAPZA2;CAPZA1;TUBA1B;TMEM115;CNIH3;DYNLL2;TRAPPC2;GORASP1;DYNC1LI1;BET1;TUBB2A;ANK2;TUBA1A;USO1;NAPB;CNIH1;YKT6;TRAPPC5;GOSR1;GBF1;DYNLL1;COPG1;GOLGB1;SCFD1;ANK3;DYNC1I2;DYNC1H1;DCTN5;SEC22B;TMED2;CAPZB;DCTN4;TUBA1C;ARF4;RAB1A;ACTR1A;TMED3;TUBA4A;SEC22C;COPB2;SPTAN1;GRIA1;KDELR3;SPTBN2
human_PD_postmortem_meta_limma	prerank	Hh mutants are degraded by ERAD	-0.6861980123316685	-2.9518732611518077	0.0	0.0	0.0	31/40	24.97%	PSMD14;ERLEC1;PSMD8;PSMB7;PSMA3;PSMA4;PSMC1;PSMD12;PSMC5;PSMC6;PSMD13;PSMD2;PSMB6;PSMA2;PSMA1;PSMD1;PSMC2;PSMB4;PSMC3;PSMD7;PSMA5;PSMD6;PSMB5;VCP;UBB;PSMB1;PSMD11;SHH;RPS27A;PSMB3;SEL1L
human_PD_postmortem_meta_limma	prerank	Vpu mediated degradation of CD4	-0.7088559043872751	-2.9503338279518982	0.0	0.0	0.0	24/37	16.28%	PSMD14;PSMD8;PSMB7;PSMA3;PSMA4;PSMC1;SKP1;PSMD12;PSMC5;PSMC6;PSMD13;PSMD2;PSMB6;PSMA2;PSMA1;PSMD1;PSMC2;PSMB4;PSMC3;PSMD7;PSMA5;PSMD6;PSMB5;BTRC
