dataset	Name	pathway	ES	NES	nominal_p	dataset_FDR	FWER p-val	Tag %	Gene %	leading_genes
GSE46798_exposure_corrected	prerank	Acyl chain remodelling of PC	-0.4590362196214235	-1.3257953210930962	0.1270440251572327	0.43944028740949514	1.0	8/24	20.45%	PLB1;MBOAT2;PLA2G2D;LPCAT4;PLA2G4C;PLA2G12A;PLA2G5;PLBD1
GSE46798_exposure_corrected	prerank	Maturation of spike protein_9694548	-0.41695911125121526	-1.3255479481445112	0.10278113663845223	0.4387296655505471	1.0	24/41	41.09%	MAGT1;GANAB;MAN2A1;ST3GAL1;MGAT4C;ST6GALNAC3;ZDHHC2;STT3B;ZDHHC3;PRKCSH;MGAT5;MGAT2;MAN1B1;ZDHHC8;ST3GAL3;ZDHHC9;ST6GAL1;MGAT4B;DDOST;TUSC3;ST3GAL2;FUT8;RPN2;CANX
GSE46798_exposure_corrected	prerank	Factors involved in megakaryocyte development and platelet production	-0.34803286778948633	-1.325543853730322	0.043248945147679324	0.43741703018346306	1.0	64/152	32.70%	MAFF;KIF6;SH2B2;DOCK3;RAD51B;CENPE;KIF21A;KIF3A;KIF5C;HBB;CAPZA1;KIF26B;TUBA1A;WEE1;IFNA10;VPS45;KIF1B;KIF21B;TUBB4A;TUBA8;ITPK1;HDAC2;MFN1;IFNA7;KIF1A;KIF20A;KIFAP3;DOCK5;TUBB2B;KIF2A;TUBA3E;MAFG;KIF3B;DOCK1;PRKAR1A;RCOR1;PRKACB;PHF21A;KIF15;KIF5A;CARMIL1;IFNA14;GATA1;DOCK11;HBG2;GATA6;IFNA13;CABLES2;RAD51C;DOCK7;KIF5B;IFNA8;KIFC2;DOCK9;EHD1;KIF23;GATA5;TUBA1B;TP53;CBX5;DOCK10;JAK2;RACGAP1;RAC1
GSE46798_exposure_corrected	prerank	Cross-presentation of soluble exogenous antigens (endosomes)	-0.41789113454900156	-1.325367719052607	0.08778173190984578	0.43664642045160057	1.0	23/39	38.81%	PSMD14;PSMA4;PSMC5;PSMD1;PSMC3;PSMA3;PSMB2;MRC1;PSMB7;PSMB4;PSMD11;PSMD13;PSMA5;PSMB9;ADRM1;PSMA6;PSMA2;PSMC6;PSMD2;PSMC1;PSMB3;PSMB6;PSMB1
GSE46798_exposure_corrected	prerank	RUNX1 regulates transcription of genes involved in differentiation of HSCs	-0.3982909451157228	-1.3249092275129835	0.08515535097813579	0.43674457887232715	1.0	31/55	37.06%	RPS27A;ITCH;SPI1;PSMD14;PSMA4;PSMC5;PSMD1;PSMC3;CBFB;UBC;PSMA3;PSMB2;PSMB7;PSMB4;GATA1;PSMD11;PSMD13;PSMA5;ADRM1;PSMA6;PSMA2;PSMC6;PSMD2;LMO1;PSMC1;ABL1;CCNH;PSMB3;TCF12;MNAT1;PSMB6
GSE46798_exposure_corrected	prerank	RHOF GTPase cycle	-0.4180068104787409	-1.324384044828104	0.10372960372960373	0.4369375243469506	1.0	19/40	29.90%	DIAPH3;DIAPH2;ARHGAP5;ADD3;ARHGAP39;FARP1;ARHGAP21;STEAP3;LMNB1;RAB7A;SOWAHC;BASP1;ACTN1;AKAP12;ESYT1;PIK3R1;ARHGAP1;SLC4A7;SNAP23
GSE46798_exposure_corrected	prerank	STAT5 activation downstream of FLT3 ITD mutants	-0.569224400749333	-1.3241199433455444	0.12380952380952381	0.4363622575433169	1.0	4/10	15.87%	GAB2;BCL2L1;PTPN11;NOX4
GSE46798_exposure_corrected	prerank	Signaling by EGFR	-0.4020137098357347	-1.3232871738587182	0.0944700460829493	0.4373484119777604	1.0	29/51	39.61%	RPS27A;EPS15;EREG;ARHGEF7;SH3KBP1;LRIG1;ADAM17;PTPN11;UBC;STAM2;HRAS;PIK3CA;PLCG1;CBL;PXN;SPRY2;ADAM12;PIK3R1;PAG1;EPN1;SPRY1;SH3GL1;CSK;SHC1;EPS15L1;PTPN12;CDC42;STAM;SH3GL2
GSE46798_exposure_corrected	prerank	Regulation of PLK1 Activity at G2/M Transition	-0.3706047576364112	-1.322945190081075	0.07386990077177508	0.43706836993314685	1.0	47/84	42.13%	NINL;PPP1R12B;RPS27A;HAUS2;YWHAG;CEP152;CEP63;BORA;TUBA1A;PCNT;PPP1R12A;TUBB4A;OPTN;CEP164;DCTN2;UBC;DYNC1H1;SKP1;FBXW11;CEP76;DYNC1I2;CKAP5;CEP70;CEP192;CEP41;CETN2;HSP90AA1;OFD1;CEP57;PPP2R1A;DYNLL1;CDK1;PLK4;DCTN1;PAFAH1B1;CLASP1;PCM1;ODF2;CEP131;CCP110;PRKACA;HAUS7;CCNB2;HAUS1;ACTR1A;CDK5RAP2;CEP290
GSE46798_exposure_corrected	prerank	Activation of GABAB receptors	-0.41804043487852444	-1.3226470673332853	0.10501193317422435	0.4353543021876876	1.0	22/40	36.95%	ADCY9;KCNJ2;GABBR2;ADCY1;GNAI3;GNG5;KCNJ16;GNG8;GNB1;GNGT2;KCNJ3;ADCY8;GNAI2;GNAI1;ADCY7;GNB5;KCNJ6;GNB4;GNG7;ADCY3;ADCY4;GNB2
