pathway	meta_z	meta_p	meta_FDR	same_NES_direction	NES_GSE17542_SN_MPTP10_limma	nominal_p_GSE17542_SN_MPTP10_limma	NES_GSE46798_exposure_corrected_limma	nominal_p_GSE46798_exposure_corrected_limma	NES_human_PD_postmortem_meta_limma	nominal_p_human_PD_postmortem_meta_limma
Developmental Lineage of Pancreatic Endocrine Mid Progenitor Cells	0.8469831959617584	0.39700448786434106	0.6092419581539035	False	0.9229429538338182	0.5739910313901345	-0.9455672162861075	0.5486284289276808	1.3008789726180499	0.13241379310344828
Diseases of programmed cell death	0.8445232772017848	0.39837706162114417	0.6105755957580148	True	0.4512765606674043	1.0	0.6486437562615761	0.9685534591194969	1.2573011929953937	0.15463917525773196
RAC3 GTPase cycle	-0.8440744611392188	0.39862779784819125	0.6105755957580148	False	-0.9273446727864953	0.5940246045694201	-1.1020139787496264	0.3094972067039106	0.7092861796610169	0.9304245283018868
Lewis blood group biosynthesis	0.8347053474991497	0.4038836300592695	0.6172233439322353	False	-0.9907600614872131	0.46345811051693403	0.8073537590304856	0.7296137339055794	1.4468060326732841	0.06676136363636363
Receptor-type tyrosine-protein phosphatases	-0.834361518701532	0.40407729498378453	0.6172233439322353	False	1.425759726087883	0.07889125799573561	-1.1855275475850593	0.25806451612903225	-1.5773969539857347	0.03832752613240418
Glycosphingolipid catabolism	0.8343005541990618	0.40411163963444685	0.6172233439322353	True	0.8441439236268508	0.7207792207792207	1.1152216114902131	0.2774869109947644	0.3741643893277219	0.9986824769433466
Activation of the AP-1 family of transcription factors	-0.83279802220152	0.4049586503731607	0.6179340762998559	False	0.7534499625737255	0.7889125799573561	-0.3918873407322691	0.9972260748959778	-1.4339928163612596	0.08787878787878788
Nucleotide salvage	-0.829907766980555	0.40659093318347006	0.6198406034124653	True	-0.922481761128846	0.5714285714285714	-0.7008521436873797	0.8669201520912547	-0.9868342962270558	0.48148148148148145
Transcriptional Regulation by MECP2	-0.8285201238379375	0.40737600307279753	0.6198703149146545	False	0.8794821981556927	0.7033707865168539	-1.3455372923162816	0.05529411764705883	0.7128581382056839	0.9197530864197531
Activation of the TFAP2 (AP-2) family of transcription factors	0.8285198334968963	0.4073761674300138	0.6198703149146545	False	0.5768450603962544	0.9621848739495799	-0.45327779042951694	0.9946164199192463	1.2810710920068167	0.1632047477744807
Transcriptional Regulation by VENTX	0.8259423922008843	0.40883677145226716	0.6215086694659347	False	1.0606568579395557	0.35384615384615387	-0.8542107771008998	0.6831072749691739	1.0661504794944834	0.3619550858652576
Biosynthesis of specialized proresolving mediators (SPMs)	0.820543156874728	0.4119065372161158	0.623607531281099	False	-1.369573615499432	0.1001788908765653	0.9048823609234384	0.6061946902654868	1.6583999335753628	0.01078167115902965
Translation of Structural Proteins_9694635	-0.8201065103035565	0.41215539120506406	0.623607531281099	False	0.7969416270925851	0.8536585365853658	-1.2882697315343516	0.11007025761124122	-0.6194052407120645	0.9943820224719101
Signaling by TGFB family members	-0.8196911981930498	0.4123921689439425	0.623607531281099	False	-1.1425303908682287	0.18003273322422259	-1.0793542738021227	0.3258785942492013	1.0593314434515424	0.36633663366336633
Aberrant regulation of mitotic cell cycle due to RB1 defects	-0.819084745179806	0.412738064743257	0.623607531281099	True	-0.8430549802923494	0.7148080438756855	-0.6504220002124075	0.9361963190184049	-1.0924853171025815	0.33043478260869563
NFE2L2 regulating tumorigenic genes	0.8187169369681067	0.41294793111228323	0.623607531281099	False	-0.7339447274533429	0.8129770992366412	-0.9398788449196236	0.5596707818930041	1.5791819087263999	0.025222551928783383
SARS-CoV-2 Infection	-0.818292626018695	0.4131901156925776	0.623607531281099	True	-0.7816689222245118	0.9740061162079511	-1.0174803279345703	0.45380710659898477	-1.0034354618855943	0.525
Glucagon-type ligand receptors	-0.8179875545335409	0.413364293762996	0.623607531281099	False	-1.1547057528500708	0.25627240143369173	-1.065632449526971	0.3688118811881188	0.9527779405919093	0.5371352785145889
Defective B4GALT7 causes EDS, progeroid type	-0.817468608876404	0.41366068140729495	0.623607531281099	False	-1.2075902260552187	0.22160148975791433	-0.7596379733164552	0.80859375	0.5646136372984273	0.961218836565097
Synthesis of PA	-0.8174276895372968	0.4136840571932676	0.623607531281099	False	0.6976105619543277	0.9346846846846847	0.8051262622884733	0.8297872340425532	-1.3098357030546608	0.0867579908675799
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	-0.8163369803544723	0.4143074293148563	0.6239662586611651	False	0.6918875493269746	0.952808988764045	-1.334624010919637	0.08472553699284009	0.7890537263426965	0.801980198019802
mRNA decay by 3' to 5' exoribonuclease	-0.8102572898599952	0.417792316946061	0.6282137362106227	False	0.9743261661300302	0.46258503401360546	0.6035846666186125	0.9718875502008032	-1.5735362667428154	0.02976190476190476
Regulation of RUNX1 Expression and Activity	0.8099380889609945	0.41797575924937436	0.6282137362106227	False	1.1450362278876371	0.2782608695652174	-0.8973998164032345	0.6221662468513854	1.024984339958961	0.41713483146067415
Heme degradation	0.8093883698625527	0.4182917897684072	0.6282137362106227	True	1.0343017035845672	0.42691415313225056	0.8661112836810806	0.623015873015873	0.6638458041640692	0.9077809798270894
