dataset	Name	pathway	ES	NES	nominal_p	dataset_FDR	FWER p-val	Tag %	Gene %	leading_genes
GSE17542_SN_MPTP10_limma	prerank	Presynaptic nicotinic acetylcholine receptors	-0.6698710022664722	-1.7731874757640929	0.005385996409335727	0.23170500804695637	0.847	7/12	21.13%	CHRNA5;CHRNA3;CHRNA4;CHRNB2;CHRNA6;CHRNG;CHRNB3
GSE17542_SN_MPTP10_limma	prerank	G-protein activation	-0.5501641443943526	-1.7710208490851378	0.007246376811594203	0.22111773801634638	0.851	9/23	15.10%	GNB3;GNB2;GNA14;GNG8;GNG7;GNB1;GNG3;GNB5;PDYN
GSE17542_SN_MPTP10_limma	prerank	Mitotic Telophase/Cytokinesis	0.6227741523580719	1.7502586208436508	0.012711864406779662	0.46313216349207015	0.905	7/13	14.09%	SMC1A;PDS5B;STAG1;NIPBL;PDS5A;KIF20A;STAG2
GSE17542_SN_MPTP10_limma	prerank	Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	-0.540227766153608	-1.7431650669415544	0.0036900369003690036	0.2717031146454606	0.914	12/26	21.34%	PFDN6;TUBB3;PFDN2;TUBB6;ACTB;PFDN1;TUBB2A;TUBB2B;VBP1;TUBA1A;TUBB4B;PFDN5
GSE17542_SN_MPTP10_limma	prerank	Interleukin-21 signaling	-0.6836849367975952	-1.7359031145155794	0.0019157088122605363	0.27404202237555064	0.931	5/10	11.91%	STAT4;STAT5B;STAT1;JAK3;IL21
GSE17542_SN_MPTP10_limma	prerank	Thromboxane signalling through TP receptor	-0.5427537882265455	-1.7340865415276583	0.007326007326007326	0.26354220356871116	0.937	8/23	13.49%	GNB3;GNB2;GNA14;GNG8;GNG7;GNB1;GNG3;GNB5
GSE17542_SN_MPTP10_limma	prerank	Meiosis	0.4322052997049147	1.7287122939710913	0.00228310502283105	0.4885834035130353	0.945	18/57	14.09%	TINF2;CDK2;ATR;STAG3;RAD50;RPA2;DIDO1;SMC1A;STAG1;UBE2I;SYNE1;BLM;MLH1;TEX12;SYCE2;NBN;ACD;STAG2
GSE17542_SN_MPTP10_limma	prerank	Homology Directed Repair	0.39248231962746694	1.7283645922277877	0.0024154589371980675	0.43573952336149985	0.946	35/94	22.71%	RMI1;TIPIN;CDK2;RAD17;ATR;ERCC4;RAD50;RPA2;RAD51D;POLD3;UBE2I;BLM;XRCC1;LIG3;RFC4;RAD52;POLK;WRN;SPIDR;NBN;PALB2;EME2;EME1;RTEL1;HERC2;UIMC1;SLX4;RFC5;ATRIP;MDC1;ABL1;RAD51AP1;CHEK1;HUS1;RNF168
GSE17542_SN_MPTP10_limma	prerank	Uptake and actions of bacterial toxins	-0.5235345639300323	-1.7274087235368638	0.0035778175313059034	0.26722704707427947	0.944	14/27	28.54%	TXNRD1;SV2C;SV2A;SYT1;EEF2;VAMP2;VAMP1;MAP2K3;PDCD6IP;MAP2K6;HSP90AB1;MAP2K4;HSP90AA1;SNAP25
GSE17542_SN_MPTP10_limma	prerank	Activation of Matrix Metalloproteinases	-0.5201830773640558	-1.7243409272483687	0.008547008547008548	0.26060304837640824	0.95	11/27	15.23%	ELANE;CTSK;MMP2;MMP16;TPSAB1;MMP8;MMP3;MMP17;MMP7;CTSG;MMP11
