dataset	Name	pathway	ES	NES	nominal_p	dataset_FDR	FWER p-val	Tag %	Gene %	leading_genes
GSE46798_exposure_corrected_limma	prerank	Ub-specific processing proteases	-0.39365406712561113	-1.4666652935100932	0.005252100840336135	0.4358055107031296	1.0	82/147	39.22%	BIRC3;IL33;ATXN7;SUDS3;USP49;ARRB1;SMAD3;ADRB2;RNF123;TRAF6;PSMD14;WDR48;PSMC5;PSMA4;RPS27A;USP9X;MYC;PSMD1;PSMC3;USP11;TAF9B;MAP3K7;USP13;USP7;STAM2;PSMA3;USP16;HIF1A;CYLD;PSMB2;BIRC2;PTEN;USP15;PTRH2;USP22;CCNA1;TOMM70;PSMB7;FKBP8;PSMB4;PSMD11;USP5;RIPK1;USP26;RHOT1;ARRB2;PSMD13;VDAC1;ADRM1;USP2;PSMA2;PSMA6;USP34;PSMA5;FOXO4;USP42;UBC;USP24;SIAH2;USP14;PSMD2;MAT2B;PSMC6;SMAD2;USP48;CFTR;PSMC1;TP53;TNKS2;VDAC3;PSMB3;TNKS;MDM4;PSMB6;USP10;USP47;SKP2;CCP110;TAB1;TOMM20;PSMB1;USP37
GSE46798_exposure_corrected_limma	prerank	TCF dependent signaling in response to WNT	-0.3897721961290277	-1.4664615109420012	0.0031512605042016808	0.4326723340747855	1.0	74/160	33.96%	CDC73;DVL3;DVL1;TLE1;CXXC4;SOX4;PSMD14;LEO1;PSMC5;PYGO2;PSMA4;AMER1;SFRP2;SMARCA4;APC;RPS27A;CREBBP;WNT1;WNT4;PIP5K1B;MYC;HECW1;KAT5;PSMD1;PSMC3;TLE4;RNF43;FRAT1;PSMA3;PYGO1;PPP2R5D;PSMB2;SOX2;TLE2;WNT9A;TCF4;CUL3;CHD8;XPO1;CTBP1;RSPO3;RBX1;PPP2R5E;KREMEN1;SFRP1;PSMB7;LGR4;PSMB4;PSMD11;PPP2CA;GSK3B;SRY;PSMD13;ADRM1;LRP6;AKT1;PSMA2;PSMA6;FZD6;USP34;PSMA5;WNT3;UBC;CSNK1G2;LRP5;PSMD2;BCL9;PPP2R1A;PSMC6;FZD1;PSMC1;SOX6;RSPO1;TNKS2
GSE46798_exposure_corrected_limma	prerank	Downstream TCR signaling	-0.4229199320156086	-1.4658759741177634	0.014412416851441241	0.4308811044643122	1.0	40/80	34.59%	BCL10;UBE2D1;HLA-DRB3;TRAF6;PSMD14;PSMC5;PSMA4;RPS27A;UBE2D2;PSMD1;PSMC3;MAP3K7;UBE2N;PSMA3;FBXW11;PSMB2;SKP1;PIK3CB;PIK3CA;PTEN;MALT1;HLA-DRA;TRAT1;PSMB7;PSMB4;PSMD11;PIK3R1;PSMD13;ADRM1;PSMA2;PSMA6;PSMA5;PDPK1;UBC;PSMD2;PSMC6;PIK3R2;PSMC1;HLA-DPB1;CD3D
GSE46798_exposure_corrected_limma	prerank	Activation of STAT3 by cadherin engagement	-0.42449600200748167	-1.465407489873663	0.019406392694063926	0.42873966848061557	1.0	40/74	37.74%	FARP2;CDH11;PSMD14;HACE1;PSMC5;PSMA4;RPS27A;PSMD1;PSMC3;CTSS;DOCK1;PSMA3;IL6ST;PSMB2;BIRC2;IL6R;CTSB;VCL;PSMB7;ACTC1;PSMB4;PSMD11;PSMD13;ADRM1;PSMA2;PSMA6;PSMA5;VAV2;UBC;PSMD2;JAK2;CTNND1;PSMC6;PSMC1;RAC1;CTSL;CTNNA1;PSMB3;PSMB6;CDC42
GSE46798_exposure_corrected_limma	prerank	Signaling by CSF1 (M-CSF) in myeloid cells	-0.4929641127744011	-1.4612923225367906	0.0343558282208589	0.4404946457259336	1.0	18/31	35.73%	LYN;FYN;GAB2;CSF1R;PIK3CD;RPS27A;STAT1;PTPN11;PLCG2;PIK3CB;PIK3CA;HCK;CBL;PIK3R1;UBC;YES1;INPPL1;SHC1
GSE46798_exposure_corrected_limma	prerank	Lysine catabolism	-0.6076362177381209	-1.4601812440330015	0.05383580080753701	0.4407039269058741	1.0	7/12	25.61%	HYKK;AASS;CRYM;ALDH7A1;PHYKPL;GCDH;AADAT
GSE46798_exposure_corrected_limma	prerank	Homology Directed Repair	-0.4098943914913186	-1.4600618210377303	0.01511879049676026	0.4373634892006363	1.0	42/98	31.76%	XRCC2;TOP3A;RBBP8;RAD51B;RHNO1;RAD51;POLH;RAD17;HUS1;RAD51D;BARD1;UBE2V2;RPS27A;TIMELESS;RFC1;KAT5;TOPBP1;SPIDR;PARP2;UBE2N;NBN;POLD3;RPA3;ATM;ATRIP;EME1;GEN1;RMI1;SLX1A;CCNA1;PARP1;RPA1;POLE2;RAD51C;UIMC1;XRCC1;WRN;MUS81;UBC;BRIP1;RTEL1;MDC1
GSE46798_exposure_corrected_limma	prerank	Regulation of cholesterol biosynthesis by SREBP (SREBF)	-0.4394678253458215	-1.45900744938959	0.020833333333333332	0.43720907856014296	1.0	23/55	24.18%	ACACB;IDI1;NCOA6;FDPS;CREBBP;INSIG2;HMGCR;MBTPS1;MBTPS2;SC5D;CHD9;TBL1XR1;INSIG1;NCOA2;ACACA;SMARCD3;ELOVL6;MED1;SREBF2;HMGCS1;KPNB1;CARM1;SEC24B
GSE46798_exposure_corrected_limma	prerank	RND2 GTPase cycle	-0.46120269340366415	-1.4582996027000084	0.02650602409638554	0.43582671867523076	1.0	20/41	29.72%	ANKRD26;KIDINS220;ARHGAP5;PTPN13;EPHA2;KTN1;TNFAIP1;NISCH;UBXN11;DLG5;VANGL2;ALDH3A2;FNBP1;FRS3;LRRC1;PIK3R1;KCTD13;ARHGAP1;DST;TXNL1
GSE46798_exposure_corrected_limma	prerank	PINK1-PRKN Mediated Mitophagy	-0.49108160612917984	-1.456813134658678	0.052948255114320095	0.437650762934056	1.0	16/30	30.61%	RPS27A;UBE2D2;MFN1;OPTN;PINK1;UBE2N;MTERF3;TBK1;ATG12;TOMM70;TOMM7;VDAC1;MAP1LC3A;TOMM40;UBC;ATG5
GSE46798_exposure_corrected_limma	prerank	Degradation of AXIN	-0.47105212414826353	-1.4566652056945504	0.02902055622732769	0.4347003040826354	1.0	24/40	36.85%	PSMD14;PSMC5;PSMA4;RPS27A;PSMD1;PSMC3;PSMA3;PSMB2;PSMB7;PSMB4;PSMD11;PSMD13;ADRM1;PSMA2;PSMA6;PSMA5;UBC;PSMD2;PSMC6;PSMC1;TNKS2;PSMB3;TNKS;PSMB6
