pathway	comparison	effect	permutation_CI_low	permutation_CI_high	p_exact	BH_four	Welch_CI_low	Welch_CI_high	assignments	two_sided_minimum_p
R-HSA-112315	all_nonsynaptic	-0.31892794472288	-0.4324784365	-0.2171267711352	0.0079365079365079	0.015873015873	-0.417301537376	-0.22055435207	252	0.0079365079365079
R-HSA-112315	matched_nonsynaptic	-0.28714804780624	-0.3842659352675	-0.1854839792713	0.0079365079365079	0.015873015873	-0.384352085371	-0.189944010242	252	0.0079365079365079
R-HSA-112310	all_nonsynaptic	-0.38460894865442	-0.6554581031835	-0.1482799706198	0.015873015873016	0.015873015873	-0.643752349802	-0.125465547506	252	0.0079365079365079
R-HSA-112310	matched_nonsynaptic	-0.33581567158096	-0.591877734972	-0.1014224821618	0.015873015873016	0.015873015873	-0.592889011528	-0.0787423316342	252	0.0079365079365079
