shift	p_exact	location	accepted_95	pathway	comparison
-0.368414897233	0.26984126984127	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.3682737212561	0.26984126984127	interior	True	R-HSA-112315	all_nonsynaptic
-0.3681325452792	0.27777777777778	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.36781091385343	0.27777777777778	interior	True	R-HSA-112315	all_nonsynaptic
-0.36748928242767	0.28571428571429	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.36674262655633	0.28571428571429	interior	True	R-HSA-112315	all_nonsynaptic
-0.365995970685	0.29365079365079	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.36564893093325	0.29365079365079	interior	True	R-HSA-112315	all_nonsynaptic
-0.3653018911815	0.3015873015873	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.3643641491145	0.3015873015873	interior	True	R-HSA-112315	all_nonsynaptic
-0.3634264070475	0.30952380952381	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.363290546444	0.30952380952381	interior	True	R-HSA-112315	all_nonsynaptic
-0.3631546858405	0.31746031746032	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.36312636301792	0.31746031746032	interior	True	R-HSA-112315	all_nonsynaptic
-0.36309804019533	0.32539682539683	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.36299050241442	0.32539682539683	interior	True	R-HSA-112315	all_nonsynaptic
-0.3628829646335	0.33333333333333	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.3623529495025	0.33333333333333	interior	True	R-HSA-112315	all_nonsynaptic
-0.3618229343715	0.34126984126984	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.3616843081511	0.34126984126984	interior	True	R-HSA-112315	all_nonsynaptic
-0.3615456819307	0.34920634920635	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.36151555221368	0.34920634920635	interior	True	R-HSA-112315	all_nonsynaptic
-0.36148542249667	0.35714285714286	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.36124645149808	0.35714285714286	interior	True	R-HSA-112315	all_nonsynaptic
-0.3610074804995	0.36507936507937	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.36066044074775	0.36507936507937	interior	True	R-HSA-112315	all_nonsynaptic
-0.360313400996	0.37301587301587	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.35983501949973	0.37301587301587	interior	True	R-HSA-112315	all_nonsynaptic
-0.35935663800347	0.38095238095238	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.35903328316173	0.38095238095238	interior	True	R-HSA-112315	all_nonsynaptic
-0.35870992832	0.38888888888889	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.35832109163033	0.38888888888889	interior	True	R-HSA-112315	all_nonsynaptic
-0.35793225494067	0.3968253968254	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.35791336469433	0.3968253968254	interior	True	R-HSA-112315	all_nonsynaptic
-0.357894474448	0.4047619047619	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.35722987359175	0.4047619047619	interior	True	R-HSA-112315	all_nonsynaptic
-0.3565652727355	0.41269841269841	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.35621109515425	0.41269841269841	interior	True	R-HSA-112315	all_nonsynaptic
-0.355856917573	0.42063492063492	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.355546494298	0.42063492063492	interior	True	R-HSA-112315	all_nonsynaptic
-0.355236071023	0.42857142857143	breakpoint	True	R-HSA-112315	all_nonsynaptic
