NGenes	Direction	PValue	FDR	pathway	fixed_correlation
169	Up	3.47417970777893e-29	2.99474290810544e-26	R-HSA-72203	0
414	Up	3.78130422796392e-27	1.62974212225245e-24	R-HSA-8953854	0
132	Up	1.11690171874083e-20	3.20923093851531e-18	R-HSA-72172	0
131	Up	1.4922457660549e-20	3.2157896258483e-18	R-HSA-72163	0
150	Down	1.63095390387334e-18	2.81176453027764e-16	R-HSA-1428517	0
138	Up	1.80414011496311e-16	2.59194796516366e-14	R-HSA-9918481	0
184	Down	3.48666957757333e-16	4.28679292152848e-14	R-HSA-382551	0
95	Up	3.97846210814708e-16	4.28679292152848e-14	R-HSA-9770562	0
103	Down	1.21571216442233e-15	1.14237614606719e-13	R-HSA-611105	0
105	Up	1.32526235042597e-15	1.14237614606719e-13	R-HSA-72187	0
89	Up	8.5314025514998e-14	6.6855172721753e-12	R-HSA-4839726	0
55	Up	1.04087406772947e-13	7.47694538652335e-12	R-HSA-2990846	0
53	Up	3.3202846741936e-13	2.20160414550376e-11	R-HSA-3108232	0
49	Down	9.28842695015881e-13	5.71901716502635e-11	R-HSA-6799198	0
50	Up	3.92877593383906e-12	2.25773656997951e-10	R-HSA-3247509	0
90	Down	2.10015981444551e-11	1.07032068675171e-09	R-HSA-5368287	0
83	Down	2.1108412615753e-11	1.07032068675171e-09	R-HSA-5419276	0
171	Down	2.49049446170023e-11	1.19267012554755e-09	R-HSA-109582	0
85	Down	3.02146742362316e-11	1.37079206271745e-09	R-HSA-5389840	0
495	Up	4.19995829992226e-11	1.75464887878044e-09	R-HSA-9824446	0
84	Down	4.27466664204052e-11	1.75464887878044e-09	R-HSA-5368286	0
295	Up	6.51272465315847e-11	2.551803932283e-09	R-HSA-74160	0
64	Up	8.8666089901446e-11	3.32305084761071e-09	R-HSA-212165	0
59	Up	2.34779774106705e-10	8.43250688666582e-09	R-HSA-9932444	0
21	Up	6.42922099800602e-10	2.20961784285107e-08	R-HSA-9842860	0
204	Up	6.66474059328628e-10	2.20961784285107e-08	R-HSA-9839923	0
84	Down	2.0132186779227e-09	6.42738703840507e-08	R-HSA-76002	0
77	Down	5.30284717229688e-09	1.6325193794714e-07	R-HSA-9937383	0
104	Down	6.70471340116716e-09	1.99291825924348e-07	R-HSA-112316	0
33	Down	8.12794528049544e-09	2.33542961059569e-07	R-HSA-425407	0
29	Up	8.56632065292924e-09	2.38198980736291e-07	R-HSA-3108214	0
251	Up	2.234298106135e-08	6.01864052340117e-07	R-HSA-73857	0
87	Down	2.46374892564086e-08	6.43561083000734e-07	R-HSA-112315	0
15	Up	5.03852423550306e-08	1.27741408558931e-06	R-HSA-9845323	0
70	Down	5.54445747795465e-08	1.36552067028483e-06	R-HSA-9837999	0
23	Up	1.83018323411228e-07	4.38227207723551e-06	R-HSA-4570464	0
33	Up	2.51498991782874e-07	5.85924678153615e-06	R-HSA-9705671	0
46	Up	3.39837098608325e-07	7.70893628948358e-06	R-HSA-72202	0
23	Up	3.78445200768591e-07	8.18584871114797e-06	R-HSA-4551638	0
50	Down	3.79853768498746e-07	8.18584871114797e-06	R-HSA-1474244	0
19	Up	4.53725056405815e-07	9.53929264931251e-06	R-HSA-3214858	0
52	Up	5.53551862135522e-07	1.13609929800195e-05	R-HSA-9938024	0
122	Up	5.85084184730055e-07	1.17288969124955e-05	R-HSA-73894	0
29	Up	6.0805063015643e-07	1.19122646180646e-05	R-HSA-6784531	0
18	Down	9.66594167705645e-07	1.81131341861362e-05	R-HSA-6809371	0
18	Down	9.66594167705645e-07	1.81131341861362e-05	R-HSA-6805567	0
43	Down	1.21630775800111e-06	2.14307227969729e-05	R-HSA-983712	0
21	Up	1.25941052078728e-06	2.14307227969729e-05	R-HSA-9843745	0
23	Down	1.26079052445981e-06	2.14307227969729e-05	R-HSA-936837	0
26	Up	1.2679429961086e-06	2.14307227969729e-05	R-HSA-159231	0
26	Up	1.2679429961086e-06	2.14307227969729e-05	R-HSA-159234	0
64	Up	1.53235564249636e-06	2.54017416121512e-05	R-HSA-162587	0
206	Down	1.81930787626743e-06	2.9589497912123e-05	R-HSA-556833	0
46	Up	2.45181970129562e-06	3.9138307083645e-05	R-HSA-9937848	0
40	Up	4.57278154994868e-06	7.16679581101047e-05	R-HSA-159236	0
18	Up	4.66144657897685e-06	7.17529812692508e-05	R-HSA-3232142	0
128	Up	4.86788174597922e-06	7.36160362286682e-05	R-HSA-913531	0
35	Up	5.16010868210231e-06	7.66898911029688e-05	R-HSA-1169408	0
66	Down	5.91083701583522e-06	8.63583306381349e-05	R-HSA-112314	0
19	Up	6.14740164436104e-06	8.83176702906536e-05	R-HSA-4085377	0
14	Up	7.0431124634498e-06	9.95272613687497e-05	R-HSA-9932451	0
114	Up	7.31623735921263e-06	0.00010171930005873	R-HSA-1169410	0
11	Down	8.31116880303359e-06	0.000113717896955793	R-HSA-392518	0
22	Up	1.07821536513807e-05	0.000144178689866359	R-HSA-168276	0
50	Down	1.10050782444016e-05	0.000144178689866359	R-HSA-76005	0
15	Down	1.1039203632459e-05	0.000144178689866359	R-HSA-216083	0
10	Up	1.27797508101572e-05	0.000163172092717251	R-HSA-9933939	0
21	Up	1.30613392082254e-05	0.000163172092717251	R-HSA-159230	0
21	Up	1.30613392082254e-05	0.000163172092717251	R-HSA-159227	0
23	Up	1.64041540819695e-05	0.000202005440266538	R-HSA-177243	0
36	Up	1.7128790388844e-05	0.000206085854405665	R-HSA-5696399	0
47	Down	1.7229025562731e-05	0.000206085854405665	R-HSA-114608	0
30	Down	1.74527463707814e-05	0.000206085854405665	R-HSA-202733	0
11	Up	1.79900213411441e-05	0.000209559437784679	R-HSA-9843940	0
18	Up	1.96343200595928e-05	0.000225663785218253	R-HSA-8939243	0
49	Up	2.00488474919394e-05	0.000227396138658576	R-HSA-5696398	0
217	Up	2.11802389760664e-05	0.000237108649316484	R-HSA-1640170	0
14	Up	2.15356872326404e-05	0.000237996953776103	R-HSA-9943965	0
11	Up	2.58680907605132e-05	0.000282256889057751	R-HSA-9934037	0
23	Down	2.95567670621647e-05	0.000307503428895459	R-HSA-9768727	0
221	Up	3.03182989969011e-05	0.000307503428895459	R-HSA-212436	0
16	Up	3.10653510771776e-05	0.000307503428895459	R-HSA-5619107	0
16	Up	3.10653510771776e-05	0.000307503428895459	R-HSA-1855196	0
16	Up	3.10653510771776e-05	0.000307503428895459	R-HSA-1855229	0
16	Up	3.10653510771776e-05	0.000307503428895459	R-HSA-1855170	0
16	Up	3.10653510771776e-05	0.000307503428895459	R-HSA-3301854	0
16	Up	3.10653510771776e-05	0.000307503428895459	R-HSA-170822	0
20	Up	3.13924614185619e-05	0.000307503428895459	R-HSA-180910	0
18	Up	3.57812521115059e-05	0.000339286674665695	R-HSA-168274	0
18	Up	3.57812521115059e-05	0.000339286674665695	R-HSA-168333	0
54	Up	3.5817966815056e-05	0.000339286674665695	R-HSA-162599	0
24	Up	3.62878282110245e-05	0.000340001173020686	R-HSA-4615885	0
20	Up	4.31970352771005e-05	0.00040038542375119	R-HSA-180746	0
18	Up	5.24906021547104e-05	0.000481349989971919	R-HSA-168271	0
52	Down	6.46287882718319e-05	0.00058642121568757	R-HSA-1483257	0
16	Down	6.68531362447321e-05	0.000600285452530824	R-HSA-9694548	0
19	Up	7.31295585609003e-05	0.000643241627341796	R-HSA-1500620	0
19	Up	7.31295585609003e-05	0.000643241627341796	R-HSA-1474165	0
21	Up	8.0162060024598e-05	0.000697976724658621	R-HSA-165054	0
18	Up	8.58746817832117e-05	0.000732910650466619	R-HSA-9945266	0
18	Up	8.58746817832117e-05	0.000732910650466619	R-HSA-9976102	0
15	Down	9.50544930978304e-05	0.000803303657356175	R-HSA-5173105	0
12	Up	0.000110137556728557	0.000921733727184624	R-HSA-9824585	0
20	Down	0.000173046443506184	0.00143428879136856	R-HSA-5578775	0
17	Up	0.000203073072503097	0.00164219012928557	R-HSA-3214847	0
129	Up	0.00020358797932144	0.00164219012928557	R-HSA-8868773	0
25	Up	0.00020384494644264	0.00164219012928557	R-HSA-168325	0
26	Down	0.000223369061893455	0.0017828160310385	R-HSA-5576891	0
80	Down	0.000229946424517811	0.00181847539389315	R-HSA-372790	0
78	Down	0.000243079956548298	0.00190486293222394	R-HSA-388396	0
23	Up	0.000268176674076798	0.00208259723472252	R-HSA-9610379	0
279	Down	0.000276584258305502	0.00212871098802984	R-HSA-5653656	0
11	Up	0.000280821246954403	0.00213201909597593	R-HSA-9937850	0
69	Down	0.000281960762112826	0.00213201909597593	R-HSA-5668914	0
123	Up	0.000300930399793526	0.00225566960540886	R-HSA-6791226	0
26	Down	0.000305814749613837	0.00227251994971662	R-HSA-422356	0
16	Up	0.000309031921602049	0.00227679928564928	R-HSA-3899300	0
13	Down	0.0003236385044173	0.00236420670176027	R-HSA-917977	0
11	Down	0.000326414827023132	0.00236445025961294	R-HSA-418597	0
14	Up	0.000363268738009356	0.0026057651486217	R-HSA-77595	0
54	Up	0.000367474637362271	0.0026057651486217	R-HSA-3371556	0
64	Down	0.000368797387623952	0.0026057651486217	R-HSA-373760	0
42	Up	0.000416533604250293	0.00291912168181913	R-HSA-3371453	0
28	Up	0.000455541064595616	0.00314141118145137	R-HSA-194441	0
28	Up	0.000455541064595616	0.00314141118145137	R-HSA-191859	0
18	Up	0.000459837437521502	0.00314587199320265	R-HSA-9615933	0
175	Up	0.000465410949728529	0.00315893101311805	R-HSA-69278	0
98	Up	0.000484870417946164	0.0032399868237953	R-HSA-9938027	0
98	Up	0.000484870417946164	0.0032399868237953	R-HSA-9938026	0
24	Down	0.00049560012444672	0.00325289759581366	R-HSA-71403	0
38	Up	0.00049692019757685	0.00325289759581366	R-HSA-6790901	0
26	Up	0.000499737384521027	0.00325289759581366	R-HSA-2980766	0
32	Down	0.00050189719285756	0.00325289759581366	R-HSA-1483206	0
19	Up	0.000531494546278475	0.00341901715591079	R-HSA-5696394	0
13	Down	0.000575774249363909	0.00366186949968572	R-HSA-8868766	0
16	Down	0.000581563249063899	0.00366186949968572	R-HSA-9634597	0
11	Up	0.000585419394207709	0.00366186949968572	R-HSA-381042	0
40	Up	0.000587318143737302	0.00366186949968572	R-HSA-70171	0
44	Down	0.000590487077095493	0.00366186949968572	R-HSA-418594	0
17	Up	0.000613981219705521	0.00378037008132971	R-HSA-5696395	0
12	Down	0.000627278288967671	0.00381509369115709	R-HSA-9937008	0
28	Down	0.000628472510608245	0.00381509369115709	R-HSA-3781865	0
25	Up	0.000684274538202684	0.00412478777573926	R-HSA-2559583	0
34	Down	0.000744340468100896	0.00445570474654842	R-HSA-8957275	0
236	Up	0.000783322197865925	0.00465671541076157	R-HSA-1280215	0
87	Up	0.000860813410938197	0.00508216996509143	R-HSA-9705683	0
11	Down	0.000866680956923945	0.00508216996509143	R-HSA-977443	0
16	Down	0.00102384331251025	0.00596319550935021	R-HSA-8949215	0
15	Down	0.00115381302118357	0.00667507935745127	R-HSA-9836573	0
35	Down	0.00122618946587377	0.00704650213055459	R-HSA-381426	0
25	Up	0.00140537405992245	0.00802273138843145	R-HSA-9706574	0
15	Up	0.00145202884361965	0.00823453199473776	R-HSA-9013422	0
20	Up	0.0014721725267816	0.00829420077180222	R-HSA-5693565	0
23	Up	0.00153221988374105	0.00857645155704406	R-HSA-176033	0
32	Up	0.00156708779787069	0.00871503020493248	R-HSA-9018519	0
13	Up	0.00159612943203815	0.00881963827190309	R-HSA-381340	0
10	Down	0.00164082710802539	0.00896097902221526	R-HSA-210991	0
14	Up	0.00164249963516243	0.00896097902221526	R-HSA-1221632	0
18	Down	0.00174839019977402	0.00947869403902647	R-HSA-112310	0
40	Up	0.0018007241115016	0.00970140115071484	R-HSA-5633007	0
22	Down	0.00187140872868464	0.0100195920753178	R-HSA-174824	0
265	Down	0.00190655459223266	0.010144753447559	R-HSA-199991	0
50	Up	0.00198800620065537	0.0105132597850609	R-HSA-72306	0
148	Up	0.00201031138665008	0.0105644373207756	R-HSA-68886	0
53	Down	0.00202219507880275	0.0105644373207756	R-HSA-196854	0
137	Down	0.00209437083245477	0.0108755882986507	R-HSA-446203	0
37	Up	0.0021148301836769	0.0109160695708352	R-HSA-68875	0
27	Up	0.00223846292343726	0.0114612500452613	R-HSA-5693538	0
49	Down	0.00226461387409185	0.0114612500452613	R-HSA-9658195	0
49	Down	0.00226461387409185	0.0114612500452613	R-HSA-9824443	0
103	Up	0.00228693156355561	0.0114612500452613	R-HSA-72737	0
103	Up	0.00228693156355561	0.0114612500452613	R-HSA-72613	0
27	Up	0.00237462522491618	0.0118319476524725	R-HSA-429914	0
14	Up	0.002411677973816	0.0119475081231574	R-HSA-9764560	0
16	Up	0.00249142212432728	0.0122669294959219	R-HSA-73884	0
11	Down	0.00251867486911173	0.0122669294959219	R-HSA-8949664	0
20	Down	0.00251884747190044	0.0122669294959219	R-HSA-418555	0
73	Up	0.00253783358371228	0.0122899581413483	R-HSA-68877	0
34	Down	0.00255940257538564	0.012325167709399	R-HSA-163685	0
18	Up	0.00265644983869664	0.012721443116425	R-HSA-390471	0
20	Down	0.00276177178475271	0.0131527473947892	R-HSA-70895	0
17	Up	0.00279925816208784	0.0131855766979219	R-HSA-75067	0
17	Up	0.00279925816208784	0.0131855766979219	R-HSA-73856	0
12	Down	0.00289654382111908	0.0135696781185035	R-HSA-9857377	0
18	Up	0.00298156079897431	0.0138924616687343	R-HSA-73864	0
11	Down	0.00318988176063728	0.0147832154713405	R-HSA-164938	0
11	Up	0.0034830270996482	0.0160148770807182	R-HSA-9772755	0
17	Down	0.00349280381806848	0.0160148770807182	R-HSA-418346	0
74	Up	0.00354104863230882	0.0161501794764561	R-HSA-5693532	0
20	Down	0.00358363515949906	0.016173264437111	R-HSA-399721	0
20	Down	0.00358363515949906	0.016173264437111	R-HSA-399719	0
101	Up	0.00367259954590063	0.01643244697328	R-HSA-72706	0
21	Up	0.00367919056362301	0.01643244697328	R-HSA-5250913	0
35	Up	0.00377629695305094	0.0167792163584016	R-HSA-6781827	0
55	Up	0.00387491751001396	0.017041729049143	R-HSA-72662	0
55	Up	0.00387491751001396	0.017041729049143	R-HSA-72649	0
41	Up	0.00408979856839319	0.0178954637865733	R-HSA-9609690	0
20	Down	0.00415935111558904	0.0181078821294836	R-HSA-5663213	0
10	Down	0.0042082539019136	0.0182287179067815	R-HSA-9931295	0
11	Down	0.00425862174596116	0.0183546597250926	R-HSA-3000170	0
28	Down	0.00439886905097169	0.0188648016016796	R-HSA-437239	0
18	Down	0.00443180716927538	0.0189119692075019	R-HSA-9865881	0
61	Down	0.00447763993669071	0.0190134267262433	R-HSA-3858494	0
38	Down	0.00461840874253813	0.0193479443446528	R-HSA-9918432	0
100	Up	0.00462240283279199	0.0193479443446528	R-HSA-156827	0
13	Down	0.00463900384600235	0.0193479443446528	R-HSA-416993	0
42	Down	0.0046462000920454	0.0193479443446528	R-HSA-397014	0
11	Down	0.00469428415047497	0.0194541968159107	R-HSA-6785470	0
55	Up	0.0047690916629109	0.0196696507819579	R-HSA-72702	0
30	Up	0.00506731959242926	0.0208001404222573	R-HSA-73886	0
14	Up	0.00515404810286307	0.0210558742401325	R-HSA-73933	0
10	Down	0.00521240249560631	0.0211938252415691	R-HSA-1222556	0
24	Up	0.00535039776249769	0.0216527834332066	R-HSA-389957	0
13	Down	0.00554641746912388	0.0223044233475605	R-HSA-9660821	0
48	Up	0.00556316823634049	0.0223044233475605	R-HSA-9609646	0
10	Down	0.00568559208774359	0.0226897239797916	R-HSA-6806667	0
19	Up	0.00576242502733057	0.0228848320454977	R-HSA-8943724	0
41	Down	0.0057999220503958	0.0228848320454977	R-HSA-2682334	0
12	Down	0.00581412786306727	0.0228848320454977	R-HSA-456926	0
15	Up	0.00597191579793519	0.0233990518991824	R-HSA-73762	0
21	Up	0.00611218465882373	0.0238402858638283	R-HSA-9917777	0
18	Up	0.00622248695477532	0.0241611880856591	R-HSA-6803529	0
65	Up	0.00635575847937511	0.0245679991444903	R-HSA-8878171	0
26	Down	0.00639801668037783	0.0246209391896683	R-HSA-6794362	0
15	Up	0.00656553330380797	0.0251532875905887	R-HSA-5693571	0
13	Up	0.00659743232344392	0.0251636578000383	R-HSA-168928	0
108	Up	0.00691731754788616	0.026152314588938	R-HSA-68882	0
108	Up	0.00691731754788616	0.026152314588938	R-HSA-2555396	0
27	Up	0.0076542639971076	0.0288121203733919	R-HSA-9943411	0
44	Down	0.00831993982475464	0.0311816875171239	R-HSA-9709957	0
25	Down	0.00867903798416156	0.0322471152687382	R-HSA-9772573	0
25	Down	0.00867903798416156	0.0322471152687382	R-HSA-9694635	0
18	Down	0.00880233051174936	0.0324256790646493	R-HSA-9662851	0
18	Down	0.00880233051174936	0.0324256790646493	R-HSA-9664433	0
43	Up	0.00888353734395994	0.0325855710233765	R-HSA-70326	0
16	Down	0.00894857042650897	0.032685032659537	R-HSA-3000171	0
15	Up	0.0091373989389213	0.0332339151280598	R-HSA-5218859	0
51	Up	0.00920171060368124	0.033327203951148	R-HSA-2500257	0
11	Down	0.00936502903277453	0.0337767992730194	R-HSA-114604	0
15	Down	0.00971620719843815	0.034897377521057	R-HSA-164952	0
13	Down	0.00983895170607989	0.0351916031976799	R-HSA-4086398	0
12	Up	0.010042511939887	0.0357712615379445	R-HSA-9764725	0
121	Up	0.0100973040705018	0.0358184202007103	R-HSA-168255	0
17	Down	0.0101897810273051	0.0359983247767911	R-HSA-191273	0
61	Down	0.0103780437309431	0.0365137701880529	R-HSA-8978868	0
35	Up	0.0108034447593848	0.0377027100509703	R-HSA-141444	0
35	Up	0.0108034447593848	0.0377027100509703	R-HSA-141424	0
11	Up	0.0111791833024882	0.0388566774465518	R-HSA-162594	0
17	Down	0.0113005642123287	0.0391208287189854	R-HSA-2173782	0
12	Up	0.0114847953497938	0.0395995743660891	R-HSA-201722	0
19	Down	0.011546944772028	0.039610739264679	R-HSA-1660662	0
328	Down	0.0115799376968667	0.039610739264679	R-HSA-168249	0
109	Down	0.012006720626096	0.0409082734375288	R-HSA-1500931	0
33	Down	0.0123534383312238	0.0419238733917909	R-HSA-111885	0
108	Up	0.0127271216086389	0.0428592854953539	R-HSA-168273	0
20	Down	0.0127285117016364	0.0428592854953539	R-HSA-9009391	0
142	Up	0.0129969000648624	0.0435927153926513	R-HSA-72312	0
17	Down	0.0130741285875141	0.0436817784590588	R-HSA-375165	0
10	Up	0.0131979765835953	0.04389906228876	R-HSA-9692916	0
29	Down	0.0132410164676074	0.04389906228876	R-HSA-9013423	0
37	Up	0.013767226922414	0.0454687724410761	R-HSA-69618	0
33	Down	0.0138693506482873	0.0456312223619222	R-HSA-432722	0
24	Up	0.0139434914001675	0.0457007208629065	R-HSA-5693567	0
11	Down	0.0142872285526099	0.0466499659558702	R-HSA-212676	0
11	Up	0.0149590794542436	0.0486593452436149	R-HSA-9675135	0
17	Down	0.015484977458213	0.0501806412367654	R-HSA-3928665	0
18	Up	0.015645620983082	0.0505113306644821	R-HSA-1834949	0
30	Down	0.0157984761077148	0.0508145015106351	R-HSA-428157	0
10	Down	0.0160298349768269	0.0513669804833635	R-HSA-1650814	0
20	Down	0.0165466593764661	0.0528267421574585	R-HSA-9033241	0
11	Down	0.0170638967053038	0.0542770441327374	R-HSA-8964038	0
75	Down	0.0171731369692096	0.0542900619367094	R-HSA-8856828	0
19	Up	0.0172097612147074	0.0542900619367094	R-HSA-9013418	0
25	Up	0.017256933840671	0.0542900619367094	R-HSA-389958	0
21	Down	0.0178596936566196	0.0559820215709312	R-HSA-3928662	0
11	Up	0.0181173986827528	0.0565840495091773	R-HSA-9930044	0
84	Up	0.0184202164807578	0.0571447972392608	R-HSA-5688426	0
117	Up	0.0184295285760029	0.0571447972392608	R-HSA-162906	0
25	Down	0.0186419881585059	0.0575963935219788	R-HSA-74752	0
68	Down	0.0188568197192004	0.0580520664212526	R-HSA-9609507	0
18	Down	0.0192453032299194	0.0590371935380445	R-HSA-6794361	0
28	Down	0.0196959257027766	0.059781295618991	R-HSA-9664422	0
28	Down	0.0196959257027766	0.059781295618991	R-HSA-9664417	0
28	Down	0.0196959257027766	0.059781295618991	R-HSA-9664407	0
10	Up	0.0213825878211876	0.0646729498311008	R-HSA-9909649	0
108	Up	0.021473774330695	0.0647216555002065	R-HSA-3700989	0
22	Down	0.0226693473967352	0.0680870294633648	R-HSA-9864848	0
269	Down	0.0228058804787908	0.0682592672663809	R-HSA-422475	0
10	Down	0.0230895353696343	0.0688691331786325	R-HSA-888590	0
20	Down	0.0233991988913115	0.0695521015321052	R-HSA-9856530	0
12	Down	0.0237717143056567	0.0704165557782683	R-HSA-3781860	0
53	Up	0.0239171333150827	0.0706046880739771	R-HSA-450531	0
48	Up	0.0247620021318427	0.0728493032001653	R-HSA-72695	0
15	Up	0.025852397868786	0.0755415829250628	R-HSA-5250941	0
15	Up	0.025852397868786	0.0755415829250628	R-HSA-427413	0
10	Up	0.0262170507100359	0.0760912380877136	R-HSA-5213460	0
10	Up	0.0262170507100359	0.0760912380877136	R-HSA-5675482	0
26	Up	0.0264529225871095	0.0765181854700951	R-HSA-6781823	0
16	Down	0.0268043086501194	0.0772752978475015	R-HSA-77387	0
44	Down	0.0270303280389667	0.0776671425652976	R-HSA-194138	0
30	Down	0.0271368397489354	0.0777141390816688	R-HSA-9855142	0
45	Down	0.0272813971018577	0.0778694182178854	R-HSA-8856825	0
29	Up	0.0289576370849482	0.0823811325651003	R-HSA-1483249	0
198	Down	0.0290619788714082	0.0824060058787957	R-HSA-6798695	0
20	Down	0.0291842132058151	0.0824812845357792	R-HSA-1474228	0
340	Up	0.029549464713739	0.0832406489648465	R-HSA-2262752	0
24	Down	0.0297540813987745	0.0835440331131714	R-HSA-446193	0
101	Down	0.0310180287586665	0.0868101973700342	R-HSA-446728	0
30	Up	0.0314643103974754	0.0877742251217598	R-HSA-190236	0
39	Down	0.0321859691802769	0.0894977594625765	R-HSA-442755	0
29	Up	0.033327408333863	0.0923737169896782	R-HSA-5654738	0
15	Down	0.0334860744584999	0.0925160134077785	R-HSA-2187338	0
20	Up	0.0336089451693398	0.0925588202427185	R-HSA-5693607	0
13	Up	0.0343141999187281	0.094200128439311	R-HSA-9833110	0
57	Down	0.0346485509645097	0.0948160347028805	R-HSA-9909615	0
273	Down	0.0366514679637641	0.0997764839305165	R-HSA-9675108	0
13	Down	0.0366927440904568	0.0997764839305165	R-HSA-379726	0
21	Up	0.0369651596462213	0.100201156022147	R-HSA-6807505	0
28	Up	0.037213718359897	0.10055869976875	R-HSA-674695	0
43	Up	0.0374039967940307	0.10075701636392	R-HSA-2995410	0
34	Down	0.0376762745787067	0.101174294974595	R-HSA-1268020	0
15	Down	0.0378528354086581	0.101332745721314	R-HSA-1474290	0
27	Down	0.0384006274713898	0.102480931518074	R-HSA-9860931	0
25	Down	0.039476416352797	0.105026762025034	R-HSA-9662360	0
22	Down	0.0398373431644975	0.105660891716298	R-HSA-199418	0
13	Down	0.0403896532152815	0.106797181201143	R-HSA-3000178	0
26	Up	0.0419063243830934	0.110135353000734	R-HSA-6782210	0
14	Down	0.041907651721857	0.110135353000734	R-HSA-500792	0
29	Up	0.0427118916796988	0.11190775266839	R-HSA-9833482	0
14	Up	0.0441757959078468	0.114979571130816	R-HSA-6804758	0
23	Down	0.044198453913681	0.114979571130816	R-HSA-1630316	0
12	Down	0.0442844751919154	0.114979571130816	R-HSA-9854311	0
17	Up	0.0447573988834996	0.115858492004735	R-HSA-180786	0
24	Down	0.0451024714275147	0.116402186738077	R-HSA-9707564	0
21	Down	0.0456691919698589	0.117512965606025	R-HSA-1483255	0
285	Down	0.0459834066512019	0.117969334920643	R-HSA-72766	0
96	Up	0.0467566654115382	0.119597167907258	R-HSA-69620	0
11	Up	0.0469025843993434	0.119615466722586	R-HSA-2173788	0
22	Up	0.0498146503050572	0.126667340893685	R-HSA-9816359	0
90	Up	0.0510830317155417	0.129441491176417	R-HSA-72689	0
26	Down	0.0512059727275617	0.129441491176417	R-HSA-9659379	0
85	Up	0.0523984415616115	0.13206858662605	R-HSA-2467813	0
49	Down	0.0533379657501707	0.134044683605385	R-HSA-4086400	0
160	Up	0.053777869910177	0.134757336809804	R-HSA-9679506	0
19	Down	0.0543144006149569	0.135221482437129	R-HSA-157858	0
26	Up	0.0544337058070576	0.135221482437129	R-HSA-112382	0
26	Up	0.0544337058070576	0.135221482437129	R-HSA-75955	0
43	Down	0.0549929382423628	0.136218140129071	R-HSA-4420097	0
11	Up	0.055151362175695	0.136219123769195	R-HSA-110373	0
15	Down	0.0564792023724828	0.138703910099944	R-HSA-5674135	0
15	Down	0.0564792023724828	0.138703910099944	R-HSA-6802948	0
25	Up	0.0570504528994094	0.139554800723438	R-HSA-6782135	0
19	Up	0.0571494717579741	0.139554800723438	R-HSA-9820841	0
16	Down	0.057921334538822	0.141040085797922	R-HSA-9912633	0
36	Down	0.0585776607345341	0.14223646071315	R-HSA-196849	0
10	Up	0.0596920655775652	0.144372926670201	R-HSA-5685942	0
11	Up	0.059792499792647	0.144372926670201	R-HSA-429947	0
36	Down	0.0606258065395233	0.145976104014159	R-HSA-2029480	0
20	Down	0.0612082098038065	0.146775340645845	R-HSA-6811558	0
23	Up	0.0614685591335848	0.146775340645845	R-HSA-166166	0
23	Up	0.0614685591335848	0.146775340645845	R-HSA-937061	0
22	Down	0.0638476169839668	0.152034933260164	R-HSA-416476	0
38	Down	0.0644726015413385	0.153100227351608	R-HSA-6811436	0
15	Down	0.0652790633548065	0.154589430252317	R-HSA-9840310	0
35	Up	0.0673500795676375	0.159056900239188	R-HSA-72165	0
33	Down	0.0682879740359197	0.160404689375852	R-HSA-8876198	0
12	Up	0.0682929477969115	0.160404689375852	R-HSA-5696400	0
22	Down	0.0687150363615961	0.160688136977379	R-HSA-112040	0
141	Down	0.0687864530680426	0.160688136977379	R-HSA-9006934	0
10	Up	0.0693756033235811	0.161626405580884	R-HSA-6791312	0
54	Up	0.070555419638435	0.163931999267738	R-HSA-5693606	0
17	Down	0.0712127229896588	0.165014428002919	R-HSA-9656223	0
15	Down	0.0715674675543899	0.165391841908536	R-HSA-8964043	0
12	Down	0.0729766804026416	0.168197589591115	R-HSA-9619483	0
15	Down	0.0736754287220075	0.169206520692663	R-HSA-5626467	0
12	Down	0.0738070206269622	0.169206520692663	R-HSA-901042	0
26	Down	0.0744321549043979	0.170187049144804	R-HSA-70268	0
38	Down	0.079955876191935	0.18233324147473	R-HSA-1445148	0
41	Down	0.0807255967357843	0.183602808406982	R-HSA-166520	0
39	Down	0.0811046914901981	0.183979589643555	R-HSA-199992	0
61	Up	0.0821834649227849	0.185937393079896	R-HSA-6807070	0
39	Up	0.0827270824027634	0.18608547973314	R-HSA-9725370	0
39	Up	0.0827270824027634	0.18608547973314	R-HSA-9700206	0
15	Down	0.082896547816155	0.18608547973314	R-HSA-445144	0
43	Down	0.0839697662139024	0.187696318962183	R-HSA-9007101	0
11	Down	0.0840496277487269	0.187696318962183	R-HSA-9865118	0
22	Up	0.0853081048938149	0.189994938903176	R-HSA-168164	0
47	Up	0.085519763682636	0.189994938903176	R-HSA-9684482	0
15	Up	0.0944787504441661	0.209359081961109	R-HSA-2559580	0
18	Down	0.0947381713330941	0.209395650484941	R-HSA-190828	0
34	Down	0.0967769827911108	0.213217073904508	R-HSA-187037	0
23	Down	0.0969618247918411	0.213217073904508	R-HSA-917937	0
10	Up	0.099272635679435	0.215421305232807	R-HSA-6782315	0
18	Down	0.0993957500257215	0.215421305232807	R-HSA-6802955	0
18	Down	0.0993957500257215	0.215421305232807	R-HSA-6802949	0
18	Down	0.0993957500257215	0.215421305232807	R-HSA-6802946	0
18	Down	0.0993957500257215	0.215421305232807	R-HSA-9649948	0
91	Down	0.0997329439259006	0.215421305232807	R-HSA-418990	0
