NGenes	Direction	PValue	FDR	pathway	fixed_correlation
87	Down	2.46374892564086e-08	6.43561083000734e-07	R-HSA-112315	0
18	Down	0.00174839019977402	0.00947869403902647	R-HSA-112310	0
87	Down	2.81504154924962e-06	6.55828598771128e-05	R-HSA-112315	0.005
18	Down	0.00265028346172991	0.0155411179864707	R-HSA-112310	0.005
87	Down	3.83840888882156e-05	0.000675246624931467	R-HSA-112315	0.01
18	Down	0.00379102199935312	0.023753141983954	R-HSA-112310	0.01
87	Down	9.57255977020945e-05	0.00147349045034295	R-HSA-112315	0.0125
18	Down	0.00445311602782634	0.0283579577789846	R-HSA-112310	0.0125
87	Down	0.00020232879266726	0.0026831910658335	R-HSA-112315	0.015
18	Down	0.00517663043422345	0.0338049654113683	R-HSA-112310	0.015
87	Down	0.000641766230409172	0.00709233962323982	R-HSA-112315	0.02
18	Down	0.0068065202539635	0.044998223837186	R-HSA-112310	0.02
87	Down	0.0028895837859626	0.027074143733693	R-HSA-112315	0.03
18	Down	0.0107721683471677	0.0725438212129578	R-HSA-112310	0.03
87	Down	0.0142079796659703	0.113400726593208	R-HSA-112315	0.05
18	Down	0.0211813364097359	0.144711312141445	R-HSA-112310	0.05
18	Down	0.0376131335297046	0.270860800808961	R-HSA-112310	0.075
87	Down	0.0384672693332373	0.274039555084716	R-HSA-112315	0.075
18	Down	0.0562801367437313	0.400658845072134	R-HSA-112310	0.1
87	Down	0.0681168315662141	0.429530060903146	R-HSA-112315	0.1
18	Down	0.0958688763933309	0.694977865275363	R-HSA-112310	0.15
87	Down	0.129320876868324	0.72089756564158	R-HSA-112315	0.15
18	Down	0.134646881047396	0.959945094625834	R-HSA-112310	0.2
87	Down	0.184873965296492	0.959945094625834	R-HSA-112315	0.2
18	Down	0.203782997585433	0.999472819734262	R-HSA-112310	0.3
87	Down	0.274420447280231	0.999472819734262	R-HSA-112315	0.3
