gene	NTC_01	NTC_02	NTC_03	NTC_04	NTC_05	NAA25_06	NAA25_07	NAA25_08	NAA25_09	NAA25_10
1-Mar	-0.0695049184888	0.0869058358709	-0.0958266569999	0.524131177915	0.066895537359	-0.0502134838175	0.658095213942	-0.146007802313	-0.108455690666	0.0899569957061
11-Sep	0.00234919866775	-0.00742500288513	0.103406610589	0.221355429338	0.0908383724205	-0.231432825276	-1.06648775907	0.00683788283228	-0.333484845238	-0.296911614504
14-Sep	NA	-0.746215459927	-3.07506110543	0.851299549859	-1.08694456001	0.0482840242143	2.79480585116	0.191185396636	0.0383718098928	-0.393020584589
2-Sep	0.118240681437	-0.0242037444792	0.139453875833	0.0771729141824	0.016518559132	-0.078909399711	-0.125739162049	-0.0972183175329	-0.355758815539	-0.294840575864
3-Sep	0.1481425558	-0.0665665977916	0.111156258329	-0.0302912765744	0.000638628736065	0.0175853974032	0.744071818746	0.187927823525	0.0247713954549	-0.265781334204
4-Sep	0.163857180595	-0.00507580421738	0.0514637652933	-0.358705587289	-0.507372934681	0.20208596745	NA	-0.349744048562	0.486848088863	-0.854714412484
5-Mar	0.553524632015	0.283210012762	1.11698759314	1.00503208778	0.276408702284	-0.253167582118	-3.92078522633	-1.3353311527	-0.470136996887	-0.804756649684
5-Sep	0.103830050137	-0.0219262676446	0.0828649366297	-0.0101928032814	0.217405721696	-0.0093475233002	-0.0601725799326	-0.134363153936	-0.00851339921144	-0.569655243092
6-Sep	0.131569475653	-0.178651647182	-0.00407915044422	-0.025166556475	-0.00448609136336	-0.021581472434	1.16522302959	0.0283970894494	-0.203206001501	-0.315894587193
7-Sep	0.0288518336771	-0.0198988452201	0.0129719867667	0.305231357331	0.0122136598729	-0.270282596706	-0.199187938186	-0.0413203272461	-0.537089178	-0.306727435497
9-Sep	0.0412623642755	0.0778250054038	0.0817470792172	-0.0723303353057	-0.0438717454052	0.0767303220255	0.234986421448	-0.0916971144147	-0.0391540840124	-0.129778650312
A2M	0.916843166132	1.33260533532	1.21355537303	0.375151906142	0.41295426244	-0.559607670853	-1.57253709155	-1.03364448871	-0.438482711086	-0.388958429319
AAAS	-0.309306514834	-0.452805538315	-0.0363708138141	0.201014697191	-0.246912428438	0.131479055284	0.944067609386	-0.394138753376	0.0654750227059	0.44036666992
AADAT	0.0195918551898	0.123986060905	0.255850723832	0.166198939195	-0.00260938112976	-0.668304778444	NA	-1.2258166066	-1.15677411159	-1.16307162231
AAGAB	0.0163788423739	0.0787177487486	-0.200298725786	0.0179466435445	0.125455297894	-0.162774269099	-0.419684997099	0.0272860435946	-0.0344458922705	-0.00314209884195
AAMP	0.167752609875	0.624643540295	0.355409822209	1.09527718035	0.40209548974	-0.833091389422	-0.417338771957	-0.808095002402	-0.42223319904	-0.717876697354
AAR2	-0.0620268833591	-0.114716374662	-0.400672399665	-0.117020868972	0.185265043931	0.0598089554949	-0.0482910824114	-0.032368864182	0.122441441746	0.245306757127
AARS	-0.00151685855985	0.0195817814784	0.0938737562121	0.0917216593361	-0.00109252256991	-0.193843911225	0.0580595607765	-0.0239390337469	-0.0927143481457	-0.139271180373
AARS2	-0.109232258286	-0.188121354883	0.0322921105334	-0.288901404719	-0.25637081337	0.266748804497	0.14691742275	-0.0399701215167	0.15273470473	0.22805114678
AARSD1	-0.158145195041	-0.20449053745	-0.231785802032	0.107403934443	-0.0316662703141	0.0355770057197	1.86021115797	0.478960859307	0.0286453054683	0.227998238022
AASDHPPT	-0.0466801526893	0.0210639819841	-0.101116799371	-0.172711529298	0.184281076511	-0.29772752016	-0.0119020313668	0.467378465257	0.0122320236913	0.0465132655358
AASS	0.0637778128238	0.133499423148	0.297047856115	0.209464138373	-0.0663871939536	-0.389522428848	0.921545239035	-0.854289431022	-0.524422989121	-0.3751143774
AATF	NA	-0.0480538236765	NA	1.24291301279	-0.236926521565	-0.024763433983	0.646696344153	1.01860163138	-0.323300937501	0.0562147629911
ABAT	0.999585274021	0.481955279455	0.752777726233	0.452894252613	0.0486536742389	-0.0254125540734	-0.869849088525	-0.776084478053	-0.0816483358508	-0.490459575455
ABCA3	0.353027933793	0.117435520733	0.106697212996	0.153900241457	-0.271361072973	-0.100501678589	0.132620791298	-0.731430086463	-0.0775930041046	-0.207626920073
ABCB10	0.768434052334	1.12465009477	1.29880129129	0.299429168725	-0.525917963053	0.0258505012952	NA	-0.806388701843	-0.253433134253	-0.979073544088
ABCB6	0.0830843947686	-0.293741390418	-0.167676277966	0.0187691583387	0.163214604636	0.0324940128737	NA	0.00158959001776	-0.178057371911	-0.59865157169
ABCB7	0.130541514143	-0.00811317006216	0.229071865458	0.229688285999	0.00042798471502	-0.0138211886556	-0.0299512096599	-0.801972909052	-0.115976661652	-0.160062745989
ABCB8	0.262703878131	0.32348765462	0.786107703773	0.570901532923	-0.0343050777661	-0.235163749358	NA	-0.626073910519	-0.00934567417189	0.013236743532
ABCC10	0.419877779305	-0.207004078145	0.181775159876	0.962017409456	-0.0398985792792	-1.24156879393	NA	0.00158959001776	-1.0331462676	1.11152865297
ABCD3	-0.00348337767329	0.354501539372	0.305784150061	0.230259386614	0.102380419656	-0.119760640792	NA	-0.266443997911	-0.437380392116	0.013236743532
ABCE1	-0.0216241197426	0.0355085840128	-0.162092220043	-0.0470837663769	0.0174311185385	-0.0361276859076	0.382121981462	0.471628164495	0.0915558876043	-0.0125500204386
ABCF1	-0.813239033861	-0.684867052452	-0.809021707633	-0.742831655058	-0.0818775919485	0.105118712114	1.71321410542	1.96114630336	0.269954603481	0.519941787536
ABCF2	-0.577115140215	-0.315363752108	-0.570122245911	-0.245160258086	0.205438019193	-0.11092579793	0.662780204019	0.895001628924	0.175148109118	0.410406142936
ABCF3	-0.31761370149	-0.203042853623	-0.759598465146	-0.0151488592403	0.0521149682469	-0.0472348767824	-0.229227417118	0.52741626257	0.0264774024245	0.125360899766
ABHD10	0.39013161125	0.0567624659805	0.27391083636	0.471894577163	-0.0644476513276	0.103564156374	-1.52529471526	-0.428621646411	-0.132293405613	-0.213827707705
ABHD11	0.334130198815	-0.120671354188	-0.0750861592988	-0.0270432667086	-0.194976436103	0.756082532503	NA	-0.118731638831	0.604563013073	0.307172908891
ABHD12	0	0.0741456690867	0.292716487112	0.389611210105	-0.00260938112976	-0.0384365953557	0.532178621533	-0.39288685015	-0.00919874657544	-0.0722767421806
ABHD14A	0.321290499383	0.14349506606	-0.438995741777	0.668787251113	0.133405925018	-0.110164804852	-1.71841283628	-0.251509695591	-0.278696669735	0.186178654337
ABHD16A	-0.195242653428	-0.038566072952	0.0582584238647	0.416555145981	0.190119171925	0.0593407700298	-3.19255943418	-0.193974336431	-0.155835560949	0.178954710479
ABHD6	-0.0138070130096	-0.107250114326	-0.145671053713	-0.193954036012	-0.143523315574	0.356453992302	2.08210718751	0.0153966030274	0.112918363053	0.201193043805
ABI1	0.147446499205	NA	NA	0.690749887865	-0.166362958599	-0.281575491163	0.66164359428	0.140917791149	-0.147263236385	-0.1260914576
ABI2	0.102994029972	0.00177470877581	0.129599950901	0.168280493882	-0.206914873494	0.018999988302	0.164014478198	-0.0194053213934	-0.0337344179081	-0.601778804727
ABL2	0.0495786169582	0.253239094265	-0.00926760100104	0.669042205016	-0.508861482161	-1.07829997461	NA	0.135419747254	-0.465325075413	-0.131066514216
ABLIM1	-0.721791091048	-0.491525667492	NA	-0.0624836796247	0.197879081263	0.0258505012952	1.6228679772	0.0118901683453	0.109850314706	-0.783144651987
ABR	-0.0516839232468	0.0665783996821	-0.34990067396	0.226953160534	0.0503748117901	-0.0405534101421	-0.197902238835	0.374056860722	-0.43215685852	-0.346365048695
ABRACL	0.0472771422787	0.319124829606	-0.00926760100104	1.13483866629	0.548017270212	-4.87208184123	NA	-1.23024481779	-2.01492282922	-0.615485920819
ACAA1	-0.0179653739072	0.0128895696898	0.398165108574	0.0860058715086	0.161386095069	-0.0488554624445	0.766267682485	-0.340836187532	-0.404725743864	-0.01167373119
ACAA2	0.140199492547	-0.345780200203	0.105041395332	0.178365581284	-0.0128259975738	0.0360671177393	0.552626915086	-0.259755393999	-0.0125274875972	-0.0352065793656
ACACA	-0.157238503795	0.0472125774371	-0.117343286649	-0.0793316483631	0.0863214224555	-0.0919918760637	-0.0292139221177	0.246647265078	-0.0743368575519	0.0995674577247
ACAD10	0	0.0654248290238	0.132559347383	0.0362327551915	0.21140765669	-0.086923492038	NA	-0.395887602962	-0.396173445259	-0.0645475501516
ACAD8	-0.758674352399	0.00258884292928	0.043237256471	-1.00561346375	0.0613494220944	0.102412021476	0.784171605461	-0.887273288162	0.0307071627461	-0.818801091324
ACAD9	0.374709868718	0.179781731815	0.438725665659	0.48530246782	0.0274977200762	-0.00425659991078	-0.483630920575	-0.851788876273	-0.276096055251	-0.305930665496
ACADM	0.163838923058	-0.00897581967321	0.302709885999	-0.0231432512528	-0.246308614144	0.202668256275	1.21262147699	-0.576727977623	0.0283270104709	-0.11588571583
ACADS	-0.500045948924	-0.0324254707136	0.0928284967547	-0.28209645579	-0.931764525584	0.306780684726	0.125146545329	-0.68649523323	0.065721476389	0.195529395646
ACADSB	0.0856061079738	-0.0359023948652	0.183668000719	0.296753903256	0.0282172095181	-0.219036134935	0.0697251729822	-0.775877118161	-0.39629201222	-0.0980760906811
ACADVL	0.127055851316	-0.0225474503111	0.218642088347	0.298705799708	-0.0635384266557	0.0433221473889	0.312869774358	-0.707116928655	-0.103943609152	-0.0988225912258
ACAP3	0.0370106080445	-0.233287782501	-0.167686300696	-0.118416475633	-0.00785967627508	0.0258505012952	NA	0.330950021741	0.0454780875121	0.155323981141
ACAT1	-0.0103053237245	0.00522951950715	0.143381964803	0.338327308947	0.106137763203	-0.10375821861	0.346612774679	-0.622522099837	-0.16212831772	-0.300071956583
ACAT2	-0.0535339065864	-0.102552422057	-0.43897198345	-0.00377404162832	0.0458892546865	-0.0657524675089	0.560934701361	0.277683498875	0.0151025848125	0.0569607395644
ACBD3	-0.0723104074602	0.00798401945843	-0.208408368196	0.166030421379	0.108701459311	-0.324983037186	0.375321963417	0.692885173535	-0.0468384028333	0.000176919856162
ACBD6	-0.0335424633513	-0.0403423862635	-0.604969262082	-1.0026324177	-0.186273952135	0.419053116603	1.61983078085	0.273012557995	0.0719142732441	0.200097372107
ACIN1	-0.21451646232	-0.0702067557585	-0.0330238010165	-0.7089755118	-0.100897086055	0.16434490612	3.40579937315	0.103310410913	0.0719959452374	0.0369929435474
ACLY	0.0218851922361	0.0406167533695	-0.0415714039688	-0.0184601991161	0.115168067744	-0.190560969333	-0.75981399816	0.121154883325	0.0297887423003	0.00330349949091
ACO1	0.112601572886	0.432133812004	0.270677670739	0.318389148275	-0.209317485546	-0.0451181979829	-0.206720309982	-0.0881821670864	-0.00449404220704	-0.150644025756
ACO2	0.00882174223302	-0.0138975464504	0.257951569611	0.389499912194	0.0624260791035	-0.195389909308	0.19182628275	-0.388306907563	-0.340456822654	-0.2674219442
ACOT13	-0.0972811472278	-0.0205477404598	0.226375792757	0.0193725420187	-0.384933988936	0.199932009384	1.16610032852	-0.272580737407	-0.0116056723939	0.0287086797744
ACOT7	-0.428613250049	0.0243346269843	-0.402752238715	0.350692063187	0.278150254075	-0.444368251503	0.554353361417	0.00960598433299	-0.167255668357	0.00522034921674
ACOT8	0.654292587617	-0.00507580421738	0.194367848761	0.741505350176	0.093736418947	0.0166141052095	NA	-0.600502334462	-0.052028708951	-0.305772692957
ACOT9	0.203323975547	-0.0915847090192	0.0802589060772	0.187458789954	-0.18810530852	0.0888945435472	-0.0927641772942	-0.245812095695	-0.0246722323592	-0.300632509039
ACOX1	0.11195454748	-0.018740855287	0.25528251517	0.0806785091934	-0.0787661737648	0.0395155523649	0.814194976088	-0.615512973418	-0.0156534816274	-0.153285658604
ACOX3	0.148588179092	0.438775540781	0.668553305833	0.507943274636	0.103401509988	-0.0801603898223	-0.708202087576	-0.777201436674	-0.219679036937	-0.356766028855
ACP1	-0.10078227231	-0.0330703391966	-0.407012120048	-0.593794474681	0.0247484566855	-0.00150733652007	0.704045706865	0.467145789681	0.339355201236	0.265372615294
ACP2	-0.116098612325	0.028356354315	0.143930145756	0.0659858201417	0.0513130149417	-0.0228795159549	-0.264282274313	-0.339406494686	-0.079467094302	0.027932855763
ACSF3	0.360592230077	-0.0242099002609	0.164675023574	0.340727219188	-0.11494041635	0.0449845973388	1.83189716653	-0.474904273717	-0.0226341508126	-0.169065693123
ACSL1	-0.194262866294	-0.0952008531688	-0.22051618565	-0.166288290481	-0.289887396049	0.390341937258	2.68107166011	0.113476764649	0.394265358592	0.103361792483
ACSL3	0.00422881692327	-0.017163385024	0.0833964174991	0.0573865170286	-0.0421408966161	0.02654557206	0.0592355726178	-0.282640577787	0.020802749108	0.0125416727672
ACSL4	0.243502737527	0.0181496508972	0.20094156739	0.177604455393	-0.0258348362443	-0.0194061831452	-0.179966524291	-0.724679669536	-0.123264128015	-0.298807814102
ACSL6	0.155180601317	0.0414745934884	0.160420581783	0.423951694568	-0.0491597788355	-0.109514694217	0.718421572346	-0.692748793397	-0.0163933644417	-0.302704533867
ACSS2	0.010472421598	-0.123200287752	-0.0826047489224	-0.939817506192	-1.06245220783	0.102779519607	1.49814231729	1.13407748615	0.0447921144425	0.00681643898221
ACTBL2	0.196860628759	0.131423790632	0.082492274281	-0.0845042572274	0.054851609389	-0.335357146041	1.12122469429	-0.331026798777	-0.389656884985	-0.17475941725
ACTG1	0.108168102464	-0.0712168170969	-0.298222362527	-0.148088799961	-0.0282452101701	0.0369836117322	0.553293335271	0.347863397651	0.0272386994558	0.0293997158099
ACTL6A	-0.621648628782	-0.189353044421	-0.618487315239	-0.299033759635	0.13014927428	-0.0490770173485	1.95328574151	0.400979558394	0.113299328536	0.20223510566
ACTL6B	-0.604052747036	-0.137132289657	-0.943009689684	-0.541569014165	-0.218110863661	0.157906986734	0.131912003123	0.748328651724	0.424127575986	0.324593390634
