pathway	NGenes	Correlation	Direction	PValue	FDR	model	setting
R-HSA-68875	28	0.01	Up	0.0157763944289032	0.0732323173828141	strict_backbones	fixed_0.01
R-HSA-418346	15	0.01	Down	0.0166362156228541	0.0767052357912804	strict_backbones	fixed_0.01
R-HSA-9615933	13	0.01	Up	0.0168131455401242	0.0770042065737688	strict_backbones	fixed_0.01
R-HSA-5693571	10	0.01	Up	0.0169499267734193	0.0771165542605234	strict_backbones	fixed_0.01
R-HSA-1169410	103	0.01	Up	0.0177672185186527	0.0803031521204893	strict_backbones	fixed_0.01
R-HSA-5693607	11	0.01	Up	0.0182455970936785	0.0814056560209717	strict_backbones	fixed_0.01
R-HSA-194441	19	0.01	Up	0.0183666327267112	0.0814056560209717	strict_backbones	fixed_0.01
R-HSA-191859	19	0.01	Up	0.0183666327267112	0.0814056560209717	strict_backbones	fixed_0.01
R-HSA-913531	115	0.01	Up	0.0192427942867217	0.0847423056088323	strict_backbones	fixed_0.01
R-HSA-5694530	12	0.01	Down	0.0200630202116024	0.0877916871679672	strict_backbones	fixed_0.01
R-HSA-9694548	10	0.01	Down	0.0207834211991099	0.0903684200239778	strict_backbones	fixed_0.01
R-HSA-9833482	25	0.01	Up	0.0216813571209958	0.0936798260510951	strict_backbones	fixed_0.01
R-HSA-2682334	32	0.01	Down	0.0222399628441272	0.0954928404619712	strict_backbones	fixed_0.01
R-HSA-6803529	12	0.01	Up	0.0226559954853375	0.0966749621020304	strict_backbones	fixed_0.01
R-HSA-168928	10	0.01	Up	0.0231740585108293	0.097425685142484	strict_backbones	fixed_0.01
R-HSA-2173788	10	0.01	Up	0.0232422049515472	0.097425685142484	strict_backbones	fixed_0.01
R-HSA-437239	24	0.01	Down	0.0232573687967502	0.097425685142484	strict_backbones	fixed_0.01
R-HSA-446203	93	0.01	Down	0.0235437482465962	0.098027606335828	strict_backbones	fixed_0.01
R-HSA-5653656	191	0.01	Down	0.023780501871504	0.0984168962995376	strict_backbones	fixed_0.01
R-HSA-9917777	13	0.01	Up	0.0239605699661598	0.0985683327350406	strict_backbones	fixed_0.01
R-HSA-164938	10	0.01	Down	0.0253548784545257	0.103074151255623	strict_backbones	fixed_0.01
R-HSA-1483257	29	0.01	Down	0.0253559411385739	0.103074151255623	strict_backbones	fixed_0.01
R-HSA-9912633	14	0.01	Down	0.0270388578618531	0.1092687961829	strict_backbones	fixed_0.01
R-HSA-9943411	18	0.01	Up	0.0276246801686954	0.110983364186513	strict_backbones	fixed_0.01
R-HSA-163685	30	0.01	Down	0.0308424984117386	0.12178555965439	strict_backbones	fixed_0.01
R-HSA-9725370	30	0.01	Up	0.0308452509168323	0.12178555965439	strict_backbones	fixed_0.01
R-HSA-9700206	30	0.01	Up	0.0308452509168323	0.12178555965439	strict_backbones	fixed_0.01
R-HSA-9013423	18	0.01	Down	0.0311040451749745	0.1221055944869	strict_backbones	fixed_0.01
R-HSA-5218859	14	0.01	Up	0.0322493170993149	0.125780728757832	strict_backbones	fixed_0.01
R-HSA-168325	16	0.01	Up	0.0324063886319306	0.125780728757832	strict_backbones	fixed_0.01
