logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene
-0.15620019040384	-0.475174806494676	0.162774425686996	0.0330978882850889	-1.09435945368986	0.300002734857162	0.400419450682533	-6.14149002603908	1-Mar
-0.295852772172454	-0.543557487556184	-0.0481480567887237	-0.0493851993395111	-2.66916810966337	0.0239421242889344	0.0615600482602219	-3.85746571716686	11-Sep
0.985435555415524	-0.561776830684089	2.53264794151514	-0.521512616169237	1.44617294569265	0.182842715972798	0.27199442753451	-5.67576769558212	14-Sep
-0.272118234382765	-0.506784579712414	-0.0374518890531158	-0.0555049802824111	-2.59144140279787	0.0273254136422404	0.0676213705441785	-3.986499211971	2-Sep
-0.041490093155038	-0.305520115102562	0.222539928792486	0.0141758722975739	-0.351176670132852	0.732899083015568	0.797493578467788	-6.68872425319732	3-Sep
0.00228557487656597	-0.595611563607614	0.600182713360746	-0.130150865003564	0.00854286487528173	0.993355513422412	0.994461946384567	-6.75532044155282	4-Sep
-1.36288070094345	-1.94119950109502	-0.784561900791876	0.0413078496213333	-5.26653639130432	0.000391758601904887	0.00566252611633964	0.293143133101422	5-Mar
-0.25486615739225	-0.562811926625699	0.0530796118411989	-0.0388775202225489	-1.84957730463191	0.0947630509269087	0.165770786635083	-5.16360376894806	5-Sep
-0.111908448957334	-0.369081802031823	0.145264904117155	-0.0658998823877978	-0.972459375211226	0.354246259595928	0.455124417059691	-6.26479392337063	6-Sep
-0.356728882847795	-0.643420065102259	-0.0700377005933304	-0.0906721716690556	-2.78072791460023	0.0198058964248689	0.0541997429559099	-3.67138634956235	7-Sep
-0.06290135531552	-0.280950968646281	0.155148258015241	-0.0110296842808889	-0.644672642391814	0.533959705343576	0.625877651490358	-6.534097098156	9-Sep
-1.4553953336048	-1.98231070268501	-0.928479964524586	0.203379638121778	-6.17269289304899	0.000115322609003314	0.00330101786535601	1.53591482003921	A2M
0.229671618275495	-0.19344277589864	0.65278601244963	-0.0667998448529111	1.213065045725	0.253575024323601	0.351392586898015	-6.01065476500542	AAAS
