logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	gene
-0.01384514856092	-0.438130732541859	0.410440435420019	0.09559762085078	-0.0720558760123999	0.943884844593929	0.96643105115907	-6.62061288405833	1-Mar
-0.466400753877168	-0.890811416151031	-0.0419900916033044	-0.15109545531256	-2.4266269468903	0.0341517789301728	0.101421115703759	-4.11345388919314	11-Sep
1.55015569333982	-0.305922779139076	3.40623416581871	-0.153032786465989	1.87104384185456	0.0920380450185487	0.193288464189327	-4.95506132129038	14-Sep
-0.25592971136022	-0.520885031009981	0.00902560828954058	-0.06252839845907	-2.13293745958303	0.0569397710715948	0.141380897612406	-4.59344194027004	2-Sep
0.109099106485207	-0.295142629919144	0.513340842889558	0.0871654669424165	0.595950380268952	0.563585497926876	0.686865206262124	-6.43575741743538	3-Sep
0.00228557487656597	-0.627029957285624	0.631601107038756	-0.130150865003564	0.00813639418415764	0.993674502771645	0.996767996887456	-6.56555463793048	4-Sep
-2.00386812714	-3.34754389078892	-0.660192363491081	-0.3549014579738	-3.29698809796238	0.00745001705479802	0.0392295627512025	-2.63061167672027	5-Mar
-0.230806707401788	-0.551539037637648	0.0899256228340718	-0.041007026193554	-1.58904334638606	0.141098401884366	0.260481800766763	-5.40778434211875	5-Sep
0.146750405544596	-0.421355947642891	0.714856758732083	0.057212408809982	0.570847518145662	0.579950233879421	0.69931983561349	-6.4509234815509	6-Sep
-0.33879549361254	-0.641971211604206	-0.0356197756208735	-0.10152374832075	-2.46759151660665	0.0317808134168902	0.0973273926161518	-4.0450269188882	7-Sep
-0.00670909469024001	-0.280169112157644	0.266750922777164	0.013571926292	-0.0541751524892762	0.957792523643449	0.976407248396746	-6.62182493875871	9-Sep
-1.6488680869164	-2.26884611650123	-1.02889005733157	0.0257879651546	-5.8796616979529	0.000122465820508381	0.00557456911888809	1.47030960791647	A2M
0.406326040426	-0.124382061480081	0.937034142332082	0.03428690057098	1.69149948909099	0.119698366805654	0.231605386738218	-5.26425499558775	AAAS
-1.16609541933441	-1.52298805811594	-0.809202780552879	-0.405660991216884	-7.30921242646148	3.00902030024184e-05	0.00366856502010566	2.9178814130007	AADAT
-0.12619220409817	-0.427858512139754	0.175474103943414	-0.055456140694085	-0.923710277821372	0.375970663870645	0.518440453411822	-6.18267355528542	AAGAB
-1.1687627405288	-1.59078779601175	-0.746737685045846	-0.0553456417706	-6.11530582178297	8.46730547624651e-05	0.00515923791100306	1.83021709048264	AAMP
0.17121373810032	-0.140867456634844	0.483294932835484	-0.01622742749526	1.21143765198768	0.251768360343443	0.393557319301156	-5.88538696352081	AAR2
-0.118855345722188	-0.371808576371303	0.134097884926927	-0.018914109681726	-1.03754883566331	0.322328446329507	0.464923160567291	-6.0728101980286	AARS
0.31296313559298	0.0347137541986631	0.591212516987297	-0.00558517634843	2.48364222661912	0.0308963958848033	0.0952005750248278	-4.01813529091134	AARS2
0.63001528737622	-0.0791214666670232	1.33915204141946	0.21127086960929	1.96410100621796	0.0762352662890745	0.170499398230052	-4.85951894899984	AARSD1
0.0663315251641	-0.284826751458148	0.417489801786348	0.01013307800941	0.417106667734252	0.684834955272338	0.783711992221903	-6.53070353097112	AASDHPPT
-0.37184120477244	-1.01087080409993	0.267188394555054	-0.05844019508498	-1.28640957570283	0.225648928062782	0.362888525665315	-5.79767813878718	AASS
-0.99586404770362	-1.50325871147657	-0.488469383930666	0.04924121746037	-4.33609569047778	0.00126809347734478	0.0148196105603687	-0.86994462530896	ABAT
-0.28884614678752	-0.699425920052494	0.121733626477454	-0.05248310619256	-1.55345646228079	0.14933370859879	0.272069612071543	-5.4564155802327	ABCA3
-1.0963405485354	-1.95002404838009	-0.242657048690714	0.105816862797467	-2.87709079424094	0.0171072100310874	0.0650679801435372	-3.35733419846076	ABCB10
-0.146386433049245	-0.548386076707031	0.255613210608541	-0.104330539038916	-0.81460907767344	0.434810687265488	0.572513429729894	-6.21870522710294	ABCB6
-0.340680239052272	-0.719798752988724	0.03843827488418	-0.054016823475564	-1.98427567367673	0.073427377760245	0.167035250164632	-4.82740110116745	ABCB7
-0.596115785965402	-1.06711869446786	-0.125112877462945	0.116838789018223	-2.83126890097817	0.0183005587927816	0.0678896551926296	-3.42748890745218	ABCB8
-0.55375274287812	-1.59680798205608	0.489302496299841	0.0172412080745067	-1.18936063263454	0.262839388918924	0.405356746466074	-5.8522529608921	ABCC10
-0.400475495427692	-0.741881430178759	-0.0590695606766246	0.0198993145269678	-2.62409144826878	0.0259965252536705	0.084916962649752	-3.76842378861616	ABCD3
0.21489774616526	-0.10006758911966	0.52986308145018	0.07187679236039	1.50660415347706	0.160813321130822	0.285939649830957	-5.51938445816007	ABCE1
1.5402425105727	0.722198336301446	2.35828668484395	0.14375384709585	4.16250794113041	0.00170759427629082	0.0167373038243546	-1.16445484678496	ABCF1
0.7069467328388	0.21321094930429	1.20068251637331	0.053008690994	3.16327382110009	0.00935049400564278	0.0452017345255668	-2.85701845329459	ABCF2
0.3292162364225	-0.104432195821006	0.762864668666006	-0.08404966403923	1.67638406262516	0.122560230583689	0.235270638965638	-5.28563487328769	ABCF3
-0.66494503160818	-1.28893823201192	-0.0409518312044377	-0.10682214791891	-2.35585530903131	0.0388668182813499	0.110200010853029	-4.23318294977299	ABHD10
0.40400110740568	-0.0573445818858307	0.865346796697191	0.162826644239178	1.95898077266767	0.0794170539761104	0.17501237444369	-4.82300360505255	ABHD11
-0.146896859580536	-0.546420846594378	0.252627127433306	0.07732436724452	-0.811894707797644	0.434518714328921	0.57246317766874	-6.27993802463797	ABHD12
-0.6001176703836	-1.35976605494735	0.159530714180153	-0.1344622352324	-1.7464916819504	0.109552869626558	0.217425389248548	-5.18531642775252	ABHD14A
-0.74703957328838	-2.00660307013157	0.512523923554806	-0.28729498356605	-1.31119193132164	0.217447328067104	0.3525898263518	-5.76789623953371	ABHD16A
