gene	precursor_features	peptide_backbones	runs_observed	control_runs	knockdown_runs
CTNNB1	19	16	10	5	5
CTNNBL1	7	5	10	5	5
CTNND1	5	4	10	5	5
CTNND2	3	3	10	5	5
CTPS1	11	8	10	5	5
CTPS2	8	7	10	5	5
CTR9	7	6	10	5	5
CTSA	6	4	10	5	5
CTSB	13	8	10	5	5
CTSC	5	3	10	5	5
CTSD	22	11	10	5	5
CTSL	5	3	10	5	5
CTSZ	1	1	10	5	5
CTTN	2	1	10	5	5
CUL1	21	18	10	5	5
CUL2	13	11	10	5	5
CUL3	26	20	10	5	5
CUL4A	1	1	9	5	4
CUL4B	21	17	10	5	5
CUL5	20	18	10	5	5
CUTA	4	3	10	5	5
CUTC	2	2	9	5	4
CUX1	1	1	9	5	4
CWC22	4	3	9	5	4
CWF19L1	1	1	9	5	4
CXADR	16	8	10	5	5
CYB5A	4	4	10	5	5
CYB5B	5	3	10	5	5
CYB5D2	4	3	10	5	5
CYB5R1	16	11	10	5	5
CYB5R2	1	1	10	5	5
CYB5R3	27	14	10	5	5
CYC1	24	8	10	5	5
CYCS	12	5	10	5	5
CYFIP1	22	14	10	5	5
CYFIP2	20	17	10	5	5
CYGB	1	1	10	5	5
CYLD	2	2	9	5	4
CYP20A1	2	2	10	5	5
CYP2S1	1	1	9	5	4
CYP4X1	5	5	10	5	5
CYP51A1	16	13	10	5	5
DAAM1	9	9	10	5	5
DAB1	1	1	9	5	4
DAB2IP	3	3	9	5	4
DACH1	2	2	10	5	5
DAD1	5	4	10	5	5
DAGLA	1	1	9	5	4
DAGLB	3	2	9	5	4
DAP3	16	11	10	5	5
DAPK1	2	1	9	5	4
DARS	30	23	10	5	5
DARS2	15	12	10	5	5
DAXX	1	1	9	5	4
DAZAP1	2	2	10	5	5
DBI	8	5	10	5	5
DBN1	13	8	10	5	5
DBNL	6	4	10	5	5
DBR1	2	2	10	5	5
DBT	22	13	10	5	5
DCAF1	4	3	10	5	5
DCAF13	2	2	9	5	4
DCAF16	1	1	10	5	5
DCAF7	4	4	10	5	5
DCAKD	12	8	10	5	5
DCD	2	2	10	5	5
DCLK1	22	13	10	5	5
DCLK2	6	5	10	5	5
DCP1A	2	2	10	5	5
DCP1B	2	2	9	5	4
DCPS	6	3	10	5	5
DCTD	1	1	9	5	4
DCTN1	24	19	10	5	5
DCTN2	14	10	10	5	5
DCTN3	4	3	9	5	4
DCTN4	5	4	10	5	5
DCTN5	2	2	10	5	5
DCTN6	4	4	10	5	5
DCTPP1	4	4	9	5	4
DCUN1D1	5	5	10	5	5
DCX	7	5	10	5	5
DCXR	8	6	10	5	5
DDAH1	19	12	10	5	5
DDAH2	10	8	10	5	5
DDB1	40	29	10	5	5
DDOST	24	15	10	5	5
DDRGK1	3	2	9	5	4
DDT	3	3	10	5	5
DDX1	35	23	10	5	5
DDX10	1	1	8	4	4
DDX17	24	16	10	5	5
DDX18	13	10	10	5	5
DDX21	13	12	10	5	5
DDX23	4	4	10	5	5
DDX24	2	1	9	5	4
DDX27	4	4	10	5	5
DDX28	1	1	10	5	5
DDX39A	17	12	10	5	5
DDX39B	13	8	10	5	5
DDX3X	8	5	10	5	5
DDX3Y	14	10	10	5	5
DDX41	2	2	10	5	5
DDX42	15	14	10	5	5
DDX46	5	5	10	5	5
DDX5	34	22	10	5	5
DDX50	2	2	10	5	5
DDX52	2	2	10	5	5
DDX54	3	2	10	5	5
DDX6	25	13	10	5	5
DECR1	17	12	10	5	5
DECR2	1	1	8	5	3
DEGS1	3	2	10	5	5
DEK	8	6	10	5	5
DENND4B	1	1	9	5	4
DENR	3	3	10	5	5
DERA	5	5	10	5	5
DERL1	3	3	9	5	4
DES	2	2	9	5	4
DGAT1	2	2	9	5	4
DGCR8	1	1	10	5	5
DGKE	1	1	9	5	4
DGLUCY	6	5	10	5	5
DGUOK	3	3	10	5	5
DHCR24	20	11	10	5	5
DHCR7	5	4	10	5	5
DHODH	5	5	10	5	5
DHPS	3	2	10	5	5
DHRS1	3	2	9	5	4
DHRS7	9	7	10	5	5
DHRS7B	6	4	10	5	5
DHTKD1	8	7	10	5	5
DHX15	24	19	10	5	5
DHX16	5	5	10	5	5
DHX29	6	6	10	5	5
DHX30	28	21	10	5	5
DHX32	2	2	9	5	4
DHX35	1	1	8	4	4
DHX36	7	7	10	5	5
DHX38	1	1	9	5	4
DHX40	2	2	10	5	5
DHX57	4	4	9	5	4
DHX8	2	2	10	5	5
DHX9	30	21	10	5	5
DIABLO	14	10	10	5	5
DIAPH1	5	4	9	5	4
DICER1	10	9	10	5	5
DIP2B	9	9	10	5	5
DIP2C	4	4	10	5	5
DIRAS1	2	1	10	5	5
DIRAS2	1	1	9	4	5
DIS3	20	17	10	5	5
DIS3L2	6	6	10	5	5
DISP2	2	2	9	5	4
DKC1	17	12	10	5	5
DLAT	21	12	10	5	5
DLD	23	14	10	5	5
DLG1	2	2	10	5	5
DLG3	9	6	10	5	5
DLG4	8	7	10	5	5
DLGAP4	6	6	10	5	5
DLST	13	9	10	5	5
DMAP1	1	1	10	5	5
DMTN	2	2	10	5	5
DMXL2	8	8	10	5	5
DNAAF5	1	1	9	5	4
DNAH8	1	1	10	5	5
DNAJA1	16	12	10	5	5
DNAJA2	18	14	10	5	5
DNAJA3	9	6	10	5	5
DNAJA4	1	1	10	5	5
DNAJB1	8	7	10	5	5
DNAJB11	17	12	10	5	5
DNAJB12	1	1	9	5	4
DNAJB14	2	2	9	5	4
DNAJB2	1	1	10	5	5
DNAJB5	3	2	9	5	4
DNAJB6	3	3	10	5	5
DNAJC10	7	6	10	5	5
DNAJC11	11	8	10	5	5
DNAJC13	19	18	10	5	5
DNAJC15	1	1	8	5	3
DNAJC16	8	7	10	5	5
DNAJC17	1	1	9	5	4
DNAJC19	8	6	10	5	5
DNAJC2	1	1	10	5	5
DNAJC28	1	1	9	5	4
DNAJC3	10	8	10	5	5
DNAJC5	6	3	10	5	5
DNAJC6	8	7	10	5	5
DNAJC7	5	4	10	5	5
DNAJC8	17	10	10	5	5
DNAJC9	4	3	10	5	5
DNER	2	2	10	5	5
DNM1	24	18	10	5	5
DNM1L	27	20	10	5	5
DNM2	9	9	10	5	5
DNM3	7	6	10	5	5
DNMT1	1	1	10	5	5
DNMT3A	2	2	9	4	5
DNTTIP2	2	1	9	5	4
DOCK1	2	1	10	5	5
DOCK11	3	3	10	5	5
DOCK3	5	5	9	5	4
DOCK4	3	3	9	5	4
DOCK7	15	13	10	5	5
DOLK	2	2	9	5	4
DOLPP1	4	3	9	5	4
DOPEY1	1	1	9	5	4
DOPEY2	1	1	9	5	4
DPAGT1	1	1	10	5	5
DPCD	1	1	10	5	5
DPM1	10	8	10	5	5
DPM3	1	1	9	5	4
DPP10	2	2	10	5	5
DPP3	24	20	10	5	5
DPP7	9	7	10	5	5
DPP9	1	1	9	5	4
DPY19L1	2	2	9	5	4
DPY19L3	2	2	10	5	5
DPY30	4	3	10	5	5
DPYS	3	2	10	5	5
DPYSL2	48	23	10	5	5
DPYSL3	60	25	10	5	5
DPYSL4	28	19	10	5	5
DPYSL5	36	18	10	5	5
DR1	2	2	10	5	5
DRAP1	5	4	10	5	5
DRAXIN	1	1	9	5	4
DRG1	4	3	10	5	5
DRG2	2	1	10	5	5
DSCR3	2	2	10	5	5
DSG1	3	3	10	5	5
DSP	1	1	8	5	3
DST	50	44	10	5	5
DSTN	8	6	10	5	5
DTD1	4	4	9	5	4
DTX3	1	1	10	5	5
DTYMK	8	7	10	5	5
DUSP12	2	2	9	5	4
DUSP3	4	4	10	5	5
DUT	5	3	10	5	5
DYNC1H1	308	186	10	5	5
DYNC1I1	2	2	10	5	5
DYNC1I2	9	8	10	5	5
DYNC1LI1	21	13	10	5	5
DYNC1LI2	13	8	10	5	5
DYNC2H1	7	7	10	5	5
DYNLL1	4	2	10	5	5
DYNLL2	2	1	10	5	5
DYNLRB1	9	6	10	5	5
DYNLT1	6	3	10	5	5
DYRK1A	2	2	9	5	4
EARS2	5	4	9	5	4
EBF1	3	3	10	5	5
EBF2	1	1	10	5	5
EBF3	7	6	10	5	5
EBP	5	3	10	5	5
ECE1	4	3	10	5	5
ECH1	19	9	10	5	5
ECHDC1	5	5	10	5	5
ECHS1	21	12	10	5	5
ECI1	8	6	10	5	5
ECI2	5	4	10	5	5
ECM29	14	11	10	5	5
ECSIT	7	4	10	5	5
EDC3	1	1	9	4	5
EDC4	10	9	10	5	5
EDEM3	6	5	10	5	5
EDF1	5	4	10	5	5
EDIL3	26	16	10	5	5
EDRF1	1	1	10	5	5
EEA1	40	30	10	5	5
EED	5	5	10	5	5
EEF1A1	39	23	10	5	5
EEF1A2	10	8	10	5	5
EEF1B2	8	6	10	5	5
EEF1D	5	5	10	5	5
EEF1E1	13	9	10	5	5
EEF1G	25	18	10	5	5
EEF2	47	28	10	5	5
EEFSEC	3	3	9	5	4
EFCAB14	1	1	9	5	4
EFHD2	2	2	10	5	5
EFL1	2	2	10	5	5
EFR3B	1	1	8	5	3
EFTUD2	42	28	10	5	5
EHBP1	2	2	10	5	5
EHD1	23	17	10	5	5
EHD3	3	3	10	5	5
EI24	1	1	10	5	5
EIF1	5	4	10	5	5
EIF2A	10	8	10	5	5
EIF2AK2	6	6	10	5	5
EIF2B1	3	3	9	5	4
EIF2B2	5	4	9	5	4
EIF2B3	4	4	10	5	5
EIF2B4	2	2	9	5	4
EIF2S1	17	12	10	5	5
EIF2S2	10	8	10	5	5
EIF2S3	18	13	10	5	5
EIF3A	47	33	10	5	5
EIF3B	32	23	10	5	5
EIF3C	21	16	10	5	5
EIF3D	9	7	10	5	5
EIF3E	25	17	10	5	5
EIF3F	10	7	10	5	5
EIF3G	4	3	10	5	5
EIF3H	8	7	10	5	5
EIF3I	10	7	10	5	5
EIF3J	8	6	10	5	5
EIF3K	3	3	9	5	4
EIF3L	28	18	10	5	5
EIF3M	26	13	10	5	5
EIF4A1	30	18	10	5	5
EIF4A2	16	10	10	5	5
EIF4A3	28	17	10	5	5
EIF4B	7	6	10	5	5
EIF4E	8	6	10	5	5
EIF4E2	2	2	9	5	4
EIF4G1	18	17	10	5	5
EIF4G2	23	19	10	5	5
EIF4G3	13	12	10	5	5
EIF4H	2	2	10	5	5
EIF5	9	8	10	5	5
EIF5A	10	7	10	5	5
EIF5B	16	13	10	5	5
EIF6	5	3	10	5	5
ELAC2	4	4	10	5	5
ELAVL1	9	7	10	5	5
ELAVL2	6	3	10	5	5
ELAVL3	7	4	10	5	5
ELAVL4	19	12	10	5	5
ELMO1	3	3	10	5	5
ELMO2	1	1	8	3	5
ELMOD2	14	8	10	5	5
ELOB	10	5	10	5	5
ELOC	8	4	10	5	5
ELOVL2	3	1	9	5	4
ELOVL4	1	1	9	5	4
ELOVL5	1	1	10	5	5
ELP1	4	3	10	5	5
ELP3	1	1	9	5	4
EMC1	34	24	10	5	5
EMC10	3	2	10	5	5
EMC2	10	8	10	5	5
EMC3	8	5	10	5	5
EMC4	1	1	10	5	5
EMC6	1	1	9	5	4
EMC7	5	4	10	5	5
EMC8	8	6	10	5	5
EMG1	2	2	9	5	4
EML4	5	5	10	5	5
EMSY	1	1	8	4	4
ENAH	5	5	10	5	5
ENC1	2	2	9	5	4
ENDOD1	5	4	10	5	5
ENGASE	1	1	8	5	3
ENO1	37	21	10	5	5
ENO2	34	16	10	5	5
ENO3	15	10	10	5	5
ENOPH1	4	4	10	5	5
ENPP4	5	4	10	5	5
ENTPD4	1	1	10	5	5
ENTPD6	1	1	10	5	5
ENY2	3	2	10	5	5
EP300	3	2	10	5	5
EP400	1	1	9	5	4
EPB41	9	5	10	5	5
EPB41L1	15	10	10	5	5
EPB41L2	5	4	10	5	5
EPB41L3	19	15	10	5	5
EPB41L5	3	2	10	5	5
EPDR1	6	6	10	5	5
EPHB2	7	7	10	5	5
EPHX1	18	13	10	5	5
EPHX2	4	3	10	5	5
EPM2AIP1	6	4	10	5	5
EPN1	3	3	10	5	5
EPRS	31	22	10	5	5
EPS15L1	8	6	10	5	5
ERAP1	14	13	10	5	5
ERC1	8	8	10	5	5
ERCC1	2	2	9	5	4
ERCC3	1	1	10	5	5
ERCC4	1	1	10	5	5
ERG28	3	2	9	5	4
ERGIC1	13	8	10	5	5
ERGIC2	4	2	9	5	4
ERGIC3	1	1	9	5	4
ERH	4	3	10	5	5
ERI3	5	4	10	5	5
ERLEC1	6	5	10	5	5
ERLIN1	6	5	10	5	5
ERLIN2	19	11	10	5	5
ERMP1	14	11	10	5	5
ERO1A	18	11	10	5	5
ERP29	15	10	10	5	5
ERP44	22	13	10	5	5
ESD	10	6	10	5	5
ESF1	3	2	9	5	4
ESYT1	11	10	10	5	5
ESYT2	3	3	9	5	4
ETF1	11	9	10	5	5
ETFA	21	13	10	5	5
ETFB	16	12	10	5	5
ETFDH	5	4	10	5	5
ETFRF1	1	1	9	5	4
ETHE1	6	3	10	5	5
ETNK1	1	1	9	5	4
EVL	3	3	10	5	5
EWSR1	5	3	10	5	5
EXOC1	9	7	10	5	5
EXOC2	8	7	10	5	5
EXOC3	3	3	10	5	5
EXOC4	8	8	10	5	5
EXOC5	5	5	9	5	4
EXOC6B	3	3	9	5	4
EXOC7	9	8	10	5	5
EXOC8	4	4	10	5	5
EXOG	7	6	10	5	5
EXOSC10	2	2	9	5	4
EXOSC2	5	4	10	5	5
EXOSC3	1	1	9	5	4
EXOSC4	3	3	10	5	5
EXOSC5	2	2	10	5	5
EXOSC6	1	1	9	5	4
EXOSC7	1	1	9	5	4
EXOSC8	2	2	10	5	5
EXOSC9	1	1	9	5	4
EXTL2	6	5	10	5	5
EXTL3	4	4	10	5	5
EZR	11	7	10	5	5
F10	2	2	10	5	5
F5	12	9	10	5	5
FAAH	4	3	10	5	5
FABP3	3	2	10	5	5
FABP5	10	6	10	5	5
FABP7	8	6	10	5	5
FADS1	8	6	10	5	5
FADS2	13	10	10	5	5
FADS3	1	1	8	5	3
FAF1	7	6	10	5	5
FAF2	3	2	9	5	4
FAHD1	10	7	10	5	5
FAHD2A	5	4	10	5	5
FAHD2B	1	1	9	5	4
FAM105A	1	1	9	5	4
FAM114A2	2	2	10	5	5
FAM118B	1	1	10	5	5
FAM120B	4	4	10	5	5
FAM129B	1	1	9	5	4
FAM136A	2	2	10	5	5
FAM160B1	1	1	9	5	4
FAM162A	6	5	10	5	5
FAM172A	1	1	9	5	4
FAM20B	9	7	10	5	5
FAM210A	5	4	10	5	5
FAM210B	1	1	9	5	4
FAM213A	14	7	10	5	5
FAM213B	2	2	9	5	4
FAM234B	5	4	10	5	5
FAM241A	1	1	8	4	4
FAM3C	16	9	10	5	5
FAM49A	3	3	10	5	5
FAM49B	12	9	10	5	5
FAM50A	2	2	9	5	4
FAM57B	1	1	10	5	5
FAM69A	2	2	9	5	4
FAM69B	4	4	9	5	4
FAM76B	1	1	10	5	5
FAM8A1	2	2	9	5	4
FAM91A1	2	1	10	5	5
FAM98A	3	3	9	5	4
FAM98B	8	4	10	5	5
FAR1	4	4	10	5	5
FARP1	16	12	10	5	5
FARS2	2	2	9	5	4
FARSA	14	10	10	5	5
FARSB	34	21	10	5	5
FASN	106	72	10	5	5
FASTKD1	1	1	8	4	4
FASTKD2	10	7	10	5	5
FASTKD5	3	3	9	5	4
FAT2	1	1	10	5	5
FAU	3	2	10	5	5
FAXC	3	2	10	5	5
FBL	13	9	10	5	5
FBLL1	14	7	10	5	5
FBLN1	5	5	10	5	5
FBXL15	1	1	8	4	4
FBXL18	2	2	9	5	4
FBXL20	1	1	9	5	4
FBXO2	2	2	9	5	4
FBXO38	1	1	9	5	4
FBXO39	1	1	10	5	5
FBXO44	2	2	9	5	4
FBXO7	2	2	9	5	4
FBXW11	2	2	10	5	5
FDFT1	23	14	10	5	5
FDPS	14	9	10	5	5
FDXR	5	4	10	5	5
FECH	2	2	10	5	5
FEN1	6	4	10	5	5
FERMT2	6	4	10	5	5
FGD4	2	2	9	5	4
FGF12	1	1	10	5	5
FGF13	4	3	9	5	4
FGF2	2	2	9	5	4
FGFR1	1	1	10	5	5
FH	37	21	10	5	5
FHL1	2	2	10	5	5
FIBP	6	5	10	5	5
FIS1	5	3	10	5	5
FITM2	3	2	9	5	4
FKBP10	4	4	10	5	5
FKBP1A	2	2	10	5	5
FKBP1B	1	1	10	5	5
FKBP2	5	4	10	5	5
FKBP3	11	7	10	5	5
FKBP4	33	21	10	5	5
FKBP5	5	4	10	5	5
FKBP7	6	5	10	5	5
FKBP8	1	1	10	5	5
FKBP9	6	6	10	5	5
FLAD1	5	4	9	5	4
FLCN	1	1	9	5	4
FLG	2	2	9	5	4
FLG2	3	3	9	5	4
FLII	5	5	10	5	5
FLNA	10	10	10	5	5
FLNC	40	34	10	5	5
FLOT1	14	10	10	5	5
FLOT2	9	7	10	5	5
FMC1	11	7	10	5	5
FMN2	2	2	10	5	5
FMNL2	6	5	10	5	5
FMR1	2	2	10	5	5
FN1	3	3	10	5	5
FN3K	5	3	10	5	5
FN3KRP	2	1	10	5	5
FNBP1	2	2	10	5	5
FNBP1L	21	15	10	5	5
FNBP4	1	1	9	5	4
FNDC3A	3	3	10	5	5
FNTA	6	5	9	5	4
FNTB	1	1	10	5	5
FOCAD	2	1	9	5	4
FOXK1	3	3	10	5	5
FOXK2	2	2	10	5	5
FOXRED1	3	3	10	5	5
FOXRED2	1	1	9	5	4
FRG1	2	2	10	5	5
FRRS1L	2	2	9	5	4
FRY	4	3	9	5	4
FRYL	5	5	9	5	4
FSCN1	30	18	10	5	5
FSD1	5	4	10	5	5
FSD1L	3	3	10	5	5
FTH1	16	9	10	5	5
FTL	10	6	10	5	5
FTO	18	11	10	5	5
FUBP1	9	8	10	5	5
FUBP3	1	1	9	4	5
FUCA1	9	8	9	5	4
FUCA2	3	3	9	5	4
FUNDC1	2	1	10	5	5
FUNDC2	4	3	10	5	5
FUS	9	6	10	5	5
FUT11	2	2	10	5	5
FUT8	3	3	10	5	5
FXN	5	4	10	5	5
FXR1	5	4	9	5	4
FXR2	2	1	10	5	5
FXYD6	2	1	10	5	5
FYN	8	8	10	5	5
FZD1	1	1	9	5	4
FZD3	1	1	9	5	4
G3BP1	11	8	10	5	5
G3BP2	8	6	10	5	5
G6PD	16	14	10	5	5
GAA	35	22	10	5	5
GABARAP	3	3	10	5	5
GABARAPL2	4	3	10	5	5
GABBR1	18	13	10	5	5
GABBR2	4	4	10	5	5
GABPA	1	1	10	5	5
GABPB1	1	1	8	5	3
GABRA3	4	4	10	5	5
GABRB3	4	4	10	5	5
GADD45GIP1	4	4	10	5	5
GAK	2	2	9	5	4
GALC	21	14	10	5	5
GALE	2	1	10	5	5
GALNS	5	4	9	5	4
GALNT1	4	4	10	5	5
GALNT13	4	4	10	5	5
GALNT14	1	1	9	5	4
GALNT16	9	8	10	5	5
GALNT17	2	2	10	5	5
GALNT2	22	18	10	5	5
GALNT3	1	1	9	5	4
GAN	3	3	10	5	5
GANAB	57	33	10	5	5
GAP43	18	14	10	5	5
GAPDH	45	19	10	5	5
GAPVD1	3	3	10	5	5
GAR1	6	4	10	5	5
GARS	21	16	10	5	5
GART	9	8	10	5	5
GATB	2	2	9	5	4
GATC	1	1	8	4	4
GATD1	2	2	10	5	5
GATM	4	4	10	5	5
GBA	22	13	10	5	5
GBA2	2	2	10	5	5
GBE1	4	3	9	5	4
GBF1	3	3	10	5	5
GCA	4	4	10	5	5
GCDH	8	5	10	5	5
GCLC	2	2	10	5	5
GCN1	21	14	10	5	5
GCSH	4	1	10	5	5
GDAP1	4	3	10	5	5
GDAP1L1	16	9	10	5	5
GDE1	6	4	10	5	5
GDI1	16	12	10	5	5
GDI2	44	26	10	5	5
GDPD1	20	11	10	5	5
GDPGP1	1	1	9	5	4
GEMIN2	1	1	10	5	5
GEMIN4	1	1	9	5	4
GEMIN5	3	3	9	5	4
GEMIN8	1	1	10	5	5
GET4	3	2	9	5	4
GFM1	24	18	10	5	5
GFM2	5	4	10	5	5
GFPT1	10	9	10	5	5
GFRA1	1	1	9	5	4
GGA1	1	1	9	5	4
GGACT	1	1	10	5	5
GGCT	5	4	10	5	5
GGCX	3	2	10	5	5
GGH	16	9	10	5	5
GGPS1	3	3	10	5	5
GGT5	1	1	9	5	4
GGT7	4	3	10	5	5
GHITM	4	4	10	5	5
GIGYF2	2	2	10	5	5
GIT1	3	2	10	5	5
GIT2	1	1	9	5	4
GK	4	4	10	5	5
GLA	4	4	10	5	5
GLB1	12	10	10	5	5
GLCE	2	2	9	5	4
GLDC	11	10	10	5	5
GLG1	30	21	10	5	5
GLIPR2	2	2	10	5	5
GLO1	8	6	10	5	5
GLOD4	11	8	10	5	5
GLRX	3	2	10	5	5
GLRX2	2	1	10	5	5
GLRX3	10	7	10	5	5
GLRX5	3	2	10	5	5
GLS	25	15	10	5	5
GLT8D1	3	3	10	5	5
GLUD1	33	19	10	5	5
GLUD2	3	2	10	5	5
GLUL	3	3	10	5	5
GLYR1	7	6	10	5	5
GM2A	7	5	10	5	5
GMDS	3	3	10	5	5
GMFB	4	3	10	5	5
GMIP	5	5	10	5	5
GMPPA	1	1	9	5	4
GMPR	2	1	8	4	4
GMPR2	4	4	10	5	5
GMPS	25	19	10	5	5
GNA11	22	14	10	5	5
GNA12	3	2	10	5	5
GNA13	20	13	10	5	5
GNAI1	9	6	10	5	5
GNAI2	15	11	10	5	5
GNAI3	3	3	10	5	5
GNAO1	18	12	10	5	5
GNAQ	16	11	10	5	5
GNAS	21	13	10	5	5
GNAZ	13	10	10	5	5
GNB1	11	7	10	5	5
GNB2	13	9	10	5	5
GNG12	1	1	9	5	4
GNG2	4	3	10	5	5
GNG4	1	1	9	5	4
GNL1	4	4	10	5	5
GNPAT	13	8	9	5	4
GNPDA1	6	5	10	5	5
GNPTAB	3	2	10	5	5
GNPTG	1	1	9	5	4
GNS	14	10	10	5	5
GOLGA3	3	3	10	5	5
GOLGA4	2	2	9	4	5
GOLGA7	2	1	9	5	4
GOLGB1	1	1	10	5	5
GOLIM4	7	3	10	5	5
GOLM1	13	11	10	5	5
GOLPH3	8	6	10	5	5
GOLT1B	3	2	9	5	4
GOPC	1	1	10	5	5
GORASP2	7	4	10	5	5
GOT1	23	16	10	5	5
GOT2	39	22	10	5	5
GPAA1	7	6	10	5	5
GPAM	1	1	9	5	4
GPC2	7	6	10	5	5
GPD1L	4	3	9	5	4
GPD2	41	30	10	5	5
GPHN	10	8	10	5	5
GPI	38	19	10	5	5
GPM6A	6	3	10	5	5
GPM6B	2	2	9	5	4
GPR107	5	4	10	5	5
GPR155	1	1	9	5	4
GPR180	1	1	9	5	4
GPRASP2	3	2	9	5	4
GPS1	12	8	10	5	5
GPT2	3	3	10	5	5
GPX1	7	5	10	5	5
GPX4	8	5	10	5	5
GRAMD1A	1	1	10	5	5
GRB2	11	7	10	5	5
GRHPR	6	4	10	5	5
GRIA2	4	4	10	5	5
GRIA3	3	3	9	5	4
GRIA4	9	8	10	5	5
GRID1	4	4	10	5	5
GRIK2	3	3	9	5	4
GRIP1	3	3	10	5	5
GRIPAP1	3	3	9	5	4
GRK2	5	5	10	5	5
GRM2	1	1	10	5	5
GRM4	1	1	9	5	4
GRPEL1	7	6	10	5	5
GRSF1	11	8	10	5	5
GRWD1	2	1	9	5	4
GSDME	3	3	9	5	4
GSK3A	4	3	9	5	4
GSK3B	5	4	10	5	5
GSN	9	8	10	5	5
GSPT1	8	7	10	5	5
GSPT2	2	2	10	5	5
GSR	9	6	10	5	5
GSS	4	4	10	5	5
GSTA4	5	4	10	5	5
GSTK1	3	2	10	5	5
GSTM2	8	6	10	5	5
GSTM3	9	6	10	5	5
GSTO1	2	2	9	5	4
GSTP1	18	12	10	5	5
GSTZ1	6	4	10	5	5
GTF2A1	3	3	9	5	4
GTF2A2	1	1	9	5	4
GTF2F1	1	1	10	5	5
GTF2F2	3	3	10	5	5
GTF2I	9	8	10	5	5
GTF3C1	5	5	10	5	5
GTF3C2	1	1	9	5	4
GTF3C3	1	1	8	5	3
GTF3C4	8	7	10	5	5
GTF3C5	5	4	10	5	5
GTPBP1	8	5	10	5	5
GTPBP10	8	7	10	5	5
GTPBP3	2	2	10	5	5
GTPBP4	10	10	10	5	5
GTPBP6	1	1	10	5	5
GUCY1B3	1	1	9	5	4
GUF1	3	3	9	5	4
GUK1	6	5	10	5	5
GUSB	7	6	10	5	5
GXYLT1	2	2	9	5	4
GYS1	5	5	10	5	5
H1F0	5	3	10	5	5
H1FX	3	3	10	5	5
H2AFY	23	13	10	5	5
H2AFY2	25	13	10	5	5
H3F3A	12	7	10	5	5
HACD2	1	1	9	5	4
HACD3	9	6	10	5	5
HADH	17	10	10	5	5
HADHA	46	25	10	5	5
HADHB	18	15	10	5	5
HAGH	10	8	10	5	5
HARS	15	13	10	5	5
HARS2	4	4	10	5	5
HAS1	1	1	10	5	5
HAT1	1	1	9	5	4
HAX1	1	1	9	5	4
HBA1	7	5	10	5	5
HBS1L	7	6	10	5	5
HCCS	8	7	10	5	5
HCFC1	7	7	10	5	5
HDAC2	18	10	10	5	5
HDAC6	2	2	9	5	4
HDGF	12	8	10	5	5
HDGFL2	8	5	10	5	5
HDGFL3	8	4	10	5	5
HDHD2	6	5	10	5	5
HDHD3	3	2	10	5	5
HDHD5	2	2	9	5	4
HDLBP	4	4	10	5	5
HEATR1	16	16	10	5	5
HEATR3	3	3	10	5	5
HEBP1	1	1	8	4	4
HEBP2	5	4	10	5	5
HECA	1	1	9	5	4
HECTD3	5	4	10	5	5
HECTD4	15	13	10	5	5
HECW1	2	2	9	5	4
HECW2	1	1	9	5	4
HELZ	1	1	8	3	5
HERC1	5	4	10	5	5
HERC2	4	4	9	5	4
HERC4	4	4	9	5	4
HEXA	9	9	9	5	4
HEXB	13	11	10	5	5
HGFAC	2	2	9	5	4
HGS	3	3	9	5	4
HIBADH	5	5	10	5	5
HIBCH	13	9	10	5	5
HID1	6	6	10	5	5
HIGD1A	2	1	9	5	4
HIGD2A	2	2	9	5	4
HINT1	7	4	10	5	5
HINT2	7	4	10	5	5
HINT3	5	4	10	5	5
HIP1	5	4	10	5	5
HIPK2	1	1	10	5	5
HIST1H1B	5	3	10	5	5
HIST1H1E	7	5	10	5	5
HIST1H2BA	3	2	10	5	5
HIST1H4A	32	13	10	5	5
HIST2H2AB	3	2	10	5	5
HIST2H3A	2	1	9	5	4
HIST3H2BB	8	4	10	5	5
HK1	78	41	10	5	5
HLTF	3	3	9	5	4
HM13	6	5	10	5	5
HMBS	1	1	9	5	4
HMG20A	2	2	9	5	4
HMGA1	2	1	10	5	5
HMGA2	1	1	10	5	5
HMGB1	18	8	10	5	5
HMGB2	10	6	10	5	5
HMGB3	8	6	10	5	5
HMGCL	5	4	10	5	5
HMGCR	1	1	9	5	4
HMGCS1	24	17	10	5	5
HMGN1	2	2	10	5	5
HMGN2	5	4	10	5	5
HMGN3	1	1	9	4	5
HMGN4	1	1	8	4	4
HMGN5	1	1	8	3	5
HMGXB4	1	1	8	4	4
HMOX2	2	2	10	5	5
HNRNPA0	5	3	10	5	5
HNRNPA1	26	14	10	5	5
HNRNPA2B1	21	11	10	5	5
HNRNPA3	15	9	10	5	5
HNRNPAB	8	5	10	5	5
HNRNPC	25	15	10	5	5
HNRNPD	17	10	10	5	5
HNRNPDL	6	4	10	5	5
HNRNPF	7	5	10	5	5
HNRNPH1	15	11	10	5	5
HNRNPH2	6	4	10	5	5
HNRNPH3	11	6	10	5	5
HNRNPK	30	19	10	5	5
HNRNPL	31	12	10	5	5
HNRNPLL	7	4	10	5	5
HNRNPM	14	9	10	5	5
HNRNPR	32	19	10	5	5
HNRNPU	20	15	10	5	5
HNRNPUL1	13	9	10	5	5
HNRNPUL2	26	19	10	5	5
HOMER3	1	1	8	4	4
