gene	NTC_01	NTC_02	NTC_03	NTC_04	NTC_05	NAA25_06	NAA25_07	NAA25_08	NAA25_09	NAA25_10
11-Sep	-0.00736339566309	0.202930116978	0.21392438141	0.266955657357	0.374649849591	-0.256904250911	-0.981089981702	0.0126560460874	-0.337250940584	-0.0821090128643
2-Sep	0.0872934144472	0.0742529625508	0.169597184683	-0.0182428941736	0.0323718515539	0.00935995619373	-0.207783414309	-0.0652105183385	-0.102382716558	-0.250700006696
3-Sep	0.136771040447	-0.160846050652	0.054304058064	0.0392988625941	-0.061507375296	-0.181456795092	1.05433035673	0.136518142115	-0.317977935001	-0.230905148789
5-Sep	0.252249033936	-0.0520281018079	0.0896009312474	-0.158581454166	0.278563346682	-0.0723946728626	0.539239901464	-0.0272904410404	0.0468641242953	-0.319250992641
6-Sep	0.185611213321	-0.0444714357757	0.0358133843749	-0.0633392500892	0.0886552832172	-0.0901438844982	0.780141193592	0.364437447613	-0.0976018701134	-0.314550561397
7-Sep	0.138862633427	2.87161387491e-05	-0.0150452085959	0.274531417545	0.0702598378318	-0.208228791314	-0.0169788468823	-0.00623482470754	-0.584625723336	-0.156301374822
9-Sep	0.136424805129	0.146392780836	0.253956112685	-0.0631966277143	0.0074116476177	0.168544313911	-0.21472584574	-0.02080687049	-0.0133504925778	-0.101815883339
A2M	0.83745575807	1.17448248924	1.30255663233	0.788756991617	0.5430692822	-0.872988241833	-1.97421194043	-1.51917831818	-0.84582637442	-0.552296699257
AAAS	-0.794179978971	-0.521323394878	-0.0553613098604	-0.200853549989	-0.505116438787	0.0793349127745	1.04763638193	0.0496920532872	0.179507123373	0.509749432886
AARS	-0.109168136509	0.0379570501899	0.125466251629	-0.0490300034192	0.0830474363796	-0.172520063882	0.229484446609	0.0153122320646	-0.0502388337138	-0.0952128249179
AARS2	-0.332508507267	-0.572029075693	-0.192316787452	0.121511089834	-0.516563070752	0.0264867363435	0.285384516468	-0.0135130651822	0.0927473242093	0.316426143968
AARSD1	-0.139809281152	-0.160862625091	-0.340039294111	-0.0549151699776	-0.0756948512691	0.0640091827013	1.23450486171	0.614080967759	0.0526322440915	0.289310594588
AASDHPPT	-0.0911043601374	-0.0594488221495	-0.128474830324	-0.113902858189	0.17579215163	-0.40039539712	0.0892589323873	0.789953883649	0.0846775590491	0.300817385414
AASS	-0.0242086560706	0.101697008049	0.284961251805	0.481682625645	0.0279672458361	-0.4634416286	0.287130537891	-0.979754558882	-0.733861741334	-0.390262990987
ABAT	1.02613208088	0.538053058117	0.755326476143	0.386437279131	0.089449297906	-0.0780096874036	-1.0216451087	-0.849317699121	-0.110848689051	-0.48430357408
ABCA3	0.0551610930594	-0.12565710471	-0.253870067675	0.0570623237257	-0.741174151694	0.150052558898	-0.129973711256	-0.331026457391	0.203935125239	0.174562560741
ABCB7	0.118650498428	-0.0258858110598	0.147066473179	0.103941891627	0.005305662831	-0.0816513572525	-0.0597151425959	-0.82764585156	-0.222525534769	-0.0145330798877
ABCE1	-0.258383967643	-0.0104199695344	-0.515779156637	0.032978694857	-0.0703254736115	-0.0890401519656	0.502042534583	1.25674784541	0.0356487064341	1.04832609041
ABCF1	-0.57182922384	-0.509357289476	-1.50647735283	-1.52065799398	-0.142871270851	0.154310881354	1.82776847642	1.78541661402	0.34062531625	0.441532050179
ABCF2	-0.565891908684	-0.310563475353	-0.560593320377	-0.245904181626	0.200582758558	-0.117872046958	0.826330516372	0.8874814578	0.162280563587	0.395406624113
ABHD10	0.380238751209	0.103705017929	0.354347861635	0.446625083257	-0.0654074824741	0.0768470929766	-1.43041908819	-0.699920243131	-0.106562381645	-0.182761949912
ABHD12	-0.073199741574	0.31538201076	0.0109031904922	0.820621540716	-0.0181065077242	-0.015427403104	0.793843218151	-0.509124532993	0.103048392003	-0.182787073467
ABI2	0.0169820260328	-0.0074955195042	0.137882837116	0.254368197984	-0.0404242137046	0.0131454577663	0.326318751232	0.113123421461	-0.029051603647	-0.26119489819
ABR	-0.155750751086	0.000993404871968	-0.120426121299	0.404763360079	-0.00873357409955	0.0563710651236	-0.460818481661	0.0819903558707	-0.344559910554	0.0798524177824
