pathway	gene	control	distance
R-HSA-112310	LIN7A	BAG6	0.000117801127087
R-HSA-112310	LIN7C	MAP2K4	6.96997172687e-06
R-HSA-112310	LIN7C	ITGAV	8.6049033665e-06
R-HSA-112310	LIN7C	AMPD2	1.04119330735e-05
R-HSA-112310	LIN7C	ASAP1	2.20285526183e-05
R-HSA-112310	LIN7C	STRIP1	2.48681707292e-05
R-HSA-112310	NAAA	COMMD9	2.15122584163e-06
R-HSA-112310	NAAA	WDR43	5.50713815456e-06
R-HSA-112310	NAAA	TOR2A	1.23910608478e-05
R-HSA-112310	NAAA	OARD1	2.78798869075e-05
R-HSA-112310	NAAA	SPOCK1	3.10637011531e-05
R-HSA-112310	RAB3A	GDAP1	3.4419613466e-07
R-HSA-112310	RAB3A	PDK1	3.10637011531e-05
R-HSA-112310	RAB3A	IMP3	5.37806460407e-05
R-HSA-112310	RAB3A	TMOD2	7.74441302985e-05
R-HSA-112310	RAB3A	ATPAF1	0.00011151954763
R-HSA-112310	SNAP25	PPM1L	3.4419613466e-07
R-HSA-112310	SNAP25	ADPGK	5.50713815456e-06
R-HSA-112310	SNAP25	LMBRD2	1.68656105983e-05
R-HSA-112310	SNAP25	MYCBP2	5.37806460407e-05
R-HSA-112310	SNAP25	WDFY1	9.37073976612e-05
R-HSA-112310	STX1A	MAP2K2	8.60490336651e-08
R-HSA-112310	STX1A	TMTC3	2.15122584163e-06
R-HSA-112310	STX1A	BDH1	6.96997172687e-06
R-HSA-112310	STX1A	POLR1D	1.04119330735e-05
R-HSA-112310	STX1A	PNKP	1.45422866894e-05
R-HSA-112310	STXBP1	EPRS	4.21640264959e-06
R-HSA-112310	STXBP1	VARS	9.68051628732e-05
R-HSA-112310	STXBP1	XPO1	0.000165063558828
R-HSA-112310	STXBP1	PDS5B	0.000375969740341
R-HSA-112310	STXBP1	HNRNPR	0.000538064607508
R-HSA-112310	SYN1	PIP4K2B	1.23910608478e-05
R-HSA-112310	SYN1	SUSD2	4.95642433911e-05
R-HSA-112310	SYN1	DMXL2	5.37806460407e-05
R-HSA-112310	SYN1	SKP1	9.37073976612e-05
R-HSA-112310	SYN1	DNAJC3	9.94726829168e-05
R-HSA-112310	SYT1	ME2	6.74624423934e-05
R-HSA-112310	SYT1	ACSL4	0.000147939801129
R-HSA-112310	SYT1	ILF3	0.000151984105711
R-HSA-112310	SYT1	IDH1	0.000152909132823
R-HSA-112310	SYT1	FSCN1	0.00015620050836
R-HSA-112310	UNC13B	PPP2R5E	8.26931213521e-05
R-HSA-112310	UNC13B	NUP155	8.8114210473e-05
R-HSA-112310	UNC13B	NAP1L4	9.94726829168e-05
R-HSA-112310	UNC13B	VPS29	0.000130880580205
R-HSA-112310	UNC13B	WDR37	0.000174249293172
R-HSA-112310	VAMP2	LUC7L	3.4419613466e-07
R-HSA-112310	VAMP2	LCMT1	2.15122584163e-06
R-HSA-112310	VAMP2	CTSL	6.96997172687e-06
R-HSA-112310	VAMP2	NUTF2	3.79476238463e-05
R-HSA-112310	VAMP2	PURG	5.81691467576e-05
