pathway	NGenes	Correlation	Direction	PValue	FDR	model	setting
R-HSA-449147	124	0.01	Up	0.33379729899389	0.510544005448729	omit_NAA25_07	fixed_0.01
R-HSA-5620916	11	0.01	Up	0.337484498555461	0.515383303995548	omit_NAA25_07	fixed_0.01
R-HSA-422475	292	0.01	Down	0.338705577774498	0.516447359300125	omit_NAA25_07	fixed_0.01
R-HSA-379724	23	0.01	Down	0.341530470193851	0.519181218459604	omit_NAA25_07	fixed_0.01
R-HSA-6811440	20	0.01	Down	0.341552720367333	0.519181218459604	omit_NAA25_07	fixed_0.01
R-HSA-5620920	33	0.01	Up	0.343585157121724	0.520865569850522	omit_NAA25_07	fixed_0.01
R-HSA-9954714	81	0.01	Up	0.34371839634806	0.520865569850522	omit_NAA25_07	fixed_0.01
R-HSA-9013408	36	0.01	Down	0.346104847438222	0.523676305263669	omit_NAA25_07	fixed_0.01
R-HSA-169911	34	0.01	Up	0.349683344607588	0.528279285948581	omit_NAA25_07	fixed_0.01
R-HSA-72764	83	0.01	Up	0.351455420330505	0.530143321631773	omit_NAA25_07	fixed_0.01
R-HSA-9711097	111	0.01	Up	0.353802404985346	0.532867536560498	omit_NAA25_07	fixed_0.01
R-HSA-2029482	33	0.01	Down	0.358701231564158	0.537275529572184	omit_NAA25_07	fixed_0.01
R-HSA-5610783	38	0.01	Up	0.358852163057229	0.537275529572184	omit_NAA25_07	fixed_0.01
R-HSA-5610785	38	0.01	Up	0.358852163057229	0.537275529572184	omit_NAA25_07	fixed_0.01
R-HSA-72766	304	0.01	Down	0.359207457109358	0.537275529572184	omit_NAA25_07	fixed_0.01
R-HSA-428157	36	0.01	Down	0.359456420292456	0.537275529572184	omit_NAA25_07	fixed_0.01
R-HSA-5655302	17	0.01	Up	0.360404912869384	0.537877029055065	omit_NAA25_07	fixed_0.01
R-HSA-192823	80	0.01	Up	0.362698202386811	0.540247280970883	omit_NAA25_07	fixed_0.01
R-HSA-199992	47	0.01	Down	0.363467692981475	0.540247280970883	omit_NAA25_07	fixed_0.01
R-HSA-877300	16	0.01	Up	0.364077020971205	0.540247280970883	omit_NAA25_07	fixed_0.01
R-HSA-8856828	85	0.01	Down	0.364186999558037	0.540247280970883	omit_NAA25_07	fixed_0.01
R-HSA-9013405	27	0.01	Down	0.36634617568357	0.540894306854906	omit_NAA25_07	fixed_0.01
R-HSA-69601	37	0.01	Up	0.366786135176616	0.540894306854906	omit_NAA25_07	fixed_0.01
R-HSA-69613	37	0.01	Up	0.366786135176616	0.540894306854906	omit_NAA25_07	fixed_0.01
R-HSA-75105	21	0.01	Down	0.366944850065378	0.540894306854906	omit_NAA25_07	fixed_0.01
R-HSA-9958810	13	0.01	Down	0.368129207389452	0.540894306854906	omit_NAA25_07	fixed_0.01
R-HSA-9629569	12	0.01	Up	0.368410783071775	0.540894306854906	omit_NAA25_07	fixed_0.01
R-HSA-399956	12	0.01	Down	0.36846708619253	0.540894306854906	omit_NAA25_07	fixed_0.01
R-HSA-9841251	11	0.01	Down	0.36919561422546	0.541157261922735	omit_NAA25_07	fixed_0.01
R-HSA-5656169	12	0.01	Up	0.370546114811314	0.542329751989813	omit_NAA25_07	fixed_0.01
R-HSA-438066	10	0.01	Down	0.377772689952985	0.552086201192419	omit_NAA25_07	fixed_0.01
R-HSA-75815	33	0.01	Up	0.381650884677633	0.555786280670415	omit_NAA25_07	fixed_0.01
R-HSA-111465	19	0.01	Up	0.382226364945558	0.555786280670415	omit_NAA25_07	fixed_0.01
R-HSA-4420097	46	0.01	Down	0.382502030558254	0.555786280670415	omit_NAA25_07	fixed_0.01
R-HSA-195721	108	0.01	Down	0.382561521111209	0.555786280670415	omit_NAA25_07	fixed_0.01
R-HSA-71291	203	0.01	Down	0.383953157443684	0.55698653914879	omit_NAA25_07	fixed_0.01
R-HSA-6811436	39	0.01	Down	0.388969524043033	0.563433795856451	omit_NAA25_07	fixed_0.01
R-HSA-376176	160	0.01	Up	0.391284698214188	0.565955106814942	omit_NAA25_07	fixed_0.01
R-HSA-349425	33	0.01	Up	0.394659101964923	0.567122822899338	omit_NAA25_07	fixed_0.01
