gene	pooled_abundance	backbones	abundance_rank	backbone_rank
PRPS1	17.229117675	3	0.486066295101	0.294074508654
PRPSAP2	16.6053848032	6	0.286887650337	0.580228806101
PRRC1	17.0526313117	4	0.433558228219	0.408917571135
PRSS3	18.6165925479	1	0.861249633324	0.0513347022587
PRUNE1	13.0275907871	4	0.00469345849223	0.408917571135
PSAP	16.8463103578	7	0.359929598123	0.646377236726
PSAT1	16.9832428557	8	0.407450865356	0.702552068055
PSIP1	19.3034380446	9	0.932238193018	0.747433264887
PSMA1	16.7451095797	10	0.328835435612	0.783660897624
PSMA2	18.5000542325	7	0.839249046641	0.646377236726
PSMA3	18.5979494686	10	0.858902904077	0.783660897624
PSMA4	18.6387176187	7	0.86564975066	0.646377236726
PSMA5	19.1339883131	7	0.918744499853	0.646377236726
PSMA6	18.9919040189	8	0.908184218246	0.702552068055
PSMA7	18.7405027424	13	0.878263420358	0.859782927545
PSMB1	19.0742182295	7	0.914637723673	0.646377236726
PSMB2	18.8995241064	6	0.895863889704	0.580228806101
PSMB3	17.2328039854	8	0.487826342036	0.702552068055
PSMB4	18.0406723296	6	0.743033147551	0.580228806101
PSMB5	19.3860293649	9	0.937518333822	0.747433264887
PSMB6	19.6162378192	6	0.951892050455	0.580228806101
PSMB7	17.1269219832	4	0.459665591082	0.408917571135
PSMC1	16.736823483	14	0.325022000587	0.879143443825
PSMC2	18.3004485032	19	0.803168084482	0.936931651511
PSMC3	17.3844389227	20	0.534174244647	0.944998533294
PSMC4	17.2002312569	13	0.477266060428	0.859782927545
PSMC5	18.178044844	15	0.777060721619	0.894103842769
PSMC6	18.2159024009	12	0.787327662071	0.838222352596
PSMD1	18.0595553356	25	0.748313288354	0.968759166911
PSMD10	15.9496306435	4	0.148137283661	0.408917571135
PSMD11	17.9411678842	19	0.71604576122	0.936931651511
PSMD12	18.0545372507	17	0.746846582576	0.917131123497
PSMD13	16.7581546551	16	0.334115576415	0.905690818422
PSMD14	16.8672215744	7	0.366089762394	0.646377236726
PSMD2	16.7703115285	26	0.337048987973	0.971252566735
PSMD3	17.9376565029	23	0.714872396597	0.962158990906
PSMD4	17.4057134571	5	0.543561161631	0.505426811382
PSMD5	15.921248414	5	0.14197711939	0.505426811382
