gene	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	model
SYP	-1.3060380516788	-1.72272287364827	-0.88935322970933	-0.1134791844226	-6.92114913356492	2.87964879860666e-05	0.00366856502010566	2.89404627359316	primary
SYT1	-1.2141130202514	-1.73009295473899	-0.698133085763812	-0.0529097544393	-5.19851421783536	0.000325752867585144	0.00864394815103874	0.490741800132176	primary
SNCA	-0.85291245495158	-1.50709682861967	-0.198728081283486	-0.182497703702622	-2.92085009302034	0.0158936855256381	0.0627471304216352	-3.28527952976945	primary
NAA25	-1.1775729556293	-1.57724117889493	-0.777904732363666	-0.235866038128667	-6.5911665840755	7.03894697944459e-05	0.00481101360973857	2.09354326107681	primary
PSMA4	-0.220374126491782	-0.60295583048387	0.162207577500306	-0.072953355381609	-1.27193953048739	0.230307445281667	0.36906461302508	-5.81500588169765	primary
PSMB4	-0.617536084319776	-1.38095980001531	0.145887631375762	-0.088578843637212	-1.78829605307152	0.102268045814816	0.207806826428214	-5.12424615956461	primary
PSMC5	0.43356839602682	0.0711869413077444	0.795949850745896	-0.05226175910881	2.64193246654136	0.0233729604285238	0.0796941984074609	-3.75080824334084	primary
PSMD1	0.059604897656344	-0.217828900156481	0.337038695469169	0.023142376518252	0.474408692370216	0.644729673366222	0.753465170091976	-6.5037704871425	primary
PSMD2	-0.131227078538252	-0.396248111241482	0.133793954164978	-0.024599887910054	-1.09338516381902	0.298197063545367	0.443419689848359	-6.01512442035155	primary
PSMD4	0.48896028483018	-0.0891211607167064	1.06704173037707	0.09714751020929	1.86956006626462	0.0893124552771005	0.189416307360132	-5.003276326777	primary
PSMG1	1.04506824629627	0.00174576638724977	2.0883907262053	-0.216753042024671	2.2440424342717	0.0496873410329818	0.127876760148858	-4.38399273513233	primary
POMP	NA	NA	NA	NA	NA	NA	NA	NA	primary
SYT1	-1.440477093598	-2.01204590295232	-0.868908284243683	-0.0239347215674	-5.52144372524189	0.000156861413625967	0.00782740514972634	1.24223641539113	strict_backbones
PSMA4	-0.144836978675	-0.485494298313807	0.195820340963807	-0.08158667795528	-0.930284885785097	0.371242761435606	0.52117231396394	-5.96728323852636	strict_backbones
PSMB4	-0.8576715719382	-1.46794389209941	-0.24739925177699	-0.0028680356149	-3.07901750436586	0.0100604785187648	0.0460738190147819	-2.78985411064828	strict_backbones
PSMC5	0.491537450982106	0.0286705480484317	0.95440435391578	-0.039177632904833	2.32587329549058	0.0392854642621655	0.108498458777688	-4.07705485339044	strict_backbones
PSMD1	0.02601185838541	-0.274322228303089	0.326345945073909	0.016119398594335	0.189505137659935	0.8529833293801	0.901288774461161	-6.38919988026801	strict_backbones
PSMD2	-0.300582978035928	-0.741657239962894	0.140491283891038	-0.034350161614436	-1.49218654027293	0.162593453172771	0.292373565301614	-5.3341096075919	strict_backbones
PSMD4	0.64853644660684	-0.194776546670193	1.49184943988387	0.20454791514522	1.68484677438787	0.119091616736194	0.234896114686817	-5.07044753794365	strict_backbones
SYP	NA	NA	NA	NA	NA	NA	NA	NA	strict_backbones
SNCA	NA	NA	NA	NA	NA	NA	NA	NA	strict_backbones
NAA25	NA	NA	NA	NA	NA	NA	NA	NA	strict_backbones
POMP	NA	NA	NA	NA	NA	NA	NA	NA	strict_backbones
PSMG1	NA	NA	NA	NA	NA	NA	NA	NA	strict_backbones
SYP	-1.2424739123518	-1.65260231068377	-0.832345514019829	-0.0126707862951111	-6.77020774441085	5.4659148618287e-05	0.00224306313214805	2.2896445928167	omit_NAA25_07
SYT1	-1.23692036236565	-1.78521720849703	-0.68862351623427	0.00440437241277777	-5.04150903269667	0.000540339946449734	0.00644108148367402	-0.0345824956238365	omit_NAA25_07
NAA25	-1.1775729556293	-1.53247718440503	-0.822668726853571	-0.235866038128667	-7.41500088707369	2.5641326529515e-05	0.00173080875815993	3.04793555220326	omit_NAA25_07
PSMA4	-0.075231232767657	-0.311043234080149	0.160580768544835	0.00379760441199	-0.712962738066122	0.492520047505934	0.58866624826906	-6.48598507610184	omit_NAA25_07
PSMB4	-0.267957219539051	-0.636339307466926	0.100424868388824	0.101097100949764	-1.62555443019967	0.135774456353765	0.217065246123736	-5.48557713098981	omit_NAA25_07
PSMC5	0.43277876359397	0.0675614736116022	0.797996053576338	-0.0766998399693444	2.6481901794649	0.024811691757684	0.0631391521851822	-3.89234755042406	omit_NAA25_07
PSMD1	0.0263567839792	-0.218048383102961	0.270761951061361	0.00505405390305778	0.24099975009253	0.814529640760675	0.863121010511312	-6.72387206748271	omit_NAA25_07
PSMD2	-0.091318569520547	-0.312678464467139	0.130041325426045	0.000427620461051112	-0.921923145060811	0.378738199012852	0.478641582217029	-6.31241909743555	omit_NAA25_07
PSMD4	0.232578116098775	-0.0597449964760535	0.524901228673603	-0.0439645806063444	1.77803478243164	0.106425849857526	0.18144073188912	-5.26874251793385	omit_NAA25_07
PSMG1	1.04506824629627	0.0279385453926717	2.06219794719987	-0.216753042024671	2.29616384535012	0.0450846501189272	0.0958422032329512	-4.469579433856	omit_NAA25_07
POMP	NA	NA	NA	NA	NA	NA	NA	NA	omit_NAA25_07
SNCA	NA	NA	NA	NA	NA	NA	NA	NA	omit_NAA25_07
