quantity	value
analysis_role	declared_external_sensitivity
primary_result_can_be_rescued	FALSE
Reactome_GMT_SHA256	89983d5c1f0af11c52edfeee7323eb425580ac6281d387a528562ab1787ce56b
GSE229460_RAW_tar_SHA256	d3c5e7a93c12c4aa0ca91389be94fd30f70ae4997e288ff0d55fdd5ab0988eb2
GSE287941_counts_SHA256	54bc3c7e6a272e7f2c476c066ed1a686dfc95d8156fd7a7f6584af472b5c54b9
org.Hs.eg.db_version	3.22.0
org.Hs.eg.sqlite_SHA256	8f036569a229574e9d23c73e8ccf7246e0797b64f9d224cc75fed5de891c8a09
limma_version	3.66.0
edgeR_version	4.8.2
