beta_PD	se_PD	t_PD	df_residual	p_one_sided_down	p_two_sided	ci95_low	ci95_high	model	analysis	cohort	confirmatory	n_PD	n_control	measured_genes_n	outcome
-0.4000391990069354	0.19500302157584745	-2.051451284057863	9	0.03522407025103581	0.07044814050207163	-0.8411666810320316	0.04108828301816081	pathway_score ~ PD + age + sex + pmi	GSE178265_primary_adjusted	GSE178265	True	6	8	48	CONFIRMED
-0.4309585820497579	0.27953030547688146	-1.5417240048964935	12	0.07454404823195729	0.14908809646391458	-1.0400027979035866	0.17808563380407094	pathway_score ~ PD	GSE178265_primary_unadjusted	GSE178265	False	6	8	48	PARTIAL_SUPPORT
0.004211262800259519	0.17185369757544208	0.024504929830856947	10	0.5095340240511492	0.9809319518977017	-0.37870263762508233	0.38712516322560137	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	True	7	8	43	NOT_CONFIRMED
-0.009144806329188793	0.1597657751049195	-0.05723883180351564	13	0.47761269162211917	0.9552253832442383	-0.3542977792413402	0.3360081665829626	pathway_score ~ PD	GSE243639_replication_unadjusted	GSE243639	False	7	8	43	NOT_CONFIRMED
-0.13668837157376512	0.30518643318634275	-0.44788482288236264	13	0.3308046259171121	0.6616092518342243	-0.7960035762072158	0.5226268330596856	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	False	10	8	48	NOT_CONFIRMED
-0.017186716613648678	0.40290102468645855	-0.04265741599198847	19	0.48320986388408355	0.9664197277681671	-0.8604682528281622	0.8260948196008648	pathway_score ~ PD + age + sex + pmi	GSE243639_DA_min1_adjusted	GSE243639	False	13	11	43	NOT_CONFIRMED
-0.24185105313363695	0.3527336037962916	-0.6856478955526709	24	0.24975262911894616	0.4995052582378923	-0.9698574306466727	0.4861553243793988	pathway_score ~ PD + age + sex + pmi	GSE243639_all_neurons_adjusted	GSE243639	False	15	14	43	NOT_CONFIRMED
0.013940298915166682	0.21555989480046656	0.06467018796827001	9	0.5250748715213047	0.9498502569573906	-0.47369006111973627	0.5015706589500697	pathway_score ~ PD + age + sex + pmi + rin	GSE243639_replication_RIN_adjusted	GSE243639	False	7	8	43	NOT_CONFIRMED
