gene	eligible_probe_n	eligible_probes
AA763515	1	1460065_at
AA763521	1	1447289_at
AA914427	1	1444070_at
AA986695	1	1442057_at
AA986715	1	1459467_at
AA986860	2	1433610_at;1447664_x_at
AAAS	1	1451377_a_at
AACS	3	1423797_at;1451116_at;1456081_a_at
AADAC	1	1448813_at
AADAT	1	1418519_at
AAED1	2	1421018_at;1434441_at
AAGAB	2	1424016_at;1438379_x_at
AAK1	7	1420025_s_at;1420026_at;1434935_at;1435038_s_at;1441782_at;1452632_at;1452633_s_at
AAMDC	1	1451381_at
AAMP	1	1454754_a_at
AANAT	1	1421666_a_at
AAR2	4	1426017_a_at;1437835_a_at;1437836_x_at;1459456_at
AARD	1	1434528_at
AARS	2	1423685_at;1451083_s_at
AARS2	1	1436017_at
AARSD1	1	1424006_at
AASDH	2	1419824_a_at;1440364_a_at
AASDHPPT	4	1428756_at;1428757_at;1430515_s_at;1456625_at
AASS	1	1423523_at
AATF	1	1432394_a_at
AATK	1	1416936_at
AB041806	1	1421611_at
AB124611	1	1438475_at
ABAT	2	1422226_at;1433855_at
ABCA1	3	1421839_at;1421840_at;1450392_at
ABCA12	1	1453970_at
ABCA13	2	1440370_at;1446715_at
ABCA14	1	1432473_a_at
ABCA16	1	1445033_at
ABCA2	1	1449302_at
ABCA3	3	1425496_at;1451731_at;1451869_at
ABCA4	1	1449588_at
ABCA5	2	1434474_at;1459391_at
ABCA6	1	1453817_at
ABCA7	1	1419238_at
ABCA8A	1	1427371_at
ABCA8B	1	1427546_at
ABCA9	2	1440879_at;1458929_at
ABCB10	3	1416402_at;1416403_at;1454265_a_at
ABCB11	1	1449817_at
ABCB1A	2	1419758_at;1419759_at
ABCB1B	2	1418872_at;1446701_at
ABCB4	1	1449818_at
ABCB6	1	1422524_at
ABCB7	3	1419931_at;1427490_at;1435006_s_at
ABCB8	2	1422015_a_at;1423713_at
ABCB9	3	1416263_at;1416264_at;1430394_a_at
ABCC1	2	1421378_s_at;1452233_at
ABCC10	2	1428009_a_at;1447476_at
ABCC12	2	1439985_at;1446170_at
ABCC2	1	1450109_s_at
ABCC3	1	1428988_at
ABCC4	1	1443870_at
ABCC5	10	1418042_a_at;1418043_at;1427565_a_at;1430882_at;1435683_a_at;1435684_at;1435685_x_at;1438056_x_at;1447384_at;1459782_x_at
ABCC6	1	1421212_at
ABCC8	2	1455765_a_at;1457066_at
ABCC9	3	1420408_a_at;1435751_at;1435752_s_at
ABCD1	1	1418838_at
ABCD2	4	1419748_at;1438431_at;1439835_x_at;1456812_at
ABCD3	2	1416679_at;1443046_at
ABCD4	2	1419572_a_at;1427829_at
ABCE1	3	1416014_at;1416015_s_at;1442071_at
ABCF1	6	1420157_s_at;1420158_s_at;1426921_at;1427444_at;1452236_at;1452429_s_at
ABCF2	2	1423863_at;1427487_at
ABCF3	3	1426747_at;1426748_s_at;1452177_at
ABCG1	2	1423570_at;1455221_at
ABCG2	1	1422906_at
ABCG3	2	1421168_at;1450141_at
ABCG4	2	1424437_s_at;1427732_s_at
ABCG5	1	1419393_at
ABCG8	1	1420656_at
ABHD1	1	1418148_at
ABHD10	2	1427958_at;1427959_at
ABHD11	1	1428428_at
ABHD11OS	1	1440213_a_at
ABHD12	2	1417669_at;1453367_a_at
ABHD13	5	1428273_at;1428274_s_at;1428275_at;1428276_at;1436516_at
ABHD14A	2	1425699_a_at;1441945_s_at
ABHD14B	1	1451326_at
ABHD15	2	1445506_at;1453474_at
ABHD16A	2	1415732_at;1460709_a_at
ABHD16B	1	1437603_at
ABHD17A	3	1415753_at;1442883_s_at;1458474_at
ABHD17B	4	1433411_at;1433412_at;1433771_at;1454724_x_at
ABHD17C	1	1423519_at
ABHD18	3	1429966_at;1438283_at;1455475_at
ABHD2	3	1418661_at;1435653_at;1440447_at
ABHD3	1	1417946_at
ABHD4	2	1416315_at;1439259_x_at
ABHD5	3	1417565_at;1417566_at;1447548_at
ABHD6	2	1419103_a_at;1419104_at
ABHD8	1	1416863_at
ABI1	4	1423177_a_at;1423178_at;1438506_s_at;1450890_a_at
ABI2	3	1433985_at;1436984_at;1458053_at
ABI3	2	1446191_at;1452928_at
ABI3BP	2	1427053_at;1427054_s_at
ABL1	3	1423999_at;1441291_at;1444134_at
ABL2	3	1445483_at;1455495_at;1455682_at
ABLIM1	4	1442376_at;1453103_at;1454708_at;1460120_at
ABLIM2	2	1435441_at;1455313_at
ABLIM3	1	1434013_at
ABO	1	1421559_at
ABR	1	1433477_at
ABRA	1	1458455_at
ABT1	1	1424751_at
ABTB1	1	1417000_at
ABTB2	3	1433453_a_at;1433454_at;1444771_at
ACAA1A	2	1456011_x_at;1456737_x_at
ACAA1B	1	1424451_at
ACAA2	3	1428145_at;1428146_s_at;1455061_a_at
ACACA	2	1427595_at;1434185_at
ACACB	2	1427052_at;1445754_at
ACAD10	2	1429339_a_at;1447741_x_at
ACAD11	2	1433545_s_at;1454647_at
ACAD12	1	1437496_at
ACAD8	2	1419261_at;1419262_at
ACAD9	3	1429581_at;1444394_at;1453206_at
ACADL	2	1448987_at;1448988_at
ACADM	1	1415984_at
ACADS	1	1460216_at
ACADSB	1	1455446_x_at
ACADVL	1	1424184_at
ACAN	1	1449827_at
ACAP1	4	1434873_a_at;1434874_x_at;1437117_at;1455125_at
ACAP2	2	1433561_at;1441669_at
ACAP3	1	1439021_at
ACAT1	3	1424182_at;1424183_at;1451271_a_at
ACAT2	1	1435630_s_at
ACBD3	4	1426635_at;1428668_at;1452137_at;1456316_a_at
ACBD4	2	1428271_at;1449626_s_at
ACBD5	2	1428236_at;1446433_at
ACBD6	2	1452601_a_at;1453199_at
ACBD7	1	1430107_at
ACCS	1	1429421_at
ACCSL	1	1436742_a_at
ACD	1	1420882_a_at
ACE	2	1427034_at;1451911_a_at
ACE2	3	1425102_a_at;1425103_at;1452138_a_at
ACER1	2	1439183_at;1450825_at
ACER2	2	1421496_at;1451355_at
ACER3	4	1429520_a_at;1438435_at;1453179_at;1459771_x_at
ACHE	1	1422635_at
ACIN1	2	1416568_a_at;1421197_a_at
ACKR1	1	1432273_a_at
ACKR2	3	1422111_at;1422112_at;1437937_at
ACKR3	1	1417625_s_at
ACKR4	3	1426139_a_at;1437668_at;1437669_x_at
ACLY	6	1425326_at;1438389_x_at;1439445_x_at;1439459_x_at;1446315_at;1451666_at
ACNAT2	1	1425150_at
ACO1	3	1423644_at;1447080_at;1456728_x_at
ACO2	2	1436934_s_at;1451002_at
ACOD1	1	1427381_at
ACOT1	1	1449065_at
ACOT11	2	1425667_at;1429267_at
ACOT12	3	1419395_at;1433064_at;1449457_at
ACOT13	1	1417316_at
ACOT2	2	1422996_at;1439478_at
ACOT3	1	1422925_s_at
ACOT4	2	1422076_at;1422077_at
ACOT5	1	1425257_at
ACOT6	2	1428803_at;1460388_at
ACOT7	1	1417094_at
ACOT8	1	1417449_at
ACOT9	1	1418073_at
ACOX1	3	1416408_at;1416409_at;1444518_at
ACOX2	1	1420673_a_at
ACOX3	2	1420684_at;1437352_at
ACOXL	1	1460470_at
ACP1	6	1422715_s_at;1422716_a_at;1422717_at;1449604_at;1450720_at;1450721_at
ACP2	3	1424654_at;1424655_at;1436788_at
ACP5	1	1431609_a_at
ACP6	1	1448445_at
ACP7	1	1440887_at
ACPP	3	1419832_s_at;1441975_at;1453943_a_at
ACR	1	1449895_at
ACRBP	2	1422874_at;1451333_a_at
ACRV1	1	1418878_at
ACSBG1	1	1422428_at
ACSBG2	1	1439000_at
ACSF2	1	1425355_at
ACSF3	1	1424651_at
ACSL1	5	1422526_at;1423883_at;1447355_at;1450643_s_at;1460316_at
ACSL3	3	1428386_at;1428387_at;1452771_s_at
ACSL4	3	1418911_s_at;1433531_at;1451828_a_at
ACSL5	1	1428082_at
ACSL6	2	1437031_at;1451257_at
ACSM1	1	1418668_at
ACSM2	4	1427215_at;1427223_a_at;1427224_at;1456190_a_at
ACSM3	1	1425559_a_at
ACSM5	1	1437662_at
ACSS1	3	1416617_at;1437582_at;1437583_x_at
ACSS2	3	1422478_a_at;1422479_at;1446542_at
ACTA1	1	1427735_a_at
ACTA2	3	1416454_s_at;1444105_at;1456658_at
ACTB	5	1419734_at;1436722_a_at;AFFX-b-ActinMur/M12481_3_at;AFFX-b-ActinMur/M12481_5_at;AFFX-b-ActinMur/M12481_M_at
ACTC1	1	1415927_at
ACTG1	1	1415779_s_at
ACTG2	1	1422340_a_at
ACTL10	1	1430227_at
ACTL11	1	1421310_at
ACTL6A	3	1416569_at;1429883_at;1456730_x_at
ACTL6B	1	1422564_at
ACTL7A	1	1419009_at
ACTL7B	1	1424678_at
ACTL9	2	1437038_x_at;1453546_at
ACTN1	3	1427385_s_at;1428585_at;1452415_at
ACTN2	1	1448327_at
ACTN3	1	1418677_at
ACTN4	1	1423449_a_at
ACTR10	2	1417157_at;1435788_at
ACTR1A	4	1415873_a_at;1457970_at;1458696_at;1459855_x_at
ACTR1B	4	1426403_at;1447292_at;1447293_x_at;1452057_at
ACTR2	2	1441660_at;1452587_at
ACTR3	3	1426392_a_at;1434968_a_at;1452051_at
ACTR3B	1	1435605_at
ACTR5	2	1436711_at;1438582_at
ACTR6	1	1428502_at
ACTR8	1	1423385_at
ACTRT1	1	1449825_at
ACTRT2	1	1449247_at
ACTRT3	2	1429788_at;1429789_at
ACVR1	3	1416786_at;1416787_at;1448460_at
ACVR1B	2	1422098_at;1433725_at
ACVR1C	3	1428032_at;1438309_at;1443225_at
ACVR2A	2	1437382_at;1451004_at
ACVR2B	3	1419140_at;1439856_at;1440525_at
ACVRL1	2	1435825_at;1451604_a_at
ACY1	1	1419173_at
ACY3	1	1448539_a_at
ACYP1	3	1421022_x_at;1439013_x_at;1450095_a_at
ACYP2	1	1427943_at
ADA	1	1417976_at
ADAD1	1	1418682_at
ADAD2	1	1431898_at
ADAL	3	1428198_at;1428199_at;1447747_x_at
ADAM10	4	1428103_at;1450104_at;1450105_at;1460083_at
ADAM11	2	1450248_at;1455270_at
ADAM12	2	1421171_at;1421172_at
ADAM15	4	1416080_at;1425170_a_at;1438760_x_at;1454206_a_at
ADAM17	3	1421857_at;1421858_at;1421859_at
ADAM18	1	1419726_at
ADAM19	2	1418402_at;1418403_at
ADAM1A	1	1427791_a_at
ADAM1B	3	1432657_at;1439700_at;1454317_at
ADAM2	1	1460374_at
ADAM21	1	1450801_at
ADAM22	2	1435293_at;1451812_at
ADAM23	3	1423378_at;1447946_at;1459642_at
ADAM24	1	1449513_at
ADAM25	1	1419626_at
ADAM26A	1	1425395_at
ADAM28	2	1452495_at;1460427_a_at
ADAM3	1	1448329_at
ADAM32	1	1437376_at
ADAM33	2	1444628_at;1451904_a_at
ADAM34	1	1428030_at
ADAM4	1	1427502_at
ADAM5	1	1424798_a_at
ADAM6A	1	1439653_at
ADAM6B	1	1436129_at
ADAM7	1	1420742_at
ADAM8	1	1416871_at
ADAM9	1	1416094_at
ADAMDEC1	1	1419476_at
ADAMTS1	1	1450716_at
ADAMTS10	2	1427139_at;1441309_at
ADAMTS12	2	1439827_at;1446666_at
ADAMTS15	1	1427056_at
ADAMTS16	2	1439604_at;1441841_at
ADAMTS18	3	1437574_at;1444253_at;1446247_at
ADAMTS19	1	1442459_at
ADAMTS2	3	1435990_at;1455720_at;1457058_at
ADAMTS20	1	1456901_at
ADAMTS3	2	1441693_at;1458143_at
ADAMTS4	2	1452595_at;1455965_at
ADAMTS5	4	1422561_at;1450658_at;1456404_at;1456969_at
ADAMTS6	2	1437506_at;1457548_at
ADAMTS7	1	1452339_at
ADAMTS8	1	1418270_at
ADAMTS9	3	1430352_at;1431399_at;1437785_at
ADAMTSL1	3	1430313_at;1437429_at;1442063_at
ADAMTSL2	1	1429214_at
ADAMTSL3	1	1440668_at
ADAMTSL4	1	1451932_a_at
ADAMTSL5	2	1420336_at;1438266_at
ADAP1	1	1433556_at
ADAP2	2	1425638_at;1425639_at
ADAR	3	1425405_a_at;1434268_at;1439276_at
ADARB1	3	1421480_a_at;1434932_at;1443968_at
ADARB2	3	1421300_at;1458112_at;1458670_at
ADAT1	3	1420748_a_at;1425390_at;1444049_at
ADAT2	1	1419130_at
ADAT3	1	1430327_at
ADCK1	1	1423762_at
ADCK2	2	1433637_at;1447859_at
ADCK5	1	1436753_at
ADCY1	2	1445359_at;1456487_at
ADCY10	1	1439613_at
ADCY2	1	1455462_at
ADCY3	4	1421959_s_at;1421960_at;1436928_s_at;1436929_x_at
ADCY4	1	1418098_at
ADCY5	4	1439829_at;1443080_at;1447696_x_at;1455296_at
ADCY6	1	1418128_at
ADCY7	3	1420970_at;1450065_at;1456307_s_at
ADCY8	1	1418754_at
ADCY9	4	1418586_at;1419811_at;1434454_at;1449620_s_at
ADCYAP1	2	1423427_at;1441778_at
ADCYAP1R1	3	1429022_at;1439042_at;1450799_at
ADD1	3	1420953_at;1420954_a_at;1450054_at
ADD2	5	1421975_a_at;1431076_at;1435287_at;1450442_at;1451914_a_at
ADD3	4	1423297_at;1423298_at;1426574_a_at;1456162_x_at
ADGB	1	1445639_at
ADGRA1	3	1429696_at;1436529_at;1459750_s_at
ADGRA2	1	1418379_s_at
ADGRA3	3	1426782_at;1431034_at;1444300_at
ADGRB1	1	1455363_at
ADGRB2	1	1435558_at
ADGRB3	1	1454782_at
ADGRD1	1	1455466_at
ADGRE1	1	1451161_a_at
ADGRE4	2	1424998_at;1451563_at
ADGRE5	1	1418394_a_at
ADGRF1	1	1421443_at
ADGRF4	1	1429460_at
ADGRF5	2	1440225_at;1440830_at
ADGRG1	2	1421118_a_at;1433485_x_at
ADGRG2	2	1438350_at;1439795_at
ADGRG3	1	1417894_at
ADGRG5	1	1436230_at
ADGRG6	2	1437408_at;1437409_s_at
ADGRL1	2	1428510_at;1452812_at
ADGRL2	3	1434111_at;1434112_at;1444906_at
ADGRL3	6	1428523_at;1439313_at;1447551_x_at;1452819_at;1458742_at;1460440_at
ADGRL4	2	1418058_at;1418059_at
ADGRV1	2	1421693_a_at;1425314_at
ADH1	1	1416225_at
ADH4	1	1422070_at
ADH5	2	1416185_a_at;1443380_at
ADH6-PS1	1	1431817_at
ADH6A	1	1429608_at
ADH6B	1	1441094_at
ADH7	2	1421058_at;1450110_at
ADHFE1	3	1424392_at;1424393_s_at;1444193_at
ADI1	3	1438758_at;1438759_x_at;1449076_x_at
ADIG	1	1424729_at
ADIPOQ	1	1422651_at
ADIPOR1	3	1424312_at;1439017_x_at;1451311_a_at
ADIPOR2	2	1434329_s_at;1437864_at
ADK	6	1416319_at;1421767_at;1438292_x_at;1446068_at;1446675_at;1449641_at
ADM	2	1416077_at;1447839_x_at
ADM2	1	1442856_at
ADNP2	3	1426262_at;1446463_at;1452002_at
ADO	4	1435923_at;1438484_at;1442133_at;1442135_at
ADORA1	2	1427331_at;1435495_at
ADORA2A	2	1427519_at;1460710_at
ADORA2B	4	1434430_s_at;1434431_x_at;1434772_at;1450214_at
ADORA3	2	1429609_at;1430482_at
ADPGK	2	1437848_x_at;1451079_at
ADPRH	2	1448333_at;1460183_at
ADPRHL1	1	1455952_at
ADPRHL2	1	1427449_a_at
ADPRM	1	1450987_a_at
ADRA1A	2	1421659_at;1459351_at
ADRA1B	1	1422183_a_at
ADRA2A	3	1423022_at;1433600_at;1433601_at
ADRA2B	2	1439645_at;1450003_at
ADRA2C	4	1422335_at;1435296_at;1439762_x_at;1457328_at
ADRB1	1	1423420_at
ADRB2	1	1437302_at
ADRB3	2	1421555_at;1455918_at
ADRBK1	2	1426249_at;1451992_at
ADRBK2	3	1434450_s_at;1439178_at;1440801_s_at
ADRM1	2	1419263_a_at;1438170_x_at
ADSL	1	1418372_at
ADSS	1	1460726_at
ADSSL1	1	1449383_at
ADTRP	1	1427957_at
AEBP1	3	1422514_at;1450637_a_at;1459298_at
AEBP2	5	1421021_at;1434080_at;1435070_at;1437743_at;1455616_at
AEN	4	1423957_at;1437373_at;1450506_a_at;1451186_at
AES	1	1420619_a_at
AF067061	1	1425220_x_at
AF067063	1	1425160_at
AF366264	1	1451875_at
AF529169	3	1437501_at;1441258_at;1445891_at
AFAP1	3	1436729_at;1442788_at;1456361_at
AFAP1L1	1	1454727_at
AFAP1L2	2	1436870_s_at;1455833_at
AFF1	3	1418135_at;1425640_at;1425641_at
AFF2	2	1422116_at;1458014_at
AFF3	2	1430435_at;1433939_at
AFF4	3	1420912_at;1450031_at;1458959_at
AFG3L1	2	1418336_at;1449045_at
AFG3L2	3	1427206_at;1427207_s_at;1454003_at
AFM	2	1427440_a_at;1427561_a_at
AFMID	4	1428885_at;1431722_a_at;1447638_at;1452944_at
AFP	5	1416645_a_at;1416646_at;1436879_x_at;1436880_at;1436881_x_at
AFTPH	5	1426861_at;1426862_at;1440914_s_at;1453810_at;1457300_at
AGA	1	1434665_at
AGAP1	4	1435432_at;1435433_at;1437394_at;1459053_at
AGAP2	1	1419789_at
AGAP3	2	1423910_at;1434032_at
AGBL3	6	1431210_at;1431966_at;1433181_at;1433182_at;1452619_a_at;1459247_at
AGBL4	5	1432512_at;1438158_at;1438308_at;1453932_at;1454259_s_at
AGBL5	3	1439465_x_at;1458420_at;1460610_at
AGER	2	1420428_at;1441958_s_at
AGFG1	5	1426922_s_at;1426923_at;1434840_at;1452237_at;1452238_at
AGFG2	2	1425362_at;1437642_at
AGGF1	1	1425354_a_at
AGK	3	1424582_at;1430496_at;1431655_a_at
AGL	3	1429083_at;1431032_at;1431033_x_at
AGMAT	1	1427214_at
AGMO	1	1434191_at
AGO1	1	1434331_at
AGO2	4	1426366_at;1435636_at;1455294_at;1455389_s_at
AGO3	5	1435904_at;1441063_at;1441089_at;1442009_at;1458476_at
AGO4	2	1429779_at;1453289_at
AGPAT1	2	1421024_at;1421025_at
AGPAT2	1	1428821_at
AGPAT3	4	1433817_at;1433818_at;1433819_s_at;1450504_a_at
AGPAT4	2	1428336_at;1436640_x_at
AGPAT5	3	1434287_at;1453257_at;1458669_at
AGPAT9	1	1454799_at
AGPS	3	1434919_at;1443797_at;1454918_at
AGR2	2	1419268_at;1455802_x_at
AGR3	1	1425221_at
AGRN	2	1426670_at;1443980_at
AGRP	1	1421690_s_at
AGT	1	1423396_at
AGTPBP1	3	1418332_a_at;1429933_at;1432385_a_at
AGTR1A	1	1436739_at
AGTR1B	1	1446527_at
AGTR2	1	1415832_at
AGTRAP	2	1422965_at;1460596_at
AGXT	1	1418833_at
AGXT2	1	1435838_at
AHCTF1	4	1424712_at;1438816_at;1446472_at;1451459_at
AHCY	1	1417125_at
AHCYL1	3	1425576_at;1426830_a_at;1426831_at
AHCYL2	3	1419730_at;1428195_at;1452703_at
AHDC1	3	1424956_at;1424957_at;1440138_at
AHI1	2	1439083_at;1455177_at
AHNAK	4	1428057_a_at;1428058_at;1429866_at;1452217_at
AHNAK2	1	1436520_at
AHR	2	1422631_at;1450695_at
AHRR	1	1420796_at
AHSA1	2	1424147_at;1444500_at
AHSA2	1	1435160_at
AHSG	1	1455093_a_at
AHSP	1	1449077_at
AI043046	1	1443594_at
AI120166	1	1444992_at
AI131651	1	1440736_at
AI132709	1	1458442_at
AI194348	1	1460154_at
AI195381	1	1434845_at
AI195470	1	1440327_at
AI225934	2	1441001_at;1457168_at
AI256396	1	1457042_at
AI314180	4	1436185_at;1439127_at;1452122_at;1456255_at
AI314604	1	1442075_at
AI315376	1	1445871_at
AI316844	1	1444692_at
AI317158	2	1441781_at;1445481_at
AI413582	1	1452599_s_at
AI413759	1	1440731_at
AI414330	1	1458660_at
AI415730	1	1436641_at
AI426330	1	1435591_at
AI428301	1	1457150_at
AI428898	1	1459694_at
AI429214	1	1455199_at
AI429363	1	1444537_at
AI447881	1	1445647_at
AI448005	1	1435673_at
AI448984	1	1435719_at
AI449212	1	1442119_at
AI450241	1	1457833_at
AI451250	1	1447436_at
AI451458	1	1442122_at
AI462521	1	1444501_at
AI463170	1	1441099_at
AI464131	1	1435417_at
AI464196	1	1447361_at
AI465300	1	1443972_at
AI467606	2	1433465_a_at;1433466_at
AI480526	1	1435711_at
AI480624	1	1442197_at
AI481207	1	1444587_at
AI504432	2	1455161_at;1456064_at
AI506816	1	1439483_at
AI507597	1	1438618_at
AI593442	2	1434052_at;1444026_at
AI594671	1	1449603_at
AI596198	1	1447976_at
AI597479	1	1417247_at
AI605517	1	1457797_at
AI606473	1	1456935_at
AI607873	1	1457035_at
AI616248	1	1442231_at
AI646383	1	1459922_at
AI661323	1	1459692_at
AI661384	1	1435710_at
AI661453	1	1425163_at
AI662168	1	1447389_at
AI662175	1	1442266_at
AI662245	1	1458649_at
AI662270	2	1434067_at;1434068_s_at
AI662501	1	1444196_at
AI746446	1	1440697_at
AI790276	1	1443937_at
AI835735	1	1459716_at
AI836737	1	1440864_at
AI837181	1	1418775_at
AI839979	1	1443071_at
AI844685	1	1445546_at
AI844869	1	1444380_at
AI845619	1	1442726_s_at
AI846148	2	1436663_at;1438270_at
AI847159	1	1444095_a_at
AI848615	1	1447265_at
AI849538	1	1443565_at
AI851613	1	1445357_at
AI853106	1	1444287_at
AI853502	1	1447138_at
AI854703	4	1435048_at;1435049_s_at;1440724_at;1442583_a_at
AI956758	1	1460003_at
AI987944	1	1455914_at
AICDA	1	1420577_at
AIDA	2	1423870_at;1460345_at
AIF1	1	1418204_s_at
AIF1L	3	1424262_at;1424263_at;1451287_s_at
AIFM1	1	1418127_a_at
AIFM2	3	1431142_s_at;1431143_x_at;1455112_at
AIFM3	2	1431923_at;1434742_s_at
AIG1	1	1420679_a_at
AIM1	1	1426942_at
AIM1L	1	1437813_at
AIM2	1	1426619_at
AIMP1	1	1416486_at
AIMP2	2	1424151_at;1451262_a_at
AIP	1	1423128_at
AIPL1	2	1425590_s_at;1427952_at
AIRE	1	1419241_a_at
AIRN	5	1436627_at;1446095_at;1451634_at;1456139_at;1457337_at
AJAP1	3	1438662_at;1456197_x_at;1457427_at
AJUBA	1	1421344_a_at
AK1	2	1422184_a_at;1423988_at
AK2	2	1448450_at;1448451_at
AK3	3	1423717_at;1423718_at;1432436_a_at
AK4	5	1421829_at;1421830_at;1421831_at;1438395_at;1450387_s_at
AK5	2	1426339_at;1457032_at
AK7	1	1430781_at
AK8	1	1428628_at
AKAIN1	2	1441166_at;1457558_at
AKAP1	2	1418279_a_at;1449019_at
AKAP10	4	1421121_at;1428482_at;1441829_s_at;1441830_x_at
AKAP11	1	1434764_at
AKAP12	1	1419706_a_at
AKAP13	7	1430185_at;1430445_at;1433722_at;1439254_at;1440392_at;1443923_at;1445311_at
AKAP14	1	1457541_at
AKAP17B	2	1457265_at;1457686_at
AKAP2	2	1449168_a_at;1455870_at
AKAP3	2	1421531_at;1456591_x_at
AKAP4	3	1419019_a_at;1451661_at;1451662_x_at
AKAP5	3	1431717_at;1436142_at;1447301_at
AKAP6	2	1440859_at;1444357_at
AKAP7	2	1422143_at;1433905_at
AKAP8	2	1433669_at;1450983_at
AKAP8L	1	1417734_at
AKAP9	6	1435769_at;1437082_at;1446237_at;1447912_x_at;1447913_x_at;1455151_at
AKIP1	1	1450959_at
AKIRIN1	2	1416911_a_at;1416912_at
AKIRIN2	2	1428237_at;1428238_at
AKNA	2	1427325_s_at;1452393_at
AKNAD1	1	1440249_at
AKNAOS	1	1430207_at
AKP3	1	1450572_at
AKR1A1	4	1430123_a_at;1430124_x_at;1435011_x_at;1451035_a_at
AKR1B10	3	1425684_at;1425685_at;1453173_at
AKR1B7	1	1423556_at
AKR1B8	1	1448894_at
AKR1C12	1	1422000_at
AKR1C13	1	1418672_at
AKR1C14	1	1418979_at
AKR1C18	1	1419136_at
AKR1C19	1	1455454_at
AKR1C20	2	1422061_at;1425387_at
AKR1C21	1	1451030_at
AKR1C6	1	1417085_at
AKR1CL	2	1423381_at;1456165_at
AKR1D1	2	1425771_at;1455100_at
AKR1E1	2	1417826_at;1446483_at
AKR7A5	3	1417294_at;1438315_x_at;1458300_at
AKT1	4	1416657_at;1425711_a_at;1440950_at;1442759_at
AKT1S1	3	1428158_at;1437736_at;1452684_at
AKT2	3	1421324_a_at;1424480_s_at;1455703_at
AKT3	4	1422078_at;1435260_at;1435879_at;1460307_at
AKTIP	3	1423364_a_at;1430219_at;1437767_s_at
AL023008	1	1445867_at
AL023051	1	1444675_at
ALAD	2	1424877_a_at;1457306_at
ALAS1	2	1424126_at;1455282_x_at
ALAS2	1	1451675_a_at
ALB	1	1425260_at
ALCAM	5	1426300_at;1426301_at;1437466_at;1437467_at;1443086_at
ALDH16A1	2	1423731_at;1447372_at
ALDH18A1	5	1415836_at;1435855_x_at;1437325_x_at;1437333_x_at;1437620_x_at
ALDH1A1	1	1416468_at
ALDH1A2	1	1422789_at
ALDH1A3	3	1417642_at;1427395_a_at;1448789_at
ALDH1A7	1	1418601_at
ALDH1B1	1	1451260_at
ALDH1L1	2	1424400_a_at;1424401_at
ALDH1L2	1	1436119_at
ALDH2	5	1434987_at;1434988_x_at;1437410_at;1448143_at;1457155_at
ALDH3A1	1	1418752_at
ALDH3A2	1	1415776_at
ALDH3B1	1	1452301_at
ALDH3B2	1	1456317_at
ALDH4A1	1	1452375_at
ALDH5A1	1	1453065_at
ALDH6A1	1	1448104_at
ALDH7A1	3	1415902_at;1448137_at;1460167_at
ALDH8A1	2	1427336_at;1427337_at
ALDH9A1	2	1436689_a_at;1437398_a_at
ALDOA	5	1416921_x_at;1433604_x_at;1434799_x_at;1439375_x_at;1447734_x_at
ALDOART1	1	1453901_at
ALDOART2	1	1423498_at
ALDOB	1	1451194_at
ALDOC	2	1424714_at;1451461_a_at
ALG1	1	1451368_at
ALG10B	2	1437879_at;1454917_at
ALG11	2	1434187_at;1439976_at
ALG12	3	1424818_at;1427557_at;1427558_s_at
ALG13	1	1418681_at
ALG14	3	1419114_at;1419115_at;1419116_at
ALG2	2	1421059_a_at;1433144_at
ALG3	1	1460742_at
ALG5	2	1424160_at;1430854_at
ALG6	2	1439007_at;1459337_at
ALG8	1	1455887_at
ALG9	2	1418844_at;1430420_at
ALK	1	1449987_at
ALKBH1	2	1434660_at;1438681_at
ALKBH2	1	1455673_at
ALKBH3	2	1428889_at;1444184_at
ALKBH3OS1	1	1431458_at
ALKBH4	3	1429850_x_at;1451432_x_at;1453301_a_at
ALKBH5	2	1434701_at;1437728_at
ALKBH6	1	1455390_at
ALKBH7	1	1428516_a_at
ALKBH8	2	1429521_at;1453539_at
ALLC	2	1432104_a_at;1456589_x_at
ALMS1	1	1456950_at
ALOX12	2	1422699_at;1422700_at
ALOX12B	1	1418266_at
ALOX12E	1	1426039_a_at
ALOX15	1	1420338_at
ALOX5	1	1441962_at
ALOX5AP	1	1452016_at
ALOX8	1	1425376_at
ALOXE3	1	1449237_at
ALPI	1	1431077_at
ALPK1	1	1431733_at
ALPK2	1	1452478_at
ALPK3	1	1449573_at
ALPL	1	1423611_at
ALPPL2	2	1450635_at;1450636_s_at
ALS2	4	1417783_at;1417784_at;1431608_at;1446183_at
ALS2CL	2	1427533_at;1433769_at
ALS2CR11	1	1437659_at
ALS2CR12	2	1431882_at;1439758_at
ALX1	2	1435022_at;1456454_at
ALX3	2	1420555_at;1459790_x_at
ALX4	1	1421737_at
ALYREF	2	1417724_at;1436211_at
AMACR	1	1417208_at
AMBN	1	1449417_at
AMBP	1	1416649_at
AMBRA1	3	1442477_at;1454985_at;1458150_at
AMD1	2	1416835_s_at;1448484_at
AMDHD1	2	1427370_at;1447380_at
AMDHD2	1	1434855_at
AMELX	2	1451614_a_at;1451686_x_at
AMER1	2	1439565_at;1453774_at
AMER2	1	1454051_at
AMER3	1	1436407_at
AMFR	1	1450102_a_at
AMH	1	1450573_at
AMHR2	3	1427989_at;1438967_x_at;1457021_x_at
