gene	phenotype_plusAO	source_rows_plusAO	unique_tss_plusAO	phenotype_noAO	source_rows_noAO	unique_tss_noAO	percentile_plusAO	percentile_noAO	delta_rank	mode
2020-03-01 00:00:00	-0.039725013726200742	3	3	0.12067247353752869	3	3	0.586908107534864	0.66427170051434326	0.077363592979479257	CRISPRi
2020-03-02 00:00:00	-0.19590372454932883	3	3	-0.027679995245932842	3	3	0.52306591017551307	0.59761917386924013	0.074553263693727057	CRISPRi
2020-03-03 00:00:00	-0.047230036656035299	1	1	0.029255200718692	1	1	0.58415080332997504	0.62376053873482162	0.03960973540484658	CRISPRi
2020-03-04 00:00:00	-0.589759384768624	1	1	-0.52331040005261897	1	1	0.38520069993106737	0.38944270640012724	0.0042420064690598669	CRISPRi
2020-03-05 00:00:00	-0.534287353342491	1	1	-0.10872361531088599	1	1	0.40216872580730684	0.56018346677978681	0.15801474097247997	CRISPRi
2020-03-06 00:00:00	-0.26584204147004598	1	1	-0.47837472398376901	1	1	0.49554589320748715	0.40651678243809319	-0.08902911076939396	CRISPRi
2020-03-07 00:00:00	-1.6552359285007501	1	1	-0.82625968169816399	1	1	0.17728935786627076	0.29903494352828885	0.1217455856620181	CRISPRi
2020-03-08 00:00:00	-0.56835358712389294	1	1	-0.45019244864457902	1	1	0.39246513600933242	0.41627339731693092	0.023808261307598499	CRISPRi
2020-03-09 00:00:00	-0.677897714199868	1	1	-0.90619797944514802	1	1	0.35852908425685348	0.27936263852802373	-0.079166445728829749	CRISPRi
2020-03-10 00:00:00	0.47663237121434698	1	1	0.43797854774810702	1	1	0.77679092210615619	0.78686568747017338	0.010074765364017191	CRISPRi
2020-03-11 00:00:00	-0.37614206607171702	1	1	-0.78348807010018096	1	1	0.45789808579458086	0.30910970889230605	-0.14878837690227481	CRISPRi
2020-09-01 00:00:00	-0.405224630179775	2	2	-0.21335450242664006	2	2	0.44777029534970042	0.51299114481149588	0.06522084946179546	CRISPRi
2020-09-02 00:00:00	0.59541251525508498	1	1	1.4974257804714599	1	1	0.81205260088021636	0.96418155787687576	0.1521289569966594	CRISPRi
2020-09-03 00:00:00	-0.77773296464814301	1	1	-0.37660905271741402	1	1	0.33217561906781906	0.44724004454106792	0.11506442547324885	CRISPRi
2020-09-04 00:00:00	-0.44171532900715998	2	2	0.4921666363870405	2	2	0.43499125086165757	0.80473513972108812	0.36974388885943055	CRISPRi
2020-09-05 00:00:00	0.013629035768812969	2	2	-1.1158439252462051	2	2	0.60986796754865047	0.23460947027944218	-0.37525849726920829	CRISPRi
