gene	phenotype_plusAO	source_rows_plusAO	unique_tss_plusAO	phenotype_noAO	source_rows_noAO	unique_tss_noAO	percentile_plusAO	percentile_noAO	delta_rank	mode	bin	multirow	matched_expected_delta	excess_delta
POMP	0.81729555644711105	1	1	-0.62480837567150704	1	1	0.86481255633914844	0.35577178005196458	-0.5090407762871838	CRISPRi	17	0	-0.17253119586323828	-0.33650958042394552
PSMA4	-4.2804883732956398	1	1	-4.0543646079192497	1	1	0.048915637096346574	0.041598175937218304	-0.0073174611591282704	CRISPRi	0	0	0.047314476257629731	-0.054631937416758002
PSMB4	0.376314939496877	1	1	0.53382246681290202	1	1	0.74476377326475418	0.81809746009862661	0.073333686833872425	CRISPRi	14	0	-0.0937324732270573	0.16706616006092972
PSMC5	-2.4947397881495799	1	1	-1.7459679497665099	1	1	0.10819767750145819	0.1486027891192534	0.040405111617795211	CRISPRi	2	0	0.12763991723288734	-0.087234805615092129
PSMD1	-3.0119906349263701	1	1	-3.71712013128659	1	1	0.083328914576594734	0.048491436449440588	-0.034837478127154146	CRISPRi	1	0	0.094606425309759754	-0.12944390343691389
PSMD2	0.111981303403221	1	1	-0.60200909399809299	1	1	0.65032610424730897	0.36361949201972532	-0.28670661222758365	CRISPRi	13	0	-0.06035024024194769	-0.22635637198563596
PSMD4	-7.8343422851964899	1	1	-9.3134897273854094	1	1	0.0133888329179702	0.0059122965162521869	-0.0074765364017180128	CRISPRi	0	0	0.047314476257629731	-0.054791012659347743
PSMG1	-3.33373519654794	1	1	-2.3418777461364799	1	1	0.071292221220637358	0.10379659578980859	0.032504374569171227	CRISPRi	1	0	0.094606425309759754	-0.062102050740588527
