gene	phenotype_plusAO	source_rows_plusAO	unique_tss_plusAO	phenotype_noAO	source_rows_noAO	unique_tss_noAO	percentile_plusAO	percentile_noAO	delta_rank	mode	bin	multirow	matched_expected_delta	excess_delta
POMP	-0.036019241985214501	1	1	-0.53246049872377299	1	1	0.46605150441541959	0.31354767066786526	-0.15250383374755433	CRISPRa	9	0	0.0040229793627190556	-0.15652681311027339
PSMA4	-0.21701670537561099	1	1	-1.07471595748395	1	1	0.39223203426577125	0.15744804611072921	-0.23478398815504203	CRISPRa	7	0	0.076762176591988807	-0.31154616474703084
PSMB4	-1.1650117634933099	1	1	-0.60777874097368301	1	1	0.12455713605837872	0.28663211887261381	0.1620749828142351	CRISPRa	2	0	0.17983737356187254	-0.017762390747637441
PSMC5	-0.072869602180587204	1	1	0.27612963014342501	1	1	0.4506107556448628	0.62352599016445454	0.17291523451959173	CRISPRa	9	0	0.0040229793627190556	0.16889225515687267
PSMD1	-0.22584478739005201	1	1	-1.31409242677005	1	1	0.38863624345618952	0.11493310771508645	-0.27370313574110305	CRISPRa	7	0	0.076762176591988807	-0.35046531233309186
PSMD2	0.77929536354475104	1	1	0.583332520894835	1	1	0.76503093437681768	0.7344667124953731	-0.030564221881444587	CRISPRa	15	0	-0.16076945423473071	0.13020523235328613
PSMD4	-0.90456526956347905	1	1	-1.6564277507571401	1	1	0.17521548305219184	0.075167891703241493	-0.10004759134895035	CRISPRa	3	0	0.18439018984635039	-0.28443778119530072
PSMG1	-0.73743048715946602	1	1	0.88160229043586502	1	1	0.21868224842684153	0.81531912643435034	0.59663687800750886	CRISPRa	4	0	0.15160530907937181	0.44503156892813706
