omitted_gene	observed_mean_delta	matched_expectation	excess_delta
POMP	-0.027156416413535032	0.036771286699808767	-0.063927703113343795
PSMA4	-0.098831175717542963	0.0053647621111133281	-0.10419593782865628
PSMB4	-0.11035276828797162	0.025514326323211482	-0.1358670946111831
PSMC5	-0.10564868611424631	-0.0061103008853520451	-0.099538385228894258
PSMD1	-0.094899744722110699	-0.0013912306106195285	-0.093508514111491164
PSMD2	-0.058918439850620771	0.02074543589676725	-0.079663875747387994
PSMD4	-0.098808450682887281	0.0053647621111133307	-0.1041732127940006
PSMG1	-0.10452000939301431	-0.0013912306106195294	-0.10312877878239478
