comparison	status	target_n	universe_n	background_n	baseline_bins	seed	draws	observed_mean_delta	reference_mean	exact_reference_expectation	observed_minus_reference_mean	observed_minus_exact_expectation	reference_2.5pct	reference_97.5pct	p_lower	p_upper	p_two_sided	reason
primary_shared8_CRISPRi	EVALUABLE	8	18859	18810	20	20260914	100000	-0.087391961397741136	0.010927725389734346	0.01060847637942788	-0.098319686787475477	-0.098000437777169019	-0.11975084840129381	0.16200670104459367	0.072789272107278924	0.92722072779272202	0.14557854421455785	NA
secondary_pathway_CRISPRi	NOT_EVALUABLE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Insufficient matched controls in bin 0, multirow 1: 18
secondary_shared8_CRISPRa	EVALUABLE	8	18911	18860	20	20260916	100000	0.017503040558405167	0.064509674461953367	0.064579216270284956	-0.047006633903548201	-0.047076175711879789	-0.097153111945428583	0.23371367854687733	0.29411705882941169	0.70589294107058931	0.58823411765882339	NA
sensitivity_10bins_CRISPRi	EVALUABLE	8	18859	18810	10	20260917	100000	-0.087391961397741136	0.014429251120154833	0.01419146841860517	-0.10182121251789597	-0.1015834298163463	-0.11677465003446631	0.16728799909857348	0.066899331006689933	0.93311066889331107	0.13379866201337987	NA
sensitivity_40bins_CRISPRi	EVALUABLE	8	18859	18810	40	20260918	100000	-0.087391961397741136	0.013421151141364865	0.012900831819892204	-0.10081311253910601	-0.10029279321763335	-0.11825255846015165	0.16649278858900243	0.068469315306846926	0.93154068459315409	0.13693863061369385	NA
