gene	phenotype_plusAO	source_rows_plusAO	unique_tss_plusAO	phenotype_noAO	source_rows_noAO	unique_tss_noAO	percentile_plusAO	percentile_noAO	delta_rank	mode
2020-03-01 00:00:00	-0.13200155156650464	3	3	-0.092443244451697312	3	3	0.42750251176563903	0.48212680450531437	0.05462429273967534	CRISPRa
2020-03-02 00:00:00	-0.97403820387675244	3	3	-0.49643289046173678	3	3	0.16077944053725346	0.32808947173602665	0.16731003119877319	CRISPRa
2020-03-03 00:00:00	-0.25470528999632103	1	1	0.74045485731065297	1	1	0.37700280260166041	0.7798371318280366	0.40283432922637619	CRISPRa
2020-03-04 00:00:00	-0.74723706410757595	1	1	-0.40258462321402899	1	1	0.21572100893659774	0.36441753476812438	0.14869652583152665	CRISPRa
2020-03-05 00:00:00	-2.1504581204379001	1	1	-2.29231185003349	1	1	0.037359208926021889	0.034133573052720641	-0.0032256358733012483	CRISPRa
2020-03-06 00:00:00	-0.89674256251403905	1	1	-0.052398624050609098	1	1	0.1770133784569827	0.49698588123314474	0.31997250277616207	CRISPRa
2020-03-07 00:00:00	1.4649617076076	1	1	0.99832409348831097	1	1	0.90442070752472103	0.84133573052720634	-0.063084976997514697	CRISPRa
2020-03-08 00:00:00	-1.2376650895597301	1	1	-1.91462642703212	1	1	0.11329385014013009	0.053963301782031625	-0.059330548358098464	CRISPRa
2020-03-09 00:00:00	-0.72582263914621703	1	1	-0.72137968738990499	1	1	0.22106181587435883	0.25093860715985405	0.029876791285495224	CRISPRa
2020-03-10 00:00:00	1.0985559839612999	1	1	1.89593658436806	1	1	0.84323938448522029	0.95296388345407435	0.10972449896885406	CRISPRa
2020-03-11 00:00:00	0.54335666094062296	1	1	1.2788541020745099	1	1	0.69020675797155095	0.89003754428639414	0.19983078631484319	CRISPRa
2020-09-01 00:00:00	0.17311358109723576	2	2	-0.103739804217408	2	2	0.55272063878166144	0.4776849452699487	-0.075035693511712742	CRISPRa
2020-09-02 00:00:00	-0.38314858454164102	1	1	0.37550876521549598	1	1	0.32888266088519907	0.66165194860134313	0.33276928771614406	CRISPRa
2020-09-03 00:00:00	-0.20648189585451099	1	1	0.13572637866662399	1	1	0.39704404843741736	0.56985352440378612	0.17280947596636875	CRISPRa
2020-09-04 00:00:00	-0.71015188984539346	2	2	-0.89403865410971606	2	2	0.22502776162022103	0.19943419174025701	-0.025593569879964029	CRISPRa
2020-09-05 00:00:00	-1.283629634172003	2	2	-1.4137848240775202	2	2	0.10673681984030459	0.10150177145576648	-0.0052350483845381018	CRISPRa
2020-09-06 00:00:00	-0.083643242324903805	1	1	-0.75817108682995304	1	1	0.44664480989900057	0.24057426894400086	-0.20607054095499971	CRISPRa
2020-09-07 00:00:00	1.09834897682346	1	1	0.43033406855440398	1	1	0.84318650520860872	0.68312093490561054	-0.16006557030299817	CRISPRa
2020-09-08 00:00:00	0.78597520581375402	1	1	0.12875813232240699	1	1	0.7668288297816086	0.56757971550949182	-0.19924911427211678	CRISPRa
2020-09-09 00:00:00	-0.64060985016421201	1	1	-0.291307406055693	1	1	0.2451218867325895	0.40978795410078789	0.16466606736819839	CRISPRa
2020-09-10 00:00:00	0.85066648122003496	1	1	1.1060451224532399	1	1	0.78501930093596317	0.86180001057585531	0.076780709639892142	CRISPRa
2020-09-11 00:00:00	1.3473075015004701	1	1	0.82870656480983496	1	1	0.8872349426259849	0.80225794511131088	-0.084976997514674024	CRISPRa
2020-09-12 00:00:00	-0.117437929992966	1	1	-0.66156866114958401	1	1	0.43310771508645762	0.26897044048437418	-0.16413727460208344	CRISPRa
2020-09-14 00:00:00	0.47466118776346899	1	1	1.2109423791554299	1	1	0.66456030881497541	0.88036063666649045	0.21580032785151504	CRISPRa
2020-09-15 00:00:00	0.145730553316607	1	1	-0.54784711612630699	1	1	0.54145735286341279	0.30783670879382369	-0.2336206440695891	CRISPRa
2020-12-01 00:00:00	-0.78442728676806905	1	1	1.2077685767892801	1	1	0.20556818782719052	0.87977896462376393	0.67421077679657337	CRISPRa
A1BG	-0.12873248660654948	2	2	-0.33970127392324906	2	2	0.42840145946803448	0.38932367405213897	-0.039077785415895516	CRISPRa
A1CF	-0.052952116895145	1	1	-0.70986987398976897	1	1	0.45854264713658716	0.25384696737348633	-0.20469567976310082	CRISPRa
A2M	0.45550839302454799	1	1	-0.55571838130871598	1	1	0.65789751996192691	0.30466395219713394	-0.35323356776479298	CRISPRa
A2ML1	-0.29661342160443999	1	1	-0.63346036141748396	1	1	0.3602400719158162	0.27785415895510551	-0.082385912960710683	CRISPRa
A3GALT2	0.65191491161762605	1	1	1.75897774676593	1	1	0.7267463381100947	0.94259954523822109	0.21585320712812639	CRISPRa
A4GALT	2.27352540871677	1	1	1.6115297717794601	1	1	0.96586642694727931	0.93054307017080007	-0.035323356776479242	CRISPRa
A4GNT	-0.55829825077082595	1	1	-0.21943063625100701	1	1	0.27002802601660408	0.43628047168314738	0.16625244566654329	CRISPRa
AAAS	0.14155271672264499	1	1	-0.70734612752993797	1	1	0.53960657818201052	0.25448151869282426	-0.28512505948918626	CRISPRa
AACS	-2.3925390646843798	1	1	-1.58383327216901	1	1	0.029057162498017028	0.082888266088519916	0.053831103590502888	CRISPRa
