aggregation	contrast	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	p_exact_two_sided
median	neuronal_identity	5	5	-0.520705121476	0.697031073906	0.0993065387356	5.41821270978	-0.770166563474	-0.271243679477	0.00263372108998	0.00793650793651
median	proteasome_assembly	5	5	-0.000731035106374	0.999493413435	0.0821583867096	7.21591513246	-0.193832522662	0.192370452449	0.99314163543	1
median	neuronal_minus_proteasome	5	5	-0.519974086369	0.697384359453	0.146743958466	6.22062416909	-0.875979104988	-0.163969067751	0.0114589703307	0.00793650793651
mean	neuronal_identity	5	5	-0.560101364279	0.678254507641	0.0616315124083	5.36005247363	-0.715382168406	-0.404820560153	0.000186503283519	0.00793650793651
mean	proteasome_assembly	5	5	0.0180175846219	1.01256714918	0.11044436695	6.58602234747	-0.246506742886	0.28254191213	0.875302530847	0.865079365079
mean	neuronal_minus_proteasome	5	5	-0.578118948901	0.669836571518	0.145067294608	6.81895599362	-0.923003504516	-0.233234393287	0.00557883076383	0.015873015873
