contrast	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	p_exact_decrease	assignments	p_holm
NAA25_manipulation	5	4	-1.17757295563	0.442094608204	0.160831085396	5.95685801951	-1.57180436739	-0.783341543871	0.000342682877313	0.00793650793651	126	0.0238095238095
SNCA_relative_to_proteasome	5	4	-0.803591137789	0.572921292847	0.399607345278	4.28120332693	-1.88492122322	0.27773894764	0.11004248497	0.0555555555556	126	0.111111111111
SNCA_relative_to_neuronal_identity	5	4	-0.39376606625	0.761140099676	0.366121524566	4.22569291587	-1.38922463454	0.601692502035	0.33968163097	0.150793650794	126	0.150793650794
