excluded_run	contrast	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided
NTC_01	SYP	4	5	-1.30688763648	0.404191913444	0.189350702716	6.04571429325	-1.7693642055	-0.844411067473	0.000442378733372
NTC_01	SYT1	4	5	-1.20547872237	0.433625431916	0.25974893183	6.86694086329	-1.82210822502	-0.58884921972	0.00248921816199
NTC_01	neuronal_identity	4	5	-0.492753294718	0.710667537532	0.0978657713754	5.12998024474	-0.742420098208	-0.243086491227	0.00370721351616
NTC_01	proteasome_assembly	4	5	-0.0392076894491	0.973189264374	0.0760979371262	5.98752032712	-0.225506751393	0.147091372494	0.624856772673
NTC_01	neuronal_minus_proteasome	4	5	-0.453545605268	0.730245969153	0.132356206376	4.4735264564	-0.806181530246	-0.100909680291	0.0223044325597
NTC_02	SYP	4	5	-1.29613260479	0.407216350671	0.188921575827	6.01631178291	-1.7581034032	-0.834161806392	0.000466720717256
NTC_02	SYT1	4	5	-1.22992051791	0.426340933547	0.259185836386	6.85618898549	-1.84541329092	-0.614427744901	0.00221639208262
NTC_02	neuronal_identity	4	5	-0.531587048815	0.691793302282	0.103356291541	5.9422912173	-0.785087339461	-0.278086758168	0.00219164447657
NTC_02	proteasome_assembly	4	5	0.0173954329966	1.01213058119	0.0878106077916	6.99681527485	-0.190262820276	0.225053686269	0.848598260072
NTC_02	neuronal_minus_proteasome	4	5	-0.548982481811	0.683502025469	0.153200061548	6.53063225451	-0.916588520456	-0.181376443166	0.0100436760288
NTC_03	SYP	4	5	-1.24637395087	0.421506285275	0.172979430569	4.67607344543	-1.70045821528	-0.792289686458	0.00105959573995
NTC_03	SYT1	4	5	-1.13058633143	0.456730065907	0.236571158804	6.01295858621	-1.70915283449	-0.552019828371	0.00304802777545
NTC_03	neuronal_identity	4	5	-0.550991541608	0.682550860666	0.0967011108076	4.93722942227	-0.800523237437	-0.301459845778	0.00242086471039
NTC_03	proteasome_assembly	4	5	-0.00961969704162	0.993354315008	0.090147862235	6.98944703586	-0.222850779807	0.203611385724	0.918017155188
NTC_03	neuronal_minus_proteasome	4	5	-0.541371844566	0.687117225297	0.15527276143	6.64726547463	-0.91252036421	-0.170223324923	0.0110528764972
NTC_04	SYP	4	5	-1.32994536241	0.397783306399	0.186821552378	5.86632853009	-1.78961810764	-0.870272617176	0.00042718426328
NTC_04	SYT1	4	5	-1.18873681085	0.43868679618	0.257915695686	6.83022409217	-1.80169709418	-0.575776527522	0.00261951015882
NTC_04	neuronal_identity	4	5	-0.515613698264	0.69949531593	0.10409937202	6.03669232935	-0.769960854462	-0.261266542067	0.00252586482336
NTC_04	proteasome_assembly	4	5	-0.00212112868872	0.998530825924	0.0908575642618	6.97794437743	-0.217102865126	0.212860607749	0.982028125934
NTC_04	neuronal_minus_proteasome	4	5	-0.513492569576	0.700524508378	0.157488794634	6.7519925349	-0.888685335352	-0.1382998038	0.0145749479969
NTC_05	SYP	4	5	-1.35085070385	0.392060797038	0.180299570952	5.34235765197	-1.80553296408	-0.896168443625	0.000498946581222
NTC_05	SYT1	4	5	-1.31584271869	0.401690787957	0.224378118759	5.2411651131	-1.88473312866	-0.746952308729	0.00174231451612
NTC_05	neuronal_identity	4	5	-0.512580023975	0.700967750198	0.103777911377	5.99637085375	-0.766552684173	-0.258607363777	0.00261047965292
NTC_05	proteasome_assembly	4	5	0.029897906651	1.02093987561	0.0818215382927	6.73128817456	-0.165156060755	0.224951874056	0.726020800927
NTC_05	neuronal_minus_proteasome	4	5	-0.542477930626	0.686590627857	0.155011931341	6.6335895333	-0.913167415534	-0.171788445717	0.0109033393245
NAA25_06	SYP	5	4	-1.4134005761	0.375425727232	0.177973612988	4.11905906873	-1.90195239355	-0.924848758663	0.00120347981899
NAA25_06	SYT1	5	4	-1.34810787595	0.392806885528	0.238146458895	4.99643927846	-1.96041408006	-0.735801671851	0.00239692314845
NAA25_06	neuronal_identity	5	4	-0.583747452269	0.667228374777	0.0937780731474	4.25249094811	-0.838132112773	-0.329362791765	0.00276065426353
NAA25_06	proteasome_assembly	5	4	0.0268239045893	1.01876683831	0.092066421302	5.07750965387	-0.208757850256	0.262405659435	0.782308686965
NAA25_06	neuronal_minus_proteasome	5	4	-0.610571356858	0.654937272874	0.137371486686	5.06362793023	-0.962365545435	-0.258777168281	0.0065371072508
NAA25_07	SYP	5	4	-1.24247391235	0.422647285049	0.210123281251	3.76747431737	-1.84034811076	-0.644599713948	0.00493617840793
NAA25_07	SYT1	5	4	-1.23692036236	0.424277370573	0.292867114438	4.22720280168	-2.03310051258	-0.440740212145	0.0119477796466
NAA25_07	neuronal_identity	5	4	-0.480015284841	0.716970027925	0.112511250314	3.82559794838	-0.798093876497	-0.161936693184	0.0142863628934
