gene	peptide_backbones	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH
ACBD6	3	5	5	0.90764621004	1.87598229224	0.345429907054	6.88969405587	0.0881757605723	1.72711665951	0.0345191185953	0.119367381783
ACIN1	4	5	5	0.527472830369	1.44140207805	0.261607993405	4.48249095684	-0.169048759297	1.22399442004	0.106388519426	0.232544288449
ACLY	38	5	5	-0.140897077515	0.906955029187	0.119430198717	4.9451666853	-0.448928899904	0.167134744874	0.291724003769	0.440134084937
ACO2	32	5	5	-0.360749304841	0.778760003374	0.173988630797	5.33518044869	-0.799680648574	0.078182038892	0.0893144029217	0.209168188324
ACOT13	4	5	5	0.0995684151544	1.07145288751	0.369622076077	6.18527853289	-0.798337452837	0.997474283146	0.796399875966	0.870841226047
ACOT7	8	5	5	0.0705938432325	1.05014885774	0.318477647639	7.06055400452	-0.681178807034	0.822366493499	0.830853073752	0.888568630068
ACOT8	2	5	4	-0.62295312462	0.64934039909	0.190388162524	6.72517505251	-1.07690604569	-0.169000203546	0.0144314839271	0.0766145196191
ACOT9	12	5	5	-0.114016958031	0.924011711169	0.0849582795295	7.93776508525	-0.310198792101	0.0821648760386	0.216703878402	0.362641106444
ACOX1	17	5	5	-0.376238859979	0.77044353922	0.151035860677	6.39774665407	-0.74031161493	-0.0121661050284	0.0446569077615	0.137349002617
ACOX3	9	5	5	-0.778034702931	0.58316065724	0.173598149048	7.08271235259	-1.18755930721	-0.368510098652	0.00277779816722	0.0365154541566
ACP1	3	5	5	0.594177038795	1.5096112075	0.170298767576	7.99641147244	0.201436698322	0.986917379267	0.00821590005892	0.0572295540411
ACP2	9	5	5	-0.11571384706	0.922925533184	0.0690874567189	7.99100653336	-0.275061023246	0.0436333291258	0.13252946328	0.263792484246
ACSF3	3	5	5	0.0583548062144	1.04127765066	0.445768606281	4.2563399608	-1.1504479127	1.26715752513	0.901804439181	0.93567877586
ACSL1	10	5	5	0.96468101765	1.95163196467	0.495739855958	4.05711008792	-0.404105981127	2.33346801643	0.122531627034	0.253415622734
ACSL3	19	5	5	-0.151960406871	0.900026629664	0.108156372973	5.96007621767	-0.41703983425	0.113119020508	0.209937945962	0.355349075838
ACSL4	18	5	5	-0.404238167273	0.755635209842	0.124068881632	5.32727137187	-0.717363434682	-0.0911128998636	0.0205155474675	0.0924243684257
ACSL6	8	5	5	-0.209649007606	0.86474758963	0.251373396921	4.89474495282	-0.860026695057	0.440728679845	0.443057278817	0.582571787706
ACTBL2	3	5	5	-0.080827426146	0.945515211647	0.299523728748	4.20736149877	-0.896521172572	0.73486632028	0.799995842512	0.871894514723
