gene	canonical_accession	N_terminus	canonical_length	source_url	retrieved_date	source_json_sha256	canonical_NatB_motif
SYP	P08247	MLLLADMDVVNQLVAGGQFR	313	https://rest.uniprot.org/uniprotkb/P08247.json	2026-09-15	6a505be41599984d99c9caa48981c1f9f72e1b2b6461b5a1a2f50cb1b21533f3	False
SYT1	P21579	MVSESHHEALAAPPVTTVAT	422	https://rest.uniprot.org/uniprotkb/P21579.json	2026-09-15	4a58b5f5548422e4a74546ff5db9833fc1f54088aa59d11210fab27c52524541	False
