gene	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH	precursor_features	peptide_backbones	runs_observed	control_runs	knockdown_runs
DNAJC19	5	5	0.178193412586	1.13146614086	0.303604395624	5.69785324675	-0.574354365079	0.930741190251	0.579745844924	0.700759246102	8	6	10	5	5
DNAJC2	5	5	0.654491440397	1.57406098836	0.47619378779	4.19874000872	-0.643315920741	1.95229880154	0.238112254703	0.384051116148	1	1	10	5	5
DNAJC28	5	4	-0.325133980612	0.798224253198	0.215781059305	4.7787204714	-0.887631976603	0.237364015378	0.194868652822	0.336413544091	1	1	9	5	4
DNAJC3	5	5	0.149626744858	1.10928244056	0.304138222792	4.49629053061	-0.659278016235	0.958531505952	0.645805727717	0.754722704075	10	8	10	5	5
DNAJC5	5	5	0.175562163733	1.12940440529	0.336348797016	7.16462078958	-0.616086757229	0.967211084696	0.617439474846	0.733931349415	6	3	10	5	5
DNAJC6	5	5	0.000851350783482	1.00059028555	0.219569843473	4.89439235288	-0.567253719572	0.568956421139	0.997059381096	0.998830750194	8	7	10	5	5
DNAJC7	5	5	0.572415861247	1.48701155828	0.410344194959	4.17261996363	-0.548532760681	1.69336448317	0.232704130679	0.378280480538	5	4	10	5	5
DNAJC8	5	5	1.20073381663	2.29856556182	0.202672992306	7.68628437828	0.730027799899	1.67143983336	0.000410395325672	0.0229906392162	17	10	10	5	5
DNAJC9	5	5	0.739250358619	1.6693082212	0.390925827033	4.28598373794	-0.318159719657	1.79666043689	0.126819911588	0.257782309008	4	3	10	5	5
DNER	5	5	-0.925088916499	0.526648058488	0.332120050706	7.98910065006	-1.69114103675	-0.159036796251	0.0237572999807	0.0975038780341	2	2	10	5	5
DNM1	5	5	-0.0994920631157	0.93336154698	0.0335242405547	7.95494062743	-0.17687538785	-0.0221087383818	0.0180457939871	0.0847081963328	24	18	10	5	5
DNM1L	5	5	-0.0131933861983	0.990896729512	0.100010525205	5.50457373412	-0.263349763149	0.236962990752	0.899735803367	0.937995888373	27	20	10	5	5
DNM2	5	5	-0.350654940388	0.784228001023	0.205051035363	4.23720394256	-0.907616265067	0.206306384291	0.158404613415	0.295885387625	9	9	10	5	5
DNM3	5	5	-0.884464072477	0.541688710101	0.434960765596	4.35679430954	-2.05408742899	0.285159284031	0.106018886197	0.230260566026	7	6	10	5	5
DNMT1	5	5	0.598799327207	1.51445564684	1.15316638667	7.78026818077	-2.07353650377	3.27113515819	0.618019054796	0.734426753473	1	1	10	5	5
DNMT3A	4	5	1.04134023609	2.05813873701	0.508987167927	5.07687862581	-0.261116074304	2.34379654649	0.095288296639	0.215677624756	2	2	9	4	5
DNTTIP2	5	4	0.854657013389	1.80832879156	0.272393058413	6.23775053473	0.194245123194	1.51506890358	0.019116650857	0.0875484385949	2	1	9	5	4
DOCK1	5	5	0.374572013772	1.2964548946	0.717478104224	5.42374744823	-1.4272550623	2.17639908985	0.622242154286	0.73741204058	2	1	10	5	5
DOCK11	5	5	0.334903442986	1.26129298991	0.281973359531	7.30726824425	-0.326215858944	0.996022744915	0.27211481464	0.42139029483	3	3	10	5	5
DOCK3	5	4	-0.0778953585891	0.947438787642	0.0731059968221	3.73212367196	-0.286746890563	0.130956173385	0.350665414516	0.501193606757	5	5	9	5	4
DOCK4	5	4	0.0292331935821	1.02046959205	0.11834590015	5.56583078703	-0.265913626791	0.324380013955	0.813753163827	0.877561683486	3	3	9	5	4
DOCK7	5	5	-0.208140990697	0.865651963553	0.151142106805	4.54292707217	-0.608721207635	0.192439226241	0.232450555263	0.378260618956	15	13	10	5	5
DOLK	5	4	-1.31769157065	0.40117634027	0.206894322732	6.46237938816	-1.81529171209	-0.820091429203	0.000523746299543	0.0238239344339	2	2	9	5	4
DOLPP1	5	4	-0.83195787105	0.561766355732	0.183870575099	6.6619264107	-1.27125571933	-0.392660022769	0.00307738156409	0.0380330636592	4	3	9	5	4
DOPEY1	5	4	-0.204892125274	0.867603558102	0.249933203541	5.47037477887	-0.831100116884	0.421315866336	0.446573859828	0.58697397485	1	1	9	5	4
DOPEY2	5	4	0.873686179204	1.83233866836	0.321598250895	6.90959252789	0.111205433522	1.63616692489	0.0302841381119	0.111976841822	1	1	9	5	4
DPAGT1	5	5	-0.0210675424283	0.98550319771	0.868829494886	7.94867913897	-2.02684583662	1.98471075177	0.98125232043	0.989872987871	1	1	10	5	5
DPCD	5	5	0.451630961364	1.36758543341	0.392883194269	4.06228429751	-0.632623287351	1.53588521008	0.313483201192	0.465784822325	1	1	10	5	5
DPM1	5	5	-0.964164213821	0.512575272078	0.267662592094	4.53755393982	-1.67384874177	-0.254479685872	0.0183182433394	0.0852771885491	10	8	10	5	5
DPM3	5	4	-0.30881856502	0.80730259542	0.210982470316	5.50770466531	-0.836468655203	0.218831525164	0.197891082695	0.339424590888	1	1	9	5	4
DPP10	5	5	-0.359959032082	0.779186705753	0.410867585332	4.30699833802	-1.46934722059	0.749429156423	0.427129298615	0.56961900907	2	2	10	5	5
DPP3	5	5	0.213895576831	1.15981570328	0.208398387214	4.20361402624	-0.353823871357	0.781615025019	0.36010452342	0.509226177163	24	20	10	5	5
DPP7	5	5	0.0197298050521	1.01376959831	0.331628561524	4.16901365534	-0.88648263645	0.925942246555	0.955302289391	0.974529314211	9	7	10	5	5
DPP9	5	4	0.118751978255	1.08579517518	0.164615584824	5.71696629427	-0.288931506984	0.526435463494	0.499094333074	0.634543980834	1	1	9	5	4
DPY19L1	5	4	-0.931151025352	0.524439761093	0.195164420809	3.66638895124	-1.49302430922	-0.369277741483	0.01092881684	0.0666714804381	2	2	9	5	4
DPY19L3	5	5	0.599920835637	1.51563339755	0.459034318044	5.77117012509	-0.534180193649	1.73402186492	0.240895732559	0.386994533325	2	2	10	5	5
DPY30	5	5	0.594872852002	1.51033947004	0.666581608672	5.46314842756	-1.07584550929	2.26559121329	0.409749650019	0.554070944614	4	3	10	5	5
DPYS	5	5	1.13554161787	2.19701027634	0.67540211251	5.28053868674	-0.57325520405	2.84433843978	0.150418907069	0.286545477107	3	2	10	5	5
DPYSL2	5	5	-0.068168777324	0.953847955707	0.0769663856644	6.02849727947	-0.256283149107	0.119945594459	0.409716784043	0.554070944614	48	23	10	5	5
DPYSL3	5	5	0.34788719183	1.27269541594	0.158767232432	4.90340877609	-0.0626669821285	0.758441365789	0.0810472081566	0.19561474371	60	25	10	5	5
DPYSL4	5	5	0.323566888049	1.25142071283	0.127931110744	5.13437961718	-0.0027184894558	0.649852265553	0.0513313511105	0.149971324391	28	19	10	5	5
DPYSL5	5	5	-0.0482417326902	0.967114269917	0.0780367186232	4.5410731366	-0.255095237366	0.158611771986	0.566120659629	0.690021695647	36	18	10	5	5
DR1	5	5	-0.0235783072568	0.983789588916	0.173754030819	6.2292113398	-0.444975524296	0.397818909783	0.896338503667	0.935318757817	2	2	10	5	5
DRAP1	5	5	-0.421579549489	0.7466067466	0.588070132743	4.14004198491	-2.03277150179	1.18961240281	0.511812678195	0.645814543031	5	4	10	5	5
DRAXIN	5	4	0.59262764963	1.50799082366	0.799571727099	3.66624304359	-1.70935877105	2.89461407031	0.503233101121	0.63820200145	1	1	9	5	4
DRG1	5	5	0.289539649671	1.22225020699	0.100712427635	7.27347624267	0.0531957956478	0.525883503694	0.0228603874037	0.0961970219946	4	3	10	5	5
DRG2	5	5	0.380662651957	1.30193971901	0.125860463537	5.96366134962	0.0722377355649	0.68908756835	0.0234387501886	0.0970344379015	2	1	10	5	5
DSCR3	5	5	-0.945076657399	0.519401952566	0.743827360354	4.06517178911	-2.99728038617	1.10712707137	0.271731705087	0.421086129044	2	2	10	5	5
DSG1	5	5	-1.62377377637	0.324485569117	0.413458990037	5.79517859394	-2.64420257667	-0.60334497608	0.00828938641053	0.0583360719156	3	3	10	5	5
DST	5	5	0.368909855461	1.29137665813	0.141951793664	4.37694320273	-0.0121797307811	0.749999441702	0.0549878302684	0.15590829814	50	44	10	5	5
DSTN	5	5	-0.635978896867	0.643504036487	0.242954475752	4.88539839253	-1.26494557262	-0.00701222111628	0.0483087107353	0.144990415254	8	6	10	5	5
DTD1	5	4	-0.717131676962	0.608305655805	0.272379776572	3.48547202484	-1.51950862969	0.0852452757641	0.0668444983221	0.174382942765	4	4	9	5	4
DTX3	5	5	-0.291674368212	0.816953365463	0.514312675341	4.1978635309	-1.69347880513	1.11013006871	0.599593826083	0.718207049777	1	1	10	5	5
DTYMK	5	5	-0.132810116501	0.912053199519	0.118935731157	7.98109595086	-0.407189522001	0.141569288998	0.296628930246	0.447962907725	8	7	10	5	5
DUSP12	5	4	-0.842054640805	0.55784853274	1.09934900531	6.50583804981	-3.48216998439	1.79806070278	0.470571523385	0.60768656557	2	2	9	5	4
DUSP3	5	5	0.0558108956081	1.03944317897	0.175291245208	7.51765644163	-0.352970674698	0.464592465914	0.758853694516	0.838400444761	4	4	10	5	5
DUT	5	5	0.89886337811	1.86459638895	0.434811197033	6.08388874224	-0.161535251837	1.95926200806	0.083562276201	0.199444141769	5	3	10	5	5
DYNC1H1	5	5	-0.107251371256	0.928355084152	0.165997848549	4.06499987895	-0.565243362176	0.350740619665	0.552882378781	0.678653717192	308	186	10	5	5
DYNC1I1	5	5	1.6229285745	3.07999620754	0.513898752035	7.83671828845	0.433564316258	2.81229283274	0.0137930088395	0.0736334471893	2	2	10	5	5
DYNC1I2	5	5	0.588725385397	1.50391745595	0.195706738054	5.93977215512	0.108668748468	1.06878202233	0.0240521311776	0.0981005097127	9	8	10	5	5
DYNC1LI1	5	5	-0.0536011215749	0.963528254891	0.0937375310236	6.84425625246	-0.276281745221	0.169079502071	0.585723767349	0.705715789132	21	13	10	5	5
DYNC1LI2	5	5	-0.229700760835	0.852811760897	0.232035019247	4.90519252679	-0.829650002352	0.370248480681	0.368489010062	0.515907487396	13	8	10	5	5
DYNC2H1	5	5	-0.02206135143	0.984824561779	0.283103911093	4.4212585395	-0.779410697224	0.735287994364	0.941287744145	0.965911968571	7	7	10	5	5
DYNLL1	5	5	-0.856850361812	0.552156691015	0.345652330743	4.35055560257	-1.7867941046	0.0730933809741	0.0632671049002	0.169662305375	4	2	10	5	5
DYNLL2	5	5	0.0246677288077	1.01724538045	0.218363625601	5.46714210709	-0.522530079991	0.571865537606	0.914089645439	0.9477036062	2	1	10	5	5
DYNLRB1	5	5	0.324358814225	1.25210783301	0.112201916937	7.35747345874	0.0616343933717	0.587083235078	0.0220592320147	0.0942321928202	9	6	10	5	5
DYNLT1	5	5	0.66336285994	1.58377002412	0.134109153154	5.80605295286	0.33253402688	0.994191693	0.00283875609034	0.0369601708148	6	3	10	5	5
DYRK1A	5	4	-0.135095123726	0.910609790791	0.157672067578	4.73970606628	-0.547191360524	0.277001113073	0.432723624762	0.574629458729	2	2	9	5	4
EARS2	5	4	-0.56260673839	0.677077677743	0.15054163623	5.52638480096	-0.938758281346	-0.186455195435	0.0112200642886	0.0673794545324	5	4	9	5	4
EBF1	5	5	0.178829869734	1.13196540686	0.436669855024	4.8983737062	-0.950706633866	1.30836637333	0.699441853123	0.798174095482	3	3	10	5	5
EBF2	5	5	0.41759482022	1.33569889571	0.15487451264	7.98154964631	0.0603097998582	0.774879840582	0.0272846008884	0.10542285304	1	1	10	5	5
EBF3	5	5	0.182735135611	1.13503370217	0.104696291932	5.80208471642	-0.0755807213419	0.441050992564	0.133213860096	0.265544729516	7	6	10	5	5
EBP	5	5	-0.772491404356	0.58540565838	0.511056931914	4.5125639652	-2.13005599218	0.585073183472	0.197202640863	0.338888043022	5	3	10	5	5
ECE1	5	5	0.292645129529	1.22488400098	0.25031971824	4.38460089167	-0.37895908048	0.964249339538	0.301973231206	0.452558553478	4	3	10	5	5
ECH1	5	5	-0.24872905369	0.841637531745	0.140180243228	6.2999197738	-0.587818033937	0.0903599265568	0.124005670385	0.254847188658	19	9	10	5	5
ECHDC1	5	5	0.23010142166	1.17291740259	0.137415136163	4.53641943791	-0.134273895117	0.594476738438	0.160839108527	0.298332737897	5	5	10	5	5
ECHS1	5	5	0.145166311265	1.10585812729	0.34615129753	4.3718548425	-0.784507752453	1.07484037498	0.69474023302	0.794484712054	21	12	10	5	5
ECI1	5	5	0.0172986223712	1.01206266544	0.146268250576	4.88509316337	-0.361371631509	0.395968876252	0.910565103434	0.944266478526	8	6	10	5	5
ECI2	5	5	-0.259173062927	0.83556671993	0.26104274833	4.46821114324	-0.954952506555	0.436606380701	0.371466717675	0.518204620026	5	4	10	5	5
ECM29	5	5	0.41996136832	1.33789172899	0.171500483163	4.79921825868	-0.0265003199795	0.86642305662	0.060099414871	0.164264469836	14	11	10	5	5
ECSIT	5	5	-0.579378316986	0.66925210793	0.269647377864	7.1988550385	-1.21343990296	0.0546832689857	0.0676779342473	0.175154997929	7	4	10	5	5
EDC3	4	5	1.00710305496	2.00987120536	0.381743487954	4.60250522311	-0.000246995928941	2.01445310586	0.0500370348157	0.147835317308	1	1	9	4	5
EDC4	5	5	1.36540128351	2.57647980344	0.385141256783	6.39339793236	0.436874157531	2.29392840949	0.0109247556001	0.0666714804381	10	9	10	5	5
EDEM3	5	5	-0.0956164834324	0.935872250895	0.258739775463	5.60643948479	-0.739660741805	0.548427774941	0.725273378344	0.815423280481	6	5	10	5	5
EDF1	5	5	1.41160699708	2.66033328507	0.232092994392	7.97350220012	0.876089841723	1.94712415244	0.000299197493232	0.0201444759996	5	4	10	5	5
EDIL3	5	5	-0.869773861372	0.547232621173	0.19392723041	7.86501858716	-1.31831030605	-0.421237416696	0.00213077643928	0.0348295239946	26	16	10	5	5
EDRF1	5	5	0.524622858871	1.43855747134	0.186445616172	4.32568790259	0.0219814451834	1.02726427256	0.0440128964647	0.137972325193	1	1	10	5	5
EEA1	5	5	0.608068620357	1.5242173265	0.290197142849	5.08314721574	-0.134251625301	1.35038886601	0.0893710317092	0.207605840388	40	30	10	5	5
EED	5	5	-0.0648728413744	0.956029577986	0.149102979844	5.00305472841	-0.448083875456	0.318338192707	0.681627609422	0.783993407981	5	5	10	5	5
EEF1A1	5	5	0.212736911823	1.1588845998	0.185523785268	7.62414633659	-0.218780746759	0.644254570404	0.286222707354	0.437975112915	39	23	10	5	5
EEF1A2	5	5	-0.111899527446	0.92536887058	0.09855976857	4.17778443094	-0.38101340657	0.157214351679	0.317135733016	0.46839099898	10	8	10	5	5
EEF1B2	5	5	0.922043366237	1.8947970964	0.43465176927	6.08708648113	-0.137833662773	1.98192039525	0.0774806592448	0.189747694817	8	6	10	5	5
EEF1D	5	5	0.901114543085	1.86750815516	0.313487477996	7.66547599124	0.172682818846	1.62954626732	0.0216331172555	0.0934741302105	5	5	10	5	5
EEF1E1	5	5	0.273710526993	1.20891308623	0.204910776049	5.23527797058	-0.245988356686	0.793409410672	0.236755953914	0.382523677688	13	9	10	5	5
EEF1G	5	5	0.313763097232	1.24294554994	0.211599642843	6.10293791524	-0.201892994266	0.829419188729	0.187826933338	0.328405928794	25	18	10	5	5
EEF2	5	5	0.293519298234	1.22562641688	0.176801979609	5.43718188169	-0.150190164739	0.737228761207	0.15305494743	0.289125154044	47	28	10	5	5
EEFSEC	5	4	0.68660044098	1.60948646107	0.249094444564	6.93859259335	0.0965272878459	1.27667359411	0.0284905566341	0.107855525525	3	3	9	5	4
EFCAB14	5	4	0.512023174636	1.42604862442	0.339127871028	5.52466398585	-0.335410700269	1.35945704954	0.185999439291	0.327284671579	1	1	9	5	4
EFHD2	5	5	-0.847959005303	0.555570150828	0.423312706586	6.49491752273	-1.86493270745	0.169014696846	0.0883960532832	0.20660859915	2	2	10	5	5
EFL1	5	5	0.223508093368	1.16756922802	0.15752350171	7.2099227743	-0.146788522519	0.593804709254	0.197682353549	0.339195548443	2	2	10	5	5
EFTUD2	5	5	0.00510620073557	1.00354561953	0.0428032503793	4.7840694953	-0.106433691036	0.116646092507	0.909888330363	0.944141048817	42	28	10	5	5
EHBP1	5	5	0.501373524906	1.41556061248	0.382493340063	5.36336622081	-0.462154918376	1.46490196819	0.243245300372	0.388968291379	2	2	10	5	5
EHD1	5	5	0.049878243762	1.03517755635	0.16623376658	4.45466738924	-0.393663156642	0.493419644166	0.777628681668	0.850808387826	23	17	10	5	5
EHD3	5	5	-0.277367168199	0.82509539369	0.209805336086	6.45477676351	-0.782100728029	0.22736639163	0.231080108136	0.376590450796	3	3	10	5	5
EI24	5	5	0.104708092427	1.07527680241	0.256851092229	5.22930504066	-0.546934783846	0.7563509687	0.699678748528	0.79822321395	1	1	10	5	5
EIF1	5	5	0.595841133742	1.51135349238	0.192923138709	7.96704666077	0.150639076664	1.04104319082	0.014998844236	0.0768861208507	5	4	10	5	5
EIF2A	5	5	0.33866885805	1.26458924773	0.248998085165	7.58746106683	-0.241001576251	0.918339292352	0.212819778318	0.35768629657	10	8	10	5	5
EIF2AK2	5	5	1.19513540635	2.28966321095	0.386453328453	5.43708933037	0.225271868921	2.16499894377	0.0242435973622	0.0984364245732	6	6	10	5	5
EIF2B1	5	4	-0.0168565484835	0.988383924608	0.0794527250168	6.5067045964	-0.207658736904	0.173945639937	0.838475129341	0.892487330924	3	3	9	5	4
EIF2B2	5	4	0.375895057525	1.2976443721	0.150910099063	3.3907260116	-0.0745283523226	0.826318467373	0.0786982061291	0.191792332711	5	4	9	5	4
EIF2B3	5	5	0.194202514126	1.14409156046	0.139867130666	6.18263193078	-0.145604286805	0.534009315056	0.212950887876	0.357773353896	4	4	10	5	5
EIF2B4	5	4	0.431834893079	1.3489481473	0.34195090506	5.00295843715	-0.447021573163	1.31069135932	0.26229978482	0.41113076071	2	2	9	5	4
EIF2S1	5	5	0.270474669337	1.20620462268	0.143309652311	7.51869889496	-0.0637167348124	0.604666073486	0.098171805812	0.218834066509	17	12	10	5	5
EIF2S2	5	5	1.13466321754	2.19567301025	0.274137530395	5.84537930325	0.459548182083	1.809778253	0.00643874216749	0.05203448311	10	8	10	5	5
EIF2S3	5	5	0.546225132138	1.460259866	0.183559421294	5.21277879124	0.0801053022463	1.01234496203	0.0293999788048	0.109606036685	18	13	10	5	5
EIF3A	5	5	0.781328082027	1.71871231633	0.206974697854	7.97053997443	0.30373633353	1.25891983052	0.00546352365145	0.0493997235092	47	33	10	5	5
EIF3B	5	5	0.350147078258	1.27469057142	0.190847217611	4.6161322124	-0.152969594627	0.853263751143	0.130841656564	0.262673214401	32	23	10	5	5
EIF3C	5	5	0.766195401548	1.70077866145	0.385172271427	6.28081645955	-0.166166320827	1.69855712392	0.0916806356704	0.210259830211	21	16	10	5	5
EIF3D	5	5	0.440171141841	1.3567652662	0.213581937037	7.76295486829	-0.0549798077302	0.935322091413	0.0743255557566	0.18483053033	9	7	10	5	5
EIF3E	5	5	0.339308618491	1.26515015185	0.193757824044	7.75384973641	-0.109978743882	0.788595980863	0.119210796298	0.248781229988	25	17	10	5	5
EIF3F	5	5	0.510744575788	1.42478533846	0.241660128243	7.98838215166	-0.0466657823356	1.06815493391	0.0675562696151	0.174940489227	10	7	10	5	5
EIF3G	5	5	0.765396442208	1.69983703708	0.312525789009	6.9072806576	0.0243746585242	1.50641822589	0.0446207657791	0.138545870108	4	3	10	5	5
EIF3H	5	5	0.35971280214	1.2831704309	0.150302675234	6.67450077251	0.000759480059643	0.718666124221	0.0496382703132	0.147121049529	8	7	10	5	5
EIF3I	5	5	0.743939644414	1.67474291017	0.338628256986	4.47758259099	-0.157984755698	1.64586404453	0.0857300332633	0.202369534302	10	7	10	5	5
EIF3J	5	5	1.07712077722	2.10982125336	0.402374242624	6.6885290806	0.11660080059	2.03764075385	0.0330600413818	0.117019724868	8	6	10	5	5
EIF3K	5	4	0.423935324996	1.34158208135	0.213278441706	6.99436328635	-0.0804704531883	0.928341103181	0.0872183900618	0.204704556487	3	3	9	5	4
EIF3L	5	5	-0.139928608321	0.90756406496	0.442046119795	4.63301067206	-1.30385837521	1.02400115857	0.765347343262	0.842959148597	28	18	10	5	5
EIF3M	5	5	0.188688751907	1.13972736055	0.1192150458	7.05071714308	-0.0927994952759	0.47017699909	0.157184768605	0.294093940762	26	13	10	5	5
EIF4A1	5	5	0.0983483557284	1.07054716346	0.330754648929	5.40491642801	-0.733077707278	0.929774418735	0.777295546723	0.850739575988	30	18	10	5	5
EIF4A2	5	5	-0.252914187392	0.839199551855	0.388788300114	4.49190347269	-1.28730482902	0.781476454238	0.547145793689	0.675569916647	16	10	10	5	5
EIF4A3	5	5	-0.382627441349	0.767039382963	0.258438652848	4.1992179037	-1.08694028935	0.321685406654	0.209549186651	0.353506499993	28	17	10	5	5
EIF4B	5	5	0.742402430136	1.67295939559	0.187625341185	6.59162126692	0.293105635211	1.19169922506	0.00618898577192	0.0512199753403	7	6	10	5	5
EIF4E	5	5	0.311409531497	1.24091950209	0.174253854316	5.68096558624	-0.120846457617	0.743665520611	0.126917203911	0.257782309008	8	6	10	5	5
EIF4E2	5	4	0.39224467081	1.31243381515	0.205292777792	4.09817242492	-0.172394736549	0.95688407817	0.126939885677	0.257782309008	2	2	9	5	4
EIF4G1	5	5	0.511273127692	1.42530742452	0.214961576676	7.88038729884	0.0142581251305	1.00828813025	0.0451118577407	0.139287878349	18	17	10	5	5
EIF4G2	5	5	0.186238967386	1.13779367592	0.290840762575	4.60241970401	-0.581240440306	0.953718375078	0.552452884291	0.678495769409	23	19	10	5	5
EIF4G3	5	5	0.296210578195	1.22791489936	0.315291799977	4.98193140019	-0.515157723724	1.10757888012	0.390764755167	0.537584571686	13	12	10	5	5
EIF4H	5	5	1.10585252314	2.15226022746	0.41446898422	5.96507360642	0.0902422995518	2.12146274673	0.0373297645176	0.12538687099	2	2	10	5	5
EIF5	5	5	0.225655115642	1.16930810096	0.176273802893	4.36801777656	-0.247918475405	0.699228706688	0.264256331671	0.412763265987	9	8	10	5	5
EIF5A	5	5	0.62091266569	1.53784773402	0.289692663914	5.05414135124	-0.121373057506	1.36319838889	0.0843670431572	0.200621893349	10	7	10	5	5
EIF5B	5	5	0.504314664313	1.41844937807	0.150214771185	6.61915569757	0.144927904383	0.863701424243	0.0131829076374	0.0722961426171	16	13	10	5	5
EIF6	5	5	-0.166888753976	0.890761584467	0.417051843118	4.54303545968	-1.27221522975	0.938437721794	0.707150746043	0.803428610178	5	3	10	5	5
ELAC2	5	5	-0.0770519212295	0.947992847149	0.303566482116	4.91368279309	-0.861535555007	0.707431712548	0.809910777028	0.874672615555	4	4	10	5	5
ELAVL1	5	5	0.896443117988	1.86147097094	0.212204409903	7.79841582755	0.404888332183	1.38799790379	0.00306963525314	0.0380330636592	9	7	10	5	5
ELAVL2	5	5	0.447021231342	1.36322266893	0.193424690733	7.9998074132	0.000981225580669	0.893061237103	0.0496056154302	0.147120927814	6	3	10	5	5
ELAVL3	5	5	1.38538226771	2.61241168741	0.379352681277	7.1701441632	0.492652792853	2.27811174256	0.00782321825671	0.0571322469345	7	4	10	5	5
ELAVL4	5	5	0.330662399929	1.25759065297	0.088819785052	7.52517313167	0.123572096859	0.537752702999	0.00652254761415	0.052127405206	19	12	10	5	5
ELMO1	5	5	0.501453888948	1.41563946722	0.119575891704	7.89194530648	0.225052844329	0.777854933566	0.00311553895515	0.0382948126067	3	3	10	5	5
ELMOD2	5	5	-0.715515567046	0.608987462845	0.502602782501	4.24679057844	-2.07955775738	0.648526623292	0.223685467425	0.369459684818	14	8	10	5	5
ELOB	5	5	-0.0962750625328	0.935445129964	0.277101636153	4.84303342367	-0.815587752922	0.623037627856	0.742851255555	0.827504911937	10	5	10	5	5
ELOC	5	5	-0.151967392622	0.900022271608	0.402966510154	4.23869393991	-1.2463670047	0.942432219457	0.724210489821	0.815098183528	8	4	10	5	5
ELOVL2	5	4	-0.887027447108	0.540727094373	0.286904202344	4.42968523791	-1.65403405773	-0.120020836485	0.0318499703383	0.115143215877	3	1	9	5	4
ELOVL4	5	4	-1.09219868946	0.469045996301	0.277395324278	4.13561462391	-1.8525128617	-0.331884517212	0.0159373634005	0.0788805982286	1	1	9	5	4
ELOVL5	5	5	-2.33264371422	0.198520002878	0.529783158278	4.43143543656	-3.74876562411	-0.916521804342	0.0092523124238	0.0609275791204	1	1	10	5	5
ELP1	5	5	0.448458485272	1.36458142692	0.243231025588	5.04919700484	-0.174958842664	1.07187581321	0.123976532724	0.254847188658	4	3	10	5	5
ELP3	5	4	0.0352369876205	1.02472513804	0.178462598622	5.43103968244	-0.412777947707	0.483251922947	0.850656953532	0.901916744674	1	1	9	5	4
EMC1	5	5	-0.423851085156	0.745432132862	0.146147817532	7.43148960512	-0.765409432786	-0.0822927375265	0.0215248377804	0.0934741302105	34	24	10	5	5
EMC10	5	5	-0.612686955757	0.653977562676	0.206546675735	6.49696859271	-1.10886360795	-0.116510303564	0.0228172823037	0.0961951032447	3	2	10	5	5
EMC2	5	5	-0.424837847275	0.74492245294	0.169171201556	5.11783091904	-0.856711997238	0.00703630268781	0.0526363366281	0.152892797508	10	8	10	5	5
EMC3	5	5	-0.776952564947	0.583598238996	0.304613330844	4.63439138203	-1.57893608729	0.0250309573968	0.054984087877	0.15590829814	8	5	10	5	5
EMC4	5	5	1.29842454801	2.4596014254	0.236714813389	6.46710326873	0.729195784711	1.86765331131	0.00120016818932	0.0317909735493	1	1	10	5	5
EMC6	5	4	-1.54492772733	0.342712869221	0.752173718502	3.25834050052	-3.8348124451	0.744956990443	0.12500584695	0.255621657113	1	1	9	5	4
EMC7	5	5	0.198750666255	1.14770404478	0.395941426148	4.49337465665	-0.854553194064	1.25205452657	0.639301457972	0.750817203049	5	4	10	5	5
EMC8	5	5	-0.951406062829	0.517128218691	0.133965328219	4.66709711557	-1.30329592588	-0.599516199782	0.00113704708099	0.0316618480392	8	6	10	5	5
EMG1	5	4	0.146088111497	1.10656493364	0.118692647795	5.65805459481	-0.148650569772	0.440826792766	0.267092547616	0.415753789611	2	2	9	5	4
EML4	5	5	-0.570668777643	0.673304598099	0.211391162695	4.0748910851	-1.15335504039	0.0120174850996	0.0530578515387	0.15303403806	5	5	10	5	5
EMSY	4	4	0.643656490951	1.56228373266	0.255864047034	5.28921714074	-0.00339149867745	1.29070448058	0.0508421956544	0.149169467554	1	1	8	4	4
ENAH	5	5	0.0572438482441	1.04047611577	0.133720304383	7.64715753827	-0.25360991351	0.368097609998	0.680388507623	0.783767251759	5	5	10	5	5
ENC1	5	4	4.53173979047	23.1307443945	1.49200785881	4.4851863519	0.560143106825	8.50333647412	0.0331787300147	0.117020524704	2	2	9	5	4
ENDOD1	5	5	-0.312962124186	0.804987271088	0.375492645169	4.29413029977	-1.32792936639	0.702005118018	0.448437351011	0.588444036607	5	4	10	5	5
ENO1	5	5	0.382615289033	1.30370304173	0.156081191269	5.03426439442	-0.0177842148247	0.78301479289	0.0575016684844	0.159821334894	37	21	10	5	5
ENO2	5	5	-0.3457141757	0.786918332839	0.113826935697	6.68862398163	-0.617433144334	-0.073995207066	0.020001959591	0.0899495580068	34	16	10	5	5
ENO3	5	5	0.589080021062	1.50428718643	0.299789317325	4.09080932169	-0.236032078292	1.41419212042	0.119289248606	0.248781229988	15	10	10	5	5
ENOPH1	5	5	0.665370210119	1.58597519826	0.421878475056	4.66230518713	-0.443160117257	1.7739005375	0.1797701856	0.320144841415	4	4	10	5	5
ENPP4	5	5	-0.483561000978	0.715210092019	0.522891108222	4.05103101044	-1.92815535459	0.961033352631	0.406803751987	0.55107859616	5	4	10	5	5
ENTPD4	5	5	0.300272587212	1.23137705151	0.297805815874	4.37460628034	-0.499379948664	1.09992512309	0.365789301935	0.513242781036	1	1	10	5	5
ENTPD6	5	5	-0.161465842762	0.894116147211	0.133865048161	6.10102617969	-0.487711514994	0.16477982947	0.272429242744	0.421732434461	1	1	10	5	5
