run	condition	SNCA	NAA25	proteasome_assembly	neuronal_identity	NAA25_manipulation	SNCA_relative_to_proteasome	SNCA_relative_to_neuronal_identity
NTC_01	NTC	0.391365308748	0	-0.180284336892	0.226534878942	0	0.57164964564	0.164830429806
NTC_02	NTC	0.128822690939	0.255005418201	0.0461281528901	0.0711998625538	0.255005418201	0.0826945380487	0.057622828385
NTC_03	NTC	0.599784421795	0.320017248246	-0.0619323672627	-0.00641810861894	0.320017248246	0.661716789057	0.606202530413
NTC_04	NTC	-0.0270432667086	0.254610666109	-0.0319380938511	0.135093264754	0.254610666109	0.00489482714248	-0.162136531463
NTC_05	NTC	-0.110056662283	0.607865267088	0.0961380475077	0.147227961914	0.607865267088	-0.206194709791	-0.257284624197
NAA25_06	NAA25_KD	-0.31936139432	-1.09374565233	-0.137328513411	-0.153808226394	-1.09374565233	-0.182032880909	-0.165553167925
NAA25_07	NAA25_KD	-0.123235186013	NA	-0.21312519405	-0.568736896108	NA	0.0898900080375	0.445501710095
NAA25_08	NAA25_KD	NA	-1.12098116535	0.167252373599	-0.652212480664	-1.12098116535	NA	NA
NAA25_09	NAA25_KD	-0.641739519051	-0.736334668541	0.0279805120428	-0.284644927184	-0.736334668541	-0.669720031094	-0.357094591868
NAA25_10	NAA25_KD	-1.54101572643	-0.609231456581	0.0196770486794	-0.370485217484	-0.609231456581	-1.56069277511	-1.17053050895
