mouse	paired_difference
mouse11	-0.0829594214061
mouse12	-0.101685212087
mouse13	-0.0630536256835
mouse23	-0.0957319609195
mouse62	-0.0293828227493
mouse63	-0.038213323203
mouse67	-0.0901703629882
mouse68	-0.076428820269
mouse7	-0.102520973166
mouse72	-0.0390577370432
mouse76	-0.041201804331
mouse8	-0.135971383591
mouse9	-0.0859133710146
