gene_target	source	original_cells	retained_cells	retention	primary	min10
Abca1	mouse69	36	36	1	True	True
Abca1	mouse7	37	36	0.972972972973	True	True
Abca1	mouse70	51	51	1	True	True
Abca1	mouse71	17	17	1	False	True
Abca1	mouse72	64	64	1	True	True
Abca1	mouse73	44	43	0.977272727273	True	True
Abca1	mouse74	38	38	1	True	True
Abca1	mouse75	30	30	1	True	True
Abca1	mouse76	66	66	1	True	True
Abca1	mouse8	31	30	0.967741935484	True	True
Abca1	mouse9	55	54	0.981818181818	True	True
Abca7	mouse1	10	10	1	False	True
Abca7	mouse10	33	33	1	True	True
Abca7	mouse11	64	64	1	True	True
Abca7	mouse12	26	26	1	True	True
Abca7	mouse13	35	35	1	True	True
Abca7	mouse14	22	22	1	True	True
Abca7	mouse15	31	31	1	True	True
Abca7	mouse16	17	17	1	False	True
Abca7	mouse17	19	18	0.947368421053	False	True
Abca7	mouse18	42	42	1	True	True
Abca7	mouse19	36	36	1	True	True
Abca7	mouse2	18	18	1	False	True
Abca7	mouse20	42	42	1	True	True
Abca7	mouse21	37	37	1	True	True
Abca7	mouse22	35	35	1	True	True
Abca7	mouse23	58	58	1	True	True
Abca7	mouse24	22	21	0.954545454545	True	True
Abca7	mouse25	29	29	1	True	True
Abca7	mouse26	28	28	1	True	True
Abca7	mouse27	4	1	0.25	False	False
Abca7	mouse29	17	17	1	False	True
Abca7	mouse3	17	15	0.882352941176	False	True
Abca7	mouse30	6	5	0.833333333333	False	False
Abca7	mouse31	16	16	1	False	True
Abca7	mouse32	10	10	1	False	True
Abca7	mouse33	20	20	1	True	True
Abca7	mouse34	48	48	1	True	True
Abca7	mouse35	39	39	1	True	True
Abca7	mouse36	17	17	1	False	True
Abca7	mouse37	14	14	1	False	True
Abca7	mouse38	32	32	1	True	True
Abca7	mouse39	13	12	0.923076923077	False	True
Abca7	mouse4	46	46	1	True	True
Abca7	mouse40	9	9	1	False	False
Abca7	mouse41	17	17	1	False	True
Abca7	mouse42	8	8	1	False	False
Abca7	mouse44	32	32	1	True	True
Abca7	mouse45	35	34	0.971428571429	True	True
Abca7	mouse46	11	11	1	False	True
Abca7	mouse47	4	3	0.75	False	False
Abca7	mouse48	4	4	1	False	False
Abca7	mouse49	8	7	0.875	False	False
Abca7	mouse5	9	9	1	False	False
Abca7	mouse50	11	9	0.818181818182	False	False
Abca7	mouse51	9	9	1	False	False
Abca7	mouse52	33	31	0.939393939394	True	True
Abca7	mouse53	11	11	1	False	True
Abca7	mouse54	48	47	0.979166666667	True	True
Abca7	mouse55	39	39	1	True	True
Abca7	mouse56	11	11	1	False	True
Abca7	mouse57	15	15	1	False	True
Abca7	mouse58	15	14	0.933333333333	False	True
Abca7	mouse59	8	7	0.875	False	False
Abca7	mouse6	28	28	1	True	True
Abca7	mouse60	55	55	1	True	True
Abca7	mouse61	22	22	1	True	True
Abca7	mouse62	68	68	1	True	True
Abca7	mouse63	78	78	1	True	True
Abca7	mouse64	22	22	1	True	True
Abca7	mouse66	8	8	1	False	False
Abca7	mouse67	49	49	1	True	True
Abca7	mouse68	76	75	0.986842105263	True	True
Abca7	mouse69	44	44	1	True	True
Abca7	mouse7	47	47	1	True	True
Abca7	mouse70	50	50	1	True	True
Abca7	mouse71	12	12	1	False	True
Abca7	mouse72	62	62	1	True	True
Abca7	mouse73	43	43	1	True	True
Abca7	mouse74	47	47	1	True	True
Abca7	mouse75	29	29	1	True	True
Abca7	mouse76	49	49	1	True	True
Abca7	mouse8	28	28	1	True	True
Abca7	mouse9	44	44	1	True	True
Abcb7	mouse1	6	6	1	False	False
Abcb7	mouse10	13	13	1	False	True
Abcb7	mouse11	22	22	1	True	True
Abcb7	mouse12	13	13	1	False	True
Abcb7	mouse13	19	19	1	False	True
Abcb7	mouse14	11	11	1	False	True
Abcb7	mouse15	8	8	1	False	False
Abcb7	mouse16	15	15	1	False	True
Abcb7	mouse17	5	5	1	False	False
Abcb7	mouse18	15	15	1	False	True
Abcb7	mouse19	11	11	1	False	True
Abcb7	mouse2	3	3	1	False	False
Abcb7	mouse20	21	21	1	True	True
Abcb7	mouse21	17	17	1	False	True
Abcb7	mouse22	17	17	1	False	True
Abcb7	mouse23	27	27	1	True	True
Abcb7	mouse24	2	2	1	False	False
Abcb7	mouse25	13	13	1	False	True
Abcb7	mouse26	9	9	1	False	False
Abcb7	mouse27	1	0	0	False	False
Abcb7	mouse29	4	4	1	False	False
Abcb7	mouse3	6	6	1	False	False
Abcb7	mouse30	1	1	1	False	False
Abcb7	mouse31	8	8	1	False	False
Abcb7	mouse32	7	6	0.857142857143	False	False
Abcb7	mouse33	7	7	1	False	False
Abcb7	mouse34	15	15	1	False	True
Abcb7	mouse35	6	6	1	False	False
Abcb7	mouse36	8	8	1	False	False
Abcb7	mouse37	7	7	1	False	False
Abcb7	mouse38	16	16	1	False	True
Abcb7	mouse39	1	1	1	False	False
Abcb7	mouse4	14	14	1	False	True
Abcb7	mouse40	7	7	1	False	False
Abcb7	mouse41	6	6	1	False	False
Abcb7	mouse42	10	10	1	False	True
Abcb7	mouse44	14	14	1	False	True
Abcb7	mouse45	15	14	0.933333333333	False	True
Abcb7	mouse46	4	4	1	False	False
Abcb7	mouse47	4	2	0.5	False	False
Abcb7	mouse48	3	3	1	False	False
Abcb7	mouse49	6	5	0.833333333333	False	False
Abcb7	mouse5	8	8	1	False	False
Abcb7	mouse50	3	2	0.666666666667	False	False
Abcb7	mouse51	6	5	0.833333333333	False	False
Abcb7	mouse52	20	20	1	True	True
Abcb7	mouse53	4	4	1	False	False
Abcb7	mouse54	15	15	1	False	True
Abcb7	mouse55	12	12	1	False	True
Abcb7	mouse56	10	10	1	False	True
Abcb7	mouse57	13	13	1	False	True
Abcb7	mouse58	10	10	1	False	True
Abcb7	mouse59	5	4	0.8	False	False
Abcb7	mouse6	12	12	1	False	True
Abcb7	mouse60	23	22	0.95652173913	True	True
Abcb7	mouse61	7	7	1	False	False
Abcb7	mouse62	33	33	1	True	True
Abcb7	mouse63	30	30	1	True	True
Abcb7	mouse64	8	8	1	False	False
Abcb7	mouse66	6	6	1	False	False
Abcb7	mouse67	30	30	1	True	True
Abcb7	mouse68	20	20	1	True	True
Abcb7	mouse69	18	18	1	False	True
Abcb7	mouse7	11	10	0.909090909091	False	True
Abcb7	mouse70	16	16	1	False	True
Abcb7	mouse71	8	8	1	False	False
Abcb7	mouse72	43	43	1	True	True
Abcb7	mouse73	22	22	1	True	True
Abcb7	mouse74	27	27	1	True	True
Abcb7	mouse75	13	13	1	False	True
