pseudo	source	weighted	cells	original	retention	effect
2	mouse22	-0.148880514448	38	38	1	-0.00391790827494
2	mouse23	-0.451090718877	70	70	1	-0.00644415312681
2	mouse26	0.0624639324006	38	38	1	0.00164378769475
2	mouse31	-0.0858180048863	26	26	1	-0.00330069249563
2	mouse33	0.315130978555	27	27	1	0.0116715177243
2	mouse34	0.971879124346	59	60	0.983333333333	0.0164725275313
2	mouse35	-0.0131063815868	35	35	1	-0.000374468045338
2	mouse36	0.454408715063	20	20	1	0.0227204357531
2	mouse38	-0.45058012823	43	43	1	-0.0104786076333
2	mouse4	0.481205713564	33	33	1	0.0145819913201
2	mouse41	-1.02590852561	20	20	1	-0.0512954262807
2	mouse42	-0.0234564974538	22	23	0.95652173913	-0.00106620442972
2	mouse44	-0.182231582269	33	34	0.970588235294	-0.00552216915966
2	mouse45	-0.13224963258	38	38	1	-0.00348025348895
2	mouse52	0.236236577967	44	45	0.977777777778	0.00536901313562
2	mouse54	0.502998300824	40	40	1	0.0125749575206
2	mouse55	-0.386745734126	45	45	1	-0.00859434964724
2	mouse6	-0.486672658885	32	32	1	-0.0152085205902
2	mouse60	-0.664686322338	78	78	1	-0.00852161951715
2	mouse62	-0.306014211234	69	69	1	-0.0044349885686
2	mouse63	0.179364123208	66	66	1	0.00271763823043
2	mouse67	0.29593613873	57	57	1	0.00519186208298
2	mouse68	0.601112992504	72	73	0.986301369863	0.00834879156255
2	mouse69	0.089475153883	36	36	1	0.00248542094119
2	mouse7	0.239850433942	41	41	1	0.00585001058396
2	mouse70	1.36333590778	56	57	0.982456140351	0.0243452840676
2	mouse71	-1.17701241568	26	26	1	-0.0452697082952
2	mouse72	-1.46203090163	83	83	1	-0.0176148301401
2	mouse73	-0.762915071601	65	65	1	-0.0117371549477
2	mouse74	-0.256916462066	36	36	1	-0.00713656839071
2	mouse75	-0.0325312598386	31	31	1	-0.00104939547866
2	mouse76	0.559410664595	87	87	1	0.00643000763903
2	mouse8	-0.332737423451	28	28	1	-0.011883479409
2	mouse9	0.0530844602105	56	56	1	0.000947936789474
3	mouse10	-0.00283441128126	22	22	1	-0.000128836876421
3	mouse11	0.057716787986	43	43	1	0.00134225088339
3	mouse12	0.684786549746	25	25	1	0.0273914619899
3	mouse13	-0.514255901397	54	54	1	-0.00952325743328
3	mouse15	0.354173524669	42	42	1	0.0084327029683
3	mouse16	0.0884638326522	27	27	1	0.00327643824638
3	mouse18	1.20903605448	38	38	1	0.0318167382758
3	mouse19	0.511608034515	28	28	1	0.0182717155184
3	mouse20	0.318753933279	51	51	1	0.00625007712312
3	mouse21	-1.43391382936	44	44	1	-0.0325889506674
3	mouse22	-0.699151263842	30	30	1	-0.0233050421281
3	mouse23	-0.545544271797	60	60	1	-0.00909240452994
3	mouse24	-0.530507340026	22	22	1	-0.0241139700012
3	mouse25	0.108271795271	24	24	1	0.00451132480295
3	mouse26	-0.170977380822	27	27	1	-0.00633249558599
3	mouse3	0.164598430753	22	23	0.95652173913	0.00748174685242
3	mouse33	-0.0829212298962	21	21	1	-0.00394862999506
3	mouse34	-0.366189046915	42	42	1	-0.00871878683131
3	mouse35	-0.701606253909	32	32	1	-0.0219251954347
3	mouse36	-0.218674686502	35	35	1	-0.00624784818576
3	mouse38	0.377001064856	36	36	1	0.0104722518015
3	mouse4	-0.0801673751333	27	27	1	-0.00296916204198
3	mouse42	-0.75867844434	20	20	1	-0.037933922217
3	mouse44	-0.00621064962942	27	27	1	-0.000230024060349
3	mouse45	-1.02129742727	28	28	1	-0.0364749081166
3	mouse52	0.194571342916	40	41	0.975609756098	0.00486428357291
3	mouse54	0.366834085808	35	35	1	0.0104809738802
3	mouse55	-0.285261681779	23	23	1	-0.0124026818165
3	mouse6	-0.220895880669	31	31	1	-0.00712567356996
3	mouse60	-0.181642534376	52	54	0.962962962963	-0.00349312566108
3	mouse62	0.373989694453	77	77	1	0.00485700901887
3	mouse63	-0.219731311049	68	68	1	-0.00323134280954
3	mouse67	-0.00448694465341	62	62	1	-7.23700750549e-05
3	mouse68	0.931552689984	67	67	1	0.0139037714923
3	mouse69	0.335682923385	36	37	0.972972972973	0.00932452564958
3	mouse7	-0.0353690751589	42	42	1	-0.000842120837118
3	mouse70	0.489295287838	63	63	1	0.00776659187045
3	mouse72	-0.229732590712	86	86	1	-0.00267130919433
3	mouse73	0.130630581281	46	46	1	0.00283979524525
3	mouse74	0.0544980645916	41	41	1	0.0013292210876
3	mouse75	-0.767537112376	25	25	1	-0.030701484495
3	mouse76	0.254005639683	62	62	1	0.00409686515617
3	mouse8	-0.101485175277	41	41	1	-0.0024752481775
3	mouse9	-0.221725407399	59	59	1	-0.00375805775252
4	mouse11	-0.910847026035	42	42	1	-0.0216868339532
4	mouse12	0.373370013116	30	30	1	0.0124456671039
4	mouse13	-0.254547706138	58	58	1	-0.0043887535541
4	mouse14	-0.49010345756	24	24	1	-0.0204209773983
4	mouse15	0.813547433761	39	39	1	0.0208601906093
4	mouse16	-0.138756747359	21	21	1	-0.00660746415996
4	mouse17	-0.205762067663	20	20	1	-0.0102881033831
4	mouse18	-0.139360784501	39	39	1	-0.00357335344874
4	mouse19	-0.0403795529862	37	38	0.973684210526	-0.0010913392699
4	mouse20	0.551522303884	57	57	1	0.00967582989271
4	mouse21	0.362114035191	37	39	0.948717948718	0.00978686581597
4	mouse22	-0.336638825991	30	30	1	-0.0112212941997
4	mouse23	0.78939991071	59	60	0.983333333333	0.0133796595036
4	mouse26	-0.000412210013696	23	23	1	-1.79221745085e-05
4	mouse31	0.371502602408	24	24	1	0.0154792751003
4	mouse34	0.337838419406	27	27	1	0.0125125340521
4	mouse35	-1.60028177834	35	35	1	-0.045722336524
4	mouse37	-0.36372405571	21	21	1	-0.017320193129
4	mouse38	-1.03712101512	37	37	1	-0.0280302977061
4	mouse4	0.204175893553	33	33	1	0.00618714828949
4	mouse41	0.200418753089	22	22	1	0.00910994332224
4	mouse44	0.183450275408	28	28	1	0.00655179555028
4	mouse45	-0.368363033229	44	44	1	-0.00837188711883
4	mouse52	0.203603374685	48	48	1	0.00424173697261
4	mouse54	-0.0642402336922	39	39	1	-0.00164718547929
4	mouse55	-0.187938273792	37	37	1	-0.00507941280518
4	mouse57	0.838962234607	21	21	1	0.0399505826003
4	mouse6	0.283312413592	31	31	1	0.00913911011586
4	mouse60	-0.850979485854	53	53	1	-0.0160562167142
4	mouse62	1.48464166029	68	68	1	0.0218329655925
4	mouse63	0.998669126787	75	77	0.974025974026	0.0133155883572
4	mouse67	0.40377542797	58	59	0.983050847458	0.00696164530984
4	mouse68	0.687322871497	77	77	1	0.00892627105841
4	mouse69	0.324486943521	29	30	0.966666666667	0.011189204949
4	mouse7	-0.0204726006864	46	46	1	-0.00044505653666
4	mouse70	-0.31007416873	42	42	1	-0.00738271830309
4	mouse71	-0.867845765207	23	23	1	-0.0377324245742
4	mouse72	0.35341061345	85	85	1	0.00415777192294
4	mouse73	-0.543920122932	43	43	1	-0.0126493051845
4	mouse74	-0.148155687999	37	38	0.973684210526	-0.00400420778377
4	mouse75	0.151485201093	23	23	1	0.00658631309102
4	mouse76	-0.190204152729	49	50	0.98	-0.00388171740264
4	mouse8	1.06132627987	37	37	1	0.0286844940506
4	mouse9	-0.812959589109	40	40	1	-0.0203239897277
5	mouse10	0.600208771359	23	23	1	0.0260960335374
5	mouse11	-0.4249506908	50	50	1	-0.00849901381601
5	mouse12	-0.131615702436	30	31	0.967741935484	-0.0043871900812
5	mouse13	0.169530550257	35	35	1	0.00484373000735
5	mouse15	-0.300740294906	25	25	1	-0.0120296117963
5	mouse17	-0.448329299176	22	22	1	-0.020378604508
5	mouse18	0.386414599372	42	42	1	0.00920034760409
5	mouse19	-0.373368487606	25	25	1	-0.0149347395042
5	mouse20	-0.705740100727	38	38	1	-0.0185721079139
5	mouse21	0.756747385908	35	35	1	0.0216213538831
5	mouse22	-0.338804145714	35	35	1	-0.00968011844896
5	mouse23	-0.404703023195	57	57	1	-0.00710005303851
5	mouse25	-0.07761519653	22	22	1	-0.00352796347864
5	mouse26	0.561086621207	22	22	1	0.0255039373276
5	mouse31	0.239063591972	23	23	1	0.0103940692162
5	mouse34	0.0910257395069	38	38	1	0.00239541419755
5	mouse35	-0.211671937993	26	27	0.962962962963	-0.00814122838435
5	mouse36	0.148950699448	31	31	1	0.00480486127252
5	mouse38	-0.301743906001	31	31	1	-0.00973367438714
5	mouse4	0.0702824406499	32	32	1	0.00219632627031
5	mouse41	0.581154304878	22	23	0.95652173913	0.0264161047672
